date,open,high,low,close,preclose,pctChg
2010-01-04,3289.7500,3295.2790,3243.3190,3243.7600,3277.1390,-1.018538
2010-01-05,3254.4680,3290.5120,3221.4620,3282.1790,3243.7600,1.184395
2010-01-06,3277.5170,3295.8680,3253.0440,3254.2150,3282.1790,-0.851991
2010-01-07,3253.9910,3268.8190,3176.7070,3192.7760,3254.2150,-1.887988
2010-01-08,3177.2590,3198.9200,3149.0170,3195.9970,3192.7760,0.100890
2010-01-11,3301.6110,3306.7510,3197.3280,3212.7500,3195.9970,0.524185
2010-01-12,3205.7050,3275.2020,3180.0850,3273.9660,3212.7500,1.905410
2010-01-13,3204.9760,3232.8180,3165.4850,3172.6580,3273.9660,-3.094354
2010-01-14,3183.3810,3219.0160,3165.5960,3215.5500,3172.6580,1.351929
2010-01-15,3217.1900,3241.8150,3197.2210,3224.1520,3215.5500,0.267514
2010-01-18,3213.6370,3238.2420,3202.2070,3237.0980,3224.1520,0.401526
2010-01-19,3242.2160,3268.8060,3236.8390,3246.8740,3237.0980,0.302003
2010-01-20,3252.0370,3255.1280,3148.3340,3151.8500,3246.8740,-2.926628
2010-01-21,3154.1890,3176.1470,3126.9020,3158.8630,3151.8500,0.222502
2010-01-22,3118.7240,3147.8290,3062.6290,3128.5880,3158.8630,-0.958419
2010-01-25,3103.3200,3136.9990,3092.9260,3094.4110,3128.5880,-1.092410
2010-01-26,3094.8480,3107.1980,3001.9560,3019.3940,3094.4110,-2.424269
2010-01-27,3020.5400,3028.6470,2972.6270,2986.6070,3019.3940,-1.085884
2010-01-28,2985.2140,3006.0390,2963.8910,2994.1430,2986.6070,0.252331
2010-01-29,2979.7430,3024.8480,2968.4530,2989.2920,2994.1430,-0.162019
2010-02-01,2981.3740,2981.3740,2912.8870,2941.3600,2989.2920,-1.603453
2010-02-02,2955.7530,2990.7480,2930.5590,2934.7130,2941.3600,-0.225991
2010-02-03,2945.0340,3005.1310,2890.0210,3003.8350,2934.7130,2.355326
2010-02-04,2983.0500,3015.1260,2968.6800,2995.3080,3003.8350,-0.283866
2010-02-05,2936.1970,2959.2330,2918.9090,2939.4020,2995.3080,-1.866453
2010-02-08,2936.4520,2954.2660,2922.1870,2935.1740,2939.4020,-0.143840
2010-02-09,2932.0900,2957.4740,2929.2100,2948.8420,2935.1740,0.465661
2010-02-10,2967.1380,2983.1790,2958.2170,2982.5000,2948.8420,1.141396
2010-02-11,2985.0820,3001.6360,2976.0790,2985.4990,2982.5000,0.100554
2010-02-12,2996.0880,3018.8580,2993.4370,3018.1330,2985.4990,1.093085
2010-02-22,3016.7030,3026.6590,3002.8110,3003.3980,3018.1330,-0.488219
2010-02-23,2998.9070,2998.9070,2938.7530,2982.5750,3003.3980,-0.693315
2010-02-24,2964.9840,3023.7390,2955.0690,3022.1770,2982.5750,1.327780
2010-02-25,3026.6560,3063.0040,3022.3730,3060.6180,3022.1770,1.271961
2010-02-26,3053.4980,3067.5250,3041.6890,3051.9430,3060.6180,-0.283433
2010-03-01,3057.0060,3093.0950,3054.5540,3087.8420,3051.9430,1.176265
2010-03-02,3089.7060,3095.9920,3060.9560,3073.1080,3087.8420,-0.477166
2010-03-03,3074.0990,3098.4560,3061.4670,3097.0050,3073.1080,0.777616
2010-03-04,3098.0690,3102.3980,3016.2150,3023.3730,3097.0050,-2.377517
2010-03-05,3026.6390,3044.1650,3011.0880,3031.0650,3023.3730,0.254414
2010-03-08,3036.4150,3058.8320,3030.9050,3053.2320,3031.0650,0.731327
2010-03-09,3053.2600,3084.8500,3028.6900,3069.1410,3053.2320,0.521060
2010-03-10,3067.1500,3085.9940,3034.7390,3048.9270,3069.1410,-0.658624
2010-03-11,3050.6440,3070.9350,3025.3090,3051.2820,3048.9270,0.077240
2010-03-12,3051.4740,3057.5190,3011.9720,3013.4120,3051.2820,-1.241114
2010-03-15,3010.7220,3013.5170,2963.4940,2976.9390,3013.4120,-1.210360
2010-03-16,2974.4870,2993.8430,2963.4380,2992.8410,2976.9390,0.534176
2010-03-17,2999.8150,3050.7570,2994.8930,3050.4790,2992.8410,1.925860
