date,open,high,low,close,preclose,pctChg
2010-01-04,13766.1000,13782.8000,13533.5400,13533.5400,13699.9700,-1.214818
2010-01-05,13539.8300,13597.3600,13324.5500,13517.3800,13533.5400,-0.119408
2010-01-06,13509.3900,13677.4000,13456.2900,13505.1800,13517.3800,-0.090256
2010-01-07,13514.6400,13571.3500,13148.2500,13235.4800,13505.1800,-1.997006
2010-01-08,13180.8900,13270.6200,13040.3400,13267.4400,13235.4800,0.241472
2010-01-11,13559.2800,13606.2300,13089.8800,13161.0900,13267.4400,-0.801591
2010-01-12,13187.3900,13381.2500,12993.2300,13381.2500,13161.0900,1.672811
2010-01-13,13031.5500,13227.9600,12936.3200,13016.5600,13381.2500,-2.725384
2010-01-14,13037.8000,13222.2200,12965.7900,13204.1900,13016.5600,1.441478
2010-01-15,13247.6500,13320.3900,13118.2500,13264.3700,13204.1900,0.455762
2010-01-18,13234.1100,13373.1100,13175.9300,13361.5200,13264.3700,0.732409
2010-01-19,13389.5900,13433.0600,13318.3500,13350.6700,13361.5200,-0.081200
2010-01-20,13375.5300,13389.9300,12871.5800,12916.1500,13350.6700,-3.254665
2010-01-21,12928.5200,12982.8800,12732.9600,12917.1500,12916.1500,0.007742
2010-01-22,12756.9200,12756.9200,12394.0700,12595.9300,12917.1500,-2.486777
2010-01-25,12506.1400,12640.7300,12458.5600,12470.1900,12595.9300,-0.998253
2010-01-26,12496.1100,12536.4700,12091.0900,12162.5600,12470.1900,-2.466930
2010-01-27,12157.1400,12233.1200,11946.4900,12046.7800,12162.5600,-0.951932
2010-01-28,12008.9600,12166.4700,11903.9900,12120.4800,12046.7800,0.611783
2010-01-29,12058.7000,12339.0600,11998.6600,12137.2000,12120.4800,0.137946
2010-02-01,12125.5100,12126.2600,11841.9600,11989.1100,12137.2000,-1.220132
2010-02-02,12035.9300,12173.9100,11912.9300,11912.9300,11989.1100,-0.635416
2010-02-03,11961.1200,12262.5700,11714.1600,12262.5700,11912.9300,2.934968
2010-02-04,12177.1500,12283.5200,12112.9300,12169.4800,12262.5700,-0.759138
2010-02-05,11892.3100,12018.3900,11823.0700,11917.1400,12169.4800,-2.073555
2010-02-08,11900.1000,11997.6600,11847.0200,11947.3400,11917.1400,0.253418
2010-02-09,11935.8000,12037.3200,11900.2800,11970.4400,11947.3400,0.193353
2010-02-10,12083.0000,12185.3800,12051.1600,12185.3800,11970.4400,1.795585
2010-02-11,12178.9500,12297.4100,12152.3500,12224.6000,12185.3800,0.321859
2010-02-12,12259.4700,12327.9300,12241.6100,12304.7800,12224.6000,0.655896
2010-02-22,12299.1100,12337.7700,12213.5400,12213.5400,12304.7800,-0.741502
