日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000002,万 科Ａ,28.62,28.67,28.0,28.18,27.81,0.81,2.9126,68724266,1945304440.3
2019-06-28,'000002,万 科Ａ,27.81,27.96,27.69,27.86,27.84,-0.03,-0.1078,19397801,539293006.17
2019-06-27,'000002,万 科Ａ,27.84,28.08,27.71,27.89,27.79,0.05,0.1799,27406756,764026965.39
2019-06-26,'000002,万 科Ａ,27.79,27.99,27.71,27.85,27.88,-0.09,-0.3228,18469647,514385338.91
2019-06-25,'000002,万 科Ａ,27.88,28.25,27.63,28.17,28.13,-0.25,-0.8887,28251276,786459323.61
2019-06-24,'000002,万 科Ａ,28.13,28.25,28.03,28.12,28.31,-0.18,-0.6358,27012891,759269848.38
2019-06-21,'000002,万 科Ａ,28.31,28.52,28.12,28.4,28.45,-0.14,-0.4921,49253755,1392207007.21
2019-06-20,'000002,万 科Ａ,28.45,28.45,27.63,27.7,27.73,0.72,2.5965,57748439,1628818510.96
2019-06-19,'000002,万 科Ａ,27.73,28.38,27.59,28.2,27.7,0.03,0.1083,39015788,1090051950.54
2019-06-18,'000002,万 科Ａ,27.7,28.11,27.4,28.08,27.91,-0.21,-0.7524,21916216,605621875.93
2019-06-17,'000002,万 科Ａ,27.91,28.2,27.75,27.8,27.93,-0.02,-0.0716,17167279,480406921.16
2019-06-14,'000002,万 科Ａ,27.93,28.29,27.78,28.01,27.83,0.1,0.3593,31141781,874904945.65
2019-06-13,'000002,万 科Ａ,27.83,28.05,27.58,28.0,28.0,-0.17,-0.6071,25043108,695293629.5
2019-06-12,'000002,万 科Ａ,28.0,28.29,27.81,28.24,28.33,-0.33,-1.1648,26937224,753190180.56
2019-06-11,'000002,万 科Ａ,28.33,28.45,27.85,27.87,27.81,0.52,1.8698,44963005,1271956403.04
2019-06-10,'000002,万 科Ａ,27.81,28.05,27.17,27.29,27.12,0.69,2.5442,52754702,1466767218.32
2019-06-06,'000002,万 科Ａ,27.12,27.29,26.92,27.01,27.03,0.09,0.333,33379205,905462519.12
2019-06-05,'000002,万 科Ａ,27.03,27.28,26.63,26.64,26.3,0.73,2.7757,57616447,1553688615.68
2019-06-04,'000002,万 科Ａ,26.3,26.54,26.25,26.47,26.44,-0.14,-0.5295,20326070,536198035.66
2019-06-03,'000002,万 科Ａ,26.44,27.02,26.28,26.81,26.7,-0.26,-0.9738,31756797,842709495.96
2019-05-31,'000002,万 科Ａ,26.7,27.07,26.7,26.85,26.92,-0.22,-0.8172,20014595,537589152.85
2019-05-30,'000002,万 科Ａ,26.92,27.11,26.73,27.11,27.16,-0.24,-0.8837,20052645,539117119.79
2019-05-29,'000002,万 科Ａ,27.16,27.42,27.01,27.3,27.62,-0.46,-1.6655,21472853,583352716.41
2019-05-28,'000002,万 科Ａ,27.62,27.62,26.84,27.0,27.0,0.62,2.2963,40994638,1117493898.55
2019-05-27,'000002,万 科Ａ,27.0,27.08,26.3,26.79,26.82,0.18,0.6711,25196780,674457193.91
2019-05-24,'000002,万 科Ａ,26.82,27.05,26.61,26.9,26.72,0.1,0.3743,19782977,530462435.28
2019-05-23,'000002,万 科Ａ,26.72,27.28,26.66,27.2,27.36,-0.64,-2.3392,27074052,726962131.11
2019-05-22,'000002,万 科Ａ,27.36,27.59,27.1,27.4,27.52,-0.16,-0.5814,20464814,560169485.34
2019-05-21,'000002,万 科Ａ,27.52,27.79,27.2,27.28,27.26,0.26,0.9538,26560389,731405403.38
2019-05-20,'000002,万 科Ａ,27.26,27.64,26.91,27.48,27.36,-0.1,-0.3655,25596834,696860585.12
2019-05-17,'000002,万 科Ａ,27.36,28.21,27.3,28.2,28.13,-0.77,-2.7373,32665096,902757789.69
2019-05-16,'000002,万 科Ａ,28.13,28.19,27.82,27.87,28.02,0.11,0.3926,30726523,861546311.54
2019-05-15,'000002,万 科Ａ,28.02,28.27,27.8,27.85,27.6,0.42,1.5217,37456659,1051240514.07
2019-05-14,'000002,万 科Ａ,27.6,28.08,27.4,27.66,28.05,-0.45,-1.6043,34395188,955114028.56
2019-05-13,'000002,万 科Ａ,28.05,28.08,27.45,27.53,28.03,0.02,0.0714,31244454,868824129.47
2019-05-10,'000002,万 科Ａ,28.03,28.09,26.83,27.27,27.02,1.01,3.738,47186116,1306268299.22
2019-05-09,'000002,万 科Ａ,27.02,27.49,26.7,27.28,27.39,-0.37,-1.3509,35094363,948118210.16
2019-05-08,'000002,万 科Ａ,27.39,28.01,27.26,27.42,27.98,-0.59,-2.1086,35387944,976776033.79
2019-05-07,'000002,万 科Ａ,27.98,28.16,27.38,27.46,27.1,0.88,3.2472,50303208,1399420576.59
2019-05-06,'000002,万 科Ａ,27.1,28.31,26.7,28.0,28.88,-1.78,-6.1634,70069643,1919848706.77
2019-04-30,'000002,万 科Ａ,28.88,29.16,28.38,29.05,29.35,-0.47,-1.6014,50376388,1449578216.47
2019-04-29,'000002,万 科Ａ,29.35,29.56,29.0,29.01,29.08,0.27,0.9285,49838608,1461313479.51
2019-04-26,'000002,万 科Ａ,29.08,29.38,28.9,29.1,29.39,-0.31,-1.0548,39688302,1155739978.18
2019-04-25,'000002,万 科Ａ,29.39,29.86,29.2,29.41,29.6,-0.21,-0.7095,47222093,1392245656.93
2019-04-24,'000002,万 科Ａ,29.6,29.81,29.01,29.8,29.51,0.09,0.305,44745667,1315291224.05
2019-04-23,'000002,万 科Ａ,29.51,29.75,29.25,29.4,29.51,0.0,0.0,59906379,1768285804.72
2019-04-22,'000002,万 科Ａ,29.51,30.97,29.31,30.97,31.48,-1.97,-6.2579,125461075,3759214897.63
2019-04-19,'000002,万 科Ａ,31.48,31.51,30.46,30.61,30.7,0.78,2.5407,45455696,1409527110.73
2019-04-18,'000002,万 科Ａ,30.7,30.84,30.31,30.84,30.98,-0.28,-0.9038,45926360,1404300843.22
2019-04-17,'000002,万 科Ａ,30.98,31.5,30.77,31.5,31.64,-0.66,-2.086,54353405,1683838795.04
2019-04-16,'000002,万 科Ａ,31.64,31.68,30.01,30.75,30.94,0.7,2.2624,70918500,2185563502.38
2019-04-15,'000002,万 科Ａ,30.94,32.0,30.88,31.77,31.09,-0.15,-0.4825,55780853,1759310281.91
2019-04-12,'000002,万 科Ａ,31.09,31.77,30.81,31.57,31.84,-0.75,-2.3555,48243677,1504490056.66
2019-04-11,'000002,万 科Ａ,31.84,33.2,31.41,32.65,32.77,-0.93,-2.838,57378188,1842346196.61
2019-04-10,'000002,万 科Ａ,32.77,33.2,32.4,32.9,33.48,-0.71,-2.1207,53905288,1763295160.77
2019-04-09,'000002,万 科Ａ,33.48,33.6,31.78,32.06,31.54,1.94,6.1509,90418699,2952702145.47
2019-04-08,'000002,万 科Ａ,31.54,32.8,31.25,32.28,32.22,-0.68,-2.1105,74488141,2375321233.0
2019-04-04,'000002,万 科Ａ,32.22,33.12,31.75,32.5,32.49,-0.27,-0.831,69209274,2238380963.93
2019-04-03,'000002,万 科Ａ,32.49,32.52,31.4,31.88,31.99,0.5,1.563,45311653,1450033729.03
2019-04-02,'000002,万 科Ａ,31.99,32.48,31.71,32.13,32.07,-0.08,-0.2495,50927285,1631797324.67
2019-04-01,'000002,万 科Ａ,32.07,33.1,31.0,31.02,30.72,1.35,4.3945,107851511,3449265526.13
2019-03-29,'000002,万 科Ａ,30.72,30.75,28.75,28.8,28.8,1.92,6.6667,97032993,2903231426.89
