日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2002-04-26,'000003,PT金田Ａ,2.71,2.71,2.71,2.71,2.58,0.13,5.0388,4397205,11916425.55
2002-04-25,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0,0.0
2002-04-24,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0,0.0
2002-04-23,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0,0.0
2002-04-22,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.58,None,None,0,0.0
2002-04-19,'000003,PT金田Ａ,2.58,2.58,2.58,2.58,2.46,0.12,4.878,1412175,3643411.5
2002-04-18,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0,0.0
2002-04-17,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0,0.0
2002-04-16,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0,0.0
2002-04-15,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.46,None,None,0,0.0
2002-04-12,'000003,PT金田Ａ,2.46,2.46,2.46,2.46,2.34,0.12,5.1282,496937,1222465.02
2002-04-11,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0,0.0
2002-04-10,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0,0.0
2002-04-09,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0,0.0
2002-04-08,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.34,None,None,0,0.0
2002-04-05,'000003,PT金田Ａ,2.34,2.34,2.34,2.34,2.23,0.11,4.9327,470662,1101349.08
2002-04-04,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0,0.0
2002-04-03,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0,0.0
2002-04-02,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0,0.0
2002-04-01,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.23,None,None,0,0.0
2002-03-29,'000003,PT金田Ａ,2.23,2.23,2.23,2.23,2.12,0.11,5.1887,446027,994640.21
2002-03-28,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0,0.0
2002-03-27,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0,0.0
2002-03-26,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0,0.0
2002-03-25,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.12,None,None,0,0.0
2002-03-22,'000003,PT金田Ａ,2.12,2.12,2.12,2.12,2.02,0.1,4.9505,504495,1069529.4
2002-03-21,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0,0.0
2002-03-20,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0,0.0
2002-03-19,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0,0.0
2002-03-18,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.02,None,None,0,0.0
2002-03-15,'000003,PT金田Ａ,2.02,2.02,2.02,2.02,1.92,0.1,5.2083,520367,1051141.34
2002-03-14,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.92,None,None,0,0.0
2002-03-13,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.92,None,None,0,0.0
2002-03-12,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.92,None,None,0,0.0
2002-03-11,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.92,None,None,0,0.0
2002-03-08,'000003,PT金田Ａ,1.92,1.92,1.92,1.92,1.83,0.09,4.918,619553,1189541.76
2002-03-07,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.83,None,None,0,0.0
2002-03-06,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.83,None,None,0,0.0
2002-03-05,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.83,None,None,0,0.0
2002-03-04,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.83,None,None,0,0.0
2002-03-01,'000003,PT金田Ａ,1.83,1.83,1.83,1.83,1.74,0.09,5.1724,1320750,2416972.5
2002-02-28,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.74,None,None,0,0.0
2002-02-27,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.74,None,None,0,0.0
2002-02-26,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.74,None,None,0,0.0
2002-02-25,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.74,None,None,0,0.0
2002-02-08,'000003,PT金田Ａ,1.74,1.74,1.74,1.74,1.66,0.08,4.8193,921277,1603021.98
2002-02-07,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.66,None,None,0,0.0
2002-02-06,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.66,None,None,0,0.0
2002-02-05,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.66,None,None,0,0.0
2002-02-04,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.66,None,None,0,0.0
2002-02-01,'000003,PT金田Ａ,1.66,1.66,1.66,1.66,1.89,-0.23,-12.1693,3352064,5564426.24
2002-01-31,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.89,None,None,0,0.0
2002-01-30,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.89,None,None,0,0.0
2002-01-29,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.89,None,None,0,0.0
2002-01-28,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,1.89,None,None,0,0.0
2002-01-25,'000003,PT金田Ａ,1.89,1.89,1.89,1.89,2.7,-0.81,-30.0,1297500,2452275.0
2002-01-24,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-23,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-22,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-21,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-18,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-17,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-16,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-15,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-14,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,2.7,None,None,0,0.0
2002-01-11,'000003,PT金田Ａ,2.7,2.7,2.7,2.7,3.1,-0.4,-12.9032,2583700,6975990.0
2002-01-10,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,3.1,None,None,0,0.0
2002-01-09,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,3.1,None,None,0,0.0
2002-01-08,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,3.1,None,None,0,0.0
2002-01-07,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,3.1,None,None,0,0.0
2002-01-04,'000003,PT金田Ａ,3.1,3.1,3.1,3.1,3.6,-0.5,-13.8889,1702500,5277750.0
2001-12-31,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,3.6,None,None,0,0.0
2001-12-28,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,3.6,None,None,0,0.0
2001-12-27,'000003,PT金田Ａ,0.0,0.0,0.0,0.0,3.6,None,None,0,0.0
