日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000004,国农科技,22.05,22.15,21.21,21.22,21.22,0.83,3.9114,1373910,29811424.84
2019-06-28,'000004,国农科技,21.22,22.18,21.1,21.89,22.1,-0.88,-3.9819,2557900,54752924.0
2019-06-27,'000004,国农科技,22.1,22.74,22.02,22.74,22.14,-0.04,-0.1807,871342,19515006.35
2019-06-26,'000004,国农科技,22.14,23.28,21.76,22.37,22.5,-0.36,-1.6,825100,18404872.0
2019-06-25,'000004,国农科技,22.5,23.3,22.0,22.3,22.86,-0.36,-1.5748,1749291,39396129.2
2019-06-24,'000004,国农科技,22.86,24.31,22.52,23.8,22.1,0.76,3.4389,3851218,90995187.67
2019-06-21,'000004,国农科技,22.1,22.37,21.8,21.8,21.61,0.49,2.2675,723274,15924666.56
2019-06-20,'000004,国农科技,21.61,21.7,21.32,21.52,21.46,0.15,0.699,530563,11425957.39
2019-06-19,'000004,国农科技,21.46,21.64,21.3,21.51,21.26,0.2,0.9407,599000,12864809.0
2019-06-18,'000004,国农科技,21.26,21.91,21.24,21.78,21.73,-0.47,-2.1629,668573,14366507.52
2019-06-17,'000004,国农科技,21.73,22.66,21.5,22.66,22.95,-1.22,-5.3159,882300,19370613.01
2019-06-14,'000004,国农科技,22.95,23.96,22.0,22.26,22.32,0.63,2.8226,1291974,29395933.68
2019-06-13,'000004,国农科技,22.32,22.66,21.5,21.9,21.83,0.49,2.2446,1016745,22651443.1
2019-06-12,'000004,国农科技,21.83,21.98,21.38,21.51,21.51,0.32,1.4877,750893,16319849.8
2019-06-11,'000004,国农科技,21.51,21.72,21.02,21.4,21.2,0.31,1.4623,479068,10264627.48
2019-06-10,'000004,国农科技,21.2,21.4,20.04,20.04,20.71,0.49,2.366,529408,11134593.75
2019-06-06,'000004,国农科技,20.71,21.3,20.61,21.2,21.2,-0.49,-2.3113,1300826,27071596.6
2019-06-05,'000004,国农科技,21.2,21.54,21.13,21.45,21.29,-0.09,-0.4227,366100,7786528.79
2019-06-04,'000004,国农科技,21.29,22.15,21.13,22.14,22.14,-0.85,-3.8392,998498,21373335.2
2019-06-03,'000004,国农科技,22.14,22.16,21.0,21.41,21.5,0.64,2.9767,1616505,34773541.87
2019-05-31,'000004,国农科技,21.5,22.29,21.33,21.78,22.11,-0.61,-2.7589,842182,18238539.9
2019-05-30,'000004,国农科技,22.11,22.8,22.0,22.6,22.59,-0.48,-2.1248,814454,18141554.19
2019-05-29,'000004,国农科技,22.59,23.09,22.27,22.66,23.44,-0.85,-3.6263,1319275,29971813.5
2019-05-28,'000004,国农科技,23.44,25.25,22.2,23.0,23.1,0.34,1.4719,2701952,62930555.25
2019-05-27,'000004,国农科技,23.1,23.3,21.0,21.23,21.25,1.85,8.7059,1469900,32119441.51
2019-05-24,'000004,国农科技,21.25,21.28,20.26,20.67,20.65,0.6,2.9056,640656,13449743.56
2019-05-23,'000004,国农科技,20.65,21.45,20.49,21.2,21.48,-0.83,-3.8641,621700,13038916.0
2019-05-22,'000004,国农科技,21.48,22.16,21.42,21.8,21.8,-0.32,-1.4679,755361,16358781.67
2019-05-21,'000004,国农科技,21.8,21.91,20.4,20.4,20.53,1.27,6.1861,1364700,29343294.4
2019-05-20,'000004,国农科技,20.53,20.89,19.65,20.3,20.45,0.08,0.3912,902286,18265230.08
2019-05-17,'000004,国农科技,20.45,21.96,20.01,21.6,21.42,-0.97,-4.5285,1377526,28906603.53
2019-05-16,'000004,国农科技,21.42,21.88,21.35,21.88,21.4,0.02,0.0935,830900,17874734.0
2019-05-15,'000004,国农科技,21.4,21.69,21.1,21.17,21.18,0.22,1.0387,971403,20775712.46
2019-05-14,'000004,国农科技,21.18,21.7,20.55,21.2,21.41,-0.23,-1.0743,3185700,67367443.0
2019-05-13,'000004,国农科技,21.41,22.93,20.81,22.7,23.05,-1.64,-7.115,2261568,49350118.85
2019-05-10,'000004,国农科技,23.05,23.68,22.13,22.99,22.87,0.18,0.7871,1550788,35752132.28
2019-05-09,'000004,国农科技,22.87,23.43,22.0,23.06,23.46,-0.59,-2.5149,1134769,25687138.78
