日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000005,世纪星源,3.12,3.18,3.06,3.06,3.04,0.08,2.6316,20949757,65289234.91
2019-06-28,'000005,世纪星源,3.04,3.09,3.0,3.03,3.0,0.04,1.3333,13146687,39948619.9
2019-06-27,'000005,世纪星源,3.0,3.11,3.0,3.09,3.05,-0.05,-1.6393,15655570,47709974.43
2019-06-26,'000005,世纪星源,3.05,3.12,3.04,3.04,3.09,-0.04,-1.2945,12680781,39086933.75
2019-06-25,'000005,世纪星源,3.09,3.18,3.05,3.17,3.17,-0.08,-2.5237,22339053,69282293.93
2019-06-24,'000005,世纪星源,3.17,3.34,3.12,3.19,3.2,-0.03,-0.9375,33937838,109729136.32
2019-06-21,'000005,世纪星源,3.2,3.2,2.94,2.98,3.03,0.17,5.6106,39235887,121403098.39
2019-06-20,'000005,世纪星源,3.03,3.1,2.96,2.99,2.91,0.12,4.1237,27782402,84311475.12
2019-06-19,'000005,世纪星源,2.91,3.05,2.83,2.85,2.82,0.09,3.1915,14963156,43584119.37
2019-06-18,'000005,世纪星源,2.82,2.84,2.79,2.84,2.8,0.02,0.7143,3808406,10742871.58
2019-06-17,'000005,世纪星源,2.8,2.84,2.77,2.84,2.8,0.0,0.0,5175530,14532031.1
2019-06-14,'000005,世纪星源,2.8,2.92,2.8,2.88,2.87,-0.07,-2.439,5551550,15800049.0
2019-06-13,'000005,世纪星源,2.87,2.88,2.83,2.84,2.84,0.03,1.0563,4978475,14235322.51
2019-06-12,'000005,世纪星源,2.84,2.9,2.83,2.85,2.85,-0.01,-0.3509,7316567,20972567.77
2019-06-11,'000005,世纪星源,2.85,2.86,2.72,2.75,2.73,0.12,4.3956,8817423,24742259.05
2019-06-10,'000005,世纪星源,2.73,2.75,2.7,2.71,2.73,0.0,0.0,4516815,12340283.7
2019-06-06,'000005,世纪星源,2.73,2.87,2.68,2.86,2.85,-0.12,-4.2105,9714958,26604410.34
2019-06-05,'000005,世纪星源,2.85,2.91,2.84,2.86,2.86,-0.01,-0.3497,6964635,20075761.8
2019-06-04,'000005,世纪星源,2.86,3.0,2.83,2.99,2.99,-0.13,-4.3478,9428800,27390067.0
2019-06-03,'000005,世纪星源,2.99,3.04,2.98,3.0,3.03,-0.04,-1.3201,5010606,15050396.88
2019-05-31,'000005,世纪星源,3.03,3.06,3.02,3.03,3.03,0.0,0.0,2565420,7798390.6
2019-05-30,'000005,世纪星源,3.03,3.06,3.01,3.05,3.07,-0.04,-1.3029,4989700,15120422.0
2019-05-29,'000005,世纪星源,3.07,3.1,3.06,3.09,3.08,-0.01,-0.3247,3526823,10859608.84
2019-05-28,'000005,世纪星源,3.08,3.11,3.07,3.08,3.09,-0.01,-0.3236,4742060,14642159.2
2019-05-27,'000005,世纪星源,3.09,3.1,3.02,3.03,3.03,0.06,1.9802,4799995,14715796.8
2019-05-24,'000005,世纪星源,3.03,3.07,3.02,3.02,3.03,0.0,0.0,3637900,11027257.0
2019-05-23,'000005,世纪星源,3.03,3.09,3.02,3.08,3.1,-0.07,-2.2581,5530015,16884417.86
2019-05-22,'000005,世纪星源,3.1,3.13,3.06,3.11,3.12,-0.02,-0.641,4050874,12548038.92
2019-05-21,'000005,世纪星源,3.12,3.14,3.05,3.08,3.06,0.06,1.9608,4884872,15181186.49
2019-05-20,'000005,世纪星源,3.06,3.12,3.0,3.11,3.1,-0.04,-1.2903,5831131,17776129.62
2019-05-17,'000005,世纪星源,3.1,3.24,3.08,3.24,3.25,-0.15,-4.6154,10143500,31960975.0
2019-05-16,'000005,世纪星源,3.25,3.33,3.16,3.16,3.17,0.08,2.5237,12372176,39915713.96
2019-05-15,'000005,世纪星源,3.17,3.19,3.13,3.13,3.12,0.05,1.6026,6077634,19214526.31
2019-05-14,'000005,世纪星源,3.12,3.15,3.1,3.13,3.16,-0.04,-1.2658,5049059,15778409.85
2019-05-13,'000005,世纪星源,3.16,3.18,3.13,3.16,3.2,-0.04,-1.25,6340330,19989375.84
2019-05-10,'000005,世纪星源,3.2,3.22,3.09,3.11,3.11,0.09,2.8939,10754013,34060655.19
2019-05-09,'000005,世纪星源,3.11,3.14,3.06,3.1,3.13,-0.02,-0.639,6482112,20171760.2
2019-05-08,'000005,世纪星源,3.13,3.2,3.1,3.2,3.17,-0.04,-1.2618,10080139,31720200.96
2019-05-07,'000005,世纪星源,3.17,3.33,3.04,3.04,3.03,0.14,4.6205,16749382,52949049.34
2019-05-06,'000005,世纪星源,3.03,3.26,2.97,3.26,3.3,-0.27,-8.1818,15476863,47783618.11
2019-04-30,'000005,世纪星源,3.3,3.34,3.26,3.26,3.28,0.02,0.6098,8028983,26577158.69
2019-04-29,'000005,世纪星源,3.28,3.51,3.26,3.51,3.5,-0.22,-6.2857,12837640,43045491.32
2019-04-26,'000005,世纪星源,3.5,3.62,3.4,3.49,3.49,0.01,0.2865,15238298,52794579.74
2019-04-25,'000005,世纪星源,3.49,3.71,3.47,3.7,3.7,-0.21,-5.6757,17227680,61640712.26
2019-04-24,'000005,世纪星源,3.7,3.72,3.64,3.68,3.67,0.03,0.8174,8552795,31507394.91
2019-04-23,'000005,世纪星源,3.67,3.76,3.66,3.75,3.74,-0.07,-1.8717,11611828,42823237.43
2019-04-22,'000005,世纪星源,3.74,3.82,3.73,3.79,3.87,-0.13,-3.3592,26847692,100958420.14
2019-04-19,'000005,世纪星源,3.87,4.03,3.78,3.94,3.94,-0.07,-1.7766,44094530,172136589.21
2019-04-18,'000005,世纪星源,3.94,3.95,3.78,3.8,3.81,0.13,3.4121,41865368,162987360.77
2019-04-17,'000005,世纪星源,3.81,3.87,3.79,3.86,3.83,-0.02,-0.5222,17727953,67965458.95
2019-04-16,'000005,世纪星源,3.83,3.83,3.68,3.82,3.81,0.02,0.5249,14079604,52907280.02
2019-04-15,'000005,世纪星源,3.81,3.89,3.8,3.86,3.84,-0.03,-0.7813,11944814,46029289.04
