日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000006,深振业Ａ,5.57,5.59,5.49,5.54,5.45,0.12,2.2018,8791690,48822115.95
2019-06-28,'000006,深振业Ａ,5.45,5.52,5.42,5.52,5.52,-0.07,-1.2681,4236490,23116192.5
2019-06-27,'000006,深振业Ａ,5.52,5.57,5.5,5.52,5.5,0.02,0.3636,3977773,22003247.94
2019-06-26,'000006,深振业Ａ,5.5,5.55,5.47,5.54,5.53,-0.03,-0.5425,3849820,21227559.4
2019-06-25,'000006,深振业Ａ,5.53,5.6,5.45,5.6,5.58,-0.05,-0.8961,5429053,29914472.97
2019-06-24,'000006,深振业Ａ,5.58,5.62,5.55,5.58,5.59,-0.01,-0.1789,5410146,30208335.04
2019-06-21,'000006,深振业Ａ,5.59,5.65,5.55,5.58,5.54,0.05,0.9025,8122822,45497556.52
2019-06-20,'000006,深振业Ａ,5.54,5.6,5.43,5.47,5.46,0.08,1.4652,8947535,49462446.23
2019-06-19,'000006,深振业Ａ,5.46,5.53,5.45,5.53,5.42,0.04,0.738,7034192,38576876.08
2019-06-18,'000006,深振业Ａ,5.61,5.66,5.55,5.62,5.63,-0.02,-0.3552,5432137,30381444.75
2019-06-17,'000006,深振业Ａ,5.63,5.67,5.55,5.57,5.58,0.05,0.8961,4462300,25106889.0
2019-06-14,'000006,深振业Ａ,5.58,5.65,5.55,5.6,5.62,-0.04,-0.7117,4070434,22825072.72
2019-06-13,'000006,深振业Ａ,5.62,5.64,5.57,5.59,5.62,0.0,0.0,4581809,25705266.57
2019-06-12,'000006,深振业Ａ,5.62,5.78,5.58,5.61,5.65,-0.03,-0.531,7170355,40369353.24
2019-06-11,'000006,深振业Ａ,5.65,5.66,5.51,5.55,5.52,0.13,2.3551,7881756,44156632.22
2019-06-10,'000006,深振业Ａ,5.52,5.54,5.42,5.43,5.43,0.09,1.6575,5773538,31734988.69
2019-06-06,'000006,深振业Ａ,5.43,5.53,5.4,5.49,5.48,-0.05,-0.9124,5733254,31259324.0
2019-06-05,'000006,深振业Ａ,5.48,5.53,5.45,5.5,5.45,0.03,0.5505,4951902,27197135.3
2019-06-04,'000006,深振业Ａ,5.45,5.49,5.42,5.49,5.49,-0.04,-0.7286,4823910,26286018.52
2019-06-03,'000006,深振业Ａ,5.49,5.53,5.44,5.49,5.49,0.0,0.0,5342431,29261294.3
2019-05-31,'000006,深振业Ａ,5.49,5.54,5.46,5.54,5.49,0.0,0.0,4791799,26360501.78
2019-05-30,'000006,深振业Ａ,5.49,5.58,5.43,5.58,5.61,-0.12,-2.139,7633456,41935120.44
