日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000007,全新好,7.0,7.05,6.86,6.9,6.83,0.17,2.489,3300374,23044298.86
2019-06-28,'000007,全新好,6.83,7.0,6.76,6.95,6.97,-0.14,-2.0086,2939788,20102365.16
2019-06-27,'000007,全新好,6.97,7.04,6.95,6.98,6.99,-0.02,-0.2861,2493051,17406149.96
2019-06-26,'000007,全新好,6.99,7.06,6.95,7.04,7.04,-0.05,-0.7102,2839250,19841898.5
2019-06-25,'000007,全新好,7.04,7.1,6.95,7.1,7.04,0.0,0.0,3357055,23538559.4
2019-06-24,'000007,全新好,7.04,7.12,7.03,7.11,7.12,-0.08,-1.1236,4024932,28435774.26
2019-06-21,'000007,全新好,7.12,7.18,7.07,7.12,7.07,0.05,0.7072,5115391,36372970.77
2019-06-20,'000007,全新好,7.07,7.22,7.01,7.22,7.12,-0.05,-0.7022,5102319,36086261.99
2019-06-19,'000007,全新好,7.12,7.12,7.0,7.08,6.97,0.15,2.1521,5270316,37295982.45
2019-06-18,'000007,全新好,6.97,7.27,6.84,7.27,7.18,-0.21,-2.9248,5997210,41783526.37
2019-06-17,'000007,全新好,7.18,7.2,6.91,7.07,6.99,0.19,2.7182,5186006,36809929.25
2019-06-14,'000007,全新好,6.99,7.27,6.97,7.25,7.14,-0.15,-2.1008,6061826,43086836.78
2019-06-13,'000007,全新好,7.14,7.34,7.13,7.15,7.27,-0.13,-1.7882,7011594,50500284.85
2019-06-12,'000007,全新好,7.27,7.28,6.96,6.97,6.96,0.31,4.454,8348134,60090757.06
2019-06-11,'000007,全新好,6.96,6.97,6.52,6.57,6.51,0.45,6.9124,6526417,44479305.52
2019-06-10,'000007,全新好,6.51,6.89,6.48,6.89,6.85,-0.34,-4.9635,5238396,34789771.78
2019-06-06,'000007,全新好,6.85,6.91,6.66,6.86,6.86,-0.01,-0.1458,3443220,23422348.14
2019-06-05,'000007,全新好,6.86,7.04,6.84,6.96,6.83,0.03,0.4392,3703042,25712687.74
2019-06-04,'000007,全新好,6.83,7.13,6.83,6.99,7.01,-0.18,-2.5678,3714300,25949078.5
2019-06-03,'000007,全新好,7.01,7.22,7.01,7.18,7.14,-0.13,-1.8207,4727550,33542241.24
2019-05-31,'000007,全新好,7.14,7.26,7.05,7.12,7.13,0.01,0.1403,4255000,30462226.54
2019-05-30,'000007,全新好,7.13,7.26,7.02,7.1,7.14,-0.01,-0.1401,7175950,51471023.3
2019-05-29,'000007,全新好,7.14,7.25,7.0,7.07,7.08,0.06,0.8475,6981385,49781630.31
2019-05-28,'000007,全新好,7.08,7.3,7.0,7.18,7.26,-0.18,-2.4793,9928815,70699989.94
2019-05-27,'000007,全新好,7.26,7.39,6.95,6.98,6.92,0.34,4.9133,14734220,106423637.99
2019-05-24,'000007,全新好,6.92,6.96,6.51,6.73,6.69,0.23,3.438,7914484,53548705.24
2019-05-23,'000007,全新好,6.69,6.87,6.64,6.75,6.88,-0.19,-2.7616,5152300,34571887.15
2019-05-22,'000007,全新好,6.88,7.0,6.54,6.7,6.61,0.27,4.0847,8683601,58685573.82
2019-05-21,'000007,全新好,6.61,6.7,6.5,6.55,6.48,0.13,2.0062,4651515,30812466.1
2019-05-20,'000007,全新好,6.48,6.55,6.16,6.31,6.37,0.11,1.7268,4197100,26798662.0
2019-05-17,'000007,全新好,6.37,6.73,6.3,6.65,6.65,-0.28,-4.2105,5074644,33195064.62
