日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000009,中国宝安,5.85,5.91,5.81,5.91,5.71,0.14,2.4518,18624973,109047121.22
2019-06-28,'000009,中国宝安,5.71,5.89,5.7,5.79,5.8,-0.09,-1.5517,11456136,66004942.17
2019-06-27,'000009,中国宝安,5.8,5.9,5.77,5.81,5.81,-0.01,-0.1721,13362712,77898029.93
2019-06-26,'000009,中国宝安,5.81,5.94,5.78,5.9,5.95,-0.14,-2.3529,25751239,150331368.07
2019-06-25,'000009,中国宝安,5.95,6.06,5.66,5.8,5.78,0.17,2.9412,40045381,236660081.45
2019-06-24,'000009,中国宝安,5.78,5.91,5.75,5.89,5.85,-0.07,-1.1966,13075198,75920156.68
2019-06-21,'000009,中国宝安,5.85,5.89,5.81,5.81,5.78,0.07,1.2111,19197044,112454830.03
2019-06-20,'000009,中国宝安,5.78,5.8,5.6,5.65,5.65,0.13,2.3009,18092017,103805691.89
2019-06-19,'000009,中国宝安,5.65,5.77,5.63,5.68,5.54,0.11,1.9856,16861735,96013224.61
2019-06-18,'000009,中国宝安,5.54,5.62,5.48,5.58,5.58,-0.04,-0.7168,11608762,64371916.49
2019-06-17,'000009,中国宝安,5.58,5.68,5.55,5.6,5.62,-0.04,-0.7117,10016290,56137033.0
2019-06-14,'000009,中国宝安,5.62,5.8,5.61,5.76,5.76,-0.14,-2.4306,16320876,93169505.85
2019-06-13,'000009,中国宝安,5.76,5.81,5.67,5.69,5.71,0.05,0.8757,17546334,100874339.54
2019-06-12,'000009,中国宝安,5.71,5.82,5.67,5.73,5.73,-0.02,-0.349,19874111,114052951.37
2019-06-11,'000009,中国宝安,5.73,5.76,5.46,5.51,5.51,0.22,3.9927,22122888,124811967.12
2019-06-10,'000009,中国宝安,5.51,5.54,5.37,5.37,5.36,0.15,2.7985,15252493,83299081.29
2019-06-06,'000009,中国宝安,5.36,5.57,5.35,5.56,5.57,-0.21,-3.7702,16214043,88083714.57
2019-06-05,'000009,中国宝安,5.57,5.69,5.56,5.64,5.59,-0.02,-0.3578,11496393,64686986.29
2019-06-04,'000009,中国宝安,5.59,5.71,5.55,5.68,5.64,-0.05,-0.8865,13196584,74130083.86
2019-06-03,'000009,中国宝安,5.64,5.86,5.62,5.8,5.79,-0.15,-2.5907,17630255,100618498.97
2019-05-31,'000009,中国宝安,5.79,5.9,5.78,5.87,5.86,-0.07,-1.1945,14659547,85493177.83
2019-05-30,'000009,中国宝安,5.86,5.88,5.77,5.88,5.93,-0.07,-1.1804,19631358,114240564.97
2019-05-29,'000009,中国宝安,5.93,5.95,5.75,5.76,5.81,0.12,2.0654,27760319,163742000.0
2019-05-28,'000009,中国宝安,5.81,5.94,5.78,5.81,5.8,0.01,0.1724,25701740,150681411.31
2019-05-27,'000009,中国宝安,5.8,5.81,5.6,5.68,5.66,0.14,2.4735,20493510,117772975.03
2019-05-24,'000009,中国宝安,5.66,5.77,5.6,5.7,5.82,-0.16,-2.7491,21850788,123770815.91
2019-05-23,'000009,中国宝安,5.82,5.97,5.72,5.79,5.71,0.11,1.9264,43672374,255753479.39
2019-05-22,'000009,中国宝安,5.71,5.89,5.64,5.83,5.88,-0.17,-2.8912,25487246,145964062.87
2019-05-21,'000009,中国宝安,5.88,6.0,5.58,5.6,5.58,0.3,5.3763,31121803,180008232.73
2019-05-20,'000009,中国宝安,5.58,5.66,5.44,5.65,5.61,-0.03,-0.5348,15658350,86628102.48
2019-05-17,'000009,中国宝安,5.61,5.93,5.58,5.92,5.91,-0.3,-5.0761,25453615,145783212.1
2019-05-16,'000009,中国宝安,5.91,5.95,5.75,5.78,5.81,0.1,1.7212,25409635,149359824.77
2019-05-15,'000009,中国宝安,5.81,5.89,5.72,5.75,5.66,0.15,2.6502,21841759,126772051.9
2019-05-14,'000009,中国宝安,5.66,5.82,5.61,5.63,5.7,-0.04,-0.7018,19174933,109586347.99
2019-05-13,'000009,中国宝安,5.7,5.76,5.63,5.68,5.73,-0.03,-0.5236,18432524,105345014.75
2019-05-10,'000009,中国宝安,5.73,5.76,5.29,5.65,5.55,0.18,3.2432,32396127,183464117.81
2019-05-09,'000009,中国宝安,5.55,5.79,5.5,5.74,5.76,-0.21,-3.6458,26914128,151120419.68
2019-05-08,'000009,中国宝安,5.76,5.91,5.68,5.8,5.94,-0.18,-3.0303,29662558,171674424.32
2019-05-07,'000009,中国宝安,5.94,6.05,5.81,5.95,5.88,0.06,1.0204,28720612,170282625.97
2019-05-06,'000009,中国宝安,5.88,6.26,5.8,6.0,6.18,-0.3,-4.8544,53310763,320377590.48
2019-04-30,'000009,中国宝安,6.18,6.33,5.86,5.89,5.8,0.38,6.5517,39910850,245381998.34
2019-04-29,'000009,中国宝安,5.8,6.24,5.74,6.21,6.18,-0.38,-6.1489,41456061,246103307.09
2019-04-26,'000009,中国宝安,6.18,6.29,6.13,6.13,6.2,-0.02,-0.3226,24585810,152965990.28
2019-04-25,'000009,中国宝安,6.2,6.64,6.2,6.62,6.64,-0.44,-6.6265,47380162,303086636.04
2019-04-24,'000009,中国宝安,6.64,6.68,6.53,6.6,6.57,0.07,1.0654,27137957,179234229.48
2019-04-23,'000009,中国宝安,6.57,6.8,6.51,6.78,6.85,-0.28,-4.0876,49721409,330060727.41
2019-04-22,'000009,中国宝安,6.85,7.24,6.85,7.2,7.07,-0.22,-3.1117,73918515,520057770.36
2019-04-19,'000009,中国宝安,7.07,7.28,6.56,6.67,6.64,0.43,6.4759,104703062,727810656.19
