日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000010,*ST美丽,3.42,3.48,3.29,3.34,3.31,0.11,3.3233,3648476,12412119.42
2019-06-28,'000010,*ST美丽,3.31,3.34,3.29,3.29,3.29,0.02,0.6079,1503329,5000305.57
2019-06-27,'000010,*ST美丽,3.29,3.38,3.26,3.35,3.35,-0.06,-1.791,2743800,9080328.66
2019-06-26,'000010,*ST美丽,3.35,3.4,3.34,3.38,3.38,-0.03,-0.8876,989300,3329372.0
2019-06-25,'000010,*ST美丽,3.38,3.39,3.34,3.34,3.34,0.04,1.1976,1275318,4304577.64
2019-06-24,'000010,*ST美丽,3.34,3.45,3.33,3.44,3.42,-0.08,-2.3392,1519419,5127477.27
2019-06-21,'000010,*ST美丽,3.42,3.47,3.4,3.41,3.41,0.01,0.2933,2176800,7457530.0
2019-06-20,'000010,*ST美丽,3.41,3.47,3.41,3.44,3.45,-0.04,-1.1594,1263500,4339628.0
2019-06-19,'000010,*ST美丽,3.45,3.54,3.44,3.5,3.46,-0.01,-0.289,1017200,3528516.0
2019-06-18,'000010,*ST美丽,3.46,3.5,3.4,3.5,3.45,0.01,0.2899,1359000,4692205.0
2019-06-17,'000010,*ST美丽,3.45,3.57,3.45,3.46,3.5,-0.05,-1.4286,1639300,5735263.0
2019-06-14,'000010,*ST美丽,3.5,3.6,3.47,3.6,3.48,0.02,0.5747,2320514,8158571.22
2019-06-13,'000010,*ST美丽,3.48,3.53,3.35,3.35,3.46,0.02,0.578,4540501,15668984.41
2019-06-12,'000010,*ST美丽,3.46,3.57,3.4,3.56,3.57,-0.11,-3.0812,4674540,16304103.8
2019-06-11,'000010,*ST美丽,3.57,3.81,3.57,3.75,3.76,-0.19,-5.0532,7120332,25933570.24
2019-06-10,'000010,*ST美丽,3.76,3.88,3.61,3.78,3.8,-0.04,-1.0526,11547532,43736975.24
2019-06-06,'000010,*ST美丽,3.8,3.8,3.66,3.76,3.62,0.18,4.9724,11253855,42563435.1
2019-06-05,'000010,*ST美丽,3.62,3.62,3.44,3.44,3.45,0.17,4.9275,7095178,25469777.65
2019-06-04,'000010,*ST美丽,3.45,3.66,3.4,3.57,3.58,-0.13,-3.6313,7850117,27445760.81
2019-06-03,'000010,*ST美丽,3.58,3.6,3.41,3.47,3.43,0.15,4.3732,8717917,30878136.05
2019-05-31,'000010,*ST美丽,3.43,3.43,3.28,3.31,3.27,0.16,4.893,9987401,33933329.43
2019-05-30,'000010,*ST美丽,3.27,3.27,3.13,3.16,3.11,0.16,5.1447,4828180,15465029.21
2019-05-29,'000010,*ST美丽,3.11,3.18,3.08,3.16,3.14,-0.03,-0.9554,4058659,12689132.49
2019-05-28,'000010,*ST美丽,3.14,3.14,3.0,3.0,2.99,0.15,5.0167,5993002,18720787.27
2019-05-27,'000010,*ST美丽,2.99,2.99,2.85,2.85,2.85,0.14,4.9123,5126515,15176003.85
2019-05-24,'000010,*ST美丽,2.85,2.91,2.85,2.89,2.87,-0.02,-0.6969,2108704,6065053.56
2019-05-23,'000010,*ST美丽,2.87,2.93,2.87,2.93,2.93,-0.06,-2.0478,2636210,7619344.7
2019-05-22,'000010,*ST美丽,2.93,2.93,2.89,2.92,2.92,0.01,0.3425,1526680,4447593.8
2019-05-21,'000010,*ST美丽,2.92,2.99,2.9,2.96,2.94,-0.02,-0.6803,2159300,6332108.0
2019-05-20,'000010,*ST美丽,2.94,3.0,2.89,2.89,2.87,0.07,2.439,4382435,12900557.37
2019-05-17,'000010,*ST美丽,2.87,2.96,2.86,2.95,2.91,-0.04,-1.3746,3934917,11377518.47
2019-05-16,'000010,*ST美丽,2.91,2.93,2.83,2.83,2.92,-0.01,-0.3425,3968012,11425780.3
2019-05-15,'000010,*ST美丽,2.92,3.0,2.81,2.96,2.95,-0.03,-1.0169,6521130,18869330.12
2019-05-14,'000010,*ST美丽,2.95,3.09,2.95,3.08,3.11,-0.16,-5.1447,4985201,15000834.95
2019-05-13,'000010,*ST美丽,3.11,3.23,3.08,3.21,3.24,-0.13,-4.0123,6071410,18898561.2
2019-05-10,'000010,*ST美丽,3.24,3.26,3.17,3.21,3.21,0.03,0.9346,3470281,11214187.44
