日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000012,南 玻Ａ,4.35,4.42,4.21,4.22,4.16,0.19,4.5673,22073332,94950278.25
2019-06-28,'000012,南 玻Ａ,4.16,4.22,4.12,4.21,4.21,-0.05,-1.1876,6841699,28477367.05
2019-06-27,'000012,南 玻Ａ,4.21,4.25,4.2,4.23,4.23,-0.02,-0.4728,9585073,40486840.64
2019-06-26,'000012,南 玻Ａ,4.23,4.24,4.18,4.22,4.19,0.04,0.9547,12234656,51493767.23
2019-06-25,'000012,南 玻Ａ,4.66,4.7,4.57,4.7,4.69,-0.03,-0.6397,8211142,37977674.87
2019-06-24,'000012,南 玻Ａ,4.69,4.7,4.65,4.69,4.69,0.0,0.0,7115846,33242409.06
2019-06-21,'000012,南 玻Ａ,4.69,4.74,4.65,4.74,4.64,0.05,1.0776,11572614,54174994.18
2019-06-20,'000012,南 玻Ａ,4.64,4.64,4.53,4.54,4.52,0.12,2.6549,13237082,60940761.37
2019-06-19,'000012,南 玻Ａ,4.52,4.6,4.51,4.55,4.49,0.03,0.6682,10023404,45713486.45
2019-06-18,'000012,南 玻Ａ,4.49,4.51,4.44,4.49,4.49,0.0,0.0,5173833,23174901.51
2019-06-17,'000012,南 玻Ａ,4.49,4.55,4.46,4.51,4.5,-0.01,-0.2222,6113369,27567209.34
2019-06-14,'000012,南 玻Ａ,4.5,4.67,4.49,4.61,4.61,-0.11,-2.3861,9839448,45001756.28
2019-06-13,'000012,南 玻Ａ,4.61,4.65,4.56,4.6,4.62,-0.01,-0.2165,9245234,42623353.64
2019-06-12,'000012,南 玻Ａ,4.62,4.71,4.61,4.63,4.72,-0.1,-2.1186,14404291,66917697.91
2019-06-11,'000012,南 玻Ａ,4.72,4.75,4.55,4.55,4.36,0.36,8.2569,21898673,102191452.96
2019-06-10,'000012,南 玻Ａ,4.36,4.41,4.34,4.34,4.34,0.02,0.4608,5239975,22912892.8
2019-06-06,'000012,南 玻Ａ,4.34,4.5,4.3,4.49,4.5,-0.16,-3.5556,10684675,46722864.32
2019-06-05,'000012,南 玻Ａ,4.5,4.58,4.5,4.55,4.52,-0.02,-0.4425,5897391,26715714.97
2019-06-04,'000012,南 玻Ａ,4.52,4.59,4.5,4.57,4.57,-0.05,-1.0941,5948893,27002526.59
2019-06-03,'000012,南 玻Ａ,4.57,4.68,4.55,4.64,4.66,-0.09,-1.9313,8492086,39042595.83
2019-05-31,'000012,南 玻Ａ,4.66,4.71,4.58,4.58,4.62,0.04,0.8658,7199080,33543435.65
2019-05-30,'000012,南 玻Ａ,4.62,4.64,4.57,4.61,4.62,0.0,0.0,7147967,32927430.21
2019-05-29,'000012,南 玻Ａ,4.62,4.69,4.6,4.61,4.63,-0.01,-0.216,5574201,25899232.02
2019-05-28,'000012,南 玻Ａ,4.63,4.71,4.61,4.66,4.67,-0.04,-0.8565,6953210,32507210.83
2019-05-27,'000012,南 玻Ａ,4.67,4.69,4.55,4.58,4.59,0.08,1.7429,6972918,32275312.97
2019-05-24,'000012,南 玻Ａ,4.59,4.64,4.58,4.59,4.6,-0.01,-0.2174,5522630,25404510.82
2019-05-23,'000012,南 玻Ａ,4.6,4.69,4.58,4.64,4.66,-0.06,-1.2876,6722594,31165126.38
2019-05-22,'000012,南 玻Ａ,4.66,4.74,4.64,4.71,4.71,-0.05,-1.0616,8451792,39693382.77
2019-05-21,'000012,南 玻Ａ,4.71,4.77,4.65,4.65,4.69,0.02,0.4264,10423347,49101939.71
2019-05-20,'000012,南 玻Ａ,4.69,4.7,4.59,4.69,4.61,0.08,1.7354,9236613,42994885.66
2019-05-17,'000012,南 玻Ａ,4.61,4.81,4.58,4.8,4.8,-0.19,-3.9583,11580082,54294789.62
2019-05-16,'000012,南 玻Ａ,4.8,4.8,4.67,4.69,4.67,0.13,2.7837,12354538,58629334.03
2019-05-15,'000012,南 玻Ａ,4.67,4.7,4.63,4.63,4.6,0.07,1.5217,7100741,33102527.74
2019-05-14,'000012,南 玻Ａ,4.6,4.66,4.6,4.62,4.67,-0.07,-1.4989,6911005,31947688.22
2019-05-13,'000012,南 玻Ａ,4.67,4.7,4.63,4.7,4.71,-0.04,-0.8493,7215225,33632946.98
2019-05-10,'000012,南 玻Ａ,4.71,4.74,4.56,4.62,4.6,0.11,2.3913,10670264,49888690.44
2019-05-09,'000012,南 玻Ａ,4.6,4.66,4.56,4.57,4.64,-0.04,-0.8621,8749854,40308631.72
2019-05-08,'000012,南 玻Ａ,4.64,4.73,4.56,4.61,4.67,-0.03,-0.6424,8771642,40866415.48
2019-05-07,'000012,南 玻Ａ,4.67,4.69,4.6,4.64,4.62,0.05,1.0823,10992251,51146899.91
2019-05-06,'000012,南 玻Ａ,4.62,4.85,4.52,4.85,4.9,-0.28,-5.7143,19383409,90418323.63
2019-04-30,'000012,南 玻Ａ,4.9,4.94,4.77,4.79,4.75,0.15,3.1579,11838579,57721849.67
2019-04-29,'000012,南 玻Ａ,4.75,5.01,4.74,4.98,4.97,-0.22,-4.4266,15894775,77050545.48
2019-04-26,'000012,南 玻Ａ,4.97,5.15,4.96,5.13,5.13,-0.16,-3.1189,16913512,85101743.25
2019-04-25,'000012,南 玻Ａ,5.13,5.35,5.11,5.33,5.35,-0.22,-4.1121,15559411,81313546.93
2019-04-24,'000012,南 玻Ａ,5.35,5.39,5.21,5.28,5.27,0.08,1.518,12829014,68136620.9
2019-04-23,'000012,南 玻Ａ,5.27,5.43,5.25,5.39,5.43,-0.16,-2.9466,15636922,83051181.89
2019-04-22,'000012,南 玻Ａ,5.43,5.52,5.39,5.48,5.47,-0.04,-0.7313,13367503,72999169.4
2019-04-19,'000012,南 玻Ａ,5.47,5.53,5.36,5.48,5.48,-0.01,-0.1825,16565558,90039686.62
2019-04-18,'000012,南 玻Ａ,5.48,5.61,5.46,5.61,5.64,-0.16,-2.8369,14333746,79408446.39
2019-04-17,'000012,南 玻Ａ,5.64,5.68,5.57,5.6,5.63,0.01,0.1776,15826651,89189300.87
2019-04-16,'000012,南 玻Ａ,5.63,5.64,5.42,5.52,5.52,0.11,1.9928,13913608,77044261.61
2019-04-15,'000012,南 玻Ａ,5.52,5.68,5.52,5.62,5.56,-0.04,-0.7194,11731129,65904668.11
2019-04-12,'000012,南 玻Ａ,5.56,5.62,5.5,5.6,5.58,-0.02,-0.3584,12782324,71093836.44
2019-04-11,'000012,南 玻Ａ,5.58,5.74,5.56,5.66,5.63,-0.05,-0.8881,17514685,99038863.25
2019-04-10,'000012,南 玻Ａ,5.63,5.75,5.59,5.71,5.73,-0.1,-1.7452,18808034,106719301.26
2019-04-09,'000012,南 玻Ａ,5.73,5.78,5.65,5.77,5.76,-0.03,-0.5208,16822891,96207010.14
2019-04-08,'000012,南 玻Ａ,5.76,5.91,5.68,5.83,5.81,-0.05,-0.8606,24439051,141814064.77
2019-04-04,'000012,南 玻Ａ,5.81,5.88,5.72,5.82,5.82,-0.01,-0.1718,22116056,128270976.71
2019-04-03,'000012,南 玻Ａ,5.82,5.82,5.68,5.73,5.76,0.06,1.0417,19313556,111590966.26
2019-04-02,'000012,南 玻Ａ,5.76,5.92,5.71,5.71,5.72,0.04,0.6993,31498510,183070203.98
2019-04-01,'000012,南 玻Ａ,5.72,5.76,5.56,5.57,5.54,0.18,3.2491,26037343,148359893.81
2019-03-29,'000012,南 玻Ａ,5.54,5.56,5.33,5.42,5.39,0.15,2.7829,18575281,101587937.27
2019-03-28,'000012,南 玻Ａ,5.39,5.54,5.38,5.41,5.45,-0.06,-1.1009,13300752,72873229.09
2019-03-27,'000012,南 玻Ａ,5.45,5.46,5.32,5.39,5.34,0.11,2.0599,19508893,105716015.49
2019-03-26,'000012,南 玻Ａ,5.34,5.63,5.32,5.56,5.56,-0.22,-3.9568,23909755,130955733.62
2019-03-25,'000012,南 玻Ａ,5.56,5.7,5.48,5.6,5.72,-0.16,-2.7972,24181619,135568928.48
2019-03-22,'000012,南 玻Ａ,5.72,5.82,5.62,5.72,5.68,0.04,0.7042,19790879,112893029.94
2019-03-21,'000012,南 玻Ａ,5.68,5.79,5.59,5.61,5.59,0.09,1.61,28071171,159825032.03
2019-03-20,'000012,南 玻Ａ,5.59,5.64,5.46,5.63,5.6,-0.01,-0.1786,16332002,90763855.82
2019-03-19,'000012,南 玻Ａ,5.6,5.73,5.56,5.64,5.65,-0.05,-0.885,19277863,108566584.15
2019-03-18,'000012,南 玻Ａ,5.65,5.65,5.4,5.53,5.57,0.08,1.4363,25027441,138920593.55
2019-03-15,'000012,南 玻Ａ,5.57,5.62,5.43,5.49,5.45,0.12,2.2018,24287265,134282411.77
2019-03-14,'000012,南 玻Ａ,5.45,5.71,5.36,5.6,5.68,-0.23,-4.0493,31273608,172092988.39
2019-03-13,'000012,南 玻Ａ,5.68,5.92,5.61,5.91,5.91,-0.23,-3.8917,35053260,201142538.6
2019-03-12,'000012,南 玻Ａ,5.91,6.08,5.78,5.98,5.92,-0.01,-0.1689,49282936,290894610.92
2019-03-11,'000012,南 玻Ａ,5.92,6.03,5.67,5.8,5.79,0.13,2.2453,46182101,270828931.23
2019-03-08,'000012,南 玻Ａ,5.79,6.29,5.68,5.81,5.98,-0.19,-3.1773,81912577,487596539.75
2019-03-07,'000012,南 玻Ａ,5.98,5.98,5.39,5.46,5.44,0.54,9.9265,85648464,492329232.48
2019-03-06,'000012,南 玻Ａ,5.44,5.56,5.15,5.2,5.19,0.25,4.817,58470628,315703991.58
2019-03-05,'000012,南 玻Ａ,5.19,5.19,4.97,5.01,5.01,0.18,3.5928,42698458,218737941.65
2019-03-04,'000012,南 玻Ａ,5.01,5.11,4.98,5.0,4.97,0.04,0.8048,36451261,183887372.21
2019-03-01,'000012,南 玻Ａ,4.97,4.97,4.87,4.96,4.93,0.04,0.8114,17444338,86082847.65
2019-02-28,'000012,南 玻Ａ,4.93,5.0,4.89,4.91,4.91,0.02,0.4073,17417721,85979509.34
2019-02-27,'000012,南 玻Ａ,4.91,5.05,4.86,4.93,4.98,-0.07,-1.4056,29651028,147320098.87
2019-02-26,'000012,南 玻Ａ,4.98,5.17,4.91,5.0,4.97,0.01,0.2012,56715686,284008003.55
2019-02-25,'000012,南 玻Ａ,4.97,4.98,4.74,4.77,4.73,0.24,5.074,53275644,260417111.22
2019-02-22,'000012,南 玻Ａ,4.73,4.74,4.6,4.63,4.65,0.08,1.7204,23028184,107693119.84
2019-02-21,'000012,南 玻Ａ,4.65,4.76,4.6,4.72,4.76,-0.11,-2.3109,30766665,144107115.74
2019-02-20,'000012,南 玻Ａ,4.76,4.8,4.67,4.8,4.8,-0.04,-0.8333,26362128,124489844.95
2019-02-19,'000012,南 玻Ａ,4.8,5.0,4.72,5.0,4.82,-0.02,-0.4149,50141852,243591810.01
2019-02-18,'000012,南 玻Ａ,4.82,4.84,4.61,4.67,4.61,0.21,4.5553,46475962,220674426.34
2019-02-15,'000012,南 玻Ａ,4.61,4.72,4.57,4.65,4.66,-0.05,-1.073,28241634,131066032.27
2019-02-14,'000012,南 玻Ａ,4.66,4.79,4.61,4.65,4.71,-0.05,-1.0616,44909520,210186796.63
2019-02-13,'000012,南 玻Ａ,4.71,4.87,4.4,4.44,4.43,0.28,6.3205,70225114,329332908.51
2019-02-12,'000012,南 玻Ａ,4.43,4.49,4.24,4.26,4.28,0.15,3.5047,27626188,120550966.65
2019-02-11,'000012,南 玻Ａ,4.28,4.29,4.16,4.17,4.15,0.13,3.1325,10163157,42988899.06
2019-02-01,'000012,南 玻Ａ,4.15,4.18,4.08,4.11,4.08,0.07,1.7157,7458215,30869854.46
