日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2004-05-14,'000013,*ST石化A,0.0,0.0,0.0,0.0,2.47,None,None,0,0.0
2004-05-13,'000013,*ST石化A,0.0,0.0,0.0,0.0,2.47,None,None,0,0.0
2004-05-12,'000013,*ST石化A,0.0,0.0,0.0,0.0,2.47,None,None,0,0.0
2004-05-11,'000013,*ST石化A,0.0,0.0,0.0,0.0,2.47,None,None,0,0.0
2004-05-10,'000013,*ST石化A,0.0,0.0,0.0,0.0,2.47,None,None,0,0.0
2004-04-30,'000013,*ST石化A,0.0,0.0,0.0,0.0,2.47,None,None,0,0.0
2004-04-29,'000013,*ST石化A,0.0,0.0,0.0,0.0,2.47,None,None,0,0.0
2004-04-28,'000013,*ST石化A,2.47,2.55,2.38,2.45,2.5,-0.03,-1.2,1363125,3400527.41
2004-04-27,'000013,*ST石化A,2.5,2.62,2.5,2.58,2.63,-0.13,-4.943,2284060,5738053.49
2004-04-26,'000013,*ST石化A,2.63,2.73,2.58,2.6,2.72,-0.09,-3.3088,2581087,6761198.86
2004-04-23,'000013,*ST石化A,2.72,2.78,2.72,2.72,2.86,-0.14,-4.8951,2248800,6120722.2
2004-04-22,'000013,*ST石化A,2.86,2.91,2.63,2.63,2.77,0.09,3.2491,4150281,11451477.73
2004-04-21,'000013,*ST石化A,2.77,2.77,2.77,2.77,2.92,-0.15,-5.137,592200,1640394.0
2004-04-20,'000013,*ST石化A,2.92,2.92,2.92,2.92,3.07,-0.15,-4.886,215200,628384.0
2004-04-19,'000013,*ST石化A,3.07,3.07,3.07,3.07,3.23,-0.16,-4.9536,322300,989461.0
2004-04-16,'000013,*ST石化A,3.23,3.23,3.23,3.23,3.4,-0.17,-5.0,197200,636956.0
2004-04-15,'000013,*ST石化A,3.4,3.4,3.4,3.4,3.58,-0.18,-5.0279,243800,828920.0
2004-04-14,'000013,*ST石化A,3.58,3.88,3.58,3.88,3.77,-0.19,-5.0398,1742300,6433293.0
2004-04-13,'000013,*ST石化A,3.77,3.77,3.77,3.77,3.59,0.18,5.0139,1175752,4432585.04
2004-04-12,'000013,*ST石化A,3.59,3.59,3.59,3.59,3.42,0.17,4.9708,1462309,5249689.31
2004-04-09,'000013,*ST石化A,3.42,3.42,3.42,3.42,3.26,0.16,4.908,1972262,6745136.04
2004-04-08,'000013,*ST石化A,3.26,3.3,3.19,3.21,3.21,0.05,1.5576,1906617,6218139.52
2004-04-07,'000013,*ST石化A,3.21,3.24,3.11,3.13,3.13,0.08,2.5559,1907571,6112318.2
2004-04-06,'000013,*ST石化A,3.13,3.16,3.06,3.12,3.12,0.01,0.3205,954435,2992912.74
2004-04-05,'000013,*ST石化A,3.12,3.18,3.08,3.17,3.17,-0.05,-1.5773,772808,2422240.64
2004-04-02,'000013,*ST石化A,3.17,3.23,3.15,3.2,3.19,-0.02,-0.627,796250,2531391.0
2004-04-01,'000013,*ST石化A,3.19,3.23,3.11,3.13,3.13,0.06,1.9169,898042,2855930.44
2004-03-31,'000013,*ST石化A,3.13,3.18,3.11,3.15,3.15,-0.02,-0.6349,716830,2252450.2
2004-03-30,'000013,*ST石化A,3.15,3.2,3.08,3.08,3.1,0.05,1.6129,559245,1741219.84
2004-03-29,'000013,*ST石化A,3.1,3.15,3.08,3.12,3.15,-0.05,-1.5873,584464,1820063.21
2004-03-26,'000013,*ST石化A,3.15,3.21,3.15,3.21,3.2,-0.05,-1.5625,683414,2162862.1
2004-03-25,'000013,*ST石化A,3.2,3.25,3.15,3.2,3.22,-0.02,-0.6211,1005849,3192644.36
2004-03-24,'000013,*ST石化A,3.22,3.32,3.16,3.26,3.26,-0.04,-1.227,1443729,4680320.45
2004-03-23,'000013,*ST石化A,3.26,3.3,3.1,3.14,3.14,0.12,3.8217,2821736,9135412.79
2004-03-22,'000013,*ST石化A,3.14,3.15,3.05,3.13,3.13,0.01,0.3195,915750,2850055.24
2004-03-19,'000013,*ST石化A,3.13,3.18,3.03,3.03,3.03,0.1,3.3003,1268211,3973762.94
2004-03-18,'000013,*ST石化A,3.03,3.15,3.03,3.15,3.15,-0.12,-3.8095,1312691,4010848.75
2004-03-17,'000013,*ST石化A,3.15,3.17,3.11,3.14,3.13,0.02,0.639,786906,2471812.19
2004-03-16,'000013,*ST石化A,3.13,3.18,3.11,3.15,3.15,-0.02,-0.6349,922999,2911457.41
2004-03-15,'000013,*ST石化A,3.15,3.15,3.07,3.11,3.1,0.05,1.6129,958961,2994138.78
2004-03-12,'000013,*ST石化A,3.1,3.2,3.05,3.18,3.15,-0.05,-1.5873,1136271,3567326.79
2004-03-11,'000013,*ST石化A,3.15,3.15,3.01,3.08,3.0,0.15,5.0,1459598,4553707.96
2004-03-10,'000013,*ST石化A,3.0,3.0,2.92,2.93,2.93,0.07,2.3891,799039,2381805.92
2004-03-09,'000013,*ST石化A,2.93,2.98,2.87,2.88,2.93,0.0,0.0,877877,2569431.85
2004-03-08,'000013,*ST石化A,2.93,3.1,2.93,3.05,3.08,-0.15,-4.8701,757400,2273461.0
2004-03-05,'000013,*ST石化A,3.08,3.09,2.93,3.04,3.04,0.04,1.3158,1241969,3762662.36
2004-03-04,'000013,*ST石化A,3.04,3.16,3.02,3.16,3.18,-0.14,-4.4025,1688016,5148911.28
2004-03-03,'000013,*ST石化A,3.18,3.34,3.18,3.3,3.29,-0.11,-3.3435,1184361,3835155.64
2004-03-02,'000013,*ST石化A,3.29,3.31,3.16,3.19,3.19,0.1,3.1348,1862302,6057826.82
2004-03-01,'000013,*ST石化A,3.19,3.26,3.12,3.12,3.28,-0.09,-2.7439,2716336,8567518.52
2004-02-27,'000013,*ST石化A,3.28,3.31,3.16,3.3,3.33,-0.05,-1.5015,1142268,3702840.3
2004-02-26,'000013,*ST石化A,3.33,3.48,3.33,3.48,3.5,-0.17,-4.8571,1684620,5654590.91
2004-02-25,'000013,*ST石化A,3.5,3.64,3.43,3.47,3.47,0.03,0.8646,2054937,7246261.93
2004-02-24,'000013,*ST石化A,3.47,3.6,3.42,3.6,3.6,-0.13,-3.6111,1833482,6395078.91
