日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000014,沙河股份,9.81,9.86,9.67,9.75,9.63,0.18,1.8692,3769322,36846156.32
2019-06-28,'000014,沙河股份,9.63,9.78,9.59,9.73,9.75,-0.12,-1.2308,1831005,17660714.11
2019-06-27,'000014,沙河股份,9.75,9.84,9.74,9.84,9.78,-0.03,-0.3067,1809312,17702826.51
2019-06-26,'000014,沙河股份,9.78,9.92,9.73,9.8,9.79,-0.01,-0.1021,1168800,11467640.0
2019-06-25,'000014,沙河股份,9.79,9.96,9.56,9.96,9.98,-0.19,-1.9038,2478003,24238977.09
2019-06-24,'000014,沙河股份,9.98,10.15,9.76,9.8,9.78,0.2,2.045,4343494,43284187.77
2019-06-21,'000014,沙河股份,9.78,9.99,9.71,9.88,9.65,0.13,1.3472,3978013,39092027.87
2019-06-20,'000014,沙河股份,9.65,9.7,9.46,9.55,9.54,0.11,1.153,2575102,24737830.02
2019-06-19,'000014,沙河股份,9.54,9.66,9.52,9.57,9.45,0.09,0.9524,1949000,18705087.0
2019-06-18,'000014,沙河股份,9.52,9.55,9.44,9.53,9.51,0.01,0.1052,1164580,11074776.2
2019-06-17,'000014,沙河股份,9.51,9.59,9.44,9.49,9.53,-0.02,-0.2099,1273650,12089804.0
2019-06-14,'000014,沙河股份,9.53,9.73,9.52,9.66,9.7,-0.17,-1.7526,1939801,18700432.71
2019-06-13,'000014,沙河股份,9.7,9.75,9.58,9.74,9.74,-0.04,-0.4107,2070900,20035707.0
2019-06-12,'000014,沙河股份,9.74,9.85,9.64,9.8,9.81,-0.07,-0.7136,2595239,25257672.3
2019-06-11,'000014,沙河股份,9.81,9.85,9.51,9.53,9.53,0.28,2.9381,3501554,34059877.04
2019-06-10,'000014,沙河股份,9.53,9.55,9.39,9.47,9.43,0.1,1.0604,1439303,13657103.51
2019-06-06,'000014,沙河股份,9.43,9.58,9.36,9.55,9.6,-0.17,-1.7708,2076900,19657390.0
2019-06-05,'000014,沙河股份,9.6,9.69,9.55,9.64,9.54,0.06,0.6289,1792800,17232614.0
2019-06-04,'000014,沙河股份,9.54,9.62,9.5,9.58,9.57,-0.03,-0.3135,2506788,23919567.82
2019-06-03,'000014,沙河股份,9.57,9.91,9.51,9.71,9.71,-0.14,-1.4418,2890939,27816834.81
2019-05-31,'000014,沙河股份,9.71,9.89,9.66,9.8,9.75,-0.04,-0.4103,2714249,26539066.24
2019-05-30,'000014,沙河股份,9.75,9.87,9.55,9.87,9.89,-0.14,-1.4156,3785513,36684849.46
2019-05-29,'000014,沙河股份,9.89,10.04,9.81,10.01,9.98,-0.09,-0.9018,3241343,32261577.86
2019-05-28,'000014,沙河股份,9.98,10.13,9.94,10.05,10.1,-0.12,-1.1881,5130112,51476116.37
2019-05-27,'000014,沙河股份,10.1,10.25,9.5,9.64,9.73,0.37,3.8027,7754013,77193552.3
2019-05-24,'000014,沙河股份,9.73,10.14,9.67,9.98,10.51,-0.78,-7.4215,11718213,115724055.14
2019-05-23,'000014,沙河股份,10.51,11.42,10.51,11.42,10.38,0.13,1.2524,22092519,248338089.62
2019-05-22,'000014,沙河股份,10.38,10.8,9.77,9.91,9.99,0.39,3.9039,8609714,88584308.62
2019-05-21,'000014,沙河股份,9.99,10.03,9.7,10.02,9.89,0.1,1.0111,5285196,52254084.27
2019-05-20,'000014,沙河股份,9.89,9.96,9.26,9.59,9.55,0.34,3.5602,5136594,49464714.1
2019-05-17,'000014,沙河股份,9.55,10.09,9.45,10.03,10.04,-0.49,-4.8805,4947594,48243358.44
2019-05-16,'000014,沙河股份,10.04,10.13,9.93,9.97,9.97,0.07,0.7021,3381100,33938500.5
2019-05-15,'000014,沙河股份,9.97,10.04,9.86,9.86,9.82,0.15,1.5275,2479905,24651050.15
2019-05-14,'000014,沙河股份,9.82,9.93,9.79,9.82,9.97,-0.15,-1.5045,2406401,23710292.85
2019-05-13,'000014,沙河股份,9.97,10.06,9.73,9.85,9.94,0.03,0.3018,3319600,32904459.28
2019-05-10,'000014,沙河股份,9.94,9.95,9.63,9.76,9.68,0.26,2.686,4309800,42400760.0
2019-05-09,'000014,沙河股份,9.68,9.86,9.64,9.69,9.69,-0.01,-0.1032,2533701,24633572.69
2019-05-08,'000014,沙河股份,9.69,9.87,9.48,9.51,9.73,-0.04,-0.4111,3209700,31151105.0
2019-05-07,'000014,沙河股份,9.73,9.99,9.53,9.53,9.51,0.22,2.3134,3518301,34106791.62
2019-05-06,'000014,沙河股份,9.51,10.2,9.44,10.2,10.49,-0.98,-9.3422,5972072,58419585.0
2019-04-30,'000014,沙河股份,10.49,10.59,10.36,10.36,10.38,0.11,1.0597,2435100,25536829.96
2019-04-29,'000014,沙河股份,10.38,10.71,10.32,10.71,10.72,-0.34,-3.1716,4171800,43774012.99
2019-04-26,'000014,沙河股份,10.72,10.92,10.7,10.92,10.95,-0.23,-2.1005,4312669,46443811.66
2019-04-25,'000014,沙河股份,10.95,11.47,10.95,11.44,11.49,-0.54,-4.6997,4515905,50635531.48
2019-04-24,'000014,沙河股份,11.49,11.56,11.3,11.55,11.45,0.04,0.3493,2937504,33672908.71
2019-04-23,'000014,沙河股份,11.45,11.66,11.4,11.44,11.54,-0.09,-0.7799,3765069,43346534.75
2019-04-22,'000014,沙河股份,11.54,12.03,11.51,12.03,11.98,-0.44,-3.6728,6360103,74471824.06
2019-04-19,'000014,沙河股份,11.98,12.02,11.72,11.87,11.87,0.11,0.9267,4356840,51731902.26
2019-04-18,'000014,沙河股份,11.87,12.14,11.85,12.14,12.17,-0.3,-2.4651,5744919,68699892.65
