日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2001-06-08,'000015,PT中浩Ａ,6.85,6.85,6.85,6.85,6.8,0.05,0.7353,1219509,8353636.65
2001-06-07,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.8,None,None,0,0.0
2001-06-06,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.8,None,None,0,0.0
2001-06-05,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.8,None,None,0,0.0
2001-06-04,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.8,None,None,0,0.0
2001-06-01,'000015,PT中浩Ａ,6.8,6.8,6.8,6.8,6.5,0.3,4.6154,1320300,8978040.0
2001-05-31,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.5,None,None,0,0.0
2001-05-30,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.5,None,None,0,0.0
2001-05-29,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.5,None,None,0,0.0
2001-05-28,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.5,None,None,0,0.0
2001-05-25,'000015,PT中浩Ａ,6.5,6.5,6.5,6.5,6.21,0.29,4.6699,1614400,10493600.0
2001-05-24,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.21,None,None,0,0.0
2001-05-23,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.21,None,None,0,0.0
2001-05-22,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.21,None,None,0,0.0
2001-05-21,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,6.21,None,None,0,0.0
2001-05-18,'000015,PT中浩Ａ,6.21,6.21,6.21,6.21,5.91,0.3,5.0761,1048114,6508787.94
2001-05-17,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.91,None,None,0,0.0
2001-05-16,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.91,None,None,0,0.0
2001-05-15,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.91,None,None,0,0.0
2001-05-14,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.91,None,None,0,0.0
2001-05-11,'000015,PT中浩Ａ,5.91,5.91,5.91,5.91,5.63,0.28,4.9734,779789,4608552.99
2001-05-10,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.63,None,None,0,0.0
2001-05-09,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.63,None,None,0,0.0
2001-05-08,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.63,None,None,0,0.0
2001-04-30,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.63,None,None,0,0.0
2001-04-27,'000015,PT中浩Ａ,5.63,5.63,5.63,5.63,5.36,0.27,5.0373,1362255,7669495.65
2001-04-26,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-25,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-24,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-23,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-20,'000015,PT中浩Ａ,5.36,5.36,5.36,5.36,5.36,0.0,0.0,977400,5238864.0
2001-04-19,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-18,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-17,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-16,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.36,None,None,0,0.0
2001-04-13,'000015,PT中浩Ａ,5.36,5.36,5.36,5.36,5.1,0.26,5.098,2242300,12018728.0
2001-04-12,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.1,None,None,0,0.0
2001-04-11,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.1,None,None,0,0.0
2001-04-10,'000015,PT中浩Ａ,0.0,0.0,0.0,0.0,5.1,None,None,0,0.0
