日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000016,深康佳Ａ,4.34,4.36,4.27,4.3,4.2,0.14,3.3333,27337500,118290834.0
2019-06-28,'000016,深康佳Ａ,4.2,4.26,4.18,4.26,4.26,-0.06,-1.4085,8539600,35939838.0
2019-06-27,'000016,深康佳Ａ,4.26,4.34,4.25,4.28,4.28,-0.02,-0.4673,15556700,66755266.0
2019-06-26,'000016,深康佳Ａ,4.28,4.32,4.26,4.28,4.3,-0.02,-0.4651,6360800,27304010.0
2019-06-25,'000016,深康佳Ａ,4.3,4.38,4.24,4.38,4.37,-0.07,-1.6018,10925066,46898012.32
2019-06-24,'000016,深康佳Ａ,4.37,4.44,4.35,4.41,4.41,-0.04,-0.907,11224678,49327812.2
2019-06-21,'000016,深康佳Ａ,4.41,4.42,4.31,4.31,4.29,0.12,2.7972,23935224,104741844.86
2019-06-20,'000016,深康佳Ａ,4.29,4.33,4.18,4.21,4.23,0.06,1.4184,14815597,63307842.9
2019-06-19,'000016,深康佳Ａ,4.23,4.29,4.22,4.24,4.17,0.06,1.4388,11243000,47639643.0
2019-06-18,'000016,深康佳Ａ,4.17,4.23,4.15,4.2,4.21,-0.04,-0.9501,8094441,33809841.14
2019-06-17,'000016,深康佳Ａ,4.21,4.28,4.17,4.2,4.36,-0.15,-3.4404,18107230,76325258.7
2019-06-14,'000016,深康佳Ａ,4.36,4.7,4.32,4.69,4.27,0.09,2.1077,41528759,187442995.1
2019-06-13,'000016,深康佳Ａ,4.27,4.31,4.22,4.26,4.28,-0.01,-0.2336,8750408,37295357.72
2019-06-12,'000016,深康佳Ａ,4.28,4.38,4.28,4.35,4.38,-0.1,-2.2831,13413300,58030698.0
2019-06-11,'000016,深康佳Ａ,4.38,4.42,4.22,4.31,4.36,0.02,0.4587,25791544,111649681.78
2019-06-10,'000016,深康佳Ａ,4.36,4.47,4.0,4.08,4.07,0.29,7.1253,21860100,93366321.7
2019-06-06,'000016,深康佳Ａ,4.07,4.19,4.05,4.16,4.18,-0.11,-2.6316,7307700,30002084.0
