日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000017,深中华A,4.61,4.65,4.51,4.51,4.47,0.14,3.132,5789275,26576738.0
2019-06-28,'000017,深中华A,4.47,4.53,4.42,4.52,4.52,-0.05,-1.1062,2681780,11967525.44
2019-06-27,'000017,深中华A,4.52,4.64,4.51,4.64,4.53,-0.01,-0.2208,3321226,15185136.34
2019-06-26,'000017,深中华A,4.53,4.57,4.48,4.54,4.56,-0.03,-0.6579,3185500,14432649.0
2019-06-25,'000017,深中华A,4.56,4.67,4.49,4.65,4.68,-0.12,-2.5641,5695492,25990697.2
2019-06-24,'000017,深中华A,4.68,4.68,4.52,4.62,4.62,0.06,1.2987,6231900,28771242.0
2019-06-21,'000017,深中华A,4.62,4.74,4.6,4.69,4.53,0.09,1.9868,7388430,34275258.5
2019-06-20,'000017,深中华A,4.53,4.58,4.43,4.44,4.48,0.05,1.1161,4745692,21527776.52
2019-06-19,'000017,深中华A,4.48,4.62,4.46,4.56,4.48,0.0,0.0,4923092,22320733.48
2019-06-18,'000017,深中华A,4.48,4.53,4.44,4.47,4.51,-0.03,-0.6652,3381700,15159076.0
2019-06-17,'000017,深中华A,4.51,4.55,4.42,4.46,4.47,0.04,0.8949,5652822,25381880.5
2019-06-14,'000017,深中华A,4.47,4.64,4.47,4.61,4.56,-0.09,-1.9737,8891526,40589974.48
2019-06-13,'000017,深中华A,4.56,4.75,4.52,4.6,4.75,-0.19,-4.0,16600517,76459412.68
2019-06-12,'000017,深中华A,4.75,4.75,4.31,4.31,4.32,0.43,9.9537,13143264,62306044.35
2019-06-11,'000017,深中华A,4.32,4.33,4.15,4.16,4.17,0.15,3.5971,4170600,17804111.0
2019-06-10,'000017,深中华A,4.17,4.18,4.07,4.14,4.07,0.1,2.457,3026776,12536992.59
2019-06-06,'000017,深中华A,4.07,4.31,4.05,4.31,4.3,-0.23,-5.3488,5398173,22404501.74
2019-06-05,'000017,深中华A,4.3,4.37,4.27,4.31,4.27,0.03,0.7026,3233679,13955659.08
2019-06-04,'000017,深中华A,4.27,4.43,4.21,4.36,4.39,-0.12,-2.7335,4217088,18106316.65
2019-06-03,'000017,深中华A,4.39,4.5,4.34,4.36,4.43,-0.04,-0.9029,4022187,17658700.49
2019-05-31,'000017,深中华A,4.43,4.55,4.38,4.48,4.51,-0.08,-1.7738,4942015,22039072.45
2019-05-30,'000017,深中华A,4.51,4.55,4.44,4.54,4.6,-0.09,-1.9565,6165479,27654407.81
