日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000018,*ST神城,1.37,1.39,1.36,1.37,1.37,0.0,0.0,15538603,21364271.11
2019-06-28,'000018,*ST神城,1.37,1.39,1.35,1.37,1.37,0.0,0.0,11491560,15700280.6
2019-06-27,'000018,*ST神城,1.37,1.39,1.36,1.38,1.42,-0.05,-3.5211,18541372,25486417.24
2019-06-26,'000018,*ST神城,1.42,1.43,1.35,1.36,1.37,0.05,3.6496,19124227,26713353.61
2019-06-25,'000018,*ST神城,1.37,1.39,1.34,1.37,1.37,0.0,0.0,14168884,19231184.4
2019-06-24,'000018,*ST神城,1.37,1.39,1.33,1.38,1.4,-0.03,-2.1429,20280640,27385986.0
2019-06-21,'000018,*ST神城,1.4,1.43,1.38,1.42,1.36,0.04,2.9412,24126005,33940010.15
2019-06-20,'000018,*ST神城,1.36,1.4,1.32,1.39,1.38,-0.02,-1.4493,13677505,18482410.35
2019-06-19,'000018,*ST神城,1.38,1.42,1.35,1.4,1.42,-0.04,-2.8169,25459494,35132987.38
2019-06-18,'000018,*ST神城,1.42,1.42,1.33,1.33,1.35,0.07,5.1852,25943440,36551104.0
2019-06-17,'000018,*ST神城,1.35,1.42,1.35,1.39,1.42,-0.07,-4.9296,17104600,23287763.0
2019-06-14,'000018,*ST神城,1.42,1.49,1.42,1.47,1.49,-0.07,-4.698,29080800,41795774.2
2019-06-13,'000018,*ST神城,1.49,1.52,1.4,1.4,1.45,0.04,2.7586,34862160,51550338.0
2019-06-12,'000018,*ST神城,1.45,1.54,1.4,1.54,1.47,-0.02,-1.3605,50989883,75194542.03
2019-06-11,'000018,*ST神城,1.47,1.47,1.44,1.44,1.4,0.07,5.0,8667940,12630903.8
2019-06-10,'000018,*ST神城,1.4,1.4,1.33,1.33,1.33,0.07,5.2632,19842260,27063385.6
2019-06-06,'000018,*ST神城,1.33,1.33,1.23,1.23,1.27,0.06,4.7244,34082058,44357111.79
2019-06-05,'000018,*ST神城,1.27,1.27,1.27,1.27,1.34,-0.07,-5.2239,3493900,4437253.0
2019-06-04,'000018,*ST神城,1.34,1.34,1.34,1.34,1.41,-0.07,-4.9645,3955700,5300638.0
2019-06-03,'000018,*ST神城,1.41,1.48,1.41,1.48,1.48,-0.07,-4.7297,27904200,39953319.0
2019-05-31,'000018,*ST神城,1.48,1.49,1.36,1.49,1.42,0.06,4.2254,110097885,162668543.71
2019-05-30,'000018,*ST神城,1.42,1.42,1.42,1.42,1.35,0.07,5.1852,1042233,1479970.86
2019-05-29,'000018,*ST神城,1.35,1.35,1.35,1.35,1.29,0.06,4.6512,1283580,1732833.0
2019-05-28,'000018,*ST神城,1.29,1.29,1.29,1.29,1.23,0.06,4.878,2835780,3658156.2
2019-05-27,'000018,*ST神城,1.23,1.23,1.16,1.16,1.17,0.06,5.1282,26379142,31498756.42
2019-05-24,'000018,*ST神城,1.17,1.2,1.17,1.17,1.23,-0.06,-4.878,48871913,57386820.41
2019-05-23,'000018,*ST神城,1.23,1.23,1.23,1.23,1.29,-0.06,-4.6512,7721100,9496953.0
2019-05-22,'000018,*ST神城,1.29,1.31,1.29,1.29,1.36,-0.07,-5.1471,17769660,22960058.0
2019-05-21,'000018,*ST神城,1.36,1.39,1.36,1.37,1.43,-0.07,-4.8951,23932100,32648208.0
2019-05-20,'000018,*ST神城,1.43,1.47,1.43,1.44,1.51,-0.08,-5.298,22683154,32475539.22
2019-05-17,'000018,*ST神城,1.51,1.58,1.51,1.58,1.59,-0.08,-5.0314,26899200,41002474.0
2019-05-16,'000018,*ST神城,1.59,1.61,1.55,1.56,1.58,0.01,0.6329,28140763,44716473.81
2019-05-15,'000018,*ST神城,1.58,1.6,1.53,1.53,1.61,-0.03,-1.8634,65271294,101840904.55
2019-05-14,'000018,*ST神城,1.61,1.61,1.61,1.61,1.69,-0.08,-4.7337,7508700,12089007.0
2019-05-13,'000018,*ST神城,1.69,1.73,1.69,1.69,1.78,-0.09,-5.0562,53240680,90063712.93
2019-05-10,'000018,*ST神城,1.78,1.78,1.78,1.78,1.87,-0.09,-4.8128,4679500,8329510.0
2019-05-09,'000018,*ST神城,1.87,1.87,1.87,1.87,1.97,-0.1,-5.0761,1046600,1957142.0
2019-05-08,'000018,*ST神城,1.97,1.97,1.97,1.97,2.07,-0.1,-4.8309,2920500,5753385.0
2019-05-07,'000018,*ST神城,2.07,2.07,2.07,2.07,2.18,-0.11,-5.0459,3222200,6669954.0
2019-05-06,'000018,*ST神城,2.18,2.18,2.18,2.18,2.29,-0.11,-4.8035,2802500,6109450.0
2019-04-30,'000018,神州长城,0.0,0.0,0.0,0.0,2.29,None,None,0,0.0
2019-04-29,'000018,神州长城,2.29,2.56,2.29,2.47,2.54,-0.25,-9.8425,44491258,105238770.4
2019-04-26,'000018,神州长城,2.54,2.63,2.53,2.55,2.57,-0.03,-1.1673,22027299,56908116.26
2019-04-25,'000018,神州长城,2.57,2.82,2.55,2.81,2.83,-0.26,-9.1873,39148860,105818470.07
2019-04-24,'000018,神州长城,2.83,2.84,2.76,2.8,2.79,0.04,1.4337,27608624,77466900.32
2019-04-23,'000018,神州长城,2.79,2.91,2.78,2.91,2.92,-0.13,-4.4521,44881864,127139529.36
2019-04-22,'000018,神州长城,2.92,3.07,2.91,3.02,3.06,-0.14,-4.5752,53723324,159873952.72
2019-04-19,'000018,神州长城,3.06,3.07,2.86,2.92,2.93,0.13,4.4369,70718041,209453646.41
2019-04-18,'000018,神州长城,2.93,3.01,2.9,2.94,2.95,-0.02,-0.678,46786180,138095448.8
2019-04-17,'000018,神州长城,2.95,2.96,2.84,2.85,2.88,0.07,2.4306,67988200,198817044.6
2019-04-16,'000018,神州长城,2.88,2.88,2.72,2.83,2.82,0.06,2.1277,44351773,124538191.66
2019-04-15,'000018,神州长城,2.82,2.97,2.81,2.81,2.79,0.03,1.0753,48523504,139591734.84
2019-04-12,'000018,神州长城,2.79,2.86,2.76,2.86,2.9,-0.11,-3.7931,39413957,110308865.43
2019-04-11,'000018,神州长城,2.9,2.99,2.83,2.87,2.88,0.02,0.6944,68299267,198995313.53
2019-04-10,'000018,神州长城,2.88,2.89,2.73,2.79,2.79,0.09,3.2258,47825928,135435739.36
2019-04-09,'000018,神州长城,2.79,2.81,2.75,2.78,2.76,0.03,1.087,25133088,69928620.88
2019-04-08,'000018,神州长城,2.76,2.86,2.67,2.83,2.83,-0.07,-2.4735,36638877,101515479.18
2019-04-04,'000018,神州长城,2.83,2.89,2.81,2.86,2.87,-0.04,-1.3937,31417620,89334960.8
2019-04-03,'000018,神州长城,2.87,2.9,2.82,2.86,2.86,0.01,0.3497,36946500,105355796.0
2019-04-02,'000018,神州长城,2.86,2.91,2.79,2.81,2.79,0.07,2.509,47002193,134398223.52
2019-04-01,'000018,神州长城,2.79,2.8,2.71,2.72,2.7,0.09,3.3333,34186760,94776946.0
2019-03-29,'000018,神州长城,2.7,2.7,2.56,2.62,2.61,0.09,3.4483,33071540,87482120.36
2019-03-28,'000018,神州长城,2.61,2.69,2.6,2.63,2.64,-0.03,-1.1364,27671100,72903666.2
2019-03-27,'000018,神州长城,2.64,2.75,2.59,2.72,2.72,-0.08,-2.9412,37840240,100371995.0
2019-03-26,'000018,神州长城,2.72,2.92,2.69,2.89,2.9,-0.18,-6.2069,57591227,160012458.75
2019-03-25,'000018,神州长城,2.9,2.98,2.88,2.93,3.01,-0.11,-3.6545,37105910,108685238.4
2019-03-22,'000018,神州长城,3.01,3.04,2.93,3.0,3.04,-0.03,-0.9868,47110270,140473709.6
2019-03-21,'000018,神州长城,3.04,3.14,2.91,2.94,2.95,0.09,3.0508,82511304,248581422.58
2019-03-20,'000018,神州长城,2.95,2.97,2.86,2.94,3.03,-0.08,-2.6403,64003427,186614219.46
2019-03-19,'000018,神州长城,3.03,3.15,3.0,3.08,3.02,0.01,0.3311,55372135,168973450.0
2019-03-18,'000018,神州长城,3.02,3.05,2.82,2.91,2.9,0.12,4.1379,54090774,161129580.43
2019-03-15,'000018,神州长城,2.9,2.99,2.85,2.89,2.87,0.03,1.0453,41434305,120794412.45
2019-03-14,'000018,神州长城,2.87,3.08,2.82,3.01,3.08,-0.21,-6.8182,57435384,167610660.88
2019-03-13,'000018,神州长城,3.08,3.19,2.98,3.07,3.05,0.03,0.9836,90404301,279534350.03
2019-03-12,'000018,神州长城,3.05,3.12,2.95,3.02,2.99,0.06,2.0067,75673327,230188108.16
