日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000019,深粮控股,7.3,7.37,7.21,7.23,7.15,0.15,2.0979,7099819,51655419.45
2019-06-28,'000019,深粮控股,7.15,7.24,7.15,7.22,7.2,-0.05,-0.6944,4269910,30677260.03
2019-06-27,'000019,深粮控股,7.2,7.26,7.18,7.2,7.17,0.03,0.4184,3956415,28547237.07
2019-06-26,'000019,深粮控股,7.17,7.26,7.15,7.24,7.24,-0.07,-0.9669,3905070,28111904.2
2019-06-25,'000019,深粮控股,7.24,7.38,7.16,7.35,7.35,-0.11,-1.4966,6044620,43755413.92
2019-06-24,'000019,深粮控股,7.35,7.38,7.23,7.28,7.27,0.08,1.1004,6454484,47241218.15
2019-06-21,'000019,深粮控股,7.27,7.38,7.23,7.25,7.23,0.04,0.5533,7551694,55141365.33
2019-06-20,'000019,深粮控股,7.23,7.26,7.12,7.2,7.2,0.03,0.4167,6384607,45928807.64
2019-06-19,'000019,深粮控股,7.3,7.34,7.2,7.22,7.14,0.16,2.2409,5948178,43171838.5
2019-06-18,'000019,深粮控股,7.14,7.2,7.12,7.16,7.15,-0.01,-0.1399,2906714,20799629.72
2019-06-17,'000019,深粮控股,7.15,7.21,7.1,7.16,7.15,0.0,0.0,3552384,25397889.56
2019-06-14,'000019,深粮控股,7.15,7.34,7.1,7.32,7.33,-0.18,-2.4557,5481125,39621848.95
2019-06-13,'000019,深粮控股,7.33,7.38,7.22,7.3,7.37,-0.04,-0.5427,6779677,49543622.04
2019-06-12,'000019,深粮控股,7.37,7.39,7.19,7.2,7.3,0.07,0.9589,8742642,63829022.16
2019-06-11,'000019,深粮控股,7.3,7.32,7.03,7.03,7.04,0.26,3.6932,8778316,63447241.37
2019-06-10,'000019,深粮控股,7.04,7.08,6.93,7.0,6.95,0.09,1.295,4580546,32027264.43
2019-06-06,'000019,深粮控股,6.95,7.2,6.92,7.17,7.25,-0.3,-4.1379,8010143,56262971.66
2019-06-05,'000019,深粮控股,7.25,7.5,7.05,7.08,7.03,0.22,3.1294,10537770,76615964.31
2019-06-04,'000019,深粮控股,7.03,7.3,6.99,7.23,7.25,-0.22,-3.0345,4751065,33725792.68
2019-06-03,'000019,深粮控股,7.25,7.34,7.2,7.2,7.25,0.0,0.0,4141653,30074617.4
2019-05-31,'000019,深粮控股,7.25,7.35,7.19,7.35,7.38,-0.13,-1.7615,5988932,43465136.04
2019-05-30,'000019,深粮控股,7.38,7.45,7.16,7.16,7.2,0.18,2.5,8823485,64642936.49
2019-05-29,'000019,深粮控股,7.2,7.27,7.14,7.16,7.16,0.04,0.5587,3907288,28106263.02
2019-05-28,'000019,深粮控股,7.16,7.26,7.13,7.14,7.2,-0.04,-0.5556,4299065,30968578.27
2019-05-27,'000019,深粮控股,7.2,7.25,6.99,7.0,7.0,0.2,2.8571,5538467,39472454.54
2019-05-24,'000019,深粮控股,7.0,7.08,6.91,6.91,7.02,-0.02,-0.2849,3580315,25116135.5
2019-05-23,'000019,深粮控股,7.02,7.26,7.0,7.26,7.26,-0.24,-3.3058,6888856,49016298.97
2019-05-22,'000019,深粮控股,7.26,7.4,7.24,7.29,7.32,-0.06,-0.8197,6161280,45084522.95
2019-05-21,'000019,深粮控股,7.32,7.4,7.2,7.26,7.27,0.05,0.6878,7134065,52196030.52
2019-05-20,'000019,深粮控股,7.27,7.87,7.12,7.69,7.67,-0.4,-5.2151,11051713,80717890.78
2019-05-17,'000019,深粮控股,7.67,8.05,7.53,7.62,7.64,0.03,0.3927,17760426,138555945.08
2019-05-16,'000019,深粮控股,7.64,7.75,7.52,7.57,7.55,0.09,1.1921,8270848,63194714.15
2019-05-15,'000019,深粮控股,7.55,7.6,7.37,7.42,7.36,0.19,2.5815,7038458,52907906.54
2019-05-14,'000019,深粮控股,7.36,7.62,7.35,7.45,7.59,-0.23,-3.0303,6014125,45022302.53
2019-05-13,'000019,深粮控股,7.59,7.68,7.37,7.48,7.58,0.01,0.1319,7390614,55708734.36
2019-05-10,'000019,深粮控股,7.58,7.73,7.05,7.2,7.24,0.34,4.6961,10503784,77545322.12
2019-05-09,'000019,深粮控股,7.24,7.34,7.13,7.24,7.42,-0.18,-2.4259,6299840,45461225.9
2019-05-08,'000019,深粮控股,7.42,7.79,7.15,7.18,7.32,0.1,1.3661,11301831,84986082.34
2019-05-07,'000019,深粮控股,7.32,7.44,7.04,7.04,6.96,0.36,5.1724,9762755,70210487.35
2019-05-06,'000019,深粮控股,6.96,7.42,6.8,7.3,7.51,-0.55,-7.3236,8697496,62037262.74
2019-04-30,'000019,深粮控股,7.51,7.59,7.43,7.46,7.44,0.07,0.9409,4502021,33789142.4
2019-04-29,'000019,深粮控股,7.44,7.88,7.29,7.87,7.88,-0.44,-5.5838,10014115,75426829.56
2019-04-26,'000019,深粮控股,7.88,7.96,7.8,7.82,7.89,-0.01,-0.1267,4930160,38849236.64
2019-04-25,'000019,深粮控股,7.89,8.23,7.85,8.13,8.13,-0.24,-2.952,7236337,58275315.23
2019-04-24,'000019,深粮控股,8.13,8.14,7.97,8.12,8.05,0.08,0.9938,5674077,45758764.74
2019-04-23,'000019,深粮控股,8.05,8.2,8.03,8.16,8.13,-0.08,-0.984,5840744,47305472.05
2019-04-22,'000019,深粮控股,8.13,8.38,8.1,8.35,8.32,-0.19,-2.2837,9487610,78010942.28
2019-04-19,'000019,深粮控股,8.32,8.43,8.2,8.29,8.26,0.06,0.7264,7818446,64809920.02
2019-04-18,'000019,深粮控股,8.26,8.52,8.25,8.49,8.52,-0.26,-3.0516,11826082,98803690.99
2019-04-17,'000019,深粮控股,8.52,8.61,8.45,8.52,8.51,0.01,0.1175,8619303,73504987.98
2019-04-16,'000019,深粮控股,8.51,8.52,8.28,8.48,8.52,-0.01,-0.1174,9234785,77578079.6
2019-04-15,'000019,深粮控股,8.52,8.94,8.52,8.91,8.74,-0.22,-2.5172,13333047,116397614.45
2019-04-12,'000019,深粮控股,8.74,8.85,8.56,8.66,8.66,0.08,0.9238,13224657,114976766.91
2019-04-11,'000019,深粮控股,8.66,8.79,8.61,8.66,8.65,0.01,0.1156,14258150,124189344.12
2019-04-10,'000019,深粮控股,8.65,8.69,8.52,8.65,8.71,-0.06,-0.6889,8882488,76515927.3
2019-04-09,'000019,深粮控股,8.71,8.79,8.62,8.77,8.81,-0.1,-1.1351,9656941,83975796.08
2019-04-08,'000019,深粮控股,8.81,8.83,8.53,8.61,8.56,0.25,2.9206,21827194,189895968.85
2019-04-04,'000019,深粮控股,8.56,8.72,8.46,8.66,8.66,-0.1,-1.1547,11396027,97754625.86
2019-04-03,'000019,深粮控股,8.66,8.72,8.49,8.54,8.55,0.11,1.2865,12264382,106076897.55
2019-04-02,'000019,深粮控股,8.55,8.65,8.47,8.57,8.56,-0.01,-0.1168,11612862,99296032.94
2019-04-01,'000019,深粮控股,8.56,8.63,8.4,8.47,8.38,0.18,2.148,11791119,100619808.45
2019-03-29,'000019,深粮控股,8.38,8.41,8.16,8.25,8.24,0.14,1.699,8715930,72529456.29
2019-03-28,'000019,深粮控股,8.24,8.47,8.24,8.37,8.39,-0.15,-1.7878,8201523,68300756.27
2019-03-27,'000019,深粮控股,8.39,8.55,8.29,8.49,8.48,-0.09,-1.0613,8312092,69797242.55
2019-03-26,'000019,深粮控股,8.48,8.79,8.43,8.71,8.72,-0.24,-2.7523,12540959,107470555.84
2019-03-25,'000019,深粮控股,8.72,8.92,8.46,8.54,8.71,0.01,0.1148,17165358,150200066.49
2019-03-22,'000019,深粮控股,8.71,8.79,8.4,8.59,8.7,0.01,0.1149,13351084,114899231.97
2019-03-21,'000019,深粮控股,8.7,8.93,8.63,8.83,8.7,0.0,0.0,17832371,156321315.99
2019-03-20,'000019,深粮控股,8.7,8.98,8.26,8.36,8.39,0.31,3.6949,20673109,177077931.68
2019-03-19,'000019,深粮控股,8.39,8.53,8.3,8.35,8.43,-0.04,-0.4745,13395214,112316325.14
