日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000023,深天地Ａ,13.06,13.13,12.88,12.88,12.76,0.3,2.3511,1966631,25626795.9
2019-06-28,'000023,深天地Ａ,12.76,13.08,12.74,13.08,13.0,-0.24,-1.8462,1260330,16187070.23
2019-06-27,'000023,深天地Ａ,13.0,13.13,12.92,13.05,12.99,0.01,0.077,1263932,16472316.33
2019-06-26,'000023,深天地Ａ,12.99,13.09,12.82,12.82,12.99,0.0,0.0,923000,11976630.35
2019-06-25,'000023,深天地Ａ,12.99,13.3,12.81,13.3,13.28,-0.29,-2.1837,1893090,24598416.23
2019-06-24,'000023,深天地Ａ,13.28,13.4,13.18,13.4,13.23,0.05,0.3779,1538511,20404968.76
2019-06-21,'000023,深天地Ａ,13.23,13.38,13.14,13.38,13.11,0.12,0.9153,2936559,39042029.09
2019-06-20,'000023,深天地Ａ,13.11,13.25,12.77,12.86,12.86,0.25,1.944,1962200,25554322.0
2019-06-19,'000023,深天地Ａ,12.86,13.06,12.86,12.9,12.78,0.08,0.626,1024800,13254856.0
2019-06-18,'000023,深天地Ａ,12.78,12.89,12.7,12.74,12.85,-0.07,-0.5447,1056324,13486997.0
2019-06-17,'000023,深天地Ａ,12.85,13.02,12.79,12.85,12.88,-0.03,-0.2329,879800,11329834.0
2019-06-14,'000023,深天地Ａ,12.88,13.33,12.86,13.24,13.24,-0.36,-2.719,1207500,15811420.0
2019-06-13,'000023,深天地Ａ,13.24,13.55,13.12,13.36,13.36,-0.12,-0.8982,1504100,19917282.0
2019-06-12,'000023,深天地Ａ,13.36,13.42,13.21,13.29,13.3,0.06,0.4511,2000200,26719473.0
2019-06-11,'000023,深天地Ａ,13.3,13.4,12.8,12.81,12.8,0.5,3.9063,2230700,29414283.0
2019-06-10,'000023,深天地Ａ,12.8,12.94,12.66,12.89,12.85,-0.05,-0.3891,742900,9513423.0
2019-06-06,'000023,深天地Ａ,12.85,13.2,12.65,13.14,13.13,-0.28,-2.1325,1290000,16550606.0
2019-06-05,'000023,深天地Ａ,13.13,13.21,13.0,13.21,13.12,0.01,0.0762,1005779,13196119.9
2019-06-04,'000023,深天地Ａ,13.12,13.26,12.85,13.26,13.1,0.02,0.1527,1181380,15376133.97
2019-06-03,'000023,深天地Ａ,13.1,13.39,13.03,13.28,13.26,-0.16,-1.2066,1115500,14684856.0
2019-05-31,'000023,深天地Ａ,13.26,13.46,13.16,13.22,13.27,-0.01,-0.0754,1136230,15147410.1
2019-05-30,'000023,深天地Ａ,13.27,13.45,13.2,13.32,13.42,-0.15,-1.1177,1429600,19006671.52
2019-05-29,'000023,深天地Ａ,13.42,13.49,13.25,13.35,13.4,0.02,0.1493,1787000,23914852.0
2019-05-28,'000023,深天地Ａ,13.4,13.67,13.32,13.42,13.55,-0.15,-1.107,2390288,32111254.68
2019-05-27,'000023,深天地Ａ,13.55,14.0,12.9,13.22,13.01,0.54,4.1507,3892201,52371800.51
2019-05-24,'000023,深天地Ａ,13.01,13.29,12.92,13.07,13.16,-0.15,-1.1398,1115347,14584062.46
2019-05-23,'000023,深天地Ａ,13.16,13.66,13.1,13.27,13.3,-0.14,-1.0526,1960700,26190195.12
2019-05-22,'000023,深天地Ａ,13.3,13.5,13.14,13.35,13.33,-0.03,-0.2251,1673701,22387396.43
2019-05-21,'000023,深天地Ａ,13.33,13.36,12.8,12.97,12.98,0.35,2.6965,2168771,28665777.13
2019-05-20,'000023,深天地Ａ,12.98,13.1,12.53,13.07,12.91,0.07,0.5422,1847200,23656288.0
2019-05-17,'000023,深天地Ａ,12.91,13.72,12.83,13.71,13.69,-0.78,-5.6976,3320000,44009785.0
