日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000025,特 力Ａ,20.61,20.75,20.44,20.75,20.22,0.39,1.9288,3818759,78573549.35
2019-06-28,'000025,特 力Ａ,20.22,20.38,20.1,20.26,20.35,-0.13,-0.6388,2500445,50525835.75
2019-06-27,'000025,特 力Ａ,20.35,20.61,20.11,20.36,21.07,-0.72,-3.4172,7505460,153126155.6
2019-06-26,'000025,特 力Ａ,21.07,21.48,20.75,20.94,21.05,0.02,0.095,4900314,103368892.75
2019-06-25,'000025,特 力Ａ,21.05,21.2,20.52,21.01,20.98,0.07,0.3337,4529480,94485058.53
2019-06-24,'000025,特 力Ａ,20.98,21.35,20.89,21.3,21.27,-0.29,-1.3634,4672516,98469492.16
2019-06-21,'000025,特 力Ａ,21.27,21.48,21.02,21.02,21.02,0.25,1.1893,6956215,147700333.16
2019-06-20,'000025,特 力Ａ,21.02,21.2,20.47,20.74,20.85,0.17,0.8153,5590705,116557559.4
2019-06-19,'000025,特 力Ａ,20.85,21.25,20.81,21.25,20.84,0.01,0.048,4628614,97231058.33
2019-06-18,'000025,特 力Ａ,20.84,21.5,20.59,21.42,21.41,-0.57,-2.6623,5281989,110557113.58
2019-06-17,'000025,特 力Ａ,21.41,21.62,20.7,20.89,20.89,0.52,2.4892,7360365,156072225.57
2019-06-14,'000025,特 力Ａ,20.89,21.38,20.56,20.7,20.72,0.17,0.8205,5809820,121715204.6
2019-06-13,'000025,特 力Ａ,20.72,21.15,20.41,20.49,20.84,-0.12,-0.5758,5152743,107000442.39
2019-06-12,'000025,特 力Ａ,20.84,21.7,20.5,20.61,20.7,0.14,0.6763,6588356,138492732.86
2019-06-11,'000025,特 力Ａ,20.7,20.87,20.0,20.28,20.08,0.62,3.0876,5225631,107196445.25
2019-06-10,'000025,特 力Ａ,20.08,20.38,19.85,19.87,19.87,0.21,1.0569,2526252,50753900.24
2019-06-06,'000025,特 力Ａ,19.87,20.38,19.71,20.3,20.49,-0.62,-3.0259,3455958,69080751.22
2019-06-05,'000025,特 力Ａ,20.49,20.98,20.03,20.2,19.95,0.54,2.7068,4851900,99532825.2
2019-06-04,'000025,特 力Ａ,19.95,20.51,19.78,20.45,20.45,-0.5,-2.445,3545048,71158755.39
2019-06-03,'000025,特 力Ａ,20.45,20.9,20.29,20.69,20.7,-0.25,-1.2077,3060550,62745418.53
2019-05-31,'000025,特 力Ａ,20.7,20.88,20.59,20.59,20.56,0.14,0.6809,3245712,67237472.83
2019-05-30,'000025,特 力Ａ,20.56,20.98,20.34,20.92,20.92,-0.36,-1.7208,3961786,81490397.33
2019-05-29,'000025,特 力Ａ,20.92,21.06,20.67,21.05,21.06,-0.14,-0.6648,4172301,86972765.48
2019-05-28,'000025,特 力Ａ,21.06,21.81,20.87,21.67,21.22,-0.16,-0.754,5269844,111970105.68
2019-05-27,'000025,特 力Ａ,21.22,21.4,20.52,20.87,20.5,0.72,3.5122,6035249,127440679.35
2019-05-24,'000025,特 力Ａ,20.5,20.94,20.34,20.51,20.71,-0.21,-1.014,3534165,72605436.95
2019-05-23,'000025,特 力Ａ,20.71,21.4,20.54,21.12,21.48,-0.77,-3.5847,5547924,115859145.14
2019-05-22,'000025,特 力Ａ,21.48,22.22,21.02,21.32,21.69,-0.21,-0.9682,5864244,126215741.71
2019-05-21,'000025,特 力Ａ,21.69,22.3,21.0,21.0,21.27,0.42,1.9746,6332062,137709295.26
2019-05-20,'000025,特 力Ａ,21.27,21.97,20.6,21.55,21.92,-0.65,-2.9653,6539970,138325555.0
2019-05-17,'000025,特 力Ａ,21.92,23.92,21.39,22.78,22.73,-0.81,-3.5636,14952397,339478913.31
2019-05-16,'000025,特 力Ａ,22.73,22.73,20.52,20.84,20.66,2.07,10.0194,5979265,132605331.62
2019-05-15,'000025,特 力Ａ,20.66,20.98,20.5,20.78,20.41,0.25,1.2249,5310951,110271582.3
2019-05-14,'000025,特 力Ａ,29.6,29.97,29.36,29.36,30.0,-0.4,-1.3333,2869244,85186032.12
2019-05-13,'000025,特 力Ａ,30.0,30.5,29.56,30.05,30.9,-0.9,-2.9126,4266789,128181853.39
2019-05-10,'000025,特 力Ａ,30.9,32.8,29.08,32.21,30.5,0.4,1.3115,8907560,278980042.41
2019-05-09,'000025,特 力Ａ,30.5,30.5,27.74,27.8,27.73,2.77,9.9892,4140275,123554921.0
2019-05-08,'000025,特 力Ａ,27.73,28.08,26.58,26.94,27.54,0.19,0.6899,3216450,88668037.5
2019-05-07,'000025,特 力Ａ,27.54,27.91,26.9,27.2,27.05,0.49,1.8115,3832400,105223301.0
2019-05-06,'000025,特 力Ａ,27.05,29.0,27.05,29.0,30.06,-3.01,-10.0133,5836019,162135327.56
2019-04-30,'000025,特 力Ａ,30.06,30.68,29.81,30.33,30.19,-0.13,-0.4306,2756151,83464784.5
2019-04-29,'000025,特 力Ａ,30.19,32.33,29.1,32.07,32.03,-1.84,-5.7446,4183812,129087912.73
2019-04-26,'000025,特 力Ａ,32.03,32.58,31.6,32.2,32.2,-0.17,-0.528,2422934,78059443.38
