日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000027,深圳能源,6.28,6.34,6.27,6.28,6.2,0.08,1.2903,9393522,59217215.02
2019-06-28,'000027,深圳能源,6.2,6.28,6.17,6.28,6.26,-0.06,-0.9585,4914336,30539488.42
2019-06-27,'000027,深圳能源,6.26,6.3,6.22,6.22,6.22,0.04,0.6431,6659238,41685931.76
2019-06-26,'000027,深圳能源,6.22,6.26,6.18,6.24,6.22,0.0,0.0,6515378,40564599.82
2019-06-25,'000027,深圳能源,6.22,6.26,6.15,6.19,6.22,0.0,0.0,8368961,51903259.38
2019-06-24,'000027,深圳能源,6.22,6.25,6.18,6.24,6.18,0.04,0.6472,8601406,53431779.51
2019-06-21,'000027,深圳能源,6.18,6.26,6.11,6.11,6.11,0.07,1.1457,13623543,84663022.63
2019-06-20,'000027,深圳能源,6.11,6.18,5.97,6.0,5.99,0.12,2.0033,10013934,60965416.48
2019-06-19,'000027,深圳能源,5.99,6.08,5.97,5.98,5.87,0.12,2.0443,6636889,39877047.64
2019-06-18,'000027,深圳能源,5.87,5.92,5.85,5.85,5.9,-0.03,-0.5085,3754076,22043351.83
2019-06-17,'000027,深圳能源,5.9,5.95,5.85,5.9,5.92,-0.02,-0.3378,4553760,26858551.27
2019-06-14,'000027,深圳能源,5.92,6.02,5.9,5.98,5.98,-0.06,-1.0033,5064007,30150723.57
2019-06-13,'000027,深圳能源,6.03,6.05,5.95,6.0,6.0,0.03,0.5,4686556,28144957.4
2019-06-12,'000027,深圳能源,6.0,6.12,5.97,6.05,6.07,-0.07,-1.1532,6450123,38803050.86
2019-06-11,'000027,深圳能源,6.07,6.08,5.93,5.96,5.96,0.11,1.8456,7142809,43039644.21
2019-06-10,'000027,深圳能源,5.96,5.98,5.83,5.85,5.81,0.15,2.5818,6852609,40630680.69
2019-06-06,'000027,深圳能源,5.81,5.95,5.8,5.95,5.91,-0.1,-1.692,5987815,35108273.1
2019-06-05,'000027,深圳能源,5.91,5.96,5.89,5.96,5.89,0.02,0.3396,4556289,26979214.44
