日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000030,富奥股份,4.74,4.77,4.72,4.72,4.67,0.07,1.4989,2863116,13567102.56
2019-06-28,'000030,富奥股份,4.67,4.79,4.6,4.79,4.78,-0.11,-2.3013,3058243,14313692.92
2019-06-27,'000030,富奥股份,4.78,4.82,4.73,4.75,4.76,0.02,0.4202,2364314,11324032.4
2019-06-26,'000030,富奥股份,4.76,4.8,4.71,4.77,4.78,-0.02,-0.4184,1852081,8822635.55
2019-06-25,'000030,富奥股份,4.92,5.02,4.86,5.02,4.96,-0.04,-0.8065,3131808,15413456.98
2019-06-24,'000030,富奥股份,4.96,4.98,4.93,4.97,4.93,0.03,0.6085,2257982,11177579.3
2019-06-21,'000030,富奥股份,4.93,4.98,4.89,4.89,4.89,0.04,0.818,2907596,14370190.53
2019-06-20,'000030,富奥股份,4.89,4.89,4.77,4.82,4.8,0.09,1.875,3730193,18081641.07
2019-06-19,'000030,富奥股份,4.8,4.85,4.77,4.83,4.77,0.03,0.6289,1570780,7554712.83
2019-06-18,'000030,富奥股份,4.77,4.82,4.76,4.81,4.78,-0.01,-0.2092,1116529,5343577.33
2019-06-17,'000030,富奥股份,4.78,4.84,4.7,4.72,4.74,0.04,0.8439,1113848,5289989.17
2019-06-14,'000030,富奥股份,4.74,4.82,4.68,4.82,4.82,-0.08,-1.6598,2106602,9993587.07
2019-06-13,'000030,富奥股份,4.82,4.84,4.77,4.84,4.84,-0.02,-0.4132,2572314,12339648.2
2019-06-12,'000030,富奥股份,4.84,4.85,4.79,4.85,4.84,0.0,0.0,1869049,9001433.1
2019-06-11,'000030,富奥股份,4.84,4.84,4.71,4.74,4.72,0.12,2.5424,2285347,10959358.64
2019-06-10,'000030,富奥股份,4.72,4.76,4.69,4.76,4.71,0.01,0.2123,1524990,7190407.48
2019-06-06,'000030,富奥股份,4.71,4.85,4.69,4.84,4.82,-0.11,-2.2822,2267126,10735464.2
2019-06-05,'000030,富奥股份,4.82,4.87,4.81,4.84,4.82,0.0,0.0,1531774,7408293.49
2019-06-04,'000030,富奥股份,4.82,4.9,4.77,4.9,4.86,-0.04,-0.823,2206392,10616334.4
2019-06-03,'000030,富奥股份,4.86,4.93,4.83,4.9,4.93,-0.07,-1.4199,1997194,9713119.62
2019-05-31,'000030,富奥股份,4.93,4.96,4.85,4.95,4.96,-0.03,-0.6048,3237128,15850977.23
2019-05-30,'000030,富奥股份,4.96,4.99,4.86,4.98,4.98,-0.02,-0.4016,4165631,20387075.77
2019-05-29,'000030,富奥股份,4.98,5.02,4.95,5.0,4.98,0.0,0.0,1501086,7462718.46
2019-05-28,'000030,富奥股份,4.98,5.04,4.95,5.0,4.99,-0.01,-0.2004,2326480,11592318.46
