日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000031,大悦城,6.6,6.64,6.47,6.52,6.42,0.18,2.8037,12248843,80452678.93
2019-06-28,'000031,大悦城,6.42,6.47,6.37,6.45,6.48,-0.06,-0.9259,6604009,42397084.42
2019-06-27,'000031,大悦城,6.48,6.59,6.45,6.49,6.47,0.01,0.1546,8123363,52980455.16
2019-06-26,'000031,大悦城,6.47,6.54,6.44,6.53,6.5,-0.03,-0.4615,5577424,36170015.53
2019-06-25,'000031,大悦城,6.5,6.59,6.39,6.58,6.58,-0.08,-1.2158,9854176,63842929.47
2019-06-24,'000031,大悦城,6.58,6.66,6.55,6.6,6.61,-0.03,-0.4539,8414495,55459253.97
2019-06-21,'000031,大悦城,6.61,6.73,6.58,6.61,6.58,0.03,0.4559,13144319,87598828.23
2019-06-20,'000031,大悦城,6.58,6.65,6.38,6.4,6.41,0.17,2.6521,14046381,91862224.6
2019-06-19,'000031,大悦城,6.41,6.52,6.4,6.4,6.32,0.09,1.4241,12043485,77622066.45
2019-06-18,'000031,大悦城,6.32,6.36,6.27,6.35,6.31,0.01,0.1585,5783941,36567281.05
2019-06-17,'000031,大悦城,6.31,6.34,6.23,6.23,6.26,0.05,0.7987,6368110,40078693.4
2019-06-14,'000031,大悦城,6.26,6.4,6.23,6.35,6.37,-0.11,-1.7268,9892386,62570065.62
2019-06-13,'000031,大悦城,6.37,6.37,6.23,6.3,6.28,0.09,1.4331,7925134,49803939.25
2019-06-12,'000031,大悦城,6.28,6.38,6.26,6.38,6.37,-0.09,-1.4129,8673782,54800129.69
2019-06-11,'000031,大悦城,6.37,6.45,6.09,6.1,6.11,0.26,4.2553,18116220,114359576.28
2019-06-10,'000031,大悦城,6.11,6.19,6.01,6.11,6.09,0.02,0.3284,7627066,46778455.37
2019-06-06,'000031,大悦城,6.09,6.16,6.06,6.15,6.13,-0.04,-0.6525,8349506,51038363.07
2019-06-05,'000031,大悦城,6.13,6.26,6.12,6.15,6.13,0.0,0.0,10315152,63862425.8
2019-06-04,'000031,大悦城,6.13,6.19,6.04,6.19,6.14,-0.01,-0.1629,8391528,51289191.51
2019-06-03,'000031,大悦城,6.14,6.24,6.11,6.17,6.16,-0.02,-0.3247,9381574,57891596.27
2019-05-31,'000031,大悦城,6.16,6.27,6.09,6.24,6.22,-0.06,-0.9646,10257121,63357972.59
2019-05-30,'000031,大悦城,6.22,6.36,6.14,6.36,6.34,-0.12,-1.8927,10974187,68293799.62
2019-05-29,'000031,大悦城,6.34,6.44,6.31,6.32,6.39,-0.05,-0.7825,10201403,64882084.16
2019-05-28,'000031,大悦城,6.39,6.57,6.31,6.48,6.43,-0.04,-0.6221,14284328,92144615.85
2019-05-27,'000031,大悦城,6.43,6.5,6.33,6.4,6.35,0.08,1.2598,10706136,68855954.88
2019-05-24,'000031,大悦城,6.35,6.45,6.31,6.32,6.34,0.01,0.1577,7924810,50477416.15
2019-05-23,'000031,大悦城,6.34,6.52,6.31,6.45,6.53,-0.19,-2.9096,11377112,72677655.45
2019-05-22,'000031,大悦城,6.53,6.75,6.51,6.65,6.65,-0.12,-1.8045,8361348,55129349.35
2019-05-21,'000031,大悦城,6.65,6.78,6.59,6.64,6.57,0.08,1.2177,10707500,71493527.82
2019-05-20,'000031,大悦城,6.57,6.73,6.46,6.63,6.7,-0.13,-1.9403,11116481,73239933.52
2019-05-17,'000031,大悦城,6.7,7.02,6.68,7.02,6.99,-0.29,-4.1488,17351459,118420349.12
2019-05-16,'000031,大悦城,6.99,7.07,6.86,6.95,6.97,0.02,0.2869,18556654,129346250.4
2019-05-15,'000031,大悦城,7.08,7.11,6.97,7.03,6.93,0.15,2.1645,14420933,101305036.82
2019-05-14,'000031,大悦城,6.93,7.07,6.83,6.87,6.97,-0.04,-0.5739,11470010,80016161.76
2019-05-13,'000031,大悦城,6.97,7.12,6.96,7.08,7.08,-0.11,-1.5537,17928044,125893797.93
