日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2017-07-06,'000033,新都退,1.7,1.77,1.59,1.67,1.63,0.07,4.2945,38804227,65221874.41
2017-07-05,'000033,新都退,1.63,1.63,1.49,1.5,1.48,0.15,10.1351,28769449,45055313.73
2017-07-04,'000033,新都退,1.48,1.52,1.47,1.49,1.48,0.0,0.0,19426198,28998996.51
2017-07-03,'000033,新都退,1.48,1.48,1.43,1.44,1.43,0.05,3.4965,15941738,23263547.91
2017-06-30,'000033,新都退,1.43,1.53,1.42,1.48,1.48,-0.05,-3.3784,20756339,30468945.12
2017-06-29,'000033,新都退,1.48,1.52,1.41,1.42,1.41,0.07,4.9645,18923198,28006123.56
2017-06-28,'000033,新都退,1.41,1.44,1.36,1.37,1.37,0.04,2.9197,20647147,28689978.49
2017-06-27,'000033,新都退,1.37,1.42,1.35,1.35,1.36,0.01,0.7353,16695888,23024235.14
2017-06-26,'000033,新都退,1.36,1.37,1.3,1.32,1.3,0.06,4.6154,21436708,28708080.33
2017-06-23,'000033,新都退,1.3,1.4,1.26,1.39,1.4,-0.1,-7.1429,44728062,58833215.45
2017-06-22,'000033,新都退,1.4,1.44,1.33,1.35,1.32,0.08,6.0606,32884888,45807450.4
2017-06-21,'000033,新都退,1.32,1.33,1.2,1.23,1.23,0.09,7.3171,57823981,73708974.96
2017-06-20,'000033,新都退,1.23,1.4,1.21,1.21,1.34,-0.11,-8.209,159744861,196308323.89
2017-06-19,'000033,新都退,1.34,1.34,1.34,1.34,1.49,-0.15,-10.0671,2015600,2700904.0
2017-06-16,'000033,新都退,1.49,1.49,1.49,1.49,1.65,-0.16,-9.697,1429200,2129508.0
2017-06-15,'000033,新都退,1.65,1.65,1.65,1.65,1.83,-0.18,-9.8361,3693200,6093780.0
2017-06-14,'000033,新都退,1.83,1.83,1.83,1.83,2.03,-0.2,-9.8522,4495400,8226582.0
2017-06-13,'000033,新都退,2.03,2.03,2.03,2.03,2.25,-0.22,-9.7778,102900,208887.0
2017-06-12,'000033,新都退,2.25,2.25,2.25,2.25,2.5,-0.25,-10.0,23000,51750.0
2017-06-09,'000033,新都退,2.5,2.5,2.5,2.5,2.78,-0.28,-10.0719,75200,188000.0
2017-06-08,'000033,新都退,2.78,2.78,2.78,2.78,3.09,-0.31,-10.0324,23100,64218.0
2017-06-07,'000033,新都退,3.09,3.09,3.09,3.09,3.43,-0.34,-9.9125,9400,29046.0
2017-06-06,'000033,新都退,3.43,3.43,3.43,3.43,3.81,-0.38,-9.9738,1300,4459.0
2017-06-05,'000033,新都退,3.81,3.81,3.81,3.81,4.23,-0.42,-9.9291,11700,44577.0
2017-06-02,'000033,新都退,4.23,4.23,4.23,4.23,4.7,-0.47,-10.0,1100,4653.0
2017-06-01,'000033,新都退,4.7,4.7,4.7,4.7,5.22,-0.52,-9.9617,1900,8930.0
2017-05-31,'000033,新都退,5.22,5.22,5.22,5.22,5.8,-0.58,-10.0,100,522.0
2017-05-26,'000033,新都退,5.8,5.8,5.8,5.8,6.44,-0.64,-9.9379,300,1740.0
2017-05-25,'000033,新都退,6.44,6.44,6.44,6.44,7.16,-0.72,-10.0559,700,4508.0
2017-05-24,'000033,新都退,7.16,7.16,7.16,7.16,7.96,-0.8,-10.0503,326800,2339888.0
2015-05-20,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-19,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-18,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-15,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-14,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-13,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-12,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-11,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-08,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-07,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-06,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
2015-05-05,'000033,*ST新都,0.0,0.0,0.0,0.0,10.38,None,None,0,0.0
