日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000034,神州数码,13.71,13.75,13.15,13.18,12.9,0.81,6.2791,11159842,151280568.04
2019-06-28,'000034,神州数码,12.9,13.24,12.8,13.18,13.24,-0.34,-2.568,2862420,37061155.16
2019-06-27,'000034,神州数码,13.24,13.36,13.15,13.25,13.12,0.12,0.9146,3623910,48126921.67
2019-06-26,'000034,神州数码,13.12,13.3,13.01,13.02,13.08,0.04,0.3058,3266865,43089356.35
2019-06-25,'000034,神州数码,13.08,13.41,12.88,13.41,13.34,-0.26,-1.949,4480300,58691976.0
2019-06-24,'000034,神州数码,13.34,13.47,13.25,13.32,13.29,0.05,0.3762,4655193,62171277.8
2019-06-21,'000034,神州数码,13.29,13.45,13.16,13.19,13.11,0.18,1.373,4574301,60734978.26
2019-06-20,'000034,神州数码,13.11,13.16,12.82,12.98,12.92,0.19,1.4706,3231801,42181645.91
2019-06-19,'000034,神州数码,12.92,13.17,12.92,13.15,12.79,0.13,1.0164,4948600,64501003.25
2019-06-18,'000034,神州数码,12.79,12.9,12.67,12.79,12.9,-0.11,-0.8527,2811300,35857449.62
2019-06-17,'000034,神州数码,12.9,13.04,12.52,12.63,12.58,0.32,2.5437,5680524,72818046.57
2019-06-14,'000034,神州数码,12.58,12.99,12.55,12.85,12.85,-0.27,-2.1012,3840700,48907426.0
2019-06-13,'000034,神州数码,12.85,12.92,12.69,12.75,12.75,0.1,0.7843,2570980,32912244.97
2019-06-12,'000034,神州数码,12.75,12.93,12.68,12.88,12.93,-0.18,-1.3921,3764773,48126781.26
2019-06-11,'000034,神州数码,12.93,12.93,12.46,12.52,12.52,0.41,3.2748,3980038,50769408.72
2019-06-10,'000034,神州数码,12.52,12.62,12.34,12.34,12.36,0.16,1.2945,2211747,27692766.44
2019-06-06,'000034,神州数码,12.36,12.6,12.33,12.55,12.53,-0.17,-1.3567,3160356,39261308.02
2019-06-05,'000034,神州数码,12.53,12.75,12.5,12.75,12.6,-0.07,-0.5556,2712300,34144665.0
2019-06-04,'000034,神州数码,12.6,12.78,12.49,12.49,12.51,0.09,0.7194,2928300,37022663.4
2019-06-03,'000034,神州数码,12.51,12.84,12.39,12.79,12.79,-0.28,-2.1892,3809775,47921292.0
2019-05-31,'000034,神州数码,12.79,12.9,12.65,12.76,12.76,0.03,0.2351,3492611,44628498.39
2019-05-30,'000034,神州数码,12.76,12.86,12.6,12.64,12.75,0.01,0.0784,3917456,49832653.02
2019-05-29,'000034,神州数码,12.75,12.93,12.58,12.66,12.75,0.0,0.0,4040601,51585133.65
2019-05-28,'000034,神州数码,12.75,12.98,12.65,12.8,12.79,-0.04,-0.3127,5409223,69311860.43
2019-05-27,'000034,神州数码,12.79,12.83,12.36,12.5,12.45,0.34,2.7309,4403964,55713337.22
2019-05-24,'000034,神州数码,12.45,12.84,12.41,12.62,12.75,-0.3,-2.3529,3357878,42253536.06
