日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000035,中国天楹,6.12,6.42,6.07,6.26,6.0,0.12,2.0,76367669,475634413.03
2019-06-28,'000035,中国天楹,6.0,6.19,5.57,5.89,6.0,0.0,0.0,81165477,480759741.03
2019-06-27,'000035,中国天楹,6.0,6.28,5.76,5.78,6.03,-0.03,-0.4975,94610921,566056995.31
2019-06-26,'000035,中国天楹,6.03,6.57,5.72,5.96,5.97,0.06,1.005,118861596,749026385.85
2019-06-25,'000035,中国天楹,5.97,5.97,5.32,5.43,5.43,0.54,9.9448,87087768,507063669.4
2019-06-24,'000035,中国天楹,5.43,5.67,5.35,5.62,5.58,-0.15,-2.6882,41899265,229749592.03
2019-06-21,'000035,中国天楹,5.58,5.67,5.32,5.47,5.43,0.15,2.7624,61371407,337937279.58
2019-06-20,'000035,中国天楹,5.43,5.5,5.22,5.31,5.19,0.24,4.6243,59531249,320549990.47
2019-06-19,'000035,中国天楹,5.19,5.19,4.68,4.74,4.72,0.47,9.9576,38876909,195929328.3
2019-06-18,'000035,中国天楹,4.72,4.85,4.59,4.61,4.61,0.11,2.3861,7675453,36063194.35
2019-06-17,'000035,中国天楹,4.61,4.75,4.6,4.71,4.7,-0.09,-1.9149,5043987,23547958.69
2019-06-14,'000035,中国天楹,4.7,4.77,4.64,4.7,4.68,0.02,0.4274,6505633,30531568.35
2019-06-13,'000035,中国天楹,4.68,4.78,4.65,4.77,4.78,-0.1,-2.0921,7993400,37690698.32
2019-06-12,'000035,中国天楹,4.78,4.88,4.76,4.88,4.88,-0.1,-2.0492,8727100,41839234.0
2019-06-11,'000035,中国天楹,4.88,4.93,4.74,4.82,4.83,0.05,1.0352,13859505,67232942.09
2019-06-10,'000035,中国天楹,4.83,4.84,4.56,4.62,4.61,0.22,4.7722,16059296,76566366.0
2019-06-06,'000035,中国天楹,4.61,4.67,4.52,4.63,4.66,-0.05,-1.073,9400630,43113222.28
2019-06-05,'000035,中国天楹,4.66,4.77,4.43,4.45,4.42,0.24,5.4299,17541567,81204642.15
2019-06-04,'000035,中国天楹,4.42,4.55,4.41,4.55,4.61,-0.19,-4.1215,13186811,58924100.72
2019-06-03,'000035,中国天楹,4.61,4.8,4.29,4.37,4.36,0.25,5.7339,22017868,102417285.35
2019-05-31,'000035,中国天楹,4.36,4.38,4.28,4.29,4.3,0.06,1.3953,3318410,14429887.61
2019-05-30,'000035,中国天楹,4.3,4.32,4.26,4.3,4.32,-0.02,-0.463,2932800,12582297.0
2019-05-29,'000035,中国天楹,4.32,4.35,4.3,4.3,4.33,-0.01,-0.2309,2596013,11230337.14
2019-05-28,'000035,中国天楹,4.33,4.38,4.32,4.37,4.37,-0.04,-0.9153,3901440,16986451.42
2019-05-27,'000035,中国天楹,4.37,4.37,4.2,4.28,4.28,0.09,2.1028,4640898,19976264.42
2019-05-24,'000035,中国天楹,4.28,4.31,4.23,4.28,4.3,-0.02,-0.4651,2744079,11711197.96
2019-05-23,'000035,中国天楹,4.3,4.37,4.27,4.37,4.39,-0.09,-2.0501,4577616,19699304.47
2019-05-22,'000035,中国天楹,4.39,4.48,4.31,4.4,4.4,-0.01,-0.2273,4073805,17947652.75
2019-05-21,'000035,中国天楹,4.4,4.43,4.31,4.33,4.34,0.06,1.3825,4022201,17673612.33
2019-05-20,'000035,中国天楹,4.34,4.41,4.22,4.33,4.38,-0.04,-0.9132,5390973,23114178.18
2019-05-17,'000035,中国天楹,4.38,4.66,4.36,4.62,4.63,-0.25,-5.3996,9159058,41029942.26
2019-05-16,'000035,中国天楹,4.63,4.64,4.57,4.61,4.61,0.02,0.4338,5321146,24543415.34
2019-05-15,'000035,中国天楹,4.61,4.64,4.56,4.56,4.53,0.08,1.766,5486406,25218645.31
2019-05-14,'000035,中国天楹,4.53,4.64,4.53,4.59,4.64,-0.11,-2.3707,5730800,26246473.0
2019-05-13,'000035,中国天楹,4.64,4.68,4.41,4.55,4.57,0.07,1.5317,8141082,37479265.38
2019-05-10,'000035,中国天楹,4.57,4.61,4.4,4.51,4.5,0.07,1.5556,8911442,40495537.58
2019-05-09,'000035,中国天楹,4.5,4.68,4.41,4.67,4.69,-0.19,-4.0512,12156200,55101379.0
2019-05-08,'000035,中国天楹,4.69,4.82,4.66,4.72,4.79,-0.1,-2.0877,7277960,34522079.4
2019-05-07,'000035,中国天楹,4.79,4.86,4.72,4.82,4.78,0.01,0.2092,6397316,30694538.32
2019-05-06,'000035,中国天楹,4.78,5.02,4.62,5.02,5.13,-0.35,-6.8226,14021173,67550764.55
2019-04-30,'000035,中国天楹,5.13,5.22,5.11,5.14,5.12,0.01,0.1953,5728600,29650356.0
2019-04-29,'000035,中国天楹,5.12,5.33,5.1,5.21,5.17,-0.05,-0.9671,11030044,57482654.1
2019-04-26,'000035,中国天楹,5.17,5.34,5.12,5.3,5.33,-0.16,-3.0019,9683755,50508253.07
2019-04-25,'000035,中国天楹,5.33,5.56,5.32,5.56,5.6,-0.27,-4.8214,16473942,89499755.62
2019-04-24,'000035,中国天楹,5.6,5.6,5.37,5.41,5.39,0.21,3.8961,23900514,131690595.66
2019-04-23,'000035,中国天楹,5.39,5.48,5.31,5.47,5.46,-0.07,-1.2821,12687946,68176685.48
2019-04-22,'000035,中国天楹,5.46,5.64,5.38,5.4,5.4,0.06,1.1111,22126880,121625426.65
2019-04-19,'000035,中国天楹,5.4,5.42,5.22,5.25,5.24,0.16,3.0534,17175403,91501763.72
2019-04-18,'000035,中国天楹,5.24,5.32,5.23,5.3,5.26,-0.02,-0.3802,9304356,48967081.43
2019-04-17,'000035,中国天楹,5.26,5.33,5.16,5.22,5.21,0.05,0.9597,10213147,53751500.52
2019-04-16,'000035,中国天楹,5.21,5.22,5.03,5.14,5.14,0.07,1.3619,10901249,55832023.79
2019-04-15,'000035,中国天楹,5.14,5.29,5.13,5.18,5.22,-0.08,-1.5326,11292585,58948917.05
2019-04-12,'000035,中国天楹,5.22,5.24,5.12,5.17,5.17,0.05,0.9671,8075100,41899921.0
2019-04-11,'000035,中国天楹,5.17,5.35,5.15,5.34,5.3,-0.13,-2.4528,11305025,59076963.8
2019-04-10,'000035,中国天楹,5.3,5.36,5.17,5.27,5.3,0.0,0.0,12730020,67135188.39
2019-04-09,'000035,中国天楹,5.3,5.34,5.2,5.25,5.24,0.06,1.145,11383114,60084332.99
2019-04-08,'000035,中国天楹,5.24,5.42,5.13,5.37,5.36,-0.12,-2.2388,14835267,78518777.03
2019-04-04,'000035,中国天楹,5.36,5.39,5.32,5.37,5.35,0.01,0.1869,13570118,72719535.46
2019-04-03,'000035,中国天楹,5.35,5.35,5.26,5.31,5.3,0.05,0.9434,8532718,45358161.0
