日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000036,华联控股,5.15,5.21,5.11,5.2,5.11,0.04,0.7828,14456687,74632974.72
2019-06-28,'000036,华联控股,5.11,5.28,5.11,5.27,5.35,-0.24,-4.486,18840058,97641687.28
2019-06-27,'000036,华联控股,7.56,7.65,7.52,7.64,7.64,-0.08,-1.0471,18766036,141998891.68
2019-06-26,'000036,华联控股,7.64,7.67,7.58,7.6,7.63,0.01,0.1311,9235351,70476046.8
2019-06-25,'000036,华联控股,7.63,7.65,7.51,7.63,7.61,0.02,0.2628,10983006,83353529.19
2019-06-24,'000036,华联控股,7.61,7.78,7.56,7.75,7.73,-0.12,-1.5524,18869477,144343709.79
2019-06-21,'000036,华联控股,7.73,7.73,7.6,7.6,7.59,0.14,1.8445,13101687,100430231.24
2019-06-20,'000036,华联控股,7.59,7.65,7.44,7.46,7.48,0.11,1.4706,9798795,74150754.01
2019-06-19,'000036,华联控股,7.48,7.61,7.47,7.55,7.47,0.01,0.1339,9030709,68261290.18
2019-06-18,'000036,华联控股,7.47,7.55,7.43,7.47,7.51,-0.04,-0.5326,5257173,39342918.81
2019-06-17,'000036,华联控股,7.51,7.56,7.45,7.5,7.5,0.01,0.1333,5399484,40594469.02
2019-06-14,'000036,华联控股,7.5,7.65,7.43,7.61,7.61,-0.11,-1.4455,5901698,44519349.77
2019-06-13,'000036,华联控股,7.61,7.62,7.54,7.58,7.61,0.0,0.0,4357474,33027613.87
2019-06-12,'000036,华联控股,7.61,7.69,7.57,7.66,7.68,-0.07,-0.9115,8912191,67901302.54
2019-06-11,'000036,华联控股,7.68,7.68,7.42,7.45,7.43,0.25,3.3647,11800652,89581232.37
2019-06-10,'000036,华联控股,7.43,7.46,7.3,7.38,7.32,0.11,1.5027,7407172,54797898.96
2019-06-06,'000036,华联控股,7.32,7.39,7.25,7.34,7.33,-0.01,-0.1364,5345435,39189704.13
2019-06-05,'000036,华联控股,7.33,7.45,7.28,7.3,7.25,0.08,1.1034,8283048,60941780.93
2019-06-04,'000036,华联控股,7.25,7.3,7.2,7.28,7.3,-0.05,-0.6849,3845675,27873796.92
2019-06-03,'000036,华联控股,7.3,7.32,7.2,7.27,7.27,0.03,0.4127,6525543,47450568.69
2019-05-31,'000036,华联控股,7.27,7.35,7.25,7.29,7.29,-0.02,-0.2743,4549664,33168355.28
2019-05-30,'000036,华联控股,7.29,7.29,7.22,7.28,7.29,0.0,0.0,4087046,29626449.65
2019-05-29,'000036,华联控股,7.29,7.33,7.25,7.26,7.3,-0.01,-0.137,4648643,33900309.96
2019-05-28,'000036,华联控股,7.3,7.37,7.25,7.35,7.29,0.01,0.1372,6035731,44156340.43
2019-05-27,'000036,华联控股,7.29,7.33,7.06,7.13,7.08,0.21,2.9661,8308020,60111668.13
2019-05-24,'000036,华联控股,7.08,7.12,7.03,7.04,7.07,0.01,0.1414,3619800,25648996.94
2019-05-23,'000036,华联控股,7.07,7.15,7.02,7.12,7.15,-0.08,-1.1189,5866900,41609723.74
2019-05-22,'000036,华联控股,7.15,7.26,7.12,7.26,7.25,-0.1,-1.3793,5256274,37752158.86
2019-05-21,'000036,华联控股,7.25,7.29,7.13,7.22,7.17,0.08,1.1158,7171079,51828066.32
2019-05-20,'000036,华联控股,7.17,7.25,7.06,7.18,7.2,-0.03,-0.4167,5243995,37489406.15
