日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000037,深南电A,13.23,13.45,12.98,13.24,13.21,0.02,0.1514,6435007,85179123.24
2019-06-28,'000037,深南电A,13.21,13.9,13.12,13.48,13.14,0.07,0.5327,5948166,80111026.99
2019-06-27,'000037,深南电A,13.14,13.43,13.11,13.27,13.37,-0.23,-1.7203,3479899,46094156.57
2019-06-26,'000037,深南电A,13.37,13.46,12.95,13.1,13.17,0.2,1.5186,3555719,47297549.81
2019-06-25,'000037,深南电A,13.17,13.48,12.9,13.22,13.02,0.15,1.1521,4912113,64430384.75
2019-06-24,'000037,深南电A,13.02,13.5,12.87,13.31,13.52,-0.5,-3.6982,6015800,78717385.0
2019-06-21,'000037,深南电A,13.52,13.96,13.22,13.54,13.46,0.06,0.4458,6629824,89723893.13
2019-06-20,'000037,深南电A,13.46,13.98,13.01,13.1,13.32,0.14,1.0511,9757012,131523240.89
2019-06-19,'000037,深南电A,13.32,13.42,12.28,12.45,12.2,1.12,9.1803,14133875,185050590.9
2019-06-18,'000037,深南电A,12.2,12.36,11.91,12.31,12.28,-0.08,-0.6515,3695425,44726886.41
2019-06-17,'000037,深南电A,12.28,12.66,11.81,12.28,12.28,0.0,0.0,6355279,77214753.82
2019-06-14,'000037,深南电A,12.28,12.69,11.86,11.92,11.93,0.35,2.9338,9275006,113773480.96
2019-06-13,'000037,深南电A,11.93,12.79,11.55,11.9,11.66,0.27,2.3156,14310380,175276230.89
2019-06-12,'000037,深南电A,11.66,11.66,10.5,10.5,10.6,1.06,10.0,11605445,130719569.7
2019-06-11,'000037,深南电A,10.6,10.8,10.33,10.5,10.34,0.26,2.5145,7311905,77184797.29
2019-06-10,'000037,深南电A,10.34,10.34,9.4,9.43,9.4,0.94,10.0,6855705,68752624.82
2019-06-06,'000037,深南电A,9.4,9.78,9.3,9.78,9.73,-0.33,-3.3916,1862539,17768740.79
2019-06-05,'000037,深南电A,9.73,9.94,9.7,9.71,9.63,0.1,1.0384,1660852,16304290.57
2019-06-04,'000037,深南电A,9.63,9.78,9.6,9.68,9.72,-0.09,-0.9259,1642301,15912747.17
2019-06-03,'000037,深南电A,9.72,10.18,9.68,10.05,10.03,-0.31,-3.0907,3917808,38516057.24
2019-05-31,'000037,深南电A,10.03,10.05,9.67,9.82,9.82,0.21,2.1385,3769519,37217210.31
2019-05-30,'000037,深南电A,9.82,9.96,9.68,9.93,9.96,-0.14,-1.4056,3718152,36437505.83
2019-05-29,'000037,深南电A,9.96,10.08,9.8,10.07,10.05,-0.09,-0.8955,4576874,45660504.2
2019-05-28,'000037,深南电A,10.05,10.54,9.91,10.07,10.0,0.05,0.5,11635896,118916178.07
2019-05-27,'000037,深南电A,10.0,10.03,9.2,9.27,9.22,0.78,8.4599,7431619,71689086.14
2019-05-24,'000037,深南电A,9.22,9.45,9.03,9.19,9.17,0.05,0.5453,3829904,35391997.01
2019-05-23,'000037,深南电A,9.17,9.61,9.09,9.6,9.45,-0.28,-2.963,5117689,47493163.57
2019-05-22,'000037,深南电A,9.45,9.86,9.37,9.71,9.68,-0.23,-2.376,4768558,45524438.01
2019-05-21,'000037,深南电A,9.68,9.78,9.19,9.29,9.19,0.49,5.3319,7640124,72666526.56
2019-05-20,'000037,深南电A,9.19,9.88,9.12,9.87,9.68,-0.49,-5.062,5692091,52810147.97
2019-05-17,'000037,深南电A,9.68,10.24,9.4,10.23,10.16,-0.48,-4.7244,6519789,64446525.28
2019-05-16,'000037,深南电A,10.16,10.49,10.07,10.38,10.3,-0.14,-1.3592,5536041,56652390.56
2019-05-15,'000037,深南电A,10.3,10.35,10.12,10.19,10.09,0.21,2.0813,5038500,51601566.0
2019-05-14,'000037,深南电A,10.09,10.25,10.06,10.1,10.07,0.02,0.1986,7430200,75524134.0
2019-05-13,'000037,深南电A,10.07,10.33,10.0,10.26,10.27,-0.2,-1.9474,7490600,76240270.0
2019-05-10,'000037,深南电A,10.27,10.29,9.71,10.2,9.95,0.32,3.2161,8282736,83884020.0
2019-05-09,'000037,深南电A,9.95,10.43,9.92,10.15,10.17,-0.22,-2.1632,7529033,76470695.05
