日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000038,深大通,7.45,7.49,7.1,7.1,7.05,0.4,5.6738,13909186,102657927.95
2019-06-28,'000038,深大通,7.05,7.31,6.99,7.31,7.29,-0.24,-3.2922,8295100,58876816.0
2019-06-27,'000038,深大通,7.29,7.42,7.24,7.25,7.3,-0.01,-0.137,6376828,46792657.5
2019-06-26,'000038,深大通,7.3,7.38,7.22,7.25,7.24,0.06,0.8287,6497814,47540220.47
2019-06-25,'000038,深大通,7.24,7.35,7.09,7.3,7.36,-0.12,-1.6304,6955569,50066474.0
2019-06-24,'000038,深大通,7.36,7.62,7.26,7.55,7.41,-0.05,-0.6748,8708500,64422520.4
2019-06-21,'000038,深大通,7.41,7.43,7.29,7.38,7.27,0.14,1.9257,9320147,68697975.15
2019-06-20,'000038,深大通,7.27,7.33,7.09,7.11,7.2,0.07,0.9722,7894916,57017417.0
2019-06-19,'000038,深大通,7.2,7.45,7.19,7.28,7.22,-0.02,-0.277,10065902,73592211.82
2019-06-18,'000038,深大通,7.22,7.25,7.02,7.02,7.04,0.18,2.5568,8131842,58291344.08
2019-06-17,'000038,深大通,7.04,7.19,6.96,7.05,7.06,-0.02,-0.2833,4717390,33266043.8
2019-06-14,'000038,深大通,7.06,7.38,7.05,7.32,7.39,-0.33,-4.4655,8663525,62297202.94
2019-06-13,'000038,深大通,7.39,7.44,7.12,7.18,7.25,0.14,1.931,10987371,80091612.45
2019-06-12,'000038,深大通,7.25,7.52,7.16,7.19,7.23,0.02,0.2766,13068118,95971409.92
2019-06-11,'000038,深大通,7.23,7.27,6.93,7.06,7.03,0.2,2.845,12691760,90797795.2
2019-06-10,'000038,深大通,7.03,7.12,6.92,7.12,7.02,0.01,0.1425,5557050,39042969.7
2019-06-06,'000038,深大通,7.02,7.3,6.92,7.3,7.37,-0.35,-4.749,9842499,69363263.95
2019-06-05,'000038,深大通,7.37,7.58,7.33,7.53,7.43,-0.06,-0.8075,7817025,58116507.3
2019-06-04,'000038,深大通,7.43,7.75,7.37,7.71,7.66,-0.23,-3.0026,9846232,74620709.32
2019-06-03,'000038,深大通,7.66,8.18,7.58,8.14,8.22,-0.56,-6.8127,15252314,118703155.97
2019-05-31,'000038,深大通,8.22,8.38,8.11,8.23,8.23,-0.01,-0.1215,13341743,109861997.09
2019-05-30,'000038,深大通,8.23,8.42,8.15,8.21,8.79,-0.56,-6.3709,20955648,172978673.11
2019-05-29,'000038,深大通,8.79,9.46,8.11,8.11,8.95,-0.16,-1.7877,33799649,288015097.54
2019-05-28,'000038,深大通,8.95,8.95,8.95,8.95,9.94,-0.99,-9.9598,1926700,17243965.0
2019-05-27,'000038,深大通,9.94,9.94,9.94,9.94,11.04,-1.1,-9.9638,898700,8933078.0
2019-05-24,'000038,深大通,11.04,11.04,11.04,11.04,12.27,-1.23,-10.0244,1320000,14572800.0
2019-05-23,'000038,深大通,12.27,13.03,11.91,12.44,12.38,-0.11,-0.8885,13110841,162699130.46
2019-05-22,'000038,深大通,12.38,12.75,12.31,12.75,12.75,-0.37,-2.902,5376881,66827476.01
2019-05-21,'000038,深大通,12.75,12.75,12.18,12.68,12.4,0.35,2.8226,9601568,119821915.05
2019-05-20,'000038,深大通,12.4,12.4,11.16,12.36,12.4,0.0,0.0,13501116,155768493.4
2019-05-17,'000038,深大通,12.4,12.9,12.14,12.62,13.05,-0.65,-4.9808,11832527,147847780.33
2019-05-16,'000038,深大通,13.05,13.15,12.84,13.15,13.15,-0.1,-0.7605,7271562,94239176.16
