日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000039,中集集团,10.88,10.98,10.78,10.93,10.68,0.2,1.8727,10711217,116639315.65
2019-06-28,'000039,中集集团,10.68,10.75,10.56,10.73,10.73,-0.05,-0.466,6940694,73898449.78
2019-06-27,'000039,中集集团,13.43,13.57,13.35,13.43,13.42,0.01,0.0745,8137814,109565934.91
2019-06-26,'000039,中集集团,13.42,13.48,13.34,13.48,13.44,-0.02,-0.1488,4904104,65717831.16
2019-06-25,'000039,中集集团,13.44,13.51,13.2,13.51,13.47,-0.03,-0.2227,6650930,88777337.0
2019-06-24,'000039,中集集团,13.47,13.5,13.33,13.44,13.3,0.17,1.2782,7939004,106522629.61
2019-06-21,'000039,中集集团,13.3,13.34,13.01,13.01,13.0,0.3,2.3077,10104430,133924111.52
2019-06-20,'000039,中集集团,13.0,13.1,12.69,12.74,12.74,0.26,2.0408,7171642,92862012.15
2019-06-19,'000039,中集集团,12.74,12.98,12.73,12.75,12.53,0.21,1.676,5745148,73582468.85
2019-06-18,'000039,中集集团,12.53,12.57,12.4,12.56,12.53,0.0,0.0,2241304,27989865.16
2019-06-17,'000039,中集集团,12.53,12.54,12.34,12.35,12.4,0.13,1.0484,2673903,33359014.64
2019-06-14,'000039,中集集团,12.4,12.64,12.33,12.57,12.57,-0.17,-1.3524,4688501,58642734.1
2019-06-13,'000039,中集集团,12.57,12.62,12.4,12.51,12.58,-0.01,-0.0795,2883571,36138731.71
2019-06-12,'000039,中集集团,12.58,12.67,12.5,12.63,12.63,-0.05,-0.3959,3620504,45507722.05
2019-06-11,'000039,中集集团,12.63,12.65,12.26,12.26,12.26,0.37,3.0179,5524330,69106977.75
2019-06-10,'000039,中集集团,12.26,12.33,12.07,12.28,12.12,0.14,1.1551,3208542,39207246.75
2019-06-06,'000039,中集集团,12.12,12.3,12.1,12.22,12.31,-0.19,-1.5435,3398005,41396847.98
2019-06-05,'000039,中集集团,12.31,12.49,12.27,12.45,12.3,0.01,0.0813,3407686,42154852.14
2019-06-04,'000039,中集集团,12.3,12.35,12.24,12.26,12.26,0.04,0.3263,3662511,45012831.07
2019-06-03,'000039,中集集团,12.26,12.57,12.2,12.45,12.43,-0.17,-1.3677,4693100,57975680.02
2019-05-31,'000039,中集集团,12.43,12.74,12.38,12.69,12.66,-0.23,-1.8167,6537163,81784161.05
2019-05-30,'000039,中集集团,12.66,12.68,12.45,12.65,12.68,-0.02,-0.1577,3932400,49386929.32
2019-05-29,'000039,中集集团,12.68,12.8,12.66,12.77,12.82,-0.14,-1.092,4006160,50932695.07
2019-05-28,'000039,中集集团,12.82,12.9,12.66,12.77,12.73,0.09,0.707,5545779,70960015.34
2019-05-27,'000039,中集集团,12.73,12.78,12.47,12.5,12.51,0.22,1.7586,4460449,56495881.72
2019-05-24,'000039,中集集团,12.51,12.67,12.46,12.54,12.51,0.0,0.0,3652702,45744518.05
2019-05-23,'000039,中集集团,12.51,12.78,12.48,12.73,12.76,-0.25,-1.9592,4977603,62710812.56
2019-05-22,'000039,中集集团,12.76,12.92,12.73,12.86,12.8,-0.04,-0.3125,5177753,66447308.1
2019-05-21,'000039,中集集团,12.8,12.92,12.6,12.6,12.63,0.17,1.346,4987161,63978511.05
2019-05-20,'000039,中集集团,12.63,12.68,12.32,12.55,12.58,0.05,0.3975,4663187,58465370.67
2019-05-17,'000039,中集集团,12.58,13.06,12.55,13.0,13.05,-0.47,-3.6015,6939659,88452922.85
2019-05-16,'000039,中集集团,13.05,13.06,12.88,12.93,12.92,0.13,1.0062,5776307,75009355.72
2019-05-15,'000039,中集集团,12.92,13.04,12.8,12.88,12.8,0.12,0.9375,6314801,81481061.15
2019-05-14,'000039,中集集团,12.8,12.92,12.5,12.5,12.66,0.14,1.1058,8880972,113751438.89
2019-05-13,'000039,中集集团,12.66,12.84,12.56,12.6,12.74,-0.08,-0.6279,7531668,95874487.12
2019-05-10,'000039,中集集团,12.74,12.78,12.22,12.35,12.33,0.41,3.3252,11185910,140848423.21
2019-05-09,'000039,中集集团,12.33,12.61,12.29,12.41,12.7,-0.37,-2.9134,9677203,120279634.21
2019-05-08,'000039,中集集团,12.7,12.95,12.51,12.65,12.84,-0.14,-1.0903,6846113,87124436.82
2019-05-07,'000039,中集集团,12.84,13.04,12.64,12.92,12.89,-0.05,-0.3879,9452138,121576258.72
2019-05-06,'000039,中集集团,12.89,13.55,12.73,13.53,14.14,-1.25,-8.8402,20019011,261843303.38
2019-04-30,'000039,中集集团,14.14,14.29,14.01,14.11,14.2,-0.06,-0.4225,8242169,116484809.57
2019-04-29,'000039,中集集团,14.2,14.53,14.13,14.53,14.22,-0.02,-0.1406,12016521,171789738.53
2019-04-26,'000039,中集集团,14.22,14.55,14.18,14.39,14.4,-0.18,-1.25,8821920,126330554.46
2019-04-25,'000039,中集集团,14.4,15.13,14.39,15.12,15.13,-0.73,-4.8249,15974852,234600556.51
2019-04-24,'000039,中集集团,15.13,15.16,14.83,14.97,14.94,0.19,1.2718,8622783,129538038.21
2019-04-23,'000039,中集集团,14.94,15.21,14.93,15.07,15.03,-0.09,-0.5988,9506095,143325961.91
2019-04-22,'000039,中集集团,15.03,15.57,14.88,15.38,15.36,-0.33,-2.1484,13853096,211296693.1
2019-04-19,'000039,中集集团,15.36,15.37,15.08,15.35,15.3,0.06,0.3922,8066372,123036230.18
2019-04-18,'000039,中集集团,15.3,15.5,15.29,15.5,15.53,-0.23,-1.481,8647134,132735510.19
2019-04-17,'000039,中集集团,15.53,15.65,15.3,15.41,15.4,0.13,0.8442,13576123,209953023.21
2019-04-16,'000039,中集集团,15.4,15.46,14.87,15.05,15.08,0.32,2.122,12872036,195428355.9
2019-04-15,'000039,中集集团,15.08,15.52,15.05,15.42,15.2,-0.12,-0.7895,14010236,215112473.09
2019-04-12,'000039,中集集团,15.2,15.41,14.99,15.32,15.3,-0.1,-0.6536,13075033,198279625.25
2019-04-11,'000039,中集集团,15.3,15.63,15.21,15.5,15.5,-0.2,-1.2903,13177972,202798709.44
2019-04-10,'000039,中集集团,15.5,15.73,15.31,15.6,15.81,-0.31,-1.9608,14464767,224039433.83
2019-04-09,'000039,中集集团,15.81,15.89,15.54,15.68,15.69,0.12,0.7648,15638645,245553957.55
