日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000040,东旭蓝天,6.81,6.98,6.71,6.71,6.64,0.17,2.5602,20327392,138985021.72
2019-06-28,'000040,东旭蓝天,6.64,6.74,6.54,6.74,6.69,-0.05,-0.7474,11384629,75506955.94
2019-06-27,'000040,东旭蓝天,6.69,6.78,6.68,6.71,6.7,-0.01,-0.1493,11156798,74954267.64
2019-06-26,'000040,东旭蓝天,6.7,6.8,6.69,6.75,6.79,-0.09,-1.3255,10590840,71289424.59
2019-06-25,'000040,东旭蓝天,6.79,6.91,6.77,6.88,6.93,-0.14,-2.0202,13340919,90796758.2
2019-06-24,'000040,东旭蓝天,6.93,7.14,6.89,6.97,6.89,0.04,0.5806,22749041,159548010.84
2019-06-21,'000040,东旭蓝天,6.89,6.93,6.8,6.84,6.78,0.11,1.6224,20700684,142163296.56
2019-06-20,'000040,东旭蓝天,6.78,6.79,6.56,6.6,6.6,0.18,2.7273,23132848,155633724.07
2019-06-19,'000040,东旭蓝天,6.6,6.63,6.52,6.58,6.46,0.14,2.1672,11414087,74912664.76
2019-06-18,'000040,东旭蓝天,6.46,6.49,6.4,6.46,6.48,-0.02,-0.3086,4604297,29751135.73
2019-06-17,'000040,东旭蓝天,6.48,6.54,6.34,6.49,6.51,-0.03,-0.4608,9349703,60178591.89
2019-06-14,'000040,东旭蓝天,6.51,6.61,6.49,6.6,6.59,-0.08,-1.214,9229601,60364615.94
2019-06-13,'000040,东旭蓝天,6.59,6.63,6.51,6.53,6.59,0.0,0.0,9081755,59676157.7
2019-06-12,'000040,东旭蓝天,6.59,6.71,6.59,6.69,6.69,-0.1,-1.4948,9248757,61454633.74
2019-06-11,'000040,东旭蓝天,6.69,6.71,6.51,6.51,6.54,0.15,2.2936,12095902,80203474.67
2019-06-10,'000040,东旭蓝天,6.54,6.59,6.48,6.55,6.55,-0.01,-0.1527,5115256,33468571.48
2019-06-06,'000040,东旭蓝天,6.55,6.7,6.54,6.7,6.7,-0.15,-2.2388,5102700,33731853.0
2019-06-05,'000040,东旭蓝天,6.7,6.73,6.63,6.71,6.7,0.0,0.0,10455882,69808265.17
2019-06-04,'000040,东旭蓝天,6.7,6.71,6.54,6.67,6.72,-0.02,-0.2976,10683288,70634123.47
2019-06-03,'000040,东旭蓝天,6.72,6.76,6.52,6.69,6.71,0.01,0.149,13223051,87866811.91
2019-05-31,'000040,东旭蓝天,6.71,6.76,6.68,6.73,6.71,0.0,0.0,8454321,56821137.11
2019-05-30,'000040,东旭蓝天,6.71,6.78,6.68,6.75,6.81,-0.1,-1.4684,9255441,62235356.28
2019-05-29,'000040,东旭蓝天,6.81,6.91,6.73,6.79,6.8,0.01,0.1471,12374040,84279416.36
2019-05-28,'000040,东旭蓝天,6.8,6.88,6.73,6.78,6.81,-0.01,-0.1468,11450395,77998402.95
2019-05-27,'000040,东旭蓝天,6.81,6.83,6.66,6.73,6.72,0.09,1.3393,11881361,80089893.81
