日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000042,中洲控股,10.11,10.14,10.06,10.06,9.93,0.18,1.8127,1576206,15909644.54
2019-06-28,'000042,中洲控股,9.93,10.07,9.9,10.06,10.06,-0.13,-1.2922,1043501,10399992.02
2019-06-27,'000042,中洲控股,10.06,10.21,10.05,10.21,10.12,-0.06,-0.5929,965957,9762390.12
2019-06-26,'000042,中洲控股,10.12,10.17,10.05,10.08,10.09,0.03,0.2973,744713,7539208.34
2019-06-25,'000042,中洲控股,10.09,10.29,10.02,10.29,10.22,-0.13,-1.272,1127141,11386047.3
2019-06-24,'000042,中洲控股,10.22,10.32,10.18,10.26,10.27,-0.05,-0.4869,882039,9021465.02
2019-06-21,'000042,中洲控股,10.27,10.42,10.08,10.09,10.05,0.22,2.1891,1661065,17035693.4
2019-06-20,'000042,中洲控股,10.05,10.12,9.9,9.95,9.95,0.1,1.005,1408602,14138848.08
2019-06-19,'000042,中洲控股,9.95,10.05,9.91,9.94,9.8,0.15,1.5306,1050200,10467619.0
2019-06-18,'000042,中洲控股,9.8,9.88,9.76,9.86,9.86,-0.06,-0.6085,577900,5666065.0
2019-06-17,'000042,中洲控股,9.86,9.98,9.81,9.81,9.93,-0.07,-0.7049,766300,7554979.0
2019-06-14,'000042,中洲控股,9.93,10.1,9.9,10.03,10.0,-0.07,-0.7,1002718,10028080.0
2019-06-13,'000042,中洲控股,10.0,10.04,9.83,9.96,9.9,0.1,1.0101,908618,9040741.66
2019-06-12,'000042,中洲控股,10.0,10.12,9.97,10.12,10.14,-0.14,-1.3807,944800,9487379.0
2019-06-11,'000042,中洲控股,10.14,10.15,9.85,9.87,9.83,0.31,3.1536,1365052,13680033.52
2019-06-10,'000042,中洲控股,9.83,9.88,9.58,9.6,9.57,0.26,2.7168,1357100,13213913.7
2019-06-06,'000042,中洲控股,9.57,9.92,9.55,9.88,9.86,-0.29,-2.9412,1231492,11918769.36
2019-06-05,'000042,中洲控股,9.86,9.95,9.85,9.95,9.85,0.01,0.1015,870579,8604436.94
2019-06-04,'000042,中洲控股,9.85,10.0,9.82,10.0,9.97,-0.12,-1.2036,1060502,10477932.03
2019-06-03,'000042,中洲控股,9.97,10.12,9.97,10.12,10.07,-0.1,-0.993,1142300,11437788.0
2019-05-31,'000042,中洲控股,10.07,10.19,10.07,10.1,10.13,-0.06,-0.5923,1034674,10475648.18
2019-05-30,'000042,中洲控股,10.13,10.2,10.06,10.2,10.24,-0.11,-1.0742,846886,8556370.02
2019-05-29,'000042,中洲控股,10.24,10.29,10.18,10.19,10.19,0.05,0.4907,936500,9592649.0
2019-05-28,'000042,中洲控股,10.19,10.38,10.19,10.26,10.26,-0.07,-0.6823,986909,10160080.97
2019-05-27,'000042,中洲控股,10.26,10.29,10.02,10.07,10.06,0.2,1.9881,1427740,14537358.48
2019-05-24,'000042,中洲控股,10.06,10.13,10.05,10.06,10.06,0.0,0.0,1018671,10267991.67
2019-05-23,'000042,中洲控股,10.06,10.31,10.04,10.26,10.28,-0.22,-2.1401,1486200,15061895.6
2019-05-22,'000042,中洲控股,10.28,10.5,10.25,10.5,10.48,-0.2,-1.9084,1505244,15575931.88
2019-05-21,'000042,中洲控股,10.48,10.5,10.28,10.28,10.35,0.13,1.256,1646644,17170589.6
2019-05-20,'000042,中洲控股,10.35,10.71,10.28,10.61,10.64,-0.29,-2.7256,1947856,20195407.86
2019-05-17,'000042,中洲控股,10.64,11.02,10.62,11.01,11.01,-0.37,-3.3606,2668937,28775866.58
2019-05-16,'000042,中洲控股,11.01,11.05,10.78,10.81,10.85,0.16,1.4747,2877017,31389527.4
2019-05-15,'000042,中洲控股,10.85,10.86,10.71,10.8,10.74,0.11,1.0242,2076706,22432111.4
2019-05-14,'000042,中洲控股,10.74,10.8,10.62,10.76,10.86,-0.12,-1.105,2354142,25201859.72
2019-05-13,'000042,中洲控股,10.86,10.94,10.84,10.94,11.01,-0.15,-1.3624,1540400,16783870.0
2019-05-10,'000042,中洲控股,11.01,11.02,10.71,10.85,10.8,0.21,1.9444,2976952,32527850.3
2019-05-09,'000042,中洲控股,10.8,10.96,10.75,10.81,10.9,-0.1,-0.9174,1298802,14073438.56
2019-05-08,'000042,中洲控股,10.9,11.0,10.64,10.72,10.86,0.04,0.3683,2037502,22134069.96
2019-05-07,'000042,中洲控股,10.86,10.95,10.68,10.81,10.74,0.12,1.1173,2464696,26697090.28
2019-05-06,'000042,中洲控股,10.74,11.11,10.61,11.06,11.31,-0.57,-5.0398,3561772,38707756.31
2019-04-30,'000042,中洲控股,11.31,11.36,10.93,10.94,11.01,0.3,2.7248,2516031,28267627.83
2019-04-29,'000042,中洲控股,11.01,11.4,10.97,11.34,11.33,-0.32,-2.8244,3214394,35921161.06
2019-04-26,'000042,中洲控股,11.33,11.63,11.33,11.63,11.65,-0.32,-2.7468,3454400,39606762.0
2019-04-25,'000042,中洲控股,11.65,12.13,11.62,12.13,12.08,-0.43,-3.5596,4033759,48054615.48
2019-04-24,'000042,中洲控股,12.08,12.1,11.9,12.02,12.09,-0.01,-0.0827,2685249,32252877.55
2019-04-23,'000042,中洲控股,12.09,12.14,11.84,12.02,12.03,0.06,0.4988,3909521,46939190.05
2019-04-22,'000042,中洲控股,12.03,12.34,11.97,12.3,12.32,-0.29,-2.3539,5629300,68084611.42
2019-04-19,'000042,中洲控股,12.32,12.35,12.15,12.25,12.25,0.07,0.5714,4338387,53170961.1
2019-04-18,'000042,中洲控股,12.25,12.44,12.23,12.44,12.48,-0.23,-1.8429,5069592,62429604.74
2019-04-17,'000042,中洲控股,12.48,12.54,12.34,12.52,12.52,-0.04,-0.3195,4443933,55299125.26
2019-04-16,'000042,中洲控股,12.52,12.62,12.13,12.61,12.66,-0.14,-1.1058,6527551,80854373.47
2019-04-15,'000042,中洲控股,12.66,12.99,12.64,12.8,13.4,-0.74,-5.5224,12097638,155044943.62
2019-04-12,'000042,中洲控股,13.4,13.49,13.25,13.42,13.41,-0.01,-0.0746,5060001,67570162.55
2019-04-11,'000042,中洲控股,13.41,13.87,13.23,13.8,13.68,-0.27,-1.9737,6978075,93729111.85
2019-04-10,'000042,中洲控股,13.68,13.79,13.3,13.39,13.42,0.26,1.9374,9467292,128445757.6
2019-04-09,'000042,中洲控股,13.42,13.54,13.19,13.21,13.17,0.25,1.8983,9691053,129621056.14
2019-04-08,'000042,中洲控股,13.17,13.5,13.0,13.33,13.29,-0.12,-0.9029,7900399,104776032.68
2019-04-04,'000042,中洲控股,13.29,13.79,13.2,13.66,13.41,-0.12,-0.8949,11918950,159742604.95
2019-04-03,'000042,中洲控股,13.41,13.48,13.14,13.24,13.2,0.21,1.5909,7415967,98718501.89
2019-04-02,'000042,中洲控股,13.2,13.25,13.03,13.14,13.06,0.14,1.072,5427994,71342864.1
2019-04-01,'000042,中洲控股,13.06,13.16,12.7,12.7,12.65,0.41,3.2411,7069378,92077926.4
2019-03-29,'000042,中洲控股,12.65,12.69,12.28,12.5,12.38,0.27,2.1809,5074212,63689326.9
2019-03-28,'000042,中洲控股,12.38,12.71,12.36,12.59,12.59,-0.21,-1.668,2016802,25249692.08
2019-03-27,'000042,中洲控股,12.59,12.68,12.42,12.62,12.59,0.0,0.0,1616402,20293488.0
2019-03-26,'000042,中洲控股,12.59,13.06,12.49,12.94,12.94,-0.35,-2.7048,2444800,31229488.0
2019-03-25,'000042,中洲控股,12.94,13.06,12.87,12.92,13.11,-0.17,-1.2967,3466488,45008616.74
2019-03-22,'000042,中洲控股,13.11,13.25,12.94,13.1,13.18,-0.07,-0.5311,2911123,38091567.88
2019-03-21,'000042,中洲控股,13.18,13.27,13.08,13.08,13.11,0.07,0.5339,4038115,53227856.95
2019-03-20,'000042,中洲控股,13.11,13.25,12.85,13.19,13.19,-0.08,-0.6065,3693149,48126245.36
