日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000045,深纺织Ａ,7.33,7.64,7.04,7.09,7.05,0.28,3.9716,11957860,86808086.82
2019-06-28,'000045,深纺织Ａ,7.05,7.12,6.92,6.99,6.97,0.08,1.1478,5135601,36058269.16
2019-06-27,'000045,深纺织Ａ,6.97,7.05,6.96,7.01,7.01,-0.04,-0.5706,2568201,17960708.97
2019-06-26,'000045,深纺织Ａ,7.01,7.05,6.91,6.93,6.95,0.06,0.8633,3184196,22248036.98
2019-06-25,'000045,深纺织Ａ,6.95,7.0,6.86,7.0,6.99,-0.04,-0.5722,2673501,18522222.92
2019-06-24,'000045,深纺织Ａ,6.99,7.02,6.89,6.9,6.93,0.06,0.8658,3166000,21997630.0
2019-06-21,'000045,深纺织Ａ,6.93,6.95,6.82,6.82,6.81,0.12,1.7621,3965400,27377102.0
2019-06-20,'000045,深纺织Ａ,6.81,6.85,6.67,6.72,6.75,0.06,0.8889,3119400,21130194.0
2019-06-19,'000045,深纺织Ａ,6.75,6.85,6.73,6.78,6.7,0.05,0.7463,2185700,14823211.52
2019-06-18,'000045,深纺织Ａ,6.7,6.74,6.62,6.66,6.7,0.0,0.0,1727800,11567885.52
2019-06-17,'000045,深纺织Ａ,6.7,6.73,6.61,6.7,6.69,0.01,0.1495,1610049,10749824.38
2019-06-14,'000045,深纺织Ａ,6.69,6.95,6.65,6.91,6.92,-0.23,-3.3237,4005500,27251174.0
2019-06-13,'000045,深纺织Ａ,6.92,7.07,6.85,7.03,7.07,-0.15,-2.1216,4426394,30704743.84
2019-06-12,'000045,深纺织Ａ,7.07,7.18,7.05,7.13,7.17,-0.1,-1.3947,5310001,37754572.14
2019-06-11,'000045,深纺织Ａ,7.17,7.18,6.96,7.09,7.03,0.14,1.9915,9376626,66065490.67
2019-06-10,'000045,深纺织Ａ,7.03,7.08,6.88,7.08,6.98,0.05,0.7163,2438394,16950440.27
2019-06-06,'000045,深纺织Ａ,6.98,7.15,6.96,6.96,6.97,0.01,0.1435,4888404,34239940.88
2019-06-05,'000045,深纺织Ａ,6.97,6.99,6.85,6.97,6.93,0.04,0.5772,2780097,19195982.06
