日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000046,泛海控股,5.71,5.73,5.59,5.7,5.58,0.13,2.3297,13542290,76846129.12
2019-06-28,'000046,泛海控股,5.58,5.72,5.56,5.71,5.67,-0.09,-1.5873,8350367,46904293.37
2019-06-27,'000046,泛海控股,5.67,5.81,5.65,5.74,5.71,-0.04,-0.7005,11857425,67732287.08
2019-06-26,'000046,泛海控股,5.71,5.8,5.69,5.8,5.89,-0.18,-3.056,10524992,60406688.3
2019-06-25,'000046,泛海控股,5.89,5.95,5.71,5.93,5.91,-0.02,-0.3384,17034542,98879509.13
2019-06-24,'000046,泛海控股,5.91,6.13,5.88,6.1,6.09,-0.18,-2.9557,17378280,103777606.77
2019-06-21,'000046,泛海控股,6.09,6.15,5.81,5.86,5.84,0.25,4.2808,30224438,182160122.97
2019-06-20,'000046,泛海控股,5.84,6.45,5.75,6.08,6.08,-0.24,-3.9474,44308662,268975646.22
2019-06-19,'000046,泛海控股,6.08,6.23,6.06,6.1,5.98,0.1,1.6722,6713816,41016029.24
2019-06-18,'000046,泛海控股,5.98,6.08,5.95,6.07,6.05,-0.07,-1.157,5290905,31746733.97
2019-06-17,'000046,泛海控股,6.05,6.1,6.0,6.07,6.03,0.02,0.3317,2688408,16260593.24
2019-06-14,'000046,泛海控股,6.03,6.24,6.0,6.19,6.19,-0.16,-2.5848,4562104,27783139.37
2019-06-13,'000046,泛海控股,6.19,6.26,6.08,6.13,6.22,-0.03,-0.4823,4376702,26941117.88
2019-06-12,'000046,泛海控股,6.22,6.36,6.13,6.28,6.29,-0.07,-1.1129,7155185,44519572.54
2019-06-11,'000046,泛海控股,6.29,6.34,6.02,6.05,6.0,0.29,4.8333,8890404,55072121.02
2019-06-10,'000046,泛海控股,6.0,6.23,5.97,6.09,6.07,-0.07,-1.1532,6069590,36743715.46
2019-06-06,'000046,泛海控股,6.07,6.22,6.07,6.2,6.19,-0.12,-1.9386,3831520,23499004.02
2019-06-05,'000046,泛海控股,6.19,6.31,6.12,6.28,6.27,-0.08,-1.2759,4845778,30104339.39
2019-06-04,'000046,泛海控股,6.27,6.28,6.16,6.25,6.23,0.04,0.6421,4710373,29252020.8
2019-06-03,'000046,泛海控股,6.23,6.5,6.2,6.45,6.43,-0.2,-3.1104,8217031,51702615.36
2019-05-31,'000046,泛海控股,6.43,6.46,6.32,6.43,6.37,0.06,0.9419,4509449,28805501.91
2019-05-30,'000046,泛海控股,6.37,6.53,6.3,6.42,6.55,-0.18,-2.7481,7711745,49056942.56
2019-05-29,'000046,泛海控股,6.55,6.58,6.44,6.56,6.54,0.01,0.1529,8629349,56115965.19
2019-05-28,'000046,泛海控股,6.54,6.61,6.42,6.56,6.53,0.01,0.1531,10029641,65631767.79
2019-05-27,'000046,泛海控股,6.53,6.55,6.21,6.27,6.2,0.33,5.3226,9103631,58339190.48
2019-05-24,'000046,泛海控股,6.2,6.42,6.2,6.41,6.4,-0.2,-3.125,5853876,36793260.02
2019-05-23,'000046,泛海控股,6.4,6.49,6.33,6.45,6.4,0.0,0.0,4766383,30508959.89
2019-05-22,'000046,泛海控股,6.4,6.54,6.37,6.47,6.53,-0.13,-1.9908,5524516,35612648.56
2019-05-21,'000046,泛海控股,6.53,6.6,6.41,6.45,6.42,0.11,1.7134,5785016,37722913.0
2019-05-20,'000046,泛海控股,6.42,6.59,6.23,6.44,6.38,0.04,0.627,8617108,55139697.43
