日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2002-04-29,'000047,ST 中 侨,8.03,8.42,7.81,7.85,8.2,-0.17,-2.0732,2325990,18899439.96
2002-04-26,'000047,ST 中 侨,8.2,8.2,7.66,7.66,7.81,0.39,4.9936,2667422,21598091.48
2002-04-25,'000047,ST 中 侨,7.81,8.05,7.72,8.0,7.91,-0.1,-1.2642,791960,6239547.07
2002-04-24,'000047,ST 中 侨,7.91,8.45,7.88,8.35,8.29,-0.38,-4.5838,1042267,8347527.41
2002-04-23,'000047,ST 中 侨,8.29,8.38,8.1,8.15,8.12,0.17,2.0936,735372,6109370.07
2002-04-22,'000047,ST 中 侨,8.12,8.2,7.75,8.0,8.02,0.1,1.2469,728942,5897968.09
2002-04-19,'000047,ST 中 侨,8.02,8.24,7.81,8.12,8.22,-0.2,-2.4331,1560268,12335648.62
2002-04-18,'000047,ST 中 侨,8.22,8.4,8.1,8.37,8.32,-0.1,-1.2019,627149,5140062.53
2002-04-17,'000047,ST 中 侨,8.32,8.44,8.1,8.1,8.18,0.14,1.7115,761850,6329381.9
2002-04-16,'000047,ST 中 侨,8.18,8.44,8.06,8.1,8.48,-0.3,-3.5377,1870662,15269587.53
2002-04-15,'000047,ST 中 侨,8.48,8.78,8.48,8.7,8.93,-0.45,-5.0392,972435,8285036.38
2002-04-12,'000047,ST 中 侨,8.93,9.11,8.81,8.91,8.91,0.02,0.2245,510574,4591414.17
2002-04-11,'000047,ST 中 侨,8.91,9.07,8.86,9.05,9.02,-0.11,-1.2195,433924,3865117.37
2002-04-10,'000047,ST 中 侨,9.02,9.17,8.95,9.1,8.99,0.03,0.3337,509593,4616761.82
2002-04-09,'000047,ST 中 侨,8.99,9.15,8.76,8.77,8.8,0.19,2.1591,669886,6049475.28
2002-04-08,'000047,ST 中 侨,8.8,8.84,8.58,8.62,8.65,0.15,1.7341,584809,5129836.1
2002-04-05,'000047,ST 中 侨,8.65,8.97,8.56,8.81,9.01,-0.36,-3.9956,1638582,14312646.99
2002-04-04,'000047,ST 中 侨,9.01,9.14,8.78,9.0,9.09,-0.08,-0.8801,1301810,11622948.9
2002-04-03,'000047,ST 中 侨,9.09,9.2,8.75,9.04,9.08,0.01,0.1101,1513087,13639792.97
2002-04-02,'000047,ST 中 侨,9.08,9.08,8.81,9.08,8.65,0.43,4.9711,3056094,27602585.63
2002-04-01,'000047,ST 中 侨,8.65,8.65,8.65,8.65,8.24,0.41,4.9757,609395,5271266.75
2002-03-29,'000047,ST 中 侨,8.24,8.75,8.03,8.68,8.42,-0.18,-2.1378,3409353,28950496.97
2002-03-28,'000047,ST 中 侨,8.42,8.42,8.15,8.18,8.02,0.4,4.9875,1402529,11783434.21
2002-03-27,'000047,ST 中 侨,8.02,8.23,7.85,8.02,8.06,-0.04,-0.4963,979589,7871848.58
2002-03-26,'000047,ST 中 侨,8.06,8.12,7.69,7.73,7.73,0.33,4.2691,2028621,16279054.27
2002-03-25,'000047,ST 中 侨,7.73,7.76,7.35,7.52,7.52,0.21,2.7926,721427,5476781.87
2002-03-22,'000047,ST 中 侨,7.52,7.66,7.45,7.58,7.66,-0.14,-1.8277,651224,4921848.67
2002-03-21,'000047,ST 中 侨,7.66,7.81,7.48,7.72,7.73,-0.07,-0.9056,915468,6976999.93
2002-03-20,'000047,ST 中 侨,7.73,7.9,7.46,7.6,7.63,0.1,1.3106,770557,5959496.14
2002-03-19,'000047,ST 中 侨,7.63,7.7,7.23,7.25,7.49,0.14,1.8692,605387,4571499.77
2002-03-18,'000047,ST 中 侨,7.49,7.72,7.23,7.72,7.35,0.14,1.9048,637800,4765777.6
2002-03-15,'000047,ST 中 侨,7.35,7.9,7.33,7.88,7.69,-0.34,-4.4213,1060850,8176311.0
2002-03-14,'000047,ST 中 侨,7.69,7.69,7.01,7.01,7.32,0.37,5.0546,1234876,9269592.45
2002-03-13,'000047,ST 中 侨,7.32,7.8,7.32,7.61,7.71,-0.39,-5.0584,1321601,9862456.21
2002-03-12,'000047,ST 中 侨,7.71,7.97,7.56,7.63,7.59,0.12,1.581,1539962,11996126.21
2002-03-11,'000047,ST 中 侨,7.59,7.59,7.13,7.23,7.23,0.36,4.9793,1546934,11436640.34
2002-03-08,'000047,ST 中 侨,7.23,7.36,7.01,7.05,7.06,0.17,2.4079,1416192,10121595.48
2002-03-07,'000047,ST 中 侨,7.06,7.06,6.75,6.75,6.72,0.34,5.0595,1599741,11065339.31
2002-03-06,'000047,ST 中 侨,6.72,6.72,6.44,6.45,6.4,0.32,5.0,1686109,11278229.15
2002-03-05,'000047,ST 中 侨,6.4,6.4,6.15,6.15,6.2,0.2,3.2258,976864,6189459.63
2002-03-04,'000047,ST 中 侨,6.2,6.31,5.94,5.94,6.25,-0.05,-0.8,1062086,6477251.08
2002-03-01,'000047,ST 中 侨,6.25,6.78,6.25,6.75,6.58,-0.33,-5.0152,1243800,7893177.54
2002-02-28,'000047,ST 中 侨,6.58,6.58,6.22,6.27,6.27,0.31,4.9442,823468,5387447.61
2002-02-27,'000047,ST 中 侨,6.27,6.4,6.1,6.34,6.34,-0.07,-1.1041,846286,5288960.75
2002-02-26,'000047,ST 中 侨,6.34,6.41,6.08,6.16,6.11,0.23,3.7643,1166206,7305785.2
2002-02-25,'000047,ST 中 侨,6.11,6.11,5.9,6.01,5.82,0.29,4.9828,761349,4611204.6
2002-02-08,'000047,ST 中 侨,5.82,5.98,5.72,5.8,5.71,0.11,1.9264,656645,3843144.63
2002-02-07,'000047,ST 中 侨,5.71,5.88,5.39,5.49,5.61,0.1,1.7825,878418,4967638.42
2002-02-06,'000047,ST 中 侨,5.61,6.09,5.61,5.92,5.9,-0.29,-4.9153,1282342,7358178.48
2002-02-05,'000047,ST 中 侨,5.9,5.9,5.59,5.59,5.62,0.28,4.9822,658017,3814405.94
2002-02-04,'000047,ST 中 侨,5.62,5.62,5.32,5.36,5.35,0.27,5.0467,981904,5420568.22
2002-02-01,'000047,ST 中 侨,5.35,5.44,5.1,5.18,5.18,0.17,3.2819,1287394,6868066.12
2002-01-31,'000047,ST 中 侨,5.18,5.18,4.98,5.0,4.93,0.25,5.071,1234168,6322431.56
2002-01-30,'000047,ST 中 侨,4.93,4.97,4.72,4.72,4.75,0.18,3.7895,892452,4351839.37
2002-01-29,'000047,ST 中 侨,4.75,4.89,4.66,4.66,4.9,-0.15,-3.0612,1274841,5986231.64
2002-01-28,'000047,ST 中 侨,4.9,5.28,4.9,5.16,5.16,-0.26,-5.0388,957830,4779527.02
2002-01-25,'000047,ST 中 侨,5.16,5.16,5.01,5.01,4.91,0.25,5.0916,1131141,5823410.4
2002-01-24,'000047,ST 中 侨,4.91,5.14,4.73,4.73,4.98,-0.07,-1.4056,2173575,10622968.49
2002-01-23,'000047,ST 中 侨,4.98,4.99,4.56,4.56,4.8,0.18,3.75,2026762,9514158.46
2002-01-22,'000047,ST 中 侨,4.8,4.8,4.8,4.8,5.05,-0.25,-4.9505,21600,103680.0
2002-01-21,'000047,ST 中 侨,5.05,5.05,5.05,5.05,5.32,-0.27,-5.0752,9400,47470.0
