ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,³É½»Á¿,³É½»½ð¶î
2019-07-01,'000048,*ST¿µ´ï,19.95,20.25,19.03,19.03,19.82,0.13,0.6559,403900,8007410.85
2019-06-28,'000048,*ST¿µ´ï,19.82,19.93,19.68,19.8,19.79,0.03,0.1516,115039,2279904.4
2019-06-27,'000048,*ST¿µ´ï,19.79,19.9,19.71,19.8,19.8,-0.01,-0.0505,149131,2951837.56
2019-06-26,'000048,*ST¿µ´ï,19.8,19.89,19.66,19.76,19.91,-0.11,-0.5525,171900,3399731.0
2019-06-25,'000048,*ST¿µ´ï,19.91,19.93,19.6,19.88,19.81,0.1,0.5048,166876,3299744.88
2019-06-24,'000048,*ST¿µ´ï,19.81,19.99,19.73,19.74,19.9,-0.09,-0.4523,192176,3817999.12
2019-06-21,'000048,*ST¿µ´ï,19.9,20.13,19.64,19.95,19.83,0.07,0.353,288998,5748211.1
2019-06-20,'000048,*ST¿µ´ï,19.83,19.85,19.4,19.66,19.61,0.22,1.1219,190801,3757570.75
2019-06-19,'000048,*ST¿µ´ï,19.61,19.79,19.52,19.6,19.5,0.11,0.5641,171990,3373718.8
2019-06-18,'000048,*ST¿µ´ï,19.5,19.58,19.3,19.5,19.42,0.08,0.4119,220933,4295503.51
2019-06-17,'000048,*ST¿µ´ï,19.42,19.6,19.31,19.59,19.5,-0.08,-0.4103,251132,4880504.8
2019-06-14,'000048,*ST¿µ´ï,19.5,19.95,19.41,19.64,19.68,-0.18,-0.9146,312865,6170844.82
2019-06-13,'000048,*ST¿µ´ï,19.68,19.77,18.97,19.01,19.09,0.59,3.0906,317441,6141537.74
2019-06-12,'000048,*ST¿µ´ï,19.09,19.2,19.02,19.2,19.2,-0.11,-0.5729,122000,2326809.0
2019-06-11,'000048,*ST¿µ´ï,19.2,19.25,18.93,18.96,19.1,0.1,0.5236,315176,6026462.22
2019-06-10,'000048,*ST¿µ´ï,19.1,19.25,18.98,19.2,19.16,-0.06,-0.3132,198800,3794560.0
2019-06-06,'000048,*ST¿µ´ï,19.16,19.3,18.92,19.3,19.3,-0.14,-0.7254,172889,3298397.75
2019-06-05,'000048,*ST¿µ´ï,19.3,19.79,19.13,19.52,19.61,-0.31,-1.5808,178200,3464879.0
2019-06-04,'000048,*ST¿µ´ï,19.61,19.8,19.43,19.7,19.96,-0.35,-1.7535,122387,2391748.46
2019-06-03,'000048,*ST¿µ´ï,19.96,19.96,19.02,19.45,19.41,0.55,2.8336,320279,6214280.76
2019-05-31,'000048,*ST¿µ´ï,19.41,19.59,19.25,19.51,19.5,-0.09,-0.4615,235600,4569638.0
2019-05-30,'000048,*ST¿µ´ï,19.5,19.51,19.22,19.5,19.51,-0.01,-0.0513,161329,3124598.38
2019-05-29,'000048,*ST¿µ´ï,19.51,19.58,19.28,19.4,19.5,0.01,0.0513,105586,2046507.26
2019-05-28,'000048,*ST¿µ´ï,19.5,19.98,19.38,19.38,19.5,0.0,0.0,168900,3324143.13
2019-05-27,'000048,*ST¿µ´ï,19.5,19.85,18.84,18.97,18.9,0.6,3.1746,291272,5618629.6
2019-05-24,'000048,*ST¿µ´ï,18.9,18.98,18.7,18.8,18.82,0.08,0.4251,142887,2683977.9
2019-05-23,'000048,*ST¿µ´ï,18.82,19.05,18.82,18.91,19.0,-0.18,-0.9474,162700,3079424.7
2019-05-22,'000048,*ST¿µ´ï,19.0,19.12,18.92,19.1,19.0,0.0,0.0,206600,3932339.0
2019-05-21,'000048,*ST¿µ´ï,19.0,19.11,18.71,19.0,19.0,0.0,0.0,206532,3928272.0
2019-05-20,'000048,*ST¿µ´ï,19.0,19.86,18.78,19.86,19.65,-0.65,-3.3079,387011,7353884.57
2019-05-17,'000048,*ST¿µ´ï,19.65,20.0,19.61,19.95,19.95,-0.3,-1.5038,261200,5176694.79
2019-05-16,'000048,*ST¿µ´ï,19.95,20.15,19.82,19.96,19.96,-0.01,-0.0501,393884,7866571.88
2019-05-15,'000048,*ST¿µ´ï,19.96,20.18,19.9,20.05,19.9,0.06,0.3015,358900,7181420.0
2019-05-14,'000048,*ST¿µ´ï,19.9,20.12,19.69,19.69,20.0,-0.1,-0.5,240400,4788371.0
2019-05-13,'000048,*ST¿µ´ï,20.0,20.19,19.72,19.95,20.18,-0.18,-0.892,266327,5308729.98
2019-05-10,'000048,*ST¿µ´ï,20.18,20.45,19.8,20.17,19.91,0.27,1.3561,337182,6795434.28
2019-05-09,'000048,*ST¿µ´ï,19.91,20.14,19.89,19.9,20.26,-0.35,-1.7275,272100,5436214.25
2019-05-08,'000048,*ST¿µ´ï,20.26,20.5,19.62,19.9,20.12,0.14,0.6958,363000,7346234.0
2019-05-07,'000048,*ST¿µ´ï,20.12,20.81,19.85,19.85,20.81,-0.69,-3.3157,514540,10381649.76
2019-05-06,'000048,*ST¿µ´ï,20.81,21.3,20.81,21.2,21.91,-1.1,-5.0205,412111,8604600.0
2019-04-30,'000048,*ST¿µ´ï,21.91,22.35,21.69,22.05,21.61,0.3,1.3882,348511,7690469.0
2019-04-29,'000048,*ST¿µ´ï,21.61,22.5,21.52,22.39,22.47,-0.86,-3.8273,672760,14677709.0
2019-04-26,'000048,*ST¿µ´ï,22.47,22.84,22.15,22.38,22.73,-0.26,-1.1439,516101,11610312.67
2019-04-25,'000048,*ST¿µ´ï,22.73,23.47,22.65,23.11,23.08,-0.35,-1.5165,779100,18007931.0
2019-04-24,'000048,*ST¿µ´ï,23.08,23.39,22.6,22.83,22.88,0.2,0.8741,552577,12696848.13
2019-04-23,'000048,*ST¿µ´ï,22.88,23.68,22.8,23.46,23.36,-0.48,-2.0548,784532,18130874.6
2019-04-22,'000048,*ST¿µ´ï,23.36,23.8,22.8,22.86,22.85,0.51,2.2319,1002754,23341341.31
2019-04-19,'000048,*ST¿µ´ï,22.85,23.5,22.72,22.74,22.99,-0.14,-0.609,562706,12953077.91
2019-04-18,'000048,*ST¿µ´ï,22.99,23.82,22.53,22.53,22.69,0.3,1.3222,1146173,26559895.3
2019-04-17,'000048,*ST¿µ´ï,22.69,23.0,22.53,22.67,22.81,-0.12,-0.5261,777585,17712826.86
2019-04-16,'000048,*ST¿µ´ï,22.81,23.2,22.52,23.2,22.92,-0.11,-0.4799,863633,19717991.32
2019-04-15,'000048,*ST¿µ´ï,22.92,24.37,22.35,23.24,23.22,-0.3,-1.292,1716561,39881805.26
2019-04-12,'000048,*ST¿µ´ï,23.22,24.9,22.59,24.9,23.71,-0.49,-2.0666,3266889,79475357.94
2019-04-11,'000048,*ST¿µ´ï,23.71,23.71,23.71,23.71,22.58,1.13,5.0044,96425,2286236.75
2019-04-10,'000048,*ST¿µ´ï,22.58,22.58,21.5,21.53,21.5,1.08,5.0233,859083,19157020.61
2019-04-09,'000048,*ST¿µ´ï,21.5,21.5,20.38,20.5,20.48,1.02,4.9805,1140516,23920531.61
2019-04-08,'000048,*ST¿µ´ï,20.48,20.87,20.42,20.87,20.7,-0.22,-1.0628,607009,12515117.4
2019-04-04,'000048,*ST¿µ´ï,20.7,20.71,20.5,20.5,20.5,0.2,0.9756,724585,14920260.6
2019-04-03,'000048,*ST¿µ´ï,20.5,20.7,20.4,20.66,20.5,0.0,0.0,411000,8434691.32
2019-04-02,'000048,*ST¿µ´ï,20.5,20.74,20.46,20.72,20.61,-0.11,-0.5337,508929,10477921.28
2019-04-01,'000048,*ST¿µ´ï,20.61,21.19,20.17,20.43,20.34,0.27,1.3274,846754,17353080.02
2019-03-29,'000048,*ST¿µ´ï,20.34,20.49,20.0,20.26,20.26,0.08,0.3949,445867,9042929.89
2019-03-28,'000048,*ST¿µ´ï,20.26,20.75,20.12,20.75,20.4,-0.14,-0.6863,387423,7897077.22
2019-03-27,'000048,*ST¿µ´ï,20.4,20.58,20.26,20.4,20.35,0.05,0.2457,505917,10298788.43
2019-03-26,'000048,*ST¿µ´ï,20.35,20.87,19.9,19.96,19.88,0.47,2.3642,601944,12263958.95
2019-03-25,'000048,*ST¿µ´ï,19.88,20.15,19.7,20.01,20.04,-0.16,-0.7984,556323,11099219.73
2019-03-22,'000048,*ST¿µ´ï,20.04,20.18,19.94,20.09,20.02,0.02,0.0999,624628,12499200.16
2019-03-21,'000048,*ST¿µ´ï,20.02,20.18,19.96,20.15,20.05,-0.03,-0.1496,666212,13337656.57
2019-03-20,'000048,*ST¿µ´ï,20.05,20.13,19.92,20.1,20.07,-0.02,-0.0997,526643,10553404.09
2019-03-19,'000048,*ST¿µ´ï,20.07,20.2,19.88,19.99,20.01,0.06,0.2999,490670,9822281.58
2019-03-18,'000048,*ST¿µ´ï,20.01,20.05,19.4,19.51,19.7,0.31,1.5736,617903,12254585.52
