日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000049,德赛电池,27.32,27.49,26.42,26.62,26.03,1.29,4.9558,7603313,205627598.02
2019-06-28,'000049,德赛电池,26.03,26.51,25.75,26.5,26.64,-0.61,-2.2898,5365560,139904122.33
2019-06-27,'000049,德赛电池,26.64,26.94,26.55,26.75,26.75,-0.11,-0.4112,4675713,124902852.73
2019-06-26,'000049,德赛电池,26.75,26.92,26.43,26.58,26.77,-0.02,-0.0747,3807365,101527979.73
2019-06-25,'000049,德赛电池,26.77,27.22,26.3,27.22,27.05,-0.28,-1.0351,5648334,150306284.53
2019-06-24,'000049,德赛电池,27.05,27.53,26.0,26.0,25.5,1.55,6.0784,10164974,273564770.27
2019-06-21,'000049,德赛电池,25.5,26.0,25.32,25.4,25.19,0.31,1.2306,5233396,134041247.64
2019-06-20,'000049,德赛电池,25.19,25.21,24.3,24.45,24.48,0.71,2.9003,4810624,119724287.32
2019-06-19,'000049,德赛电池,24.48,24.86,24.4,24.5,23.95,0.53,2.2129,5112165,125877474.59
2019-06-18,'000049,德赛电池,23.95,24.35,23.62,23.79,23.69,0.26,1.0975,3836690,91813277.34
2019-06-17,'000049,德赛电池,23.69,24.67,23.48,24.2,24.18,-0.49,-2.0265,4032084,95964823.83
2019-06-14,'000049,德赛电池,24.18,24.87,24.15,24.73,24.7,-0.52,-2.1053,2020493,49425509.08
2019-06-13,'000049,德赛电池,24.7,24.88,24.42,24.51,24.5,0.2,0.8163,1995488,49149108.8
2019-06-12,'000049,德赛电池,24.5,25.09,24.46,24.83,24.85,-0.35,-1.4085,3148948,77858186.76
2019-06-11,'000049,德赛电池,24.85,24.85,23.52,23.62,23.59,1.26,5.3412,4239712,103161827.17
2019-06-10,'000049,德赛电池,23.59,23.83,23.43,23.77,23.5,0.09,0.383,3235346,76486856.53
2019-06-06,'000049,德赛电池,23.5,24.65,23.3,24.63,24.36,-0.86,-3.5304,3277358,78088305.91
2019-06-05,'000049,德赛电池,24.61,25.38,24.6,25.25,25.1,-0.49,-1.9522,3136390,77966783.4
2019-06-04,'000049,德赛电池,25.1,25.59,25.0,25.59,25.33,-0.23,-0.908,2414087,60676911.31
2019-06-03,'000049,德赛电池,25.33,25.85,25.23,25.81,25.81,-0.48,-1.8597,2229268,56713657.8
2019-05-31,'000049,德赛电池,25.81,26.15,25.75,25.95,25.73,0.08,0.3109,1535464,39805654.78
2019-05-30,'000049,德赛电池,25.73,26.05,25.5,26.03,26.04,-0.31,-1.1905,1913456,49140138.16
2019-05-29,'000049,德赛电池,26.04,26.5,25.85,26.0,26.14,-0.1,-0.3826,1998827,52241749.53
2019-05-28,'000049,德赛电池,26.14,26.45,25.98,26.3,26.27,-0.13,-0.4949,2118599,55552180.43
2019-05-27,'000049,德赛电池,26.27,26.29,25.22,25.59,25.52,0.75,2.9389,2425153,63116172.75
2019-05-24,'000049,德赛电池,25.52,25.95,25.49,25.52,25.7,-0.18,-0.7004,1593301,40880082.56
2019-05-23,'000049,德赛电池,25.7,26.17,25.51,25.86,25.95,-0.25,-0.9634,2004058,51795896.92
2019-05-22,'000049,德赛电池,25.95,26.46,25.8,26.18,26.2,-0.25,-0.9542,1672336,43708163.67
2019-05-21,'000049,德赛电池,26.2,26.34,25.5,25.55,25.67,0.53,2.0647,2435666,63420619.21
2019-05-20,'000049,德赛电池,25.67,26.39,25.01,26.39,26.39,-0.72,-2.7283,3556427,90524000.46
2019-05-17,'000049,德赛电池,26.39,27.57,26.33,27.57,27.41,-1.02,-3.7213,3538663,94945822.8
2019-05-16,'000049,德赛电池,27.41,27.53,27.03,27.18,27.15,0.26,0.9576,3668481,100242344.83
2019-05-15,'000049,德赛电池,27.15,27.26,26.8,27.1,26.85,0.3,1.1173,3112179,84055817.34
2019-05-14,'000049,德赛电池,26.85,27.22,26.69,26.8,27.22,-0.37,-1.3593,3283093,88501742.56
2019-05-13,'000049,德赛电池,27.22,27.56,27.01,27.25,27.97,-0.75,-2.6814,3949976,107846724.3
2019-05-10,'000049,德赛电池,27.97,28.5,26.82,27.56,27.44,0.53,1.9315,4899652,135807850.23
2019-05-09,'000049,德赛电池,27.44,27.77,27.0,27.05,27.4,0.04,0.146,2474795,67927610.55
2019-05-08,'000049,德赛电池,27.4,27.8,26.82,27.7,28.0,-0.6,-2.1429,3424678,93819926.96
2019-05-07,'000049,德赛电池,28.0,28.49,27.59,27.59,27.94,0.06,0.2147,4699493,131915814.64
2019-05-06,'000049,德赛电池,27.94,29.4,27.25,29.4,30.28,-2.34,-7.7279,6546421,182099108.17
2019-04-30,'000049,德赛电池,30.28,30.6,29.91,30.49,31.13,-0.85,-2.7305,4068315,122780512.13
2019-04-29,'000049,德赛电池,31.13,31.93,30.17,30.55,30.53,0.6,1.9653,3360919,104503857.08
2019-04-26,'000049,德赛电池,30.53,32.77,29.7,32.77,32.78,-2.25,-6.8639,6346123,196098802.08
2019-04-25,'000049,德赛电池,32.78,34.26,32.75,33.86,33.87,-1.09,-3.2182,3661924,122189837.12
2019-04-24,'000049,德赛电池,33.87,33.99,32.69,33.77,33.77,0.1,0.2961,2651208,88703741.79
2019-04-23,'000049,德赛电池,33.77,34.2,33.6,33.96,33.69,0.08,0.2375,2235301,75886755.04
2019-04-22,'000049,德赛电池,33.69,35.44,33.37,35.44,35.1,-1.41,-4.0171,4303283,147286099.4
2019-04-19,'000049,德赛电池,35.1,35.21,34.3,34.88,34.89,0.21,0.6019,2363849,82393573.1
2019-04-18,'000049,德赛电池,34.89,35.5,34.8,35.3,35.4,-0.51,-1.4407,2249855,78790507.87
2019-04-17,'000049,德赛电池,35.4,35.68,34.82,35.28,35.05,0.35,0.9986,2366043,83724086.28
