日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000050,深天马Ａ,14.78,14.78,13.84,13.97,13.44,1.34,9.9702,47653317,683362007.17
2019-06-28,'000050,深天马Ａ,13.44,13.63,13.31,13.59,13.61,-0.17,-1.2491,16683582,224564728.63
2019-06-27,'000050,深天马Ａ,13.61,13.8,13.49,13.5,13.45,0.16,1.1896,22547964,307480086.23
2019-06-26,'000050,深天马Ａ,13.45,13.58,13.33,13.47,13.5,-0.05,-0.3704,8304416,111880183.89
2019-06-25,'000050,深天马Ａ,13.5,13.71,13.32,13.68,13.68,-0.18,-1.3158,15630718,210910450.36
2019-06-24,'000050,深天马Ａ,13.68,13.85,13.61,13.8,13.78,-0.1,-0.7257,16809653,230435685.04
2019-06-21,'000050,深天马Ａ,13.78,13.95,13.6,13.6,13.58,0.2,1.4728,30400097,419046269.91
2019-06-20,'000050,深天马Ａ,13.58,13.73,13.19,13.28,13.36,0.22,1.6467,22031775,297315897.82
2019-06-19,'000050,深天马Ａ,13.36,13.73,13.36,13.64,13.25,0.11,0.8302,17256584,233801498.14
2019-06-18,'000050,深天马Ａ,13.25,13.37,13.15,13.3,13.3,-0.05,-0.3759,9235091,122354499.3
2019-06-17,'000050,深天马Ａ,13.3,13.42,13.18,13.2,13.3,0.0,0.0,12908145,171564726.09
2019-06-14,'000050,深天马Ａ,13.3,13.85,13.17,13.78,13.77,-0.47,-3.4132,25977150,349284582.69
2019-06-13,'000050,深天马Ａ,13.77,13.88,13.62,13.69,13.69,0.08,0.5844,18716415,257178381.48
2019-06-12,'000050,深天马Ａ,13.69,13.93,13.62,13.7,13.84,-0.15,-1.0838,25318926,348314198.72
2019-06-11,'000050,深天马Ａ,13.84,13.86,13.12,13.23,13.23,0.61,4.6107,37133110,504995447.68
2019-06-10,'000050,深天马Ａ,13.23,13.32,12.92,13.02,12.96,0.27,2.0833,15730370,206773536.36
2019-06-06,'000050,深天马Ａ,12.96,13.21,12.8,13.18,13.21,-0.25,-1.8925,14898951,193272788.52
2019-06-05,'000050,深天马Ａ,13.21,13.65,13.11,13.38,13.1,0.11,0.8397,17363752,231852462.83
2019-06-04,'000050,深天马Ａ,13.1,13.37,13.01,13.23,13.22,-0.12,-0.9077,13930893,183670843.45
2019-06-03,'000050,深天马Ａ,13.22,13.63,13.1,13.6,13.55,-0.33,-2.4354,21324984,283930081.46
2019-05-31,'000050,深天马Ａ,13.55,13.87,13.53,13.77,13.79,-0.24,-1.7404,20267657,277049493.9
2019-05-30,'000050,深天马Ａ,13.79,14.05,13.51,13.7,13.75,0.04,0.2909,27032468,373437643.72
2019-05-29,'000050,深天马Ａ,13.75,13.91,13.7,13.74,13.84,-0.09,-0.6503,18254629,251953815.58
2019-05-28,'000050,深天马Ａ,13.84,14.05,13.7,14.05,13.96,-0.12,-0.8596,27020580,374413806.02
