日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000055,方大集团,5.32,5.34,5.19,5.19,5.12,0.2,3.9063,13473332,71206315.82
2019-06-28,'000055,方大集团,5.12,5.29,5.09,5.22,5.21,-0.09,-1.7274,6974600,35854555.5
2019-06-27,'000055,方大集团,5.21,5.29,5.18,5.24,5.22,-0.01,-0.1916,6612200,34647102.0
2019-06-26,'000055,方大集团,5.22,5.27,5.17,5.22,5.2,0.02,0.3846,5042850,26348069.0
2019-06-25,'000055,方大集团,5.2,5.34,5.12,5.34,5.31,-0.11,-2.0716,7234498,37652213.12
2019-06-24,'000055,方大集团,5.31,5.31,5.23,5.27,5.26,0.05,0.9506,7618993,40234410.88
2019-06-21,'000055,方大集团,5.26,5.31,5.2,5.2,5.18,0.08,1.5444,12295957,64629034.05
2019-06-20,'000055,方大集团,5.18,5.19,5.05,5.1,5.11,0.07,1.3699,9275140,47652741.61
2019-06-19,'000055,方大集团,5.11,5.19,5.08,5.15,5.07,0.04,0.789,7463700,38319709.0
2019-06-18,'000055,方大集团,5.07,5.1,5.02,5.06,5.06,0.01,0.1976,3692228,18672085.46
2019-06-17,'000055,方大集团,5.06,5.1,5.02,5.1,5.08,-0.02,-0.3937,3695873,18725464.15
2019-06-14,'000055,方大集团,5.08,5.2,5.06,5.17,5.18,-0.1,-1.9305,6379848,32724217.14
2019-06-13,'000055,方大集团,5.18,5.2,5.1,5.19,5.18,0.0,0.0,6495277,33465957.2
2019-06-12,'000055,方大集团,5.18,5.22,5.14,5.17,5.17,0.01,0.1934,9276143,48066533.79
2019-06-11,'000055,方大集团,5.17,5.19,4.95,4.96,4.98,0.19,3.8153,10071028,51545688.7
2019-06-10,'000055,方大集团,4.98,4.98,4.88,4.94,4.92,0.06,1.2195,4599600,22763517.0
2019-06-06,'000055,方大集团,4.92,5.06,4.9,5.04,5.06,-0.14,-2.7668,7302300,36172471.5
2019-06-05,'000055,方大集团,5.06,5.15,5.0,5.12,5.06,0.0,0.0,6348115,32267008.0
2019-06-04,'000055,方大集团,5.06,5.3,5.03,5.29,5.27,-0.21,-3.9848,10888030,55662601.68
2019-06-03,'000055,方大集团,5.27,5.44,5.26,5.4,5.41,-0.14,-2.5878,8500481,45295051.56
2019-05-31,'000055,方大集团,5.41,5.52,5.4,5.48,5.47,-0.06,-1.0969,7240934,39547286.6
2019-05-30,'000055,方大集团,5.47,5.52,5.41,5.51,5.58,-0.11,-1.9713,8739300,47741923.5
2019-05-29,'000055,方大集团,5.58,5.63,5.46,5.52,5.51,0.07,1.2704,9644797,53788388.26
2019-05-28,'000055,方大集团,5.51,5.61,5.48,5.58,5.56,-0.05,-0.8993,10602658,59005219.08
2019-05-27,'000055,方大集团,5.56,5.56,5.36,5.41,5.41,0.15,2.7726,11440486,62660309.57
2019-05-24,'000055,方大集团,5.41,5.44,5.33,5.42,5.35,0.06,1.1215,9020701,48660415.39
2019-05-23,'000055,方大集团,5.35,5.48,5.32,5.44,5.46,-0.11,-2.0147,9071365,48923191.45
2019-05-22,'000055,方大集团,5.46,5.57,5.42,5.55,5.55,-0.09,-1.6216,7905984,43336521.14
2019-05-21,'000055,方大集团,5.55,5.56,5.4,5.44,5.42,0.13,2.3985,10284572,56534502.18
2019-05-20,'000055,方大集团,5.42,5.42,5.23,5.4,5.44,-0.02,-0.3676,9403640,50166797.2
2019-05-17,'000055,方大集团,5.44,5.73,5.37,5.68,5.7,-0.26,-4.5614,16136264,89092226.37
2019-05-16,'000055,方大集团,5.7,5.78,5.58,5.64,5.63,0.07,1.2433,15748639,89598642.12
2019-05-15,'000055,方大集团,5.63,5.66,5.55,5.63,5.54,0.09,1.6245,12447573,69776169.79
2019-05-14,'000055,方大集团,5.54,5.62,5.45,5.5,5.63,-0.09,-1.5986,10684553,59218779.88
2019-05-13,'000055,方大集团,5.63,5.75,5.46,5.5,5.57,0.06,1.0772,16912237,95148411.0
2019-05-10,'000055,方大集团,5.57,5.59,5.22,5.38,5.35,0.22,4.1121,20455658,112039433.32
2019-05-09,'000055,方大集团,5.35,5.42,5.31,5.32,5.39,-0.04,-0.7421,9967591,53447174.43
2019-05-08,'000055,方大集团,5.39,5.47,5.21,5.29,5.36,0.03,0.5597,13194468,70671804.51
2019-05-07,'000055,方大集团,5.36,5.42,5.21,5.33,5.32,0.04,0.7519,15478784,82636635.74
2019-05-06,'000055,方大集团,5.32,5.76,5.32,5.76,5.91,-0.59,-9.9831,21749734,118913573.2
2019-04-30,'000055,方大集团,5.91,5.97,5.83,5.83,5.86,0.05,0.8532,13070758,77241523.14
2019-04-29,'000055,方大集团,5.86,6.18,5.82,6.18,6.17,-0.31,-5.0243,21063207,125129999.42
2019-04-26,'000055,方大集团,6.17,6.25,6.1,6.18,6.12,0.05,0.817,18588683,114762429.92
2019-04-25,'000055,方大集团,6.12,6.55,6.1,6.49,6.58,-0.46,-6.9909,30632450,193678338.47
2019-04-24,'000055,方大集团,6.58,6.63,6.27,6.48,6.82,-0.24,-3.5191,39760200,257085345.35
2019-04-23,'000055,方大集团,6.82,7.2,6.82,7.2,7.58,-0.76,-10.0264,41120878,282407048.47
2019-04-22,'000055,方大集团,7.58,7.78,7.56,7.75,7.75,-0.17,-2.1935,17478680,133497480.82
2019-04-19,'000055,方大集团,7.75,7.78,7.58,7.72,7.74,0.01,0.1292,19984772,153648883.9
2019-04-18,'000055,方大集团,7.74,7.95,7.71,7.94,7.95,-0.21,-2.6415,23738048,184951731.32
2019-04-17,'000055,方大集团,7.95,8.14,7.87,7.93,7.93,0.02,0.2522,25631166,204872542.08
2019-04-16,'000055,方大集团,7.93,7.98,7.5,7.81,7.81,0.12,1.5365,28679696,222387156.94
2019-04-15,'000055,方大集团,7.81,8.2,7.8,7.95,7.82,-0.01,-0.1279,28272927,226299534.06
2019-04-12,'000055,方大集团,7.82,7.95,7.72,7.82,7.9,-0.08,-1.0127,22513114,176017865.09
2019-04-11,'000055,方大集团,7.9,8.25,7.89,8.11,8.15,-0.25,-3.0675,34642621,279319069.47
2019-04-10,'000055,方大集团,8.15,8.41,7.62,7.88,7.95,0.2,2.5157,52393435,418482019.25
2019-04-09,'000055,方大集团,7.95,8.24,7.86,8.24,8.23,-0.28,-3.4022,47826401,383608920.67
2019-04-08,'000055,方大集团,8.23,8.52,7.7,7.84,7.83,0.4,5.1086,83165017,680950834.34
2019-04-04,'000055,方大集团,7.83,7.95,7.32,7.41,7.36,0.47,6.3859,66171774,499014230.59
2019-04-03,'000055,方大集团,7.36,7.48,7.15,7.3,7.34,0.02,0.2725,38113345,279490265.56
2019-04-02,'000055,方大集团,7.34,7.48,7.03,7.24,7.12,0.22,3.0899,50653150,364843135.72
2019-04-01,'000055,方大集团,7.12,7.23,6.92,6.92,6.85,0.27,3.9416,37964281,270606500.05
2019-03-29,'000055,方大集团,6.85,6.86,6.55,6.68,6.71,0.14,2.0864,29887834,201854174.74
2019-03-28,'000055,方大集团,6.71,6.93,6.7,6.92,7.0,-0.29,-4.1429,33195440,225589345.2
2019-03-27,'000055,方大集团,7.0,7.08,6.77,6.97,6.9,0.1,1.4493,35111680,243511540.32
2019-03-26,'000055,方大集团,6.9,7.46,6.86,7.23,7.24,-0.34,-4.6961,58765276,418399950.97
2019-03-25,'000055,方大集团,7.24,7.69,6.75,6.8,6.99,0.25,3.5765,85918777,625207654.53
2019-03-22,'000055,方大集团,6.99,7.11,6.43,6.45,6.46,0.53,8.2043,84301723,583148101.45
2019-03-21,'000055,方大集团,6.46,6.55,6.43,6.5,6.48,-0.02,-0.3086,26210684,170022948.37
2019-03-20,'000055,方大集团,6.48,6.59,6.3,6.59,6.55,-0.07,-1.0687,24058944,155407326.02
2019-03-19,'000055,方大集团,6.55,6.59,6.42,6.49,6.39,0.16,2.5039,28794995,187056866.54
2019-03-18,'000055,方大集团,6.39,6.39,6.13,6.17,6.17,0.22,3.5656,26764356,168932031.39
2019-03-15,'000055,方大集团,6.17,6.25,6.1,6.15,6.07,0.1,1.6474,19981393,123353632.2
2019-03-14,'000055,方大集团,6.07,6.38,6.02,6.38,6.4,-0.33,-5.1563,25732986,158304225.64
2019-03-13,'000055,方大集团,6.4,6.59,6.32,6.59,6.62,-0.22,-3.3233,32562362,209822504.34
2019-03-12,'000055,方大集团,6.62,6.72,6.34,6.37,6.33,0.29,4.5814,52678633,344856676.28
2019-03-11,'000055,方大集团,6.33,6.44,6.21,6.28,6.2,0.13,2.0968,31876776,202128782.68
2019-03-08,'000055,方大集团,6.4,6.8,6.4,6.73,6.8,-0.4,-5.8824,37431807,246659266.23
2019-03-07,'000055,方大集团,6.8,6.9,6.62,6.9,6.85,-0.05,-0.7299,47380604,320067180.71
2019-03-06,'000055,方大集团,6.85,6.94,6.57,6.58,6.55,0.3,4.5802,61306873,416877764.18
2019-03-05,'000055,方大集团,6.55,6.59,6.35,6.41,6.4,0.15,2.3438,37749309,243110252.37
2019-03-04,'000055,方大集团,6.4,6.51,6.32,6.43,6.38,0.02,0.3135,44824976,287590306.32
2019-03-01,'000055,方大集团,6.38,6.52,6.3,6.31,6.26,0.12,1.9169,35091852,224524941.46
2019-02-28,'000055,方大集团,6.26,6.32,6.16,6.22,6.22,0.04,0.6431,24817269,155174232.06
2019-02-27,'000055,方大集团,6.22,6.46,6.11,6.35,6.39,-0.17,-2.6604,42149236,266038045.54
2019-02-26,'000055,方大集团,6.39,6.67,6.32,6.67,6.61,-0.22,-3.3283,55078859,357339642.28
2019-02-25,'000055,方大集团,6.61,6.8,6.19,6.28,6.26,0.35,5.5911,78210040,501191301.9
2019-02-22,'000055,方大集团,6.26,6.35,5.85,5.85,5.9,0.36,6.1017,65973603,406766035.15
2019-02-21,'000055,方大集团,5.9,6.09,5.84,5.91,5.96,-0.06,-1.0067,40332186,239643516.02
2019-02-20,'000055,方大集团,5.96,6.1,5.89,6.1,6.06,-0.1,-1.6502,35987995,214516442.21
2019-02-19,'000055,方大集团,6.06,6.37,5.91,6.08,5.8,0.26,4.4828,68400886,417084534.96
2019-02-18,'000055,方大集团,5.8,5.82,5.64,5.66,5.66,0.14,2.4735,43378480,249630321.93
2019-02-15,'000055,方大集团,5.66,5.7,5.47,5.59,5.59,0.07,1.2522,40533036,227099472.62
2019-02-14,'000055,方大集团,5.59,5.82,5.28,5.32,5.35,0.24,4.486,61504353,344341665.62
2019-02-13,'000055,方大集团,5.35,5.37,5.18,5.23,5.3,0.05,0.9434,52117238,275951936.32
2019-02-12,'000055,方大集团,5.3,5.39,5.15,5.19,5.28,0.02,0.3788,50566678,265891326.84
2019-02-11,'000055,方大集团,5.28,5.35,4.88,4.97,5.04,0.24,4.7619,64695210,328338809.91
2019-02-01,'000055,方大集团,5.04,5.3,4.97,5.07,5.2,-0.16,-3.0769,75840146,385436022.45
2019-01-31,'000055,方大集团,5.2,5.2,5.2,5.2,5.78,-0.58,-10.0346,5407700,28120040.0
2019-01-30,'000055,方大集团,5.78,5.78,5.78,5.78,6.42,-0.64,-9.9688,5948300,34381174.0
2019-01-29,'000055,方大集团,6.42,6.57,6.24,6.43,6.48,-0.06,-0.9259,45211361,290275975.58
2019-01-28,'000055,方大集团,6.48,6.83,6.33,6.72,6.61,-0.13,-1.9667,53580076,349456342.15
2019-01-25,'000055,方大集团,6.61,6.85,6.31,6.48,6.51,0.1,1.5361,70047292,460281607.66
2019-01-24,'000055,方大集团,6.51,6.76,6.4,6.55,6.65,-0.14,-2.1053,75705851,495971412.44
