日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000056,皇庭国际,4.52,4.54,4.39,4.42,4.35,0.17,3.908,7787151,34924935.76
2019-06-28,'000056,皇庭国际,4.35,4.44,4.29,4.43,4.42,-0.07,-1.5837,6361147,27666499.98
2019-06-27,'000056,皇庭国际,4.42,4.48,4.41,4.45,4.43,-0.01,-0.2257,4444632,19741712.76
2019-06-26,'000056,皇庭国际,4.43,4.47,4.4,4.43,4.45,-0.02,-0.4494,3949204,17500518.84
2019-06-25,'000056,皇庭国际,4.45,4.53,4.38,4.52,4.51,-0.06,-1.3304,6503619,28848713.5
2019-06-24,'000056,皇庭国际,4.51,4.61,4.45,4.5,4.48,0.03,0.6696,8856082,39977024.64
2019-06-21,'000056,皇庭国际,4.48,4.5,4.37,4.4,4.38,0.1,2.2831,11344847,50402589.1
2019-06-20,'000056,皇庭国际,4.38,4.4,4.3,4.32,4.35,0.03,0.6897,12447220,54237598.25
2019-06-19,'000056,皇庭国际,4.35,4.44,4.27,4.28,4.22,0.13,3.0806,12578964,54440698.73
2019-06-18,'000056,皇庭国际,4.22,4.29,4.2,4.29,4.27,-0.05,-1.171,4696367,19878849.72
2019-06-17,'000056,皇庭国际,4.27,4.3,4.22,4.26,4.26,0.01,0.2347,4342340,18492325.0
2019-06-14,'000056,皇庭国际,4.26,4.42,4.24,4.42,4.4,-0.14,-3.1818,8127656,35228890.68
2019-06-13,'000056,皇庭国际,4.4,4.42,4.33,4.37,4.37,0.03,0.6865,6566540,28745326.8
2019-06-12,'000056,皇庭国际,4.37,4.45,4.36,4.44,4.44,-0.07,-1.5766,7253496,31900193.66
2019-06-11,'000056,皇庭国际,4.44,4.47,4.27,4.29,4.29,0.15,3.4965,9371200,40955481.6
2019-06-10,'000056,皇庭国际,4.29,4.32,4.23,4.27,4.27,0.02,0.4684,5983340,25605353.2
2019-06-06,'000056,皇庭国际,4.27,4.41,4.25,4.38,4.39,-0.12,-2.7335,5149094,22186328.38
2019-06-05,'000056,皇庭国际,4.39,4.5,4.38,4.46,4.41,-0.02,-0.4535,4275600,18912979.0
2019-06-04,'000056,皇庭国际,4.41,4.52,4.4,4.5,4.49,-0.08,-1.7817,4600502,20468694.9
2019-06-03,'000056,皇庭国际,4.49,4.64,4.48,4.6,4.59,-0.1,-2.1786,5144280,23312893.0
2019-05-31,'000056,皇庭国际,4.59,4.68,4.58,4.62,4.61,-0.02,-0.4338,4109800,19017138.0
2019-05-30,'000056,皇庭国际,4.61,4.69,4.55,4.67,4.68,-0.07,-1.4957,4939934,22792621.06
2019-05-29,'000056,皇庭国际,4.68,4.75,4.65,4.73,4.73,-0.05,-1.0571,5137162,24119730.02
