日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000058,深 赛 格,5.77,5.8,5.68,5.68,5.6,0.17,3.0357,3882900,22356918.0
2019-06-28,'000058,深 赛 格,5.6,5.71,5.46,5.7,5.7,-0.1,-1.7544,3189100,17826100.0
2019-06-27,'000058,深 赛 格,5.7,5.78,5.66,5.68,5.65,0.05,0.885,2954901,16919218.68
2019-06-26,'000058,深 赛 格,5.65,5.73,5.63,5.66,5.66,-0.01,-0.1767,2225900,12670322.0
2019-06-25,'000058,深 赛 格,5.66,5.77,5.6,5.75,5.77,-0.11,-1.9064,3388300,19183043.0
2019-06-24,'000058,深 赛 格,5.77,5.81,5.71,5.8,5.83,-0.06,-1.0292,4104100,23612461.0
2019-06-21,'000058,深 赛 格,5.83,5.99,5.66,5.69,5.66,0.17,3.0035,7559253,44132137.73
2019-06-20,'000058,深 赛 格,5.66,5.74,5.54,5.58,5.58,0.08,1.4337,4683223,26375940.47
2019-06-19,'000058,深 赛 格,5.58,5.65,5.54,5.58,5.5,0.08,1.4545,4688110,26214635.9
2019-06-18,'000058,深 赛 格,5.5,5.68,5.38,5.66,5.64,-0.14,-2.4823,4502110,24778454.2
2019-06-17,'000058,深 赛 格,5.64,5.79,5.62,5.77,5.8,-0.16,-2.7586,3402060,19343228.4
2019-06-14,'000058,深 赛 格,5.8,5.94,5.76,5.93,5.94,-0.14,-2.3569,3626322,21120353.94
2019-06-13,'000058,深 赛 格,5.94,6.0,5.8,5.92,5.92,0.02,0.3378,4314859,25476839.14
2019-06-12,'000058,深 赛 格,5.92,6.02,5.9,6.01,6.03,-0.11,-1.8242,3226800,19187870.0
2019-06-11,'000058,深 赛 格,6.03,6.08,5.83,5.89,5.84,0.19,3.2534,4194345,24975098.15
2019-06-10,'000058,深 赛 格,5.84,5.86,5.73,5.73,5.75,0.09,1.5652,2314200,13438178.0
2019-06-06,'000058,深 赛 格,5.75,5.96,5.71,5.96,5.94,-0.19,-3.1987,2848993,16517401.03
2019-06-05,'000058,深 赛 格,5.94,6.08,5.91,6.01,5.93,0.01,0.1686,3173478,18998197.88
2019-06-04,'000058,深 赛 格,5.93,6.1,5.9,6.04,6.01,-0.08,-1.3311,2643100,15900553.99
2019-06-03,'000058,深 赛 格,6.01,6.24,5.99,6.16,6.16,-0.15,-2.4351,3141301,19041073.5
2019-05-31,'000058,深 赛 格,6.16,6.28,6.15,6.27,6.23,-0.07,-1.1236,2641900,16391556.22
2019-05-30,'000058,深 赛 格,6.23,6.38,6.2,6.38,6.41,-0.18,-2.8081,5041693,31513066.32
2019-05-29,'000058,深 赛 格,6.41,6.54,6.11,6.2,6.2,0.21,3.3871,9350403,59019299.96
2019-05-28,'000058,深 赛 格,6.2,6.46,6.18,6.28,6.3,-0.1,-1.5873,5712108,36219248.62
2019-05-27,'000058,深 赛 格,6.3,6.32,6.06,6.27,6.16,0.14,2.2727,5705084,35499244.05
2019-05-24,'000058,深 赛 格,6.16,6.64,6.16,6.6,6.66,-0.5,-7.5075,8668010,55559558.3
2019-05-23,'000058,深 赛 格,6.66,6.84,6.43,6.5,6.47,0.19,2.9366,12903603,86041978.15
2019-05-22,'000058,深 赛 格,6.47,6.54,6.36,6.54,6.55,-0.08,-1.2214,4919400,31711064.9
2019-05-21,'000058,深 赛 格,6.55,6.65,6.43,6.5,6.48,0.07,1.0802,4856548,31813299.89
2019-05-20,'000058,深 赛 格,6.48,6.6,6.38,6.6,6.55,-0.07,-1.0687,5576700,36127922.54
2019-05-17,'000058,深 赛 格,6.55,6.69,6.42,6.69,6.68,-0.13,-1.9461,8267343,54026732.13
2019-05-16,'000058,深 赛 格,6.68,6.73,6.61,6.7,6.74,-0.06,-0.8902,6037457,40302632.27
2019-05-15,'000058,深 赛 格,6.74,6.74,6.58,6.64,6.63,0.11,1.6591,9492345,63325086.3
2019-05-14,'000058,深 赛 格,6.63,6.84,6.55,6.7,6.86,-0.23,-3.3528,11431094,76323122.41
2019-05-13,'000058,深 赛 格,6.86,7.06,6.3,6.4,6.52,0.34,5.2147,18116055,121703149.12
2019-05-10,'000058,深 赛 格,6.52,6.57,6.0,6.37,6.38,0.14,2.1944,10238100,65847569.0
2019-05-09,'000058,深 赛 格,6.38,6.47,6.27,6.31,6.51,-0.13,-1.9969,6565499,41810933.65
2019-05-08,'000058,深 赛 格,6.51,6.81,6.34,6.53,6.65,-0.14,-2.1053,15256352,100488431.95
2019-05-07,'000058,深 赛 格,6.65,6.79,6.14,6.18,6.17,0.48,7.7796,20931804,136614809.97
2019-05-06,'000058,深 赛 格,6.17,6.24,5.72,5.88,5.9,0.27,4.5763,19652449,118878045.57
2019-04-30,'000058,深 赛 格,5.9,5.99,5.75,5.75,5.72,0.18,3.1469,5449801,32108369.73
2019-04-29,'000058,深 赛 格,5.72,6.23,5.72,6.17,6.16,-0.44,-7.1429,7427200,44085632.0
2019-04-26,'000058,深 赛 格,6.16,6.49,6.15,6.41,6.4,-0.24,-3.75,7306601,46044981.24
2019-04-25,'000058,深 赛 格,6.4,6.82,6.32,6.82,6.83,-0.43,-6.2958,9659796,63606006.8
2019-04-24,'000058,深 赛 格,6.83,6.9,6.73,6.89,6.94,-0.11,-1.585,7280752,49531952.75
2019-04-23,'000058,深 赛 格,6.94,7.05,6.68,6.78,6.81,0.13,1.909,10939853,75203144.78
2019-04-22,'000058,深 赛 格,6.81,7.0,6.8,6.9,6.85,-0.04,-0.5839,6374900,43888468.0
2019-04-19,'000058,深 赛 格,6.85,6.88,6.68,6.71,6.79,0.06,0.8837,6443800,43687265.0
2019-04-18,'000058,深 赛 格,6.79,6.99,6.78,6.95,6.99,-0.2,-2.8612,6658401,45707363.89
2019-04-17,'000058,深 赛 格,6.99,7.07,6.81,6.85,6.89,0.1,1.4514,8932596,62306367.89
2019-04-16,'000058,深 赛 格,6.89,6.93,6.51,6.9,7.0,-0.11,-1.5714,10688556,72235435.48
2019-04-15,'000058,深 赛 格,7.0,7.17,7.0,7.07,6.99,0.01,0.1431,5740935,40703666.74
2019-04-12,'000058,深 赛 格,6.99,7.11,6.97,7.03,7.09,-0.1,-1.4104,7568541,53206135.64
2019-04-11,'000058,深 赛 格,7.09,7.34,7.07,7.31,7.32,-0.23,-3.1421,9931502,71413498.21
2019-04-10,'000058,深 赛 格,7.32,7.35,7.1,7.21,7.23,0.09,1.2448,13821741,100514221.51
2019-04-09,'000058,深 赛 格,7.23,7.23,7.01,7.05,7.02,0.21,2.9915,9103793,65067590.09
2019-04-08,'000058,深 赛 格,7.02,7.2,6.95,7.17,7.15,-0.13,-1.8182,9263283,65604384.15
2019-04-04,'000058,深 赛 格,7.15,7.26,7.1,7.26,7.26,-0.11,-1.5152,11654100,83567592.27
2019-04-03,'000058,深 赛 格,7.26,7.31,7.19,7.25,7.3,-0.04,-0.5479,10408890,75454128.7
2019-04-02,'000058,深 赛 格,7.3,7.43,7.27,7.43,7.41,-0.11,-1.4845,14418967,105695570.71
2019-04-01,'000058,深 赛 格,7.41,7.49,7.06,7.14,7.18,0.23,3.2033,21655049,157616299.18
2019-03-29,'000058,深 赛 格,7.18,7.18,6.75,7.02,7.04,0.14,1.9886,16663510,116372336.9
2019-03-28,'000058,深 赛 格,7.04,7.12,6.95,7.08,7.04,0.0,0.0,7449901,52490972.0
2019-03-27,'000058,深 赛 格,7.04,7.29,7.0,7.19,7.21,-0.17,-2.3578,8927419,63378266.78
2019-03-26,'000058,深 赛 格,7.21,7.57,7.21,7.52,7.6,-0.39,-5.1316,12282420,90607053.6
2019-03-25,'000058,深 赛 格,7.6,7.62,7.37,7.44,7.61,-0.01,-0.1314,14742055,110244468.67
2019-03-22,'000058,深 赛 格,7.61,7.67,7.28,7.51,7.59,0.02,0.2635,20728826,155318307.24
2019-03-21,'000058,深 赛 格,7.59,7.76,7.51,7.59,7.57,0.02,0.2642,26547322,203669550.3
2019-03-20,'000058,深 赛 格,7.57,7.58,7.31,7.5,7.52,0.05,0.6649,13753824,102953349.33
