日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000059,华锦股份,6.6,6.62,6.47,6.5,6.4,0.2,3.125,13470683,88210513.82
2019-06-28,'000059,华锦股份,6.4,6.5,6.37,6.5,6.49,-0.09,-1.3867,7277306,46667620.38
2019-06-27,'000059,华锦股份,6.49,6.55,6.47,6.49,6.47,0.02,0.3091,9514836,61933066.83
2019-06-26,'000059,华锦股份,6.47,6.49,6.4,6.49,6.48,-0.01,-0.1543,9055716,58425879.6
2019-06-25,'000059,华锦股份,6.73,6.79,6.65,6.73,6.77,-0.04,-0.5908,12212772,82045515.44
2019-06-24,'000059,华锦股份,6.77,6.82,6.72,6.75,6.75,0.02,0.2963,9659834,65343818.41
2019-06-21,'000059,华锦股份,6.75,6.81,6.64,6.66,6.62,0.13,1.9637,16498835,111130335.26
2019-06-20,'000059,华锦股份,6.62,6.63,6.47,6.47,6.5,0.12,1.8462,11726861,77041681.8
2019-06-19,'000059,华锦股份,6.5,6.55,6.49,6.52,6.4,0.1,1.5625,9400681,61303797.01
2019-06-18,'000059,华锦股份,6.4,6.47,6.38,6.41,6.37,0.03,0.471,9395539,60294505.56
2019-06-17,'000059,华锦股份,6.37,6.41,6.33,6.37,6.36,0.01,0.1572,5356740,34091330.51
2019-06-14,'000059,华锦股份,6.36,6.53,6.35,6.52,6.52,-0.16,-2.454,9222945,59392051.17
2019-06-13,'000059,华锦股份,6.52,6.52,6.43,6.48,6.51,0.01,0.1536,8448908,54771455.04
2019-06-12,'000059,华锦股份,6.51,6.59,6.5,6.57,6.58,-0.07,-1.0638,7472101,48867527.56
2019-06-11,'000059,华锦股份,6.58,6.58,6.4,6.43,6.43,0.15,2.3328,10206501,66576875.87
2019-06-10,'000059,华锦股份,6.43,6.43,6.3,6.32,6.29,0.14,2.2258,7395600,47143090.58
2019-06-06,'000059,华锦股份,6.29,6.43,6.29,6.39,6.4,-0.11,-1.7188,6640842,42075784.94
2019-06-05,'000059,华锦股份,6.4,6.47,6.4,6.43,6.37,0.03,0.471,6320835,40660989.65
2019-06-04,'000059,华锦股份,6.37,6.49,6.36,6.47,6.49,-0.12,-1.849,8956081,57489158.8
2019-06-03,'000059,华锦股份,6.49,6.66,6.46,6.65,6.65,-0.16,-2.406,12331268,80660552.42
2019-05-31,'000059,华锦股份,6.65,6.8,6.62,6.68,6.72,-0.07,-1.0417,11755082,78945407.4
2019-05-30,'000059,华锦股份,6.72,6.77,6.61,6.62,6.63,0.09,1.3575,12081394,80835692.98
2019-05-29,'000059,华锦股份,6.63,6.7,6.55,6.55,6.59,0.04,0.607,7375902,49048258.19
2019-05-28,'000059,华锦股份,6.59,6.67,6.53,6.61,6.59,0.0,0.0,9631601,63647809.47
2019-05-27,'000059,华锦股份,6.59,6.61,6.42,6.45,6.43,0.16,2.4883,8308253,54295404.12
2019-05-24,'000059,华锦股份,6.43,6.62,6.42,6.52,6.6,-0.17,-2.5758,9966392,64628047.32
2019-05-23,'000059,华锦股份,6.6,6.71,6.6,6.71,6.69,-0.09,-1.3453,8371191,55476830.51
2019-05-22,'000059,华锦股份,6.69,6.83,6.67,6.76,6.78,-0.09,-1.3274,7340280,49530531.0
2019-05-21,'000059,华锦股份,6.78,6.81,6.68,6.7,6.7,0.08,1.194,10081548,68057422.49
2019-05-20,'000059,华锦股份,6.7,6.76,6.58,6.75,6.72,-0.02,-0.2976,10332150,68771907.61
2019-05-17,'000059,华锦股份,6.72,6.99,6.71,6.97,6.96,-0.24,-3.4483,14349435,98062550.12
2019-05-16,'000059,华锦股份,6.96,7.03,6.93,6.96,6.97,-0.01,-0.1435,11962100,83420762.86
2019-05-15,'000059,华锦股份,6.97,6.97,6.86,6.9,6.85,0.12,1.7518,14052437,97255772.3
2019-05-14,'000059,华锦股份,6.85,6.92,6.76,6.85,6.9,-0.05,-0.7246,10285301,70510359.26
2019-05-13,'000059,华锦股份,6.9,6.97,6.86,6.92,6.95,-0.05,-0.7194,9225788,63836142.56
2019-05-10,'000059,华锦股份,6.95,7.0,6.72,6.84,6.8,0.15,2.2059,16842266,116346134.92
2019-05-09,'000059,华锦股份,6.8,6.88,6.77,6.78,6.85,-0.05,-0.7299,9086901,62010960.85
2019-05-08,'000059,华锦股份,6.85,6.97,6.73,6.78,6.91,-0.06,-0.8683,12259015,84257849.13
2019-05-07,'000059,华锦股份,6.91,6.97,6.75,6.78,6.67,0.24,3.5982,19226195,132105293.17
2019-05-06,'000059,华锦股份,6.67,7.05,6.57,7.01,7.18,-0.51,-7.1031,27262534,186784463.03
2019-04-30,'000059,华锦股份,7.18,7.24,7.01,7.01,7.03,0.15,2.1337,16111464,115369035.55
2019-04-29,'000059,华锦股份,7.03,7.24,6.95,7.22,7.2,-0.17,-2.3611,24920280,176359004.76
2019-04-26,'000059,华锦股份,7.2,7.53,7.18,7.49,7.53,-0.33,-4.3825,36496409,268356285.45
2019-04-25,'000059,华锦股份,7.53,8.06,7.5,7.9,7.95,-0.42,-5.283,52779063,414027112.01
2019-04-24,'000059,华锦股份,7.95,8.02,7.61,7.68,7.65,0.3,3.9216,52474031,410081754.2
2019-04-23,'000059,华锦股份,7.65,7.78,7.55,7.74,7.65,0.0,0.0,34458264,264623348.06
2019-04-22,'000059,华锦股份,7.65,7.83,7.49,7.55,7.53,0.12,1.5936,36332088,277857001.08
2019-04-19,'000059,华锦股份,7.53,7.53,7.4,7.48,7.47,0.06,0.8032,17003823,126851464.84
2019-04-18,'000059,华锦股份,7.47,7.55,7.46,7.53,7.54,-0.07,-0.9284,14889633,111847554.89
2019-04-17,'000059,华锦股份,7.54,7.57,7.45,7.52,7.51,0.03,0.3995,21390931,160795946.64
2019-04-16,'000059,华锦股份,7.51,7.51,7.33,7.4,7.42,0.09,1.2129,21309722,158263240.87
2019-04-15,'000059,华锦股份,7.42,7.64,7.41,7.51,7.47,-0.05,-0.6693,25186870,189541143.38
2019-04-12,'000059,华锦股份,7.47,7.48,7.35,7.36,7.36,0.11,1.4946,23480753,173921890.61
2019-04-11,'000059,华锦股份,7.36,7.57,7.32,7.53,7.52,-0.16,-2.1277,24901825,185178073.77
2019-04-10,'000059,华锦股份,7.52,7.63,7.42,7.57,7.67,-0.15,-1.9557,33339191,250665453.53
2019-04-09,'000059,华锦股份,7.67,7.91,7.61,7.9,7.86,-0.19,-2.4173,37032886,285129277.95
2019-04-08,'000059,华锦股份,7.86,8.2,7.7,8.02,7.71,0.15,1.9455,66201956,525772979.15
2019-04-04,'000059,华锦股份,7.71,7.8,7.43,7.44,7.43,0.28,3.7685,56325573,432055453.94
2019-04-03,'000059,华锦股份,7.43,7.45,7.27,7.31,7.36,0.07,0.9511,31386914,232060939.54
2019-04-02,'000059,华锦股份,7.36,7.4,7.24,7.3,7.25,0.11,1.5172,37514385,275191876.79
2019-04-01,'000059,华锦股份,7.25,7.26,7.04,7.05,7.02,0.23,3.2764,28973237,208404023.9
2019-03-29,'000059,华锦股份,7.02,7.04,6.77,6.87,6.85,0.17,2.4818,20359004,140847315.0
2019-03-28,'000059,华锦股份,6.85,7.04,6.84,6.99,7.03,-0.18,-2.5605,15739710,109190241.64
2019-03-27,'000059,华锦股份,7.03,7.08,6.93,7.03,7.01,0.02,0.2853,13594694,95419714.71
2019-03-26,'000059,华锦股份,7.01,7.36,6.98,7.36,7.35,-0.34,-4.6259,28179900,201396196.03
2019-03-25,'000059,华锦股份,7.35,7.43,7.06,7.1,7.17,0.18,2.5105,39696601,289233191.14
2019-03-22,'000059,华锦股份,7.17,7.19,7.04,7.16,7.17,0.0,0.0,17572725,125161793.71
2019-03-21,'000059,华锦股份,7.17,7.24,7.13,7.16,7.2,-0.03,-0.4167,19790188,142207100.56
2019-03-20,'000059,华锦股份,7.2,7.36,7.07,7.27,7.24,-0.04,-0.5525,29511902,212588424.94
2019-03-19,'000059,华锦股份,7.24,7.27,7.06,7.1,7.1,0.14,1.9718,34890290,250229666.42
2019-03-18,'000059,华锦股份,7.1,7.1,6.87,6.92,6.91,0.19,2.7496,20217148,141857182.31
2019-03-15,'000059,华锦股份,6.91,7.0,6.84,6.9,6.84,0.07,1.0234,15060643,104292319.51
2019-03-14,'000059,华锦股份,6.84,7.08,6.76,6.96,6.97,-0.13,-1.8651,16451869,113478751.31
2019-03-13,'000059,华锦股份,6.97,7.17,6.93,7.17,7.16,-0.19,-2.6536,21564727,152221382.07
2019-03-12,'000059,华锦股份,7.16,7.23,7.02,7.02,7.0,0.16,2.2857,27880584,198632885.29
2019-03-11,'000059,华锦股份,7.0,7.02,6.75,6.76,6.79,0.21,3.0928,18672224,129115782.19
2019-03-08,'000059,华锦股份,6.79,7.18,6.78,7.12,7.17,-0.38,-5.2999,28228726,197467372.08
2019-03-07,'000059,华锦股份,7.17,7.27,7.07,7.1,7.13,0.04,0.561,27083486,194041227.25
2019-03-06,'000059,华锦股份,7.13,7.17,6.92,6.93,6.92,0.21,3.0347,35965278,253854023.7
2019-03-05,'000059,华锦股份,6.92,6.92,6.72,6.76,6.77,0.15,2.2157,29301975,200492722.77
2019-03-04,'000059,华锦股份,6.77,6.87,6.68,6.72,6.7,0.07,1.0448,32036531,217321245.95
2019-03-01,'000059,华锦股份,6.7,6.73,6.61,6.71,6.69,0.01,0.1495,16167838,107809698.68
2019-02-28,'000059,华锦股份,6.69,6.82,6.67,6.76,6.75,-0.06,-0.8889,19565853,131916644.34
2019-02-27,'000059,华锦股份,6.75,6.87,6.63,6.65,6.68,0.07,1.0479,29064475,195596849.21
2019-02-26,'000059,华锦股份,6.68,6.85,6.68,6.79,6.8,-0.12,-1.7647,37634054,254010995.72
2019-02-25,'000059,华锦股份,6.8,6.85,6.49,6.76,6.26,0.54,8.6262,52484419,349492998.23
2019-02-22,'000059,华锦股份,6.26,6.27,6.15,6.23,6.22,0.04,0.6431,15121699,93899744.64
2019-02-21,'000059,华锦股份,6.22,6.31,6.21,6.25,6.25,-0.03,-0.48,13357414,83546367.18
2019-02-20,'000059,华锦股份,6.25,6.28,6.2,6.25,6.26,-0.01,-0.1597,9108567,56851625.06
2019-02-19,'000059,华锦股份,6.26,6.33,6.2,6.25,6.21,0.05,0.8052,16137685,100843647.19
2019-02-18,'000059,华锦股份,6.21,6.24,6.09,6.1,6.05,0.16,2.6446,18841977,116045441.25
2019-02-15,'000059,华锦股份,6.05,6.12,6.03,6.09,6.09,-0.04,-0.6568,10576259,64279441.36
2019-02-14,'000059,华锦股份,6.09,6.13,6.05,6.08,6.08,0.01,0.1645,11336864,68989147.44
2019-02-13,'000059,华锦股份,6.08,6.1,5.99,6.03,6.01,0.07,1.1647,15442729,93514361.76
2019-02-12,'000059,华锦股份,6.01,6.08,5.9,5.92,5.93,0.08,1.3491,13373878,79997093.24
2019-02-11,'000059,华锦股份,5.93,5.94,5.83,5.84,5.83,0.1,1.7153,15389611,90795396.79
2019-02-01,'000059,华锦股份,5.83,5.85,5.77,5.77,5.75,0.08,1.3913,9142493,53180314.43
2019-01-31,'000059,华锦股份,5.75,5.86,5.71,5.75,5.73,0.02,0.349,11338634,65617441.15
2019-01-30,'000059,华锦股份,5.73,5.81,5.72,5.77,5.77,-0.04,-0.6932,5341000,30800303.0
2019-01-29,'000059,华锦股份,5.77,5.83,5.68,5.79,5.8,-0.03,-0.5172,8981267,51669227.5
2019-01-28,'000059,华锦股份,5.8,5.88,5.78,5.85,5.84,-0.04,-0.6849,8777225,51167960.68
2019-01-25,'000059,华锦股份,5.84,5.89,5.77,5.78,5.78,0.06,1.0381,13999887,81660267.27
2019-01-24,'000059,华锦股份,5.78,5.83,5.73,5.78,5.77,0.01,0.1733,9456363,54757632.51
2019-01-23,'000059,华锦股份,5.77,5.81,5.74,5.81,5.81,-0.04,-0.6885,10169623,58709195.98
2019-01-22,'000059,华锦股份,5.81,5.86,5.77,5.8,5.83,-0.02,-0.3431,12122763,70584749.53
2019-01-21,'000059,华锦股份,5.83,5.9,5.75,5.89,6.01,-0.18,-2.995,32409861,188571391.41
2019-01-18,'000059,华锦股份,6.01,6.05,5.99,6.0,6.0,0.01,0.1667,19809822,119339401.15
2019-01-17,'000059,华锦股份,6.0,6.09,6.0,6.05,6.06,-0.06,-0.9901,7486444,45233920.88
2019-01-16,'000059,华锦股份,6.06,6.11,6.03,6.11,6.09,-0.03,-0.4926,6843835,41517067.38
2019-01-15,'000059,华锦股份,6.09,6.09,6.03,6.06,6.06,0.03,0.495,6284169,38111160.8
2019-01-14,'000059,华锦股份,6.06,6.12,6.04,6.07,6.07,-0.01,-0.1647,6938800,42137801.0
2019-01-11,'000059,华锦股份,6.07,6.07,6.0,6.02,6.03,0.04,0.6633,5855439,35416077.24
2019-01-10,'000059,华锦股份,6.03,6.09,6.02,6.05,6.05,-0.02,-0.3306,5665237,34249043.59
2019-01-09,'000059,华锦股份,6.05,6.12,6.01,6.03,6.01,0.04,0.6656,9170187,55715432.96
2019-01-08,'000059,华锦股份,6.01,6.05,5.99,6.04,6.04,-0.03,-0.4967,4567151,27479353.0
2019-01-07,'000059,华锦股份,6.04,6.08,5.97,6.03,5.97,0.07,1.1725,7856005,47323984.21
2019-01-04,'000059,华锦股份,5.97,5.98,5.78,5.81,5.85,0.12,2.0513,7524555,44547731.07
2019-01-03,'000059,华锦股份,5.85,5.91,5.83,5.84,5.84,0.01,0.1712,4196335,24592917.03
2019-01-02,'000059,华锦股份,5.84,5.96,5.83,5.94,5.94,-0.1,-1.6835,7160003,42154179.63
2018-12-28,'000059,华锦股份,5.94,5.98,5.92,5.92,5.94,0.0,0.0,4656598,27721515.58
2018-12-27,'000059,华锦股份,5.94,6.08,5.92,6.05,5.94,0.0,0.0,8034555,48220103.65
