日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000060,中金岭南,4.77,4.77,4.72,4.75,4.69,0.08,1.7058,32671091,155252676.67
2019-06-28,'000060,中金岭南,4.69,4.78,4.64,4.77,4.77,-0.08,-1.6771,25782061,120752911.69
2019-06-27,'000060,中金岭南,4.77,4.81,4.75,4.77,4.77,0.0,0.0,25647480,122528511.79
2019-06-26,'000060,中金岭南,4.77,4.82,4.76,4.79,4.85,-0.08,-1.6495,24548806,117415605.52
2019-06-25,'000060,中金岭南,4.85,4.94,4.78,4.85,4.81,0.04,0.8316,53859112,261213165.22
2019-06-24,'000060,中金岭南,4.81,4.87,4.79,4.87,4.82,-0.01,-0.2075,22971006,110897948.3
2019-06-21,'000060,中金岭南,4.82,4.89,4.76,4.78,4.77,0.05,1.0482,45253867,218714740.44
2019-06-20,'000060,中金岭南,4.77,4.8,4.65,4.68,4.66,0.11,2.3605,36872573,174704981.6
2019-06-19,'000060,中金岭南,4.66,4.74,4.65,4.71,4.62,0.04,0.8658,26938692,126464618.27
2019-06-18,'000060,中金岭南,4.62,4.74,4.59,4.73,4.74,-0.12,-2.5316,29471583,137034361.43
2019-06-17,'000060,中金岭南,4.74,4.81,4.66,4.7,4.72,0.02,0.4237,22578825,107265359.05
2019-06-14,'000060,中金岭南,4.72,4.85,4.69,4.78,4.79,-0.07,-1.4614,39038592,186329204.7
2019-06-13,'000060,中金岭南,4.79,4.83,4.75,4.8,4.83,-0.04,-0.8282,35242069,168859717.74
2019-06-12,'000060,中金岭南,4.83,4.95,4.75,4.8,4.88,-0.05,-1.0246,65340316,316963684.71
2019-06-11,'000060,中金岭南,4.88,4.9,4.71,4.74,4.74,0.14,2.9536,50837550,245446453.95
2019-06-10,'000060,中金岭南,4.74,4.77,4.63,4.66,4.65,0.09,1.9355,27301920,128738382.74
2019-06-06,'000060,中金岭南,4.65,4.79,4.62,4.7,4.72,-0.07,-1.4831,24180533,113887106.99
2019-06-05,'000060,中金岭南,4.72,4.81,4.71,4.76,4.71,0.01,0.2123,19296685,91827489.93
2019-06-04,'000060,中金岭南,4.71,4.8,4.67,4.71,4.73,-0.02,-0.4228,24415234,115333110.48
2019-06-03,'000060,中金岭南,4.73,4.88,4.72,4.83,4.84,-0.11,-2.2727,29548832,141450334.16
2019-05-31,'000060,中金岭南,4.84,5.08,4.84,5.06,4.94,-0.1,-2.0243,53771710,265589980.54
2019-05-30,'000060,中金岭南,4.94,4.97,4.71,4.73,4.77,0.17,3.5639,64919025,315330990.43
2019-05-29,'000060,中金岭南,4.77,4.84,4.75,4.8,4.74,0.03,0.6329,32371543,155334372.0
2019-05-28,'000060,中金岭南,4.74,4.78,4.7,4.76,4.76,-0.02,-0.4202,27543186,130706115.95
2019-05-27,'000060,中金岭南,4.76,4.77,4.6,4.63,4.62,0.14,3.0303,32619879,153718334.52
2019-05-24,'000060,中金岭南,4.62,4.72,4.56,4.56,4.6,0.02,0.4348,24394193,113139896.98
2019-05-23,'000060,中金岭南,4.6,4.72,4.57,4.65,4.67,-0.07,-1.4989,24018696,111482574.84
