日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000062,深圳华强,13.89,13.89,13.5,13.59,13.29,0.6,4.5147,8115869,111497473.54
2019-06-28,'000062,深圳华强,13.29,13.57,13.18,13.41,13.48,-0.19,-1.4095,3671423,49045461.76
2019-06-27,'000062,深圳华强,13.48,13.58,13.31,13.31,13.42,0.06,0.4471,4447565,60042338.95
2019-06-26,'000062,深圳华强,13.42,13.65,13.35,13.41,13.47,-0.05,-0.3712,3703537,49889733.25
2019-06-25,'000062,深圳华强,13.47,13.73,13.15,13.68,13.68,-0.21,-1.5351,4531715,60899326.18
2019-06-24,'000062,深圳华强,13.68,13.81,13.6,13.78,13.86,-0.18,-1.2987,4120916,56443724.89
2019-06-21,'000062,深圳华强,13.86,13.95,13.64,13.72,13.74,0.12,0.8734,7671337,106033018.33
2019-06-20,'000062,深圳华强,13.74,13.87,13.3,13.46,13.61,0.13,0.9552,7595895,103415004.3
2019-06-19,'000062,深圳华强,13.61,14.1,13.61,13.95,13.63,-0.02,-0.1467,6723179,93258581.46
2019-06-18,'000062,深圳华强,13.63,13.77,13.34,13.34,13.45,0.18,1.3383,4966764,67437196.22
2019-06-17,'000062,深圳华强,13.45,13.69,13.3,13.61,13.59,-0.14,-1.0302,6287433,84618721.0
2019-06-14,'000062,深圳华强,13.59,14.43,13.55,14.3,14.45,-0.86,-5.9516,11090841,154487741.63
2019-06-13,'000062,深圳华强,14.45,14.97,14.34,14.6,14.97,-0.52,-3.4736,12214644,177730750.84
2019-06-12,'000062,深圳华强,14.97,15.83,14.89,15.38,14.39,0.58,4.0306,26101284,401884542.51
2019-06-11,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-06-10,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-06-06,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-06-05,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-06-04,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-06-03,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-05-31,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-05-30,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-05-29,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-05-28,'000062,深圳华强,0.0,0.0,0.0,0.0,14.39,None,None,0,0.0
2019-05-27,'000062,深圳华强,14.39,14.54,13.73,13.84,13.76,0.63,4.5785,8217097,116671261.65
2019-05-24,'000062,深圳华强,13.76,14.2,13.69,13.91,14.2,-0.44,-3.0986,7397565,102959019.89
2019-05-23,'000062,深圳华强,14.2,14.9,14.19,14.9,15.08,-0.88,-5.8355,11485232,165700842.61
2019-05-22,'000062,深圳华强,15.08,15.5,14.76,15.0,15.15,-0.07,-0.462,15428527,232484223.86
2019-05-21,'000062,深圳华强,15.15,15.48,14.8,14.95,15.68,-0.53,-3.3801,19939093,301435704.31
2019-05-20,'000062,深圳华强,15.68,15.68,14.59,15.0,14.25,1.43,10.0351,28761840,444157295.44
2019-05-17,'000062,深圳华强,14.25,14.71,13.7,13.7,13.71,0.54,3.9387,12874546,182198724.17
2019-05-16,'000062,深圳华强,13.71,14.05,13.59,14.05,14.01,-0.3,-2.1413,5378691,73896990.34
2019-05-15,'000062,深圳华强,14.01,14.18,13.78,14.16,13.84,0.17,1.2283,7543859,105401083.1
2019-05-14,'000062,深圳华强,13.84,14.2,12.8,12.95,12.95,0.89,6.8726,10317282,140064593.69
2019-05-13,'000062,深圳华强,12.95,13.37,12.89,13.37,13.47,-0.52,-3.8604,4634983,60728927.89
2019-05-10,'000062,深圳华强,13.47,13.49,12.51,13.2,13.12,0.35,2.6677,5590220,74018892.49
2019-05-09,'000062,深圳华强,19.28,19.45,18.9,19.06,19.45,-0.17,-0.874,3323718,63598747.61
2019-05-08,'000062,深圳华强,19.45,19.76,18.92,19.64,19.83,-0.38,-1.9163,3735310,72601345.92
2019-05-07,'000062,深圳华强,19.83,20.04,19.47,19.83,19.38,0.45,2.322,3126299,61838645.88
2019-05-06,'000062,深圳华强,19.38,21.45,19.35,20.91,21.46,-2.08,-9.6925,4823602,96920623.75
2019-04-30,'000062,深圳华强,21.46,21.98,20.88,20.88,21.08,0.38,1.8027,3130749,67609815.76
2019-04-29,'000062,深圳华强,21.08,21.8,20.93,21.29,21.5,-0.42,-1.9535,3796168,80892469.52
2019-04-26,'000062,深圳华强,21.5,21.86,20.99,21.0,20.96,0.54,2.5763,4364237,93751806.06
