日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000063,中兴通讯,33.9,34.52,33.52,34.52,32.53,1.37,4.2115,149982319,5099453729.48
2019-06-28,'000063,中兴通讯,32.53,32.76,32.13,32.73,32.81,-0.28,-0.8534,91352173,2959773407.78
2019-06-27,'000063,中兴通讯,32.81,33.49,31.87,31.9,31.48,1.33,4.2249,188799660,6156590619.42
2019-06-26,'000063,中兴通讯,31.48,31.9,31.05,31.3,31.58,-0.1,-0.3167,73898229,2335853168.86
2019-06-25,'000063,中兴通讯,31.58,31.83,30.5,31.23,31.3,0.28,0.8946,116312859,3622046234.4
2019-06-24,'000063,中兴通讯,31.3,31.79,30.93,31.67,31.93,-0.63,-1.9731,105341311,3293134324.52
2019-06-21,'000063,中兴通讯,31.93,32.32,31.62,32.0,31.97,-0.04,-0.1251,136264228,4352108457.24
2019-06-20,'000063,中兴通讯,31.97,32.16,30.5,30.8,30.97,1.0,3.2289,176805005,5579422590.26
2019-06-19,'000063,中兴通讯,30.97,31.8,30.9,31.5,30.0,0.97,3.2333,156132312,4893026524.37
2019-06-18,'000063,中兴通讯,30.0,30.23,29.53,29.95,29.92,0.08,0.2674,52040628,1558917111.88
2019-06-17,'000063,中兴通讯,29.92,30.36,29.61,30.28,30.28,-0.36,-1.1889,60967891,1826833806.91
2019-06-14,'000063,中兴通讯,30.28,31.48,30.08,31.22,31.22,-0.94,-3.0109,100829453,3084025633.3
2019-06-13,'000063,中兴通讯,31.22,31.88,31.0,31.35,31.47,-0.25,-0.7944,78901694,2471342864.26
2019-06-12,'000063,中兴通讯,31.47,32.1,31.0,31.01,31.62,-0.15,-0.4744,123172331,3895676285.57
2019-06-11,'000063,中兴通讯,31.62,31.96,30.35,31.01,31.02,0.6,1.9342,172058441,5375654035.66
2019-06-10,'000063,中兴通讯,31.02,31.28,29.78,29.78,29.78,1.24,4.1639,138303781,4260738804.89
2019-06-06,'000063,中兴通讯,29.78,31.56,29.29,31.56,32.09,-2.31,-7.1985,186174111,5652712531.98
2019-06-05,'000063,中兴通讯,32.09,32.3,30.66,31.15,30.5,1.59,5.2131,186200549,5870511013.19
2019-06-04,'000063,中兴通讯,30.5,31.51,30.05,30.7,30.29,0.21,0.6933,170128588,5254708701.71
2019-06-03,'000063,中兴通讯,30.29,31.19,28.96,29.3,28.76,1.53,5.3199,189490311,5682254398.42
2019-05-31,'000063,中兴通讯,28.76,29.15,28.29,28.41,28.38,0.38,1.339,74641299,2150445094.76
2019-05-30,'000063,中兴通讯,28.38,28.97,27.95,28.9,29.16,-0.78,-2.6749,85955653,2435191583.04
