日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000065,北方国际,9.02,9.03,8.85,8.92,8.73,0.29,3.3219,6323088,56704952.47
2019-06-28,'000065,北方国际,8.73,8.98,8.7,8.98,8.91,-0.18,-2.0202,4308579,37811982.9
2019-06-27,'000065,北方国际,8.91,9.02,8.89,8.95,8.91,0.0,0.0,3747252,33510253.19
2019-06-26,'000065,北方国际,8.99,9.05,8.86,8.93,8.97,0.02,0.223,3497849,31369535.62
2019-06-25,'000065,北方国际,8.97,9.2,8.82,9.16,9.16,-0.19,-2.0742,5396219,48313224.07
2019-06-24,'000065,北方国际,9.16,9.24,9.09,9.16,9.15,0.01,0.1093,5675454,51926953.76
2019-06-21,'000065,北方国际,9.15,9.16,9.05,9.06,9.04,0.11,1.2168,6804659,62043241.27
2019-06-20,'000065,北方国际,9.04,9.12,8.78,8.9,8.81,0.23,2.6107,5641374,50528080.05
2019-06-19,'000065,北方国际,8.81,8.99,8.8,8.95,8.72,0.09,1.0321,4372967,38873818.02
2019-06-18,'000065,北方国际,8.72,8.89,8.67,8.8,8.72,0.0,0.0,2894075,25326552.08
2019-06-17,'000065,北方国际,8.72,8.88,8.64,8.88,8.83,-0.11,-1.2458,3465639,30318254.88
2019-06-14,'000065,北方国际,8.83,9.1,8.83,9.0,9.05,-0.22,-2.4309,4883338,43698262.77
2019-06-13,'000065,北方国际,9.05,9.13,8.89,8.98,9.02,0.03,0.3326,4775349,42931367.12
2019-06-12,'000065,北方国际,9.02,9.17,8.88,8.96,8.97,0.05,0.5574,7708828,69723396.69
2019-06-11,'000065,北方国际,8.97,8.97,8.58,8.58,8.53,0.44,5.1583,8002105,70766878.97
2019-06-10,'000065,北方国际,8.53,8.57,8.4,8.46,8.44,0.09,1.0664,3327853,28248539.14
2019-06-06,'000065,北方国际,8.44,8.76,8.37,8.71,8.7,-0.26,-2.9885,4642096,39441365.44
2019-06-05,'000065,北方国际,8.7,8.84,8.65,8.8,8.7,0.0,0.0,4341778,37885358.96
2019-06-04,'000065,北方国际,8.7,8.96,8.61,8.67,8.67,0.03,0.346,5656017,49610171.9
2019-06-03,'000065,北方国际,8.67,9.02,8.64,8.9,8.96,-0.29,-3.2366,5833719,51267293.52
2019-05-31,'000065,北方国际,8.96,9.11,8.93,9.08,9.08,-0.12,-1.3216,4322650,38902015.36
2019-05-30,'000065,北方国际,9.08,9.12,8.86,9.08,9.12,-0.04,-0.4386,4934303,44269647.58
2019-05-29,'000065,北方国际,9.12,9.21,9.06,9.07,9.1,0.02,0.2198,4871777,44535594.93
2019-05-28,'000065,北方国际,9.1,9.29,9.06,9.11,9.11,-0.01,-0.1098,6801792,62397199.15
2019-05-27,'000065,北方国际,9.11,9.13,8.7,8.89,8.9,0.21,2.3596,7991338,71534841.92
2019-05-24,'000065,北方国际,8.9,9.04,8.83,8.93,8.95,-0.05,-0.5587,5250561,46745548.06
2019-05-23,'000065,北方国际,8.95,9.21,8.91,9.21,9.15,-0.2,-2.1858,5833451,52746560.65
2019-05-22,'000065,北方国际,9.15,9.42,9.02,9.41,9.27,-0.12,-1.2945,7178415,66023096.27
2019-05-21,'000065,北方国际,9.27,9.46,9.22,9.28,9.22,0.05,0.5423,9319214,86984480.06
2019-05-20,'000065,北方国际,9.22,9.33,8.8,9.04,9.09,0.13,1.4301,12308474,112004987.78
2019-05-17,'000065,北方国际,9.09,9.89,9.0,9.87,9.85,-0.76,-7.7157,13340340,125671682.74
2019-05-16,'000065,北方国际,9.85,10.05,9.7,9.92,9.81,0.04,0.4077,14096241,139211209.9
2019-05-15,'000065,北方国际,9.81,9.84,9.64,9.72,9.61,0.2,2.0812,9854540,96078555.02
2019-05-14,'000065,北方国际,9.61,9.78,9.53,9.6,9.77,-0.16,-1.6377,8060824,77892869.29
2019-05-13,'000065,北方国际,9.77,9.94,9.66,9.7,9.93,-0.16,-1.6113,11818188,115502299.75
2019-05-10,'000065,北方国际,9.93,9.95,9.08,9.5,9.4,0.53,5.6383,18232969,175620065.7
2019-05-09,'000065,北方国际,9.4,9.55,9.33,9.4,9.52,-0.12,-1.2605,7391805,69831217.54
2019-05-08,'000065,北方国际,9.52,9.72,9.28,9.47,9.59,-0.07,-0.7299,10849143,103092759.34
2019-05-07,'000065,北方国际,9.59,9.93,9.38,9.89,9.67,-0.08,-0.8273,12315350,118752953.0
2019-05-06,'000065,北方国际,9.67,10.5,9.49,10.2,10.5,-0.83,-7.9048,15342720,153393830.35
2019-04-30,'000065,北方国际,10.5,10.91,10.09,10.6,10.86,-0.36,-3.3149,19709700,207263129.5
2019-04-29,'000065,北方国际,10.86,11.5,10.75,11.42,11.37,-0.51,-4.4855,13752681,151524075.48
2019-04-26,'000065,北方国际,11.37,11.77,11.28,11.5,11.52,-0.15,-1.3021,15193339,174386011.65
2019-04-25,'000065,北方国际,11.52,12.6,11.5,12.6,12.61,-1.09,-8.6439,22345594,266032997.17
2019-04-24,'000065,北方国际,12.61,12.75,12.31,12.48,12.5,0.11,0.88,12485090,156363011.88
2019-04-23,'000065,北方国际,12.5,13.4,12.45,13.39,13.5,-1.0,-7.4074,24732867,317171627.72
2019-04-22,'000065,北方国际,13.5,14.68,13.39,14.36,14.24,-0.74,-5.1966,26866879,377099434.86
2019-04-19,'000065,北方国际,14.24,14.57,13.43,13.44,13.56,0.68,5.0147,24225786,342683515.65
2019-04-18,'000065,北方国际,13.56,13.79,13.13,13.4,13.42,0.14,1.0432,14361463,193653559.36
2019-04-17,'000065,北方国际,13.42,13.95,13.22,13.9,13.87,-0.45,-3.2444,17036740,230382503.01
2019-04-16,'000065,北方国际,13.87,13.87,13.06,13.21,13.25,0.62,4.6792,14903100,201541275.5
2019-04-15,'000065,北方国际,13.25,13.85,13.2,13.72,13.46,-0.21,-1.5602,16868311,229401535.43
2019-04-12,'000065,北方国际,13.46,13.8,12.88,13.62,13.62,-0.16,-1.1747,21188893,280890944.86
2019-04-11,'000065,北方国际,13.62,13.94,13.51,13.7,13.62,0.0,0.0,15283932,209454918.78
2019-04-10,'000065,北方国际,13.62,14.11,13.57,13.85,13.85,-0.23,-1.6606,19486480,270019634.13
2019-04-09,'000065,北方国际,13.85,14.44,13.72,14.4,14.51,-0.66,-4.5486,19003028,265514243.01
2019-04-08,'000065,北方国际,14.51,14.8,14.08,14.6,14.5,0.01,0.069,21524968,309773536.55
2019-04-04,'000065,北方国际,14.5,14.88,13.51,14.17,13.92,0.58,4.1667,38212399,542124850.82
2019-04-03,'000065,北方国际,13.92,14.28,12.65,12.8,12.98,0.94,7.2419,31122559,423368072.07
2019-04-02,'000065,北方国际,12.98,13.35,12.04,12.46,12.28,0.7,5.7003,28473033,359993504.3
2019-04-01,'000065,北方国际,12.28,12.31,11.3,11.3,11.19,1.09,9.7408,23864874,286442668.89
2019-03-29,'000065,北方国际,11.19,11.2,10.58,10.82,10.85,0.34,3.1336,15203066,166947852.37
2019-03-28,'000065,北方国际,10.85,11.03,10.51,10.74,10.74,0.11,1.0242,11972004,129009191.0
2019-03-27,'000065,北方国际,10.74,10.88,10.54,10.8,10.68,0.06,0.5618,9013499,96517236.69
2019-03-26,'000065,北方国际,10.68,11.44,10.53,11.37,11.37,-0.69,-6.0686,20080452,218500570.71
2019-03-25,'000065,北方国际,11.37,11.68,11.07,11.12,11.35,0.02,0.1762,17971309,205469198.98
2019-03-22,'000065,北方国际,11.35,11.52,10.94,11.49,11.47,-0.12,-1.0462,18274528,203781263.62
2019-03-21,'000065,北方国际,11.47,11.74,11.3,11.58,11.44,0.03,0.2622,23105655,266299715.84
2019-03-20,'000065,北方国际,11.44,11.98,11.25,11.36,11.34,0.1,0.8818,26017927,300063716.54
2019-03-19,'000065,北方国际,11.34,11.9,11.14,11.9,11.58,-0.24,-2.0725,38052430,437556501.86
2019-03-18,'000065,北方国际,11.58,11.58,10.54,10.56,10.53,1.05,9.9715,32697258,371219556.43
2019-03-15,'000065,北方国际,10.53,10.73,9.83,9.88,9.75,0.78,8.0,28082785,293091829.96
2019-03-14,'000065,北方国际,9.75,10.15,9.61,9.85,9.94,-0.19,-1.9115,8675020,84929059.0
2019-03-13,'000065,北方国际,9.94,10.38,9.85,10.21,10.19,-0.25,-2.4534,14552940,147496025.62
2019-03-12,'000065,北方国际,10.19,10.47,9.63,9.74,9.7,0.49,5.0515,19123168,192586276.56
2019-03-11,'000065,北方国际,9.7,9.91,9.49,9.51,9.37,0.33,3.5219,10321358,99871456.07
2019-03-08,'000065,北方国际,9.37,9.87,9.32,9.61,9.9,-0.53,-5.3535,13127809,126089856.02
2019-03-07,'000065,北方国际,9.9,10.12,9.77,9.86,9.98,-0.08,-0.8016,11310906,112413285.48
2019-03-06,'000065,北方国际,9.98,10.19,9.22,9.29,9.3,0.68,7.3118,19531574,189584717.5
2019-03-05,'000065,北方国际,9.3,9.41,9.08,9.21,9.21,0.09,0.9772,9519901,87741171.38
2019-03-04,'000065,北方国际,9.21,9.42,9.15,9.27,9.21,0.0,0.0,11766131,109307631.01
2019-03-01,'000065,北方国际,9.21,9.28,9.0,9.2,9.21,0.0,0.0,6574354,59999759.5
2019-02-28,'000065,北方国际,9.21,9.32,8.91,9.03,9.0,0.21,2.3333,11605454,106630760.56
2019-02-27,'000065,北方国际,9.0,9.25,8.83,9.14,9.12,-0.12,-1.3158,13847710,125164961.49
2019-02-26,'000065,北方国际,9.12,9.59,8.58,8.83,8.72,0.4,4.5872,24389881,226030652.61
2019-02-25,'000065,北方国际,8.72,8.77,8.4,8.4,8.37,0.35,4.1816,10184908,87501142.86
2019-02-22,'000065,北方国际,8.37,8.37,8.14,8.27,8.29,0.08,0.965,5845202,48255520.13
2019-02-21,'000065,北方国际,8.29,8.46,8.2,8.37,8.3,-0.01,-0.1205,6708361,55751840.89
2019-02-20,'000065,北方国际,8.3,8.38,8.2,8.2,8.2,0.1,1.2195,4426928,36710101.62
2019-02-19,'000065,北方国际,8.2,8.43,8.09,8.28,8.26,-0.06,-0.7264,5538699,45664704.43
2019-02-18,'000065,北方国际,8.26,8.3,8.03,8.03,7.99,0.27,3.3792,4492712,36978355.98
2019-02-15,'000065,北方国际,7.99,8.1,7.97,8.05,8.04,-0.05,-0.6219,3256403,26183398.22
2019-02-14,'000065,北方国际,8.04,8.08,7.93,8.0,8.03,0.01,0.1245,3221411,25839189.9
2019-02-13,'000065,北方国际,8.03,8.08,7.85,7.88,7.88,0.15,1.9036,3793356,30271698.14
2019-02-12,'000065,北方国际,7.88,7.93,7.8,7.83,7.81,0.07,0.8963,2503807,19749502.17
2019-02-11,'000065,北方国际,7.81,7.82,7.66,7.66,7.65,0.16,2.0915,2009977,15622681.51
2019-02-01,'000065,北方国际,7.65,7.67,7.37,7.37,7.39,0.26,3.5183,2160589,16415741.07
2019-01-31,'000065,北方国际,7.39,7.61,7.38,7.47,7.55,-0.16,-2.1192,2518350,18811338.5
2019-01-30,'000065,北方国际,7.55,7.69,7.5,7.5,7.55,0.0,0.0,1339525,10175116.5
2019-01-29,'000065,北方国际,7.55,7.72,7.3,7.71,7.66,-0.11,-1.436,2104175,15894234.5
2019-01-28,'000065,北方国际,7.66,7.82,7.63,7.8,7.75,-0.09,-1.1613,1911000,14771882.25
2019-01-25,'000065,北方国际,7.75,7.86,7.73,7.82,7.81,-0.06,-0.7682,1750900,13625173.84
2019-01-24,'000065,北方国际,7.81,7.84,7.72,7.78,7.82,-0.01,-0.1279,1690849,13178422.78
2019-01-23,'000065,北方国际,7.82,7.85,7.7,7.76,7.76,0.06,0.7732,1568824,12222709.62
2019-01-22,'000065,北方国际,7.76,7.96,7.72,7.95,7.95,-0.19,-2.3899,2883708,22563975.15
2019-01-21,'000065,北方国际,7.95,8.0,7.9,7.92,7.92,0.03,0.3788,2171368,17264257.1
2019-01-18,'000065,北方国际,7.92,7.97,7.83,7.92,7.87,0.05,0.6353,1917577,15141386.01
2019-01-17,'000065,北方国际,7.87,8.01,7.87,7.98,7.93,-0.06,-0.7566,2127725,16865200.5
2019-01-16,'000065,北方国际,7.93,8.05,7.9,7.97,7.97,-0.04,-0.5019,2520269,20089581.67
2019-01-15,'000065,北方国际,7.97,7.98,7.84,7.85,7.87,0.1,1.2706,2083231,16528356.63
2019-01-14,'000065,北方国际,7.87,8.03,7.83,7.96,7.99,-0.12,-1.5019,2407293,19053292.35
2019-01-11,'000065,北方国际,7.99,7.99,7.9,7.92,7.94,0.05,0.6297,1815293,14434464.76
2019-01-10,'000065,北方国际,7.94,8.02,7.89,7.97,7.94,0.0,0.0,2204776,17532852.12
2019-01-09,'000065,北方国际,7.94,8.08,7.89,7.94,7.94,0.0,0.0,3037772,24305248.86
2019-01-08,'000065,北方国际,7.94,8.0,7.86,8.0,7.99,-0.05,-0.6258,2428326,19264770.31
2019-01-07,'000065,北方国际,7.99,8.05,7.78,7.85,7.74,0.25,3.23,3700977,29317962.69
2019-01-04,'000065,北方国际,7.74,7.79,7.4,7.4,7.57,0.17,2.2457,3264081,25003179.92
2019-01-03,'000065,北方国际,7.57,7.72,7.5,7.58,7.59,-0.02,-0.2635,2751036,20996160.58
2019-01-02,'000065,北方国际,7.59,7.8,7.5,7.67,7.68,-0.09,-1.1719,3872835,29560656.61
2018-12-28,'000065,北方国际,7.68,8.03,7.67,7.91,7.9,-0.22,-2.7848,3979932,31067591.22
2018-12-27,'000065,北方国际,7.9,8.31,7.9,8.2,8.1,-0.2,-2.4691,2197517,17791630.91
2018-12-26,'000065,北方国际,8.1,8.24,8.05,8.12,8.14,-0.04,-0.4914,1301003,10586330.48
2018-12-25,'000065,北方国际,8.14,8.22,8.0,8.22,8.32,-0.18,-2.1635,2696606,21863767.78
2018-12-24,'000065,北方国际,8.32,8.38,8.21,8.26,8.26,0.06,0.7264,1343000,11155031.5
2018-12-21,'000065,北方国际,8.26,8.38,8.22,8.35,8.39,-0.13,-1.5495,2004396,16590291.1
2018-12-20,'000065,北方国际,8.39,8.47,8.11,8.41,8.47,-0.08,-0.9445,3808761,31579499.23
2018-12-19,'000065,北方国际,8.47,8.75,8.41,8.66,8.67,-0.2,-2.3068,2309270,19797659.7
2018-12-18,'000065,北方国际,8.67,8.86,8.6,8.83,8.83,-0.16,-1.812,2706955,23555521.85
2018-12-17,'000065,北方国际,8.83,8.86,8.62,8.77,8.77,0.06,0.6842,2623815,23013014.35
2018-12-14,'000065,北方国际,8.77,9.02,8.75,8.98,9.0,-0.23,-2.5556,4745508,42088727.85
2018-12-13,'000065,北方国际,9.0,9.04,8.69,8.74,8.72,0.28,3.211,6723618,60163565.41
2018-12-12,'000065,北方国际,8.72,8.78,8.66,8.67,8.66,0.06,0.6928,1580971,13776264.41
2018-12-11,'000065,北方国际,8.66,8.69,8.58,8.69,8.62,0.04,0.464,1514210,13086382.7
2018-12-10,'000065,北方国际,8.62,8.73,8.58,8.67,8.72,-0.1,-1.1468,1858144,16049885.46
2018-12-07,'000065,北方国际,8.72,8.75,8.61,8.64,8.65,0.07,0.8092,2199912,19118306.51
2018-12-06,'000065,北方国际,8.65,8.86,8.62,8.79,8.84,-0.19,-2.1493,2841758,24769091.54
2018-12-05,'000065,北方国际,8.84,8.92,8.7,8.77,8.95,-0.11,-1.2291,3263328,28807095.3
2018-12-04,'000065,北方国际,8.95,8.95,8.72,8.76,8.76,0.19,2.1689,4774586,42371640.7
2018-12-03,'000065,北方国际,8.76,8.81,8.6,8.7,8.5,0.26,3.0588,4599131,40185547.44
2018-11-30,'000065,北方国际,8.5,8.65,8.27,8.52,8.56,-0.06,-0.7009,4677842,39627400.43
2018-11-29,'000065,北方国际,8.56,8.91,8.56,8.81,8.8,-0.24,-2.7273,4796563,42042535.27
2018-11-28,'000065,北方国际,8.8,8.96,8.5,8.85,8.94,-0.14,-1.566,5373470,46972270.74
2018-11-27,'000065,北方国际,8.94,9.13,8.82,8.91,8.88,0.06,0.6757,5356545,48088047.5
2018-11-26,'000065,北方国际,8.88,8.9,8.73,8.77,8.77,0.11,1.2543,4088705,36028148.7
