日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000068,华控赛格,4.39,4.39,4.23,4.29,4.2,0.19,4.5238,14428430,62361290.5
2019-06-28,'000068,华控赛格,4.2,4.3,4.14,4.26,4.28,-0.08,-1.8692,9020459,37892851.14
2019-06-27,'000068,华控赛格,4.28,4.4,4.25,4.36,4.4,-0.12,-2.7273,13083641,56577106.4
2019-06-26,'000068,华控赛格,4.4,4.44,4.34,4.4,4.38,0.02,0.4566,8138630,35660298.44
2019-06-25,'000068,华控赛格,4.38,4.57,4.33,4.56,4.46,-0.08,-1.7937,10324024,45527525.44
2019-06-24,'000068,华控赛格,4.46,4.65,4.44,4.61,4.52,-0.06,-1.3274,14239406,64651982.97
2019-06-21,'000068,华控赛格,4.52,4.6,4.48,4.48,4.38,0.14,3.1963,18740334,84896462.19
2019-06-20,'000068,华控赛格,4.38,4.44,4.25,4.32,4.28,0.1,2.3364,13654845,59601574.23
2019-06-19,'000068,华控赛格,4.28,4.37,4.28,4.3,4.24,0.04,0.9434,10473000,45230570.63
2019-06-18,'000068,华控赛格,4.24,4.29,4.16,4.23,4.19,0.05,1.1933,7179940,30317497.07
2019-06-17,'000068,华控赛格,4.19,4.26,4.13,4.13,4.26,-0.07,-1.6432,6357520,26679365.6
2019-06-14,'000068,华控赛格,4.26,4.47,4.21,4.4,4.41,-0.15,-3.4014,12809828,55429508.89
2019-06-13,'000068,华控赛格,4.41,4.46,4.31,4.36,4.37,0.04,0.9153,10489130,46049129.4
2019-06-12,'000068,华控赛格,4.37,4.53,4.36,4.44,4.45,-0.08,-1.7978,13159303,58384623.16
2019-06-11,'000068,华控赛格,4.45,4.49,4.16,4.3,4.22,0.23,5.4502,17250141,75175029.41
2019-06-10,'000068,华控赛格,4.22,4.31,4.12,4.12,4.11,0.11,2.6764,10534299,44242854.52
2019-06-06,'000068,华控赛格,4.11,4.4,4.06,4.36,4.4,-0.29,-6.5909,13459364,56344823.28
2019-06-05,'000068,华控赛格,4.4,4.53,4.34,4.41,4.34,0.06,1.3825,13226094,58519261.57
2019-06-04,'000068,华控赛格,4.34,4.54,4.24,4.5,4.51,-0.17,-3.7694,12093461,53185800.42
2019-06-03,'000068,华控赛格,4.51,4.64,4.5,4.64,4.6,-0.09,-1.9565,10370144,47240520.14
2019-05-31,'000068,华控赛格,4.6,4.73,4.59,4.64,4.62,-0.02,-0.4329,8848633,41140248.58
2019-05-30,'000068,华控赛格,4.62,4.68,4.52,4.67,4.72,-0.1,-2.1186,12321592,56809338.76
2019-05-29,'000068,华控赛格,4.72,4.77,4.61,4.7,4.66,0.06,1.2876,16333456,76942199.12
2019-05-28,'000068,华控赛格,4.66,4.89,4.62,4.64,4.6,0.06,1.3043,25587910,121438195.0
2019-05-27,'000068,华控赛格,4.6,4.64,4.41,4.47,4.5,0.1,2.2222,15612746,70575201.77
2019-05-24,'000068,华控赛格,4.5,4.72,4.46,4.61,4.75,-0.25,-5.2632,17009421,77548847.61
2019-05-23,'000068,华控赛格,4.75,4.98,4.63,4.65,4.69,0.06,1.2793,21725689,104405491.81
2019-05-22,'000068,华控赛格,4.69,4.85,4.65,4.76,4.79,-0.1,-2.0877,12961736,61639318.91
2019-05-21,'000068,华控赛格,4.79,4.8,4.61,4.7,4.63,0.16,3.4557,12299082,58413800.44
2019-05-20,'000068,华控赛格,4.63,4.83,4.4,4.8,4.76,-0.13,-2.7311,11893647,54820043.32
2019-05-17,'000068,华控赛格,4.76,5.06,4.7,5.02,5.04,-0.28,-5.5556,17864258,86943282.04
2019-05-16,'000068,华控赛格,5.04,5.1,4.99,5.03,5.07,-0.03,-0.5917,15716096,79256866.0
2019-05-15,'000068,华控赛格,5.07,5.13,5.03,5.03,5.05,0.02,0.396,14001101,71052999.33
2019-05-14,'000068,华控赛格,5.05,5.24,4.9,4.9,5.06,-0.01,-0.1976,18888901,96273497.94
2019-05-13,'000068,华控赛格,5.06,5.17,4.88,4.95,5.03,0.03,0.5964,17214185,85887741.34
2019-05-10,'000068,华控赛格,5.03,5.06,4.61,4.95,4.87,0.16,3.2854,20089977,99279666.92
2019-05-09,'000068,华控赛格,4.87,5.03,4.84,4.88,5.1,-0.23,-4.5098,19135893,94208626.58
2019-05-08,'000068,华控赛格,5.1,5.3,4.91,5.09,4.85,0.25,5.1546,29011589,148851132.23
2019-05-07,'000068,华控赛格,4.85,4.9,4.58,4.64,4.6,0.25,5.4348,16156009,76787883.77
2019-05-06,'000068,华控赛格,4.6,4.97,4.58,4.81,5.08,-0.48,-9.4488,15634449,74375440.79
2019-04-30,'000068,华控赛格,5.08,5.09,4.86,4.86,4.85,0.23,4.7423,13967854,69783920.28
