日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000069,华侨城Ａ,7.14,7.2,7.0,7.06,6.95,0.19,2.7338,58264552,412332226.3
2019-06-28,'000069,华侨城Ａ,6.95,6.99,6.91,6.97,6.99,-0.04,-0.5722,14327162,99418721.68
2019-06-27,'000069,华侨城Ａ,6.99,7.02,6.93,6.95,6.92,0.07,1.0116,19274000,134589227.28
2019-06-26,'000069,华侨城Ａ,6.92,6.98,6.91,6.94,6.95,-0.03,-0.4317,22439241,155655643.56
2019-06-25,'000069,华侨城Ａ,6.95,7.1,6.89,7.09,7.08,-0.13,-1.8362,38554063,268314729.31
2019-06-24,'000069,华侨城Ａ,7.08,7.17,7.02,7.16,7.17,-0.09,-1.2552,33482354,237247240.8
2019-06-21,'000069,华侨城Ａ,7.17,7.19,7.08,7.1,7.11,0.06,0.8439,32364531,231537049.92
2019-06-20,'000069,华侨城Ａ,7.11,7.18,6.95,6.98,6.98,0.13,1.8625,44163642,312779316.42
2019-06-19,'000069,华侨城Ａ,6.98,7.07,6.94,7.05,6.92,0.06,0.8671,32966284,230591196.19
2019-06-18,'000069,华侨城Ａ,6.92,6.98,6.87,6.96,6.96,-0.04,-0.5747,21467789,148247595.5
2019-06-17,'000069,华侨城Ａ,6.96,7.04,6.93,6.99,7.01,-0.05,-0.7133,19082033,133099347.28
2019-06-14,'000069,华侨城Ａ,7.01,7.13,6.97,7.1,7.05,-0.04,-0.5674,19949134,140438218.9
2019-06-13,'000069,华侨城Ａ,7.05,7.1,6.99,7.09,7.09,-0.04,-0.5642,16657409,117215099.28
2019-06-12,'000069,华侨城Ａ,7.09,7.14,7.05,7.14,7.14,-0.05,-0.7003,21364346,151623350.14
2019-06-11,'000069,华侨城Ａ,7.14,7.15,6.93,6.95,6.92,0.22,3.1792,37610842,266565375.06
2019-06-10,'000069,华侨城Ａ,6.92,6.97,6.81,6.84,6.8,0.12,1.7647,24905981,172259293.52
2019-06-06,'000069,华侨城Ａ,6.8,6.94,6.79,6.94,6.95,-0.15,-2.1583,21096002,144535362.69
2019-06-05,'000069,华侨城Ａ,6.95,7.03,6.81,6.87,6.81,0.14,2.0558,33919683,235003040.19
2019-06-04,'000069,华侨城Ａ,6.81,6.84,6.76,6.84,6.82,-0.01,-0.1466,15699078,106706454.63
2019-06-03,'000069,华侨城Ａ,6.82,6.87,6.76,6.82,6.82,0.0,0.0,28909531,197106548.59
2019-05-31,'000069,华侨城Ａ,6.82,6.9,6.8,6.83,6.81,0.01,0.1468,20297853,138798516.64
2019-05-30,'000069,华侨城Ａ,6.81,6.94,6.79,6.91,6.94,-0.13,-1.8732,26110359,178190600.2
2019-05-29,'000069,华侨城Ａ,6.94,7.05,6.93,6.95,7.02,-0.08,-1.1396,29767520,207563869.12
2019-05-28,'000069,华侨城Ａ,7.02,7.04,6.91,6.93,6.9,0.12,1.7391,33618931,234767440.12
2019-05-27,'000069,华侨城Ａ,6.9,6.93,6.76,6.84,6.82,0.08,1.173,22505539,154306170.1
2019-05-24,'000069,华侨城Ａ,6.82,6.92,6.81,6.85,6.86,-0.04,-0.5831,18219045,124846285.37
2019-05-23,'000069,华侨城Ａ,6.86,6.91,6.78,6.88,6.92,-0.06,-0.8671,33513620,228552975.48
2019-05-22,'000069,华侨城Ａ,6.92,7.03,6.89,7.01,6.99,-0.07,-1.0014,20956795,145647959.76
2019-05-21,'000069,华侨城Ａ,6.99,7.1,6.85,6.87,6.85,0.14,2.0438,41396225,289458872.34
2019-05-20,'000069,华侨城Ａ,7.15,7.21,6.97,7.16,7.19,-0.04,-0.5563,42346776,299995570.47
2019-05-17,'000069,华侨城Ａ,7.19,7.47,7.17,7.47,7.49,-0.3,-4.0053,46697031,340841306.73
2019-05-16,'000069,华侨城Ａ,7.49,7.49,7.39,7.45,7.47,0.02,0.2677,37224062,276879722.37
2019-05-15,'000069,华侨城Ａ,7.47,7.5,7.35,7.41,7.35,0.12,1.6327,50166428,372552295.8
2019-05-14,'000069,华侨城Ａ,7.35,7.48,7.27,7.29,7.35,0.0,0.0,34317207,253652961.25
2019-05-13,'000069,华侨城Ａ,7.35,7.42,7.3,7.36,7.45,-0.1,-1.3423,31675074,233300153.52
2019-05-10,'000069,华侨城Ａ,7.45,7.51,7.12,7.34,7.25,0.2,2.7586,50912288,375249083.59
2019-05-09,'000069,华侨城Ａ,7.25,7.47,7.14,7.4,7.45,-0.2,-2.6846,46442400,337908808.36
2019-05-08,'000069,华侨城Ａ,7.45,7.62,7.43,7.54,7.57,-0.12,-1.5852,46587305,349771791.78
2019-05-07,'000069,华侨城Ａ,7.57,7.66,7.41,7.52,7.43,0.14,1.8843,43953682,332180942.25
2019-05-06,'000069,华侨城Ａ,7.43,7.76,7.29,7.55,7.95,-0.52,-6.5409,65189289,493327486.02
2019-04-30,'000069,华侨城Ａ,7.95,8.01,7.78,7.85,7.84,0.11,1.4031,45290826,358244117.49
2019-04-29,'000069,华侨城Ａ,7.84,7.98,7.83,7.84,7.82,0.02,0.2558,50565690,399613093.38
2019-04-26,'000069,华侨城Ａ,7.82,7.97,7.74,7.93,7.93,-0.11,-1.3871,58561387,459985070.0
2019-04-25,'000069,华侨城Ａ,7.93,8.13,7.89,8.13,8.15,-0.22,-2.6994,50296192,403190251.87
2019-04-24,'000069,华侨城Ａ,8.15,8.2,7.99,8.15,7.98,0.17,2.1303,61393085,497326018.63
2019-04-23,'000069,华侨城Ａ,7.98,8.13,7.93,7.96,7.91,0.07,0.885,72207210,580205269.2
2019-04-22,'000069,华侨城Ａ,7.91,8.45,7.81,8.44,8.46,-0.55,-6.5012,141227754,1139389990.78
2019-04-19,'000069,华侨城Ａ,8.46,8.52,8.34,8.47,8.44,0.02,0.237,50920836,428558695.77
2019-04-18,'000069,华侨城Ａ,8.44,8.64,8.39,8.63,8.63,-0.19,-2.2016,50606462,429083026.14
2019-04-17,'000069,华侨城Ａ,8.63,8.83,8.58,8.8,8.84,-0.21,-2.3756,60170196,521912223.14
2019-04-16,'000069,华侨城Ａ,8.84,8.85,8.4,8.6,8.51,0.33,3.8778,69931832,604852830.31
2019-04-15,'000069,华侨城Ａ,8.51,8.96,8.48,8.91,8.77,-0.26,-2.9647,92768488,808970387.84
2019-04-12,'000069,华侨城Ａ,8.77,8.97,8.68,8.85,8.8,-0.03,-0.3409,67371739,592659169.32
2019-04-11,'000069,华侨城Ａ,8.8,9.08,8.72,8.94,8.86,-0.06,-0.6772,67530746,600043145.58
2019-04-10,'000069,华侨城Ａ,8.86,9.03,8.7,8.94,8.99,-0.13,-1.4461,77315404,687174300.38
2019-04-09,'000069,华侨城Ａ,8.99,9.14,8.81,8.98,8.95,0.04,0.4469,96819540,872121185.79
2019-04-08,'000069,华侨城Ａ,8.95,9.1,8.71,8.8,8.7,0.25,2.8736,118942199,1059232933.97
2019-04-04,'000069,华侨城Ａ,8.7,8.96,8.56,8.83,8.72,-0.02,-0.2294,101171621,881136613.84
