日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000070,特发信息,12.66,12.86,12.51,12.58,12.23,0.43,3.5159,35328028,447782449.62
2019-06-28,'000070,特发信息,12.23,12.62,12.13,12.61,12.64,-0.41,-3.2437,25020129,307868848.14
2019-06-27,'000070,特发信息,12.64,12.78,12.41,12.5,12.46,0.18,1.4446,29623196,373420748.17
2019-06-26,'000070,特发信息,12.46,12.75,12.36,12.5,12.59,-0.13,-1.0326,20760517,260835836.94
2019-06-25,'000070,特发信息,12.59,12.88,12.4,12.82,12.81,-0.22,-1.7174,29700818,373255219.13
2019-06-24,'000070,特发信息,12.81,13.07,12.63,12.7,12.92,-0.11,-0.8514,32901350,421717161.05
2019-06-21,'000070,特发信息,12.92,13.4,12.48,12.55,12.51,0.41,3.2774,60411835,780291377.37
2019-06-20,'000070,特发信息,12.51,12.68,12.1,12.34,12.47,0.04,0.3208,36721459,455539255.34
2019-06-19,'000070,特发信息,12.47,12.97,12.46,12.88,12.39,0.08,0.6457,31311400,396582400.04
2019-06-18,'000070,特发信息,12.39,12.51,12.2,12.34,12.35,0.04,0.3239,19080556,235764717.92
2019-06-17,'000070,特发信息,12.35,12.55,12.1,12.24,12.33,0.02,0.1622,19359902,239293373.14
2019-06-14,'000070,特发信息,12.33,13.04,12.24,12.86,12.83,-0.5,-3.8971,41559568,525854117.57
2019-06-13,'000070,特发信息,12.83,13.22,12.8,13.02,13.28,-0.45,-3.3886,56785404,734646740.86
2019-06-12,'000070,特发信息,13.28,13.3,12.23,12.35,12.41,0.87,7.0105,76722039,980805054.22
2019-06-11,'000070,特发信息,12.41,12.46,11.76,12.05,12.11,0.3,2.4773,46404465,565039535.4
2019-06-10,'000070,特发信息,12.11,12.35,11.92,12.02,11.94,0.17,1.4238,25833666,313760963.87
2019-06-06,'000070,特发信息,11.94,12.64,11.79,12.4,12.74,-0.8,-6.2794,43658455,528250100.32
2019-06-05,'000070,特发信息,12.74,13.06,12.3,12.8,12.67,0.07,0.5525,49517525,630779496.32
2019-06-04,'000070,特发信息,12.67,13.15,12.5,12.93,12.8,-0.13,-1.0156,64475459,828476882.25
2019-06-03,'000070,特发信息,12.8,13.19,12.01,12.49,12.28,0.52,4.2345,72202261,913151147.98
2019-05-31,'000070,特发信息,12.28,12.72,12.23,12.4,12.3,-0.02,-0.1626,38787283,484161423.37
2019-05-30,'000070,特发信息,12.3,12.88,12.02,12.78,12.65,-0.35,-2.7668,41859724,515646842.78
2019-05-29,'000070,特发信息,12.65,13.12,12.61,12.78,12.77,-0.12,-0.9397,46166916,591875653.17
2019-05-28,'000070,特发信息,12.77,13.1,12.48,12.65,12.56,0.21,1.672,56798980,728634107.12
2019-05-27,'000070,特发信息,12.56,12.68,11.82,11.83,11.78,0.78,6.6214,51375095,633883699.57
2019-05-24,'000070,特发信息,11.78,12.67,11.69,12.2,12.65,-0.87,-6.8775,57325371,695104985.19
2019-05-23,'000070,特发信息,12.65,13.63,12.65,13.63,14.05,-1.4,-9.9644,89904893,1173287023.22
2019-05-22,'000070,特发信息,14.05,14.87,13.81,14.08,14.48,-0.43,-2.9696,88117111,1255295823.96
2019-05-21,'000070,特发信息,14.48,14.95,13.13,13.4,13.59,0.89,6.5489,115886051,1667191059.7
2019-05-20,'000070,特发信息,13.59,13.78,12.59,13.48,13.18,0.41,3.1108,62042137,831713967.98
2019-05-17,'000070,特发信息,13.18,13.88,12.81,12.81,13.12,0.06,0.4573,69499955,934085865.71
2019-05-16,'000070,特发信息,13.12,13.49,12.95,13.49,13.5,-0.38,-2.8148,51787742,683239143.91
2019-05-15,'000070,特发信息,16.24,16.44,15.74,15.95,15.65,0.59,3.77,56589239,910057356.16
2019-05-14,'000070,特发信息,15.65,16.69,15.06,15.24,15.91,-0.26,-1.6342,62597857,992986533.5
2019-05-13,'000070,特发信息,15.91,15.95,14.2,14.45,14.5,1.41,9.7241,67906905,1012652062.18
2019-05-10,'000070,特发信息,14.5,14.5,12.91,13.5,13.18,1.32,10.0152,59518995,827207703.18
2019-05-09,'000070,特发信息,13.18,13.73,13.08,13.3,13.4,-0.22,-1.6418,29215250,392844427.83
2019-05-08,'000070,特发信息,13.4,13.94,12.78,12.78,13.4,0.0,0.0,36166143,484805178.65
2019-05-07,'000070,特发信息,13.4,13.8,12.58,13.15,13.12,0.28,2.1341,39865593,529788701.69
2019-05-06,'000070,特发信息,13.12,14.09,13.12,13.9,14.58,-1.46,-10.0137,34824994,469490793.94
2019-04-30,'000070,特发信息,14.58,15.04,14.04,14.11,14.27,0.31,2.1724,40165883,586088267.94
2019-04-29,'000070,特发信息,14.27,15.9,14.04,15.72,15.6,-1.33,-8.5256,53324361,796794951.67
2019-04-26,'000070,特发信息,15.6,16.8,15.35,16.08,16.88,-1.28,-7.5829,56943025,921725152.6
2019-04-25,'000070,特发信息,16.88,18.39,16.88,17.81,18.76,-1.88,-10.0213,90508218,1571864354.54
2019-04-24,'000070,特发信息,18.76,19.95,17.6,18.65,19.2,-0.44,-2.2917,122330824,2284516679.3
2019-04-23,'000070,特发信息,19.2,20.33,18.49,19.44,18.48,0.72,3.8961,151480045,3019300153.48
2019-04-22,'000070,特发信息,18.48,18.48,16.81,17.08,16.8,1.68,10.0,60993671,1109193952.28
2019-04-19,'000070,特发信息,16.8,17.25,15.83,16.16,16.61,0.19,1.1439,70746002,1164239987.84
2019-04-18,'000070,特发信息,16.61,17.3,15.61,15.9,16.05,0.56,3.4891,85997258,1412048280.77
