日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000078,海王生物,3.59,3.6,3.53,3.53,3.48,0.11,3.1609,19423333,69377959.67
2019-06-28,'000078,海王生物,3.48,3.55,3.46,3.52,3.55,-0.07,-1.9718,13633002,47537928.43
2019-06-27,'000078,海王生物,3.55,3.58,3.52,3.53,3.56,-0.01,-0.2809,17279941,61434557.74
2019-06-26,'000078,海王生物,3.56,3.58,3.43,3.46,3.46,0.1,2.8902,27003024,95663090.78
2019-06-25,'000078,海王生物,3.46,3.52,3.39,3.5,3.5,-0.04,-1.1429,17209138,59260623.32
2019-06-24,'000078,海王生物,3.5,3.54,3.49,3.53,3.53,-0.03,-0.8499,13230535,46461518.92
2019-06-21,'000078,海王生物,3.53,3.56,3.49,3.49,3.49,0.04,1.1461,24680800,87228158.53
2019-06-20,'000078,海王生物,3.49,3.51,3.41,3.44,3.45,0.04,1.1594,23897231,82914805.48
2019-06-19,'000078,海王生物,3.45,3.51,3.43,3.45,3.39,0.06,1.7699,22962571,79632863.99
2019-06-18,'000078,海王生物,3.39,3.45,3.36,3.43,3.43,-0.04,-1.1662,10028575,34111854.25
2019-06-17,'000078,海王生物,3.43,3.49,3.37,3.38,3.36,0.07,2.0833,20209737,69481901.48
2019-06-14,'000078,海王生物,3.36,3.46,3.33,3.44,3.44,-0.08,-2.3256,14173145,47963710.17
2019-06-13,'000078,海王生物,3.44,3.45,3.37,3.43,3.41,0.03,0.8798,12920612,44167122.04
2019-06-12,'000078,海王生物,3.41,3.5,3.38,3.5,3.5,-0.09,-2.5714,20651298,70750625.28
2019-06-11,'000078,海王生物,3.5,3.5,3.36,3.38,3.38,0.12,3.5503,20907759,72391593.99
2019-06-10,'000078,海王生物,3.38,3.41,3.3,3.3,3.28,0.1,3.0488,12543176,42075908.47
2019-06-06,'000078,海王生物,3.28,3.41,3.24,3.4,3.41,-0.13,-3.8123,16916997,55855692.41
2019-06-05,'000078,海王生物,3.41,3.47,3.38,3.43,3.41,0.0,0.0,12511399,42824431.42
2019-06-04,'000078,海王生物,3.41,3.44,3.33,3.4,3.47,-0.06,-1.7291,19488964,66048651.46
2019-06-03,'000078,海王生物,3.47,3.89,3.47,3.88,3.86,-0.39,-10.1036,73143587,258721220.44
2019-05-31,'000078,海王生物,3.86,3.95,3.85,3.9,3.92,-0.06,-1.5306,16617550,64591211.36
2019-05-30,'000078,海王生物,3.92,4.0,3.85,3.98,4.0,-0.08,-2.0,18572944,72487337.44
2019-05-29,'000078,海王生物,4.0,4.03,3.97,4.03,4.05,-0.05,-1.2346,13702469,54794577.75
2019-05-28,'000078,海王生物,4.05,4.1,4.02,4.09,4.1,-0.05,-1.2195,15271200,62114945.0
2019-05-27,'000078,海王生物,4.1,4.11,3.97,4.0,3.98,0.12,3.0151,13496715,54668710.16
2019-05-24,'000078,海王生物,3.98,4.03,3.96,3.99,4.0,-0.02,-0.5,9010277,35989843.02
2019-05-23,'000078,海王生物,4.0,4.07,3.97,4.06,4.06,-0.06,-1.4778,11744885,47154016.27
2019-05-22,'000078,海王生物,4.06,4.13,4.05,4.12,4.12,-0.06,-1.4563,9659558,39432657.04
2019-05-21,'000078,海王生物,4.12,4.15,4.05,4.06,4.08,0.04,0.9804,12624123,52076042.53
2019-05-20,'000078,海王生物,4.08,4.14,4.01,4.13,4.12,-0.04,-0.9709,13716016,55752985.28
2019-05-17,'000078,海王生物,4.12,4.22,4.08,4.19,4.23,-0.11,-2.6005,27274559,113859730.47
2019-05-16,'000078,海王生物,4.23,4.24,4.11,4.12,4.14,0.09,2.1739,25907437,108160067.42
2019-05-15,'000078,海王生物,4.14,4.15,4.08,4.09,4.08,0.06,1.4706,14827095,61126893.59
2019-05-14,'000078,海王生物,4.08,4.11,4.04,4.05,4.11,-0.03,-0.7299,15155725,61778235.3
2019-05-13,'000078,海王生物,4.11,4.12,4.03,4.07,4.1,0.01,0.2439,18377679,75104385.82
2019-05-10,'000078,海王生物,4.1,4.14,3.93,4.01,3.99,0.11,2.7569,23045021,93796170.51
2019-05-09,'000078,海王生物,3.99,4.17,3.99,4.05,4.1,-0.11,-2.6829,23177100,93929308.5
2019-05-08,'000078,海王生物,4.1,4.19,3.83,3.9,3.97,0.13,3.2746,36291287,148785584.56
2019-05-07,'000078,海王生物,3.97,4.05,3.85,3.86,3.82,0.15,3.9267,26627759,105387097.22
2019-05-06,'000078,海王生物,3.82,4.11,3.77,4.11,4.16,-0.34,-8.1731,32485650,127477018.56
2019-04-30,'000078,海王生物,4.16,4.19,4.0,4.01,4.01,0.15,3.7406,21891225,90411652.26
2019-04-29,'000078,海王生物,4.01,4.28,3.92,4.26,4.28,-0.27,-6.3084,36371876,148685614.56
2019-04-26,'000078,海王生物,4.28,4.35,4.27,4.31,4.3,-0.02,-0.4651,21086801,90899274.96
2019-04-25,'000078,海王生物,4.3,4.49,4.3,4.48,4.49,-0.19,-4.2316,29036803,127695102.0
2019-04-24,'000078,海王生物,4.49,4.51,4.4,4.47,4.49,0.0,0.0,24117939,107358850.87
2019-04-23,'000078,海王生物,4.49,4.55,4.42,4.51,4.51,-0.02,-0.4435,29449175,132074076.52
2019-04-22,'000078,海王生物,4.51,4.64,4.5,4.62,4.59,-0.08,-1.7429,32784490,148656314.94
2019-04-19,'000078,海王生物,4.59,4.64,4.53,4.54,4.53,0.06,1.3245,31762581,145711212.22
2019-04-18,'000078,海王生物,4.53,4.62,4.51,4.62,4.62,-0.09,-1.9481,38407245,174583178.73
2019-04-17,'000078,海王生物,4.62,4.67,4.57,4.65,4.64,-0.02,-0.431,48676266,224260323.29
2019-04-16,'000078,海王生物,4.64,4.65,4.45,4.58,4.6,0.04,0.8696,57560029,260933718.69
2019-04-15,'000078,海王生物,4.6,4.86,4.6,4.83,4.78,-0.18,-3.7657,75012505,352409337.29
2019-04-12,'000078,海王生物,4.78,4.98,4.71,4.81,5.23,-0.45,-8.6042,128145946,618833926.32
2019-04-11,'000078,海王生物,5.23,5.55,5.1,5.17,5.07,0.16,3.1558,243427391,1298882955.86
2019-04-10,'000078,海王生物,5.07,5.07,4.71,4.76,4.61,0.46,9.9783,153335061,764763140.34
2019-04-09,'000078,海王生物,4.61,4.68,4.53,4.68,4.68,-0.07,-1.4957,32702339,150485971.59
2019-04-08,'000078,海王生物,4.68,4.73,4.5,4.57,4.57,0.11,2.407,66034847,305945805.27
2019-04-04,'000078,海王生物,4.57,4.61,4.51,4.57,4.57,0.0,0.0,37910854,172955815.05
2019-04-03,'000078,海王生物,4.57,4.58,4.49,4.52,4.52,0.05,1.1062,39097057,177366439.12
2019-04-02,'000078,海王生物,4.52,4.66,4.49,4.58,4.58,-0.06,-1.31,43504655,198485625.41
2019-04-01,'000078,海王生物,4.58,4.58,4.43,4.43,4.41,0.17,3.8549,52987091,240575864.06
2019-03-29,'000078,海王生物,4.41,4.42,4.22,4.25,4.25,0.16,3.7647,38034878,164939038.28
2019-03-28,'000078,海王生物,4.25,4.35,4.22,4.32,4.35,-0.1,-2.2989,25997146,111574700.03
2019-03-27,'000078,海王生物,4.35,4.38,4.25,4.28,4.25,0.1,2.3529,30188732,130399009.38
2019-03-26,'000078,海王生物,4.25,4.51,4.21,4.49,4.46,-0.21,-4.7085,44816133,193804571.73
2019-03-25,'000078,海王生物,4.46,4.56,4.41,4.45,4.56,-0.1,-2.193,35279935,158277361.33
2019-03-22,'000078,海王生物,4.56,4.59,4.43,4.58,4.61,-0.05,-1.0846,44408524,200211261.72
2019-03-21,'000078,海王生物,4.61,4.67,4.44,4.44,4.48,0.13,2.9018,62426207,284779122.62
2019-03-20,'000078,海王生物,4.48,4.53,4.38,4.53,4.53,-0.05,-1.1038,34360827,152852068.04
2019-03-19,'000078,海王生物,4.53,4.63,4.48,4.58,4.59,-0.06,-1.3072,38376967,173966053.1
2019-03-18,'000078,海王生物,4.59,4.6,4.34,4.43,4.4,0.19,4.3182,51132365,229873371.84
2019-03-15,'000078,海王生物,4.4,4.46,4.3,4.35,4.31,0.09,2.0882,44593349,195854560.85
2019-03-14,'000078,海王生物,4.31,4.52,4.18,4.46,4.52,-0.21,-4.646,54893983,237974798.36
2019-03-13,'000078,海王生物,4.52,4.79,4.49,4.79,4.7,-0.18,-3.8298,53656900,246660294.79
2019-03-12,'000078,海王生物,4.7,4.85,4.55,4.8,4.69,0.01,0.2132,73017201,344126933.85
2019-03-11,'000078,海王生物,4.69,4.69,4.5,4.55,4.49,0.2,4.4543,61068836,280956399.5
2019-03-08,'000078,海王生物,4.49,4.84,4.42,4.73,4.9,-0.41,-8.3673,102838682,478716469.04
2019-03-07,'000078,海王生物,4.9,4.96,4.77,4.88,4.98,-0.08,-1.6064,119466564,581859070.98
2019-03-06,'000078,海王生物,4.98,5.18,4.73,5.06,4.74,0.24,5.0633,195381072,965053551.07
2019-03-05,'000078,海王生物,4.74,4.74,4.21,4.29,4.31,0.43,9.9768,140188149,645715292.23
2019-03-04,'000078,海王生物,4.31,4.48,4.03,4.1,4.12,0.19,4.6117,130192789,563158723.97
2019-03-01,'000078,海王生物,4.12,4.25,4.0,4.09,4.05,0.07,1.7284,133684148,549872573.35
2019-02-28,'000078,海王生物,4.05,4.05,3.7,3.71,3.68,0.37,10.0543,138753120,552521552.59
2019-02-27,'000078,海王生物,3.68,3.81,3.65,3.72,3.73,-0.05,-1.3405,56077212,209817810.42
2019-02-26,'000078,海王生物,3.73,3.86,3.62,3.72,3.68,0.05,1.3587,80255844,302762259.13
2019-02-25,'000078,海王生物,3.68,3.69,3.5,3.5,3.48,0.2,5.7471,67726530,243173610.22
2019-02-22,'000078,海王生物,3.48,3.51,3.41,3.46,3.51,-0.03,-0.8547,53775850,186414999.5
2019-02-21,'000078,海王生物,3.51,3.53,3.39,3.43,3.42,0.09,2.6316,57421937,198428661.26
