日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000088,盐 田 港,5.56,5.6,5.51,5.54,5.46,0.1,1.8315,8318224,46199957.9
2019-06-28,'000088,盐 田 港,5.46,5.5,5.39,5.48,5.48,-0.02,-0.365,4190471,22815526.17
2019-06-27,'000088,盐 田 港,5.48,5.51,5.45,5.46,5.47,0.01,0.1828,3141712,17216498.02
2019-06-26,'000088,盐 田 港,5.47,5.5,5.41,5.42,5.45,0.02,0.367,2641149,14436644.81
2019-06-25,'000088,盐 田 港,5.45,5.51,5.4,5.5,5.5,-0.05,-0.9091,3768275,20504828.3
2019-06-24,'000088,盐 田 港,5.5,5.54,5.47,5.48,5.5,0.0,0.0,3439605,18927197.48
2019-06-21,'000088,盐 田 港,5.5,5.56,5.48,5.52,5.48,0.02,0.365,6851505,37826490.67
2019-06-20,'000088,盐 田 港,5.51,5.53,5.36,5.36,5.45,0.06,1.1009,8161196,44725637.0
2019-06-19,'000088,盐 田 港,5.45,5.46,5.37,5.45,5.3,0.15,2.8302,7814853,42337928.61
2019-06-18,'000088,盐 田 港,5.3,5.32,5.27,5.29,5.29,0.01,0.189,1698800,8994136.06
2019-06-17,'000088,盐 田 港,5.29,5.33,5.27,5.3,5.3,-0.01,-0.1887,1838204,9729365.0
2019-06-14,'000088,盐 田 港,5.3,5.39,5.3,5.39,5.36,-0.06,-1.1194,3036236,16225541.02
2019-06-13,'000088,盐 田 港,5.36,5.4,5.31,5.4,5.36,0.0,0.0,3284177,17576323.83
2019-06-12,'000088,盐 田 港,5.36,5.43,5.35,5.42,5.41,-0.05,-0.9242,3044100,16379236.26
2019-06-11,'000088,盐 田 港,5.41,5.42,5.24,5.25,5.25,0.16,3.0476,5091194,27274130.22
2019-06-10,'000088,盐 田 港,5.25,5.27,5.2,5.22,5.22,0.03,0.5747,2093681,10981998.25
2019-06-06,'000088,盐 田 港,5.22,5.32,5.19,5.29,5.32,-0.1,-1.8797,3740750,19610522.45
2019-06-05,'000088,盐 田 港,5.32,5.41,5.3,5.38,5.33,-0.01,-0.1876,3740196,19984204.0
2019-06-04,'000088,盐 田 港,5.33,5.47,5.31,5.37,5.37,-0.04,-0.7449,5430383,29187519.86
2019-06-03,'000088,盐 田 港,5.37,5.47,5.36,5.43,5.43,-0.06,-1.105,2803000,15129397.0
2019-05-31,'000088,盐 田 港,5.43,5.48,5.38,5.41,5.4,0.03,0.5556,3101550,16857550.6
2019-05-30,'000088,盐 田 港,5.4,5.44,5.36,5.41,5.44,-0.04,-0.7353,3531500,19058058.0
2019-05-29,'000088,盐 田 港,5.44,5.49,5.4,5.42,5.43,0.01,0.1842,3279059,17863039.6
2019-05-28,'000088,盐 田 港,5.43,5.48,5.4,5.43,5.43,0.0,0.0,4069518,22161996.76
