日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000090,天健集团,5.04,5.09,5.0,5.03,4.94,0.1,2.0243,9061258,45759548.15
2019-06-28,'000090,天健集团,4.94,5.03,4.92,5.02,5.0,-0.06,-1.2,7056683,34955611.82
2019-06-27,'000090,天健集团,5.0,5.06,4.96,5.04,5.0,0.0,0.0,7444304,37350240.36
2019-06-26,'000090,天健集团,5.0,5.06,4.98,5.06,5.06,-0.06,-1.1858,6837207,34255123.75
2019-06-25,'000090,天健集团,5.06,5.09,4.99,5.06,5.06,0.0,0.0,9526945,47997479.85
2019-06-24,'000090,天健集团,5.06,5.12,5.02,5.11,5.06,0.0,0.0,8852393,44774366.98
2019-06-21,'000090,天健集团,5.06,5.15,5.04,5.06,5.02,0.04,0.7968,11909921,60463264.85
2019-06-20,'000090,天健集团,5.02,5.11,4.99,5.02,5.02,0.0,0.0,16803213,84705287.96
2019-06-19,'000090,天健集团,6.78,6.93,6.74,6.81,6.7,0.08,1.194,10190687,69323450.22
2019-06-18,'000090,天健集团,6.7,6.75,6.62,6.62,6.65,0.05,0.7519,7585326,50672601.51
2019-06-17,'000090,天健集团,6.65,6.65,6.25,6.25,6.58,0.07,1.0638,10303274,67770377.58
2019-06-14,'000090,天健集团,6.58,6.65,6.5,6.52,6.45,0.13,2.0155,15151413,99826580.82
2019-06-13,'000090,天健集团,6.45,6.48,6.33,6.4,6.37,0.08,1.2559,6866410,44044659.65
2019-06-12,'000090,天健集团,6.37,6.48,6.35,6.44,6.39,-0.02,-0.313,7329041,47017223.27
2019-06-11,'000090,天健集团,6.39,6.39,6.07,6.16,6.15,0.24,3.9024,7583365,47893214.47
2019-06-10,'000090,天健集团,6.15,6.23,6.12,6.13,6.1,0.05,0.8197,6021219,37161039.9
2019-06-06,'000090,天健集团,6.1,6.33,6.09,6.3,6.3,-0.2,-3.1746,10471681,64446921.42
2019-06-05,'000090,天健集团,6.3,6.44,6.3,6.43,6.36,-0.06,-0.9434,6946809,44140859.92
2019-06-04,'000090,天健集团,6.36,6.53,6.3,6.5,6.5,-0.14,-2.1538,6197208,39744765.77
2019-06-03,'000090,天健集团,6.5,6.59,6.44,6.52,6.53,-0.03,-0.4594,5263208,34170812.58
2019-05-31,'000090,天健集团,6.53,6.58,6.47,6.52,6.52,0.01,0.1534,3781614,24688548.74
2019-05-30,'000090,天健集团,6.52,6.55,6.46,6.52,6.55,-0.03,-0.458,5175946,33605736.99
2019-05-29,'000090,天健集团,6.55,6.61,6.53,6.55,6.59,-0.04,-0.607,4026425,26408738.17
2019-05-28,'000090,天健集团,6.59,6.71,6.56,6.71,6.66,-0.07,-1.0511,6084731,40385675.93
2019-05-27,'000090,天健集团,6.66,6.71,6.47,6.52,6.51,0.15,2.3041,8213487,54200108.82
2019-05-24,'000090,天健集团,6.51,6.55,6.41,6.41,6.41,0.1,1.5601,6392548,41556810.64
2019-05-23,'000090,天健集团,6.41,6.61,6.38,6.59,6.59,-0.18,-2.7314,10700923,69128348.89
2019-05-22,'000090,天健集团,6.59,6.73,6.58,6.73,6.69,-0.1,-1.4948,5755438,38127041.81
2019-05-21,'000090,天健集团,6.69,6.73,6.61,6.62,6.63,0.06,0.905,5893462,39365528.15
2019-05-20,'000090,天健集团,6.63,6.8,6.53,6.79,6.77,-0.14,-2.0679,7007189,46363096.44
2019-05-17,'000090,天健集团,6.77,6.93,6.71,6.82,6.85,-0.08,-1.1679,10501218,71806237.82
2019-05-16,'000090,天健集团,6.85,6.9,6.71,6.79,6.76,0.09,1.3314,7580199,51664226.97
2019-05-15,'000090,天健集团,6.76,6.83,6.69,6.69,6.67,0.09,1.3493,8834903,59696527.67
2019-05-14,'000090,天健集团,6.67,6.73,6.63,6.65,6.75,-0.08,-1.1852,9560948,63846943.07
2019-05-13,'000090,天健集团,6.75,6.81,6.68,6.7,6.79,-0.04,-0.5891,8170333,55011276.78
2019-05-10,'000090,天健集团,6.79,6.84,6.45,6.67,6.51,0.28,4.3011,12769380,85771084.44
2019-05-09,'000090,天健集团,6.51,6.71,6.5,6.57,6.65,-0.14,-2.1053,7750486,51024305.44
2019-05-08,'000090,天健集团,6.65,6.8,6.55,6.65,6.78,-0.13,-1.9174,11953008,79748920.72
2019-05-07,'000090,天健集团,6.78,6.8,6.53,6.55,6.51,0.27,4.1475,14515237,96382021.96
2019-05-06,'000090,天健集团,6.51,6.91,6.4,6.87,7.05,-0.54,-7.6596,19185053,127809469.4
2019-04-30,'000090,天健集团,7.05,7.17,6.95,7.14,7.03,0.02,0.2845,11412838,80403505.8
2019-04-29,'000090,天健集团,7.03,7.25,6.85,7.13,7.16,-0.13,-1.8156,13730750,97134125.41
2019-04-26,'000090,天健集团,7.16,7.26,7.08,7.13,7.09,0.07,0.9873,14923359,107051219.73
2019-04-25,'000090,天健集团,7.09,7.46,7.05,7.41,7.39,-0.3,-4.0595,16199351,118030735.44
2019-04-24,'000090,天健集团,7.39,7.53,7.28,7.43,7.43,-0.04,-0.5384,15633479,115757421.63
2019-04-23,'000090,天健集团,7.43,7.6,7.25,7.58,7.59,-0.16,-2.108,26476797,196782501.48
2019-04-22,'000090,天健集团,7.59,7.85,7.55,7.82,7.77,-0.18,-2.3166,14851968,113955723.05
2019-04-19,'000090,天健集团,7.77,7.84,7.66,7.77,7.74,0.03,0.3876,10067142,78118747.29
2019-04-18,'000090,天健集团,7.74,7.88,7.69,7.86,7.85,-0.11,-1.4013,11043769,85860206.3
2019-04-17,'000090,天健集团,7.85,7.97,7.81,7.96,7.87,-0.02,-0.2541,16788982,132148642.62
2019-04-16,'000090,天健集团,7.87,7.97,7.66,7.86,7.76,0.11,1.4175,20291229,158662007.04
2019-04-15,'000090,天健集团,7.76,8.1,7.76,7.99,7.85,-0.09,-1.1465,20639491,164114311.25
2019-04-12,'000090,天健集团,7.85,8.03,7.73,8.0,7.98,-0.13,-1.6291,19191898,150163720.4
2019-04-11,'000090,天健集团,7.98,8.13,7.9,7.94,7.94,0.04,0.5038,19206502,153881908.39
2019-04-10,'000090,天健集团,7.94,8.04,7.86,7.96,8.0,-0.06,-0.75,13643842,108287376.66
2019-04-09,'000090,天健集团,8.0,8.14,7.83,7.86,7.86,0.14,1.7812,17017258,135879511.5
2019-04-08,'000090,天健集团,7.86,8.18,7.81,7.94,7.85,0.01,0.1274,29098119,231996367.98
2019-04-04,'000090,天健集团,7.85,8.03,7.72,8.03,7.94,-0.09,-1.1335,30990144,243254412.29
2019-04-03,'000090,天健集团,7.94,8.0,7.57,7.58,7.56,0.38,5.0265,38915668,305307313.75
2019-04-02,'000090,天健集团,7.56,8.05,7.49,7.64,7.4,0.16,2.1622,49686047,382303059.8
2019-04-01,'000090,天健集团,7.4,7.43,6.98,6.98,6.92,0.48,6.9364,32653084,236872833.99
2019-03-29,'000090,天健集团,6.92,6.99,6.62,6.66,6.66,0.26,3.9039,25781511,176615268.03
2019-03-28,'000090,天健集团,6.66,6.77,6.53,6.56,6.6,0.06,0.9091,14214158,94402306.18
2019-03-27,'000090,天健集团,6.6,6.68,6.48,6.67,6.55,0.05,0.7634,13645310,90037351.09
2019-03-26,'000090,天健集团,6.55,6.93,6.51,6.89,6.84,-0.29,-4.2398,20609239,137897837.0
2019-03-25,'000090,天健集团,6.84,6.94,6.66,6.71,6.79,0.05,0.7364,19546194,133813531.78
2019-03-22,'000090,天健集团,6.79,6.83,6.61,6.66,6.68,0.11,1.6467,17689786,119006237.09
2019-03-21,'000090,天健集团,6.68,6.85,6.41,6.42,6.39,0.29,4.5383,26824231,178292979.57
2019-03-20,'000090,天健集团,6.39,6.44,6.27,6.34,6.33,0.06,0.9479,17371403,110419978.71
2019-03-19,'000090,天健集团,6.33,6.49,6.28,6.36,6.38,-0.05,-0.7837,16697686,106173749.57
2019-03-18,'000090,天健集团,6.38,6.46,6.08,6.14,6.13,0.25,4.0783,29840164,188504151.37
2019-03-15,'000090,天健集团,6.13,6.3,5.88,5.9,5.87,0.26,4.4293,26936475,165023422.3
2019-03-14,'000090,天健集团,5.87,6.08,5.81,6.02,6.0,-0.13,-2.1667,14833418,87883887.55
2019-03-13,'000090,天健集团,6.0,6.15,5.96,6.04,6.03,-0.03,-0.4975,23406334,141649958.76
2019-03-12,'000090,天健集团,6.03,6.13,5.95,6.04,5.98,0.05,0.8361,20578032,124561166.78
2019-03-11,'000090,天健集团,5.98,6.0,5.84,5.85,5.86,0.12,2.0478,15463921,91715961.2
2019-03-08,'000090,天健集团,5.86,6.12,5.81,6.1,6.19,-0.33,-5.3312,23436548,140693657.76
2019-03-07,'000090,天健集团,6.19,6.22,6.03,6.12,6.12,0.07,1.1438,20198739,123788814.5
