日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000096,广聚能源,9.84,9.89,9.6,9.76,9.58,0.26,2.714,770875,7503718.7
2019-06-28,'000096,广聚能源,9.58,9.83,9.46,9.79,9.72,-0.14,-1.4403,639300,6130869.0
2019-06-27,'000096,广聚能源,9.72,9.79,9.66,9.74,9.73,-0.01,-0.1028,452601,4401396.72
2019-06-26,'000096,广聚能源,9.73,9.96,9.68,9.89,9.96,-0.23,-2.3092,1018282,9948943.49
2019-06-25,'000096,广聚能源,9.96,10.39,9.76,10.39,10.09,-0.13,-1.2884,864000,8562426.0
2019-06-24,'000096,广聚能源,10.09,10.79,9.63,9.67,9.81,0.28,2.8542,1221200,12365939.0
2019-06-21,'000096,广聚能源,9.81,9.97,9.76,9.79,9.83,-0.02,-0.2035,665601,6537966.84
2019-06-20,'000096,广聚能源,9.83,9.87,9.38,9.48,9.47,0.36,3.8015,1322402,12807991.78
2019-06-19,'000096,广聚能源,9.47,9.58,9.4,9.58,9.45,0.02,0.2116,461600,4396247.0
2019-06-18,'000096,广聚能源,9.45,9.49,9.31,9.42,9.42,0.03,0.3185,327000,3064307.97
2019-06-17,'000096,广聚能源,9.44,9.49,9.16,9.21,9.21,0.23,2.4973,593200,5571401.9
2019-06-14,'000096,广聚能源,9.21,9.47,9.1,9.47,9.46,-0.25,-2.6427,463801,4332089.43
2019-06-13,'000096,广聚能源,9.46,9.46,9.29,9.32,9.41,0.05,0.5313,706501,6630412.4
2019-06-12,'000096,广聚能源,9.41,9.67,9.25,9.44,9.44,-0.03,-0.3178,574110,5430036.47
2019-06-11,'000096,广聚能源,9.44,9.46,9.2,9.24,9.24,0.2,2.1645,774700,7241937.0
2019-06-10,'000096,广聚能源,9.24,9.7,9.16,9.38,9.12,0.12,1.3158,634300,5916771.79
2019-06-06,'000096,广聚能源,9.12,9.47,9.12,9.47,9.47,-0.35,-3.6959,588100,5434703.0
2019-06-05,'000096,广聚能源,9.47,9.68,9.41,9.41,9.48,-0.01,-0.1055,440500,4181329.0
2019-06-04,'000096,广聚能源,9.48,9.73,9.3,9.39,9.41,0.07,0.7439,596999,5668563.61
2019-06-03,'000096,广聚能源,9.41,9.87,9.33,9.75,9.93,-0.52,-5.2367,1011101,9686485.78
2019-05-31,'000096,广聚能源,9.93,10.08,9.87,10.01,10.04,-0.11,-1.0956,779100,7734092.0
2019-05-30,'000096,广聚能源,10.04,10.22,9.66,9.83,9.83,0.21,2.1363,1625930,16262149.66
2019-05-29,'000096,广聚能源,9.83,10.37,9.67,9.67,9.75,0.08,0.8205,737954,7285744.86
2019-05-28,'000096,广聚能源,9.75,9.88,9.71,9.76,9.78,-0.03,-0.3067,474000,4632698.0
2019-05-27,'000096,广聚能源,9.78,9.85,9.51,9.69,9.71,0.07,0.7209,594754,5772810.32
2019-05-24,'000096,广聚能源,9.71,9.95,9.69,9.85,9.65,0.06,0.6218,672041,6588800.15
2019-05-23,'000096,广聚能源,9.65,9.88,9.55,9.69,9.7,-0.05,-0.5155,474900,4630320.0
2019-05-22,'000096,广聚能源,9.7,9.9,9.65,9.77,9.77,-0.07,-0.7165,312200,3040986.0
2019-05-21,'000096,广聚能源,9.77,9.88,9.6,9.64,9.64,0.13,1.3485,567000,5529283.0
2019-05-20,'000096,广聚能源,9.64,9.9,9.58,9.75,9.84,-0.2,-2.0325,542000,5229899.0
2019-05-17,'000096,广聚能源,9.84,10.22,9.76,10.22,10.17,-0.33,-3.2448,569600,5662570.0
2019-05-16,'000096,广聚能源,10.17,10.27,10.09,10.24,10.15,0.02,0.197,593347,6028202.99
