日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000099,中信海直,7.26,7.28,7.19,7.2,7.12,0.14,1.9663,5825059,42137996.25
2019-06-28,'000099,中信海直,7.12,7.2,7.06,7.18,7.19,-0.07,-0.9736,3038653,21582449.0
2019-06-27,'000099,中信海直,7.19,7.31,7.16,7.25,7.35,-0.16,-2.1769,7226723,52219990.92
2019-06-26,'000099,中信海直,7.35,7.66,7.01,7.01,7.08,0.27,3.8136,8559706,62709459.86
2019-06-25,'000099,中信海直,7.08,7.16,7.0,7.16,7.17,-0.09,-1.2552,3077988,21725737.88
2019-06-24,'000099,中信海直,7.17,7.2,7.06,7.17,7.15,0.02,0.2797,3590779,25625002.72
2019-06-21,'000099,中信海直,7.15,7.19,7.08,7.15,7.1,0.05,0.7042,4991438,35660152.02
2019-06-20,'000099,中信海直,7.1,7.12,6.93,6.96,6.96,0.14,2.0115,3583073,25318201.82
2019-06-19,'000099,中信海直,6.96,7.01,6.94,6.95,6.84,0.12,1.7544,2707053,18877018.88
2019-06-18,'000099,中信海直,6.84,6.94,6.8,6.9,6.87,-0.03,-0.4367,1413058,9702236.71
2019-06-17,'000099,中信海直,6.87,6.97,6.79,6.86,6.86,0.01,0.1458,1930401,13267930.85
2019-06-14,'000099,中信海直,6.86,7.09,6.86,6.95,6.98,-0.12,-1.7192,3369100,23532592.99
2019-06-13,'000099,中信海直,6.98,6.99,6.82,6.88,6.89,0.09,1.3062,2990560,20688372.95
2019-06-12,'000099,中信海直,6.89,6.98,6.85,6.97,6.95,-0.06,-0.8633,2646309,18270894.3
2019-06-11,'000099,中信海直,6.95,6.97,6.69,6.73,6.73,0.22,3.2689,3588432,24613057.18
2019-06-10,'000099,中信海直,6.73,6.76,6.6,6.72,6.72,0.01,0.1488,2650953,17727342.32
2019-06-06,'000099,中信海直,6.72,6.89,6.7,6.85,6.86,-0.14,-2.0408,2416778,16335323.84
2019-06-05,'000099,中信海直,6.86,6.99,6.85,6.96,6.88,-0.02,-0.2907,1531073,10596877.3
2019-06-04,'000099,中信海直,6.88,7.04,6.88,7.03,7.03,-0.15,-2.1337,2467200,17068292.0
2019-06-03,'000099,中信海直,7.03,7.18,6.96,7.07,7.13,-0.1,-1.4025,2637601,18630991.48
2019-05-31,'000099,中信海直,7.13,7.15,7.06,7.06,7.06,0.07,0.9915,2036235,14471436.67
2019-05-30,'000099,中信海直,7.08,7.14,6.99,7.14,7.15,-0.07,-0.979,2161805,15253538.54
2019-05-29,'000099,中信海直,7.15,7.22,7.1,7.14,7.17,-0.02,-0.2789,2303400,16517575.17
2019-05-28,'000099,中信海直,7.17,7.24,7.14,7.2,7.2,-0.03,-0.4167,3285156,23638603.96
2019-05-27,'000099,中信海直,7.2,7.24,6.99,7.04,7.04,0.16,2.2727,2886173,20587077.62
2019-05-24,'000099,中信海直,7.04,7.18,6.99,7.08,7.1,-0.06,-0.8451,2096923,14811188.1
2019-05-23,'000099,中信海直,7.1,7.18,7.03,7.18,7.19,-0.09,-1.2517,2700469,19145943.01
2019-05-22,'000099,中信海直,7.19,7.24,7.07,7.2,7.19,0.0,0.0,2914201,20921701.18
2019-05-21,'000099,中信海直,7.19,7.23,7.05,7.1,7.1,0.09,1.2676,3443470,24643336.78
2019-05-20,'000099,中信海直,7.1,7.19,6.74,7.16,7.14,-0.04,-0.5602,4706998,32816573.73
2019-05-17,'000099,中信海直,7.14,7.48,7.07,7.3,7.32,-0.18,-2.459,7199350,52732601.5
2019-05-16,'000099,中信海直,7.32,7.47,7.11,7.18,7.15,0.17,2.3776,5679693,41394560.43
2019-05-15,'000099,中信海直,7.15,7.18,7.04,7.07,7.04,0.11,1.5625,3636020,25972757.67
2019-05-14,'000099,中信海直,7.04,7.15,6.95,7.0,7.11,-0.07,-0.9845,3249283,22959069.2
2019-05-13,'000099,中信海直,7.11,7.15,7.06,7.13,7.18,-0.07,-0.9749,2769383,19668922.47
2019-05-10,'000099,中信海直,7.18,7.19,6.89,6.94,6.89,0.29,4.209,5857662,41416966.39
2019-05-09,'000099,中信海直,6.89,6.95,6.85,6.87,6.91,-0.02,-0.2894,2295968,15861456.88
2019-05-08,'000099,中信海直,6.91,7.01,6.71,6.8,6.91,0.0,0.0,3281081,22676654.2
2019-05-07,'000099,中信海直,6.91,6.98,6.77,6.85,6.84,0.07,1.0234,3783170,26081125.0
2019-05-06,'000099,中信海直,6.84,7.39,6.72,7.39,7.43,-0.59,-7.9408,7520801,52514516.41
2019-04-30,'000099,中信海直,7.43,7.47,7.34,7.34,7.33,0.1,1.3643,2744793,20326519.81
2019-04-29,'000099,中信海直,7.33,7.67,7.32,7.57,7.57,-0.24,-3.1704,5355280,40105699.4
2019-04-26,'000099,中信海直,7.57,7.67,7.54,7.6,7.6,-0.03,-0.3947,4397971,33479948.42
2019-04-25,'000099,中信海直,7.6,7.95,7.58,7.88,7.92,-0.32,-4.0404,6590787,51100692.19
2019-04-24,'000099,中信海直,7.92,8.07,7.74,8.0,7.98,-0.06,-0.7519,7649762,60372201.44
2019-04-23,'000099,中信海直,7.98,8.38,7.9,8.33,8.43,-0.45,-5.3381,11169255,91172154.8
2019-04-22,'000099,中信海直,8.43,8.45,8.18,8.31,8.3,0.13,1.5663,11122748,92552574.96
2019-04-19,'000099,中信海直,8.3,8.38,8.21,8.33,8.35,-0.05,-0.5988,6991501,57878983.97
2019-04-18,'000099,中信海直,8.35,8.43,8.29,8.4,8.39,-0.04,-0.4768,9000884,75281027.35
2019-04-17,'000099,中信海直,8.39,8.45,8.3,8.41,8.4,-0.01,-0.119,7948092,66641903.6
2019-04-16,'000099,中信海直,8.4,8.42,8.17,8.25,8.25,0.15,1.8182,7999632,66747839.59
2019-04-15,'000099,中信海直,8.25,8.51,8.22,8.35,8.33,-0.08,-0.9604,10578635,88740173.85
2019-04-12,'000099,中信海直,8.33,8.41,8.25,8.37,8.28,0.05,0.6039,5340568,44531500.35
2019-04-11,'000099,中信海直,8.28,8.59,8.26,8.54,8.53,-0.25,-2.9308,9718163,81610155.45
2019-04-10,'000099,中信海直,8.53,8.59,8.32,8.46,8.46,0.07,0.8274,11856517,100528419.62
2019-04-09,'000099,中信海直,8.46,8.57,8.31,8.57,8.55,-0.09,-1.0526,14068004,118836395.3
2019-04-08,'000099,中信海直,8.55,8.8,8.45,8.7,8.95,-0.4,-4.4693,34621241,298174225.85
2019-04-04,'000099,中信海直,8.95,9.46,8.91,9.45,8.6,0.35,4.0698,53700925,499482148.02
2019-04-03,'000099,中信海直,8.6,8.74,8.28,8.38,8.28,0.32,3.8647,25488493,218135563.99
2019-04-02,'000099,中信海直,8.28,8.5,8.18,8.18,8.15,0.13,1.5951,23829115,199245032.5
2019-04-01,'000099,中信海直,8.15,8.16,7.79,7.79,7.79,0.36,4.6213,16835692,135710996.83
2019-03-29,'000099,中信海直,7.79,7.83,7.54,7.56,7.55,0.24,3.1788,8887113,68823772.53
2019-03-28,'000099,中信海直,7.55,7.78,7.52,7.59,7.56,-0.01,-0.1323,7672824,58834908.09
2019-03-27,'000099,中信海直,7.56,7.74,7.43,7.69,7.67,-0.11,-1.4342,8105691,61324491.51
2019-03-26,'000099,中信海直,7.67,8.18,7.53,8.18,8.19,-0.52,-6.3492,18668140,147120994.84
2019-03-25,'000099,中信海直,8.19,8.41,7.73,7.8,7.96,0.23,2.8894,27486777,225260998.45
2019-03-22,'000099,中信海直,7.96,8.0,7.84,7.95,8.0,-0.04,-0.5,9503763,75344303.57
2019-03-21,'000099,中信海直,8.0,8.08,7.86,7.87,7.88,0.12,1.5228,15139576,120243793.65
2019-03-20,'000099,中信海直,7.88,7.91,7.7,7.82,7.84,0.04,0.5102,9694011,75809834.99
2019-03-19,'000099,中信海直,7.84,7.99,7.78,7.9,7.93,-0.09,-1.1349,11985014,94391452.6
2019-03-18,'000099,中信海直,7.93,7.95,7.67,7.72,7.72,0.21,2.7202,11328523,88855955.72
2019-03-15,'000099,中信海直,7.72,7.85,7.63,7.75,7.75,-0.03,-0.3871,9509281,73696767.55
2019-03-14,'000099,中信海直,7.75,7.91,7.49,7.55,7.62,0.13,1.706,14091242,108317428.78
2019-03-13,'000099,中信海直,7.62,7.96,7.58,7.93,7.98,-0.36,-4.5113,13798266,107551590.51
2019-03-12,'000099,中信海直,7.98,8.16,7.73,7.8,7.8,0.18,2.3077,22669936,178483731.46
2019-03-11,'000099,中信海直,7.8,7.83,7.55,7.55,7.55,0.25,3.3113,11742324,90511720.49
2019-03-08,'000099,中信海直,7.55,8.03,7.52,7.91,8.13,-0.58,-7.1341,18538942,144487900.9
2019-03-07,'000099,中信海直,8.13,8.26,8.0,8.09,8.28,-0.15,-1.8116,20489610,166101227.37
2019-03-06,'000099,中信海直,8.28,8.35,8.03,8.3,8.31,-0.03,-0.361,21022503,172339098.8
2019-03-05,'000099,中信海直,8.31,8.39,8.09,8.25,8.28,0.03,0.3623,20305908,167407815.58
2019-03-04,'000099,中信海直,8.28,8.44,7.71,7.71,7.67,0.61,7.9531,28424293,231528597.48
2019-03-01,'000099,中信海直,7.67,7.67,7.43,7.6,7.55,0.12,1.5894,11356279,85874742.6
2019-02-28,'000099,中信海直,7.55,7.89,7.41,7.52,7.47,0.08,1.071,12574742,95101208.44
2019-02-27,'000099,中信海直,7.47,7.69,7.22,7.29,7.3,0.17,2.3288,17461449,129702477.73
2019-02-26,'000099,中信海直,7.3,7.42,7.13,7.21,7.25,0.05,0.6897,15018580,109509034.39
2019-02-25,'000099,中信海直,7.25,7.34,7.0,7.03,7.02,0.23,3.2764,15351686,110555633.37
2019-02-22,'000099,中信海直,7.02,7.04,6.85,6.92,6.94,0.08,1.1527,9589916,66598580.97
2019-02-21,'000099,中信海直,6.94,7.13,6.91,6.99,7.05,-0.11,-1.5603,11079722,77786822.86
2019-02-20,'000099,中信海直,7.05,7.16,6.71,6.78,6.82,0.23,3.3724,12524079,86943853.53
2019-02-19,'000099,中信海直,6.82,6.95,6.68,6.84,6.84,-0.02,-0.2924,11897684,80902537.8
2019-02-18,'000099,中信海直,6.84,6.88,6.61,6.62,6.64,0.2,3.012,12607761,85483186.78
2019-02-15,'000099,中信海直,6.64,6.75,6.46,6.49,6.49,0.15,2.3112,14264640,94611264.57
2019-02-14,'000099,中信海直,6.49,6.56,6.45,6.5,6.56,-0.07,-1.0671,8331892,54152669.71
2019-02-13,'000099,中信海直,6.56,6.58,6.41,6.51,6.51,0.05,0.768,9717248,63221824.13
2019-02-12,'000099,中信海直,6.51,6.53,6.33,6.38,6.43,0.08,1.2442,9136203,58724552.48
2019-02-11,'000099,中信海直,6.43,6.45,6.14,6.17,6.18,0.25,4.0453,10505227,66642197.49
2019-02-01,'000099,中信海直,6.18,6.18,6.05,6.06,6.06,0.12,1.9802,5878017,35890425.3
2019-01-31,'000099,中信海直,6.06,6.28,6.03,6.27,6.28,-0.22,-3.5032,9234701,56799715.32
2019-01-30,'000099,中信海直,6.28,6.44,6.1,6.16,6.19,0.09,1.454,14222933,89401457.06
2019-01-29,'000099,中信海直,6.19,6.25,5.96,6.08,6.05,0.14,2.314,10070576,61765918.19
2019-01-28,'000099,中信海直,6.05,6.14,6.05,6.1,6.08,-0.03,-0.4934,3501623,21350777.91
2019-01-25,'000099,中信海直,6.08,6.13,6.03,6.06,6.08,0.0,0.0,4369709,26609826.7
2019-01-24,'000099,中信海直,6.08,6.1,5.99,6.04,6.04,0.04,0.6623,2937594,17796443.59
2019-01-23,'000099,中信海直,6.04,6.04,5.97,5.99,5.99,0.05,0.8347,1997294,11993513.93
2019-01-22,'000099,中信海直,5.99,6.07,5.96,6.05,6.06,-0.07,-1.1551,2108785,12662890.61
2019-01-21,'000099,中信海直,6.06,6.11,6.04,6.06,6.05,0.01,0.1653,2178970,13224859.6
