日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000100,TCL 集团,3.6,3.6,3.38,3.43,3.33,0.27,8.1081,416364187,1464311349.81
2019-06-28,'000100,TCL 集团,3.33,3.39,3.27,3.28,3.29,0.04,1.2158,155055583,517051821.26
2019-06-27,'000100,TCL 集团,3.29,3.31,3.26,3.27,3.26,0.03,0.9202,86863715,285769991.17
2019-06-26,'000100,TCL 集团,3.26,3.27,3.22,3.23,3.25,0.01,0.3077,51419419,167327775.39
2019-06-25,'000100,TCL 集团,3.25,3.28,3.19,3.28,3.28,-0.03,-0.9146,115464664,373928233.54
2019-06-24,'000100,TCL 集团,3.28,3.3,3.26,3.29,3.29,-0.01,-0.304,76859179,251825758.02
2019-06-21,'000100,TCL 集团,3.29,3.32,3.27,3.32,3.27,0.02,0.6116,168818375,556293426.88
2019-06-20,'000100,TCL 集团,3.27,3.3,3.2,3.21,3.22,0.05,1.5528,114817033,374253288.53
2019-06-19,'000100,TCL 集团,3.22,3.3,3.21,3.27,3.18,0.04,1.2579,89468931,291103428.7
2019-06-18,'000100,TCL 集团,3.18,3.2,3.17,3.19,3.19,-0.01,-0.3135,44433971,141549992.65
2019-06-17,'000100,TCL 集团,3.19,3.2,3.16,3.2,3.2,-0.01,-0.3125,51444008,163855902.13
2019-06-14,'000100,TCL 集团,3.2,3.29,3.19,3.27,3.27,-0.07,-2.1407,110983783,358132381.22
2019-06-13,'000100,TCL 集团,3.27,3.3,3.25,3.26,3.27,0.0,0.0,70911762,232050269.38
2019-06-12,'000100,TCL 集团,3.27,3.33,3.24,3.31,3.33,-0.06,-1.8018,101766442,334926176.14
2019-06-11,'000100,TCL 集团,3.33,3.37,3.17,3.2,3.19,0.14,4.3887,174929434,573946750.42
2019-06-10,'000100,TCL 集团,3.19,3.2,3.14,3.16,3.13,0.06,1.9169,99455387,315975749.34
2019-06-06,'000100,TCL 集团,3.13,3.2,3.11,3.2,3.2,-0.07,-2.1875,114753926,361658509.92
2019-06-05,'000100,TCL 集团,3.2,3.26,3.17,3.25,3.22,-0.02,-0.6211,113337887,363696616.39
2019-06-04,'000100,TCL 集团,3.22,3.29,3.21,3.28,3.29,-0.07,-2.1277,104509185,338918008.81
2019-06-03,'000100,TCL 集团,3.29,3.34,3.28,3.31,3.31,-0.02,-0.6042,69523217,229424739.22
2019-05-31,'000100,TCL 集团,3.31,3.36,3.29,3.33,3.34,-0.03,-0.8982,78492279,261424294.19
2019-05-30,'000100,TCL 集团,3.34,3.36,3.27,3.31,3.32,0.02,0.6024,110392237,365189331.74
2019-05-29,'000100,TCL 集团,3.32,3.34,3.31,3.33,3.34,-0.02,-0.5988,59318636,197154936.33
2019-05-28,'000100,TCL 集团,3.34,3.37,3.32,3.37,3.39,-0.05,-1.4749,142343180,476628594.89
2019-05-27,'000100,TCL 集团,3.39,3.4,3.26,3.27,3.27,0.12,3.6697,158746603,529934423.08
2019-05-24,'000100,TCL 集团,3.27,3.32,3.26,3.26,3.28,-0.01,-0.3049,68620647,225391468.24
2019-05-23,'000100,TCL 集团,3.28,3.36,3.26,3.35,3.37,-0.09,-2.6706,140472065,462559114.75
2019-05-22,'000100,TCL 集团,3.37,3.44,3.36,3.42,3.42,-0.05,-1.462,101580611,344314602.96
2019-05-21,'000100,TCL 集团,3.42,3.45,3.37,3.41,3.41,0.01,0.2933,122481002,418341179.07
2019-05-20,'000100,TCL 集团,3.41,3.47,3.36,3.42,3.41,0.0,0.0,125176818,426386246.41
2019-05-17,'000100,TCL 集团,3.41,3.54,3.39,3.53,3.53,-0.12,-3.3994,164327620,567077614.6
2019-05-16,'000100,TCL 集团,3.53,3.56,3.51,3.53,3.54,-0.01,-0.2825,90625944,319836261.22
2019-05-15,'000100,TCL 集团,3.54,3.56,3.51,3.52,3.49,0.05,1.4327,107642623,380641600.38
