日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000150,宜华健康,5.68,5.68,5.49,5.6,5.5,0.18,3.2727,19095624,106866237.31
2019-06-28,'000150,宜华健康,5.5,5.84,5.46,5.84,5.78,-0.28,-4.8443,16939185,94348025.02
2019-06-27,'000150,宜华健康,5.78,5.88,5.7,5.7,5.7,0.08,1.4035,13402637,77685306.75
2019-06-26,'000150,宜华健康,5.7,5.83,5.6,5.68,5.66,0.04,0.7067,11424083,65469332.17
2019-06-25,'000150,宜华健康,5.66,5.79,5.55,5.79,5.75,-0.09,-1.5652,12092150,68346151.32
2019-06-24,'000150,宜华健康,5.75,6.03,5.7,6.01,5.88,-0.13,-2.2109,14285636,83096564.13
2019-06-21,'000150,宜华健康,5.88,6.0,5.84,5.85,5.78,0.1,1.7301,15868684,93905756.96
2019-06-20,'000150,宜华健康,5.78,5.82,5.66,5.73,5.69,0.09,1.5817,12557536,72371349.67
2019-06-19,'000150,宜华健康,5.69,5.89,5.63,5.81,5.71,-0.02,-0.3503,10927583,62752161.62
2019-06-18,'000150,宜华健康,5.71,5.81,5.63,5.73,5.75,-0.04,-0.6957,7958508,45524377.6
2019-06-17,'000150,宜华健康,5.75,5.82,5.66,5.7,5.64,0.11,1.9504,7976453,45812777.26
2019-06-14,'000150,宜华健康,5.64,5.84,5.63,5.8,5.8,-0.16,-2.7586,8996407,51700800.48
2019-06-13,'000150,宜华健康,5.8,5.84,5.73,5.77,5.73,0.07,1.2216,10193054,58984778.52
2019-06-12,'000150,宜华健康,5.73,5.87,5.7,5.8,5.76,-0.03,-0.5208,13001891,74975325.11
2019-06-11,'000150,宜华健康,5.76,5.79,5.51,5.55,5.55,0.21,3.7838,13983115,79703966.29
2019-06-10,'000150,宜华健康,5.55,5.6,5.16,5.31,5.38,0.17,3.1599,16926502,92363857.19
2019-06-06,'000150,宜华健康,5.38,5.67,5.32,5.63,5.67,-0.29,-5.1146,13571373,73845110.6
2019-06-05,'000150,宜华健康,5.67,5.78,5.65,5.75,5.68,-0.01,-0.1761,8982690,51199897.18
2019-06-04,'000150,宜华健康,5.68,5.95,5.58,5.95,5.94,-0.26,-4.3771,13042108,75027896.02
2019-06-03,'000150,宜华健康,5.94,6.19,5.89,6.16,6.21,-0.27,-4.3478,13743194,82360137.42
2019-05-31,'000150,宜华健康,6.21,6.37,6.19,6.34,6.39,-0.18,-2.8169,15284240,95562618.22
2019-05-30,'000150,宜华健康,6.39,6.62,6.3,6.4,6.3,0.09,1.4286,17664501,114017805.88
2019-05-29,'000150,宜华健康,6.3,6.39,6.23,6.31,6.32,-0.02,-0.3165,8784065,55631945.2
2019-05-28,'000150,宜华健康,6.32,6.49,6.28,6.32,6.32,0.0,0.0,12867892,82216809.28
2019-05-27,'000150,宜华健康,8.85,8.95,8.53,8.64,8.6,0.25,2.907,9173014,80536422.28
2019-05-24,'000150,宜华健康,8.6,8.81,8.6,8.65,8.69,-0.09,-1.0357,6655367,57778631.76
2019-05-23,'000150,宜华健康,8.69,9.08,8.63,9.06,9.04,-0.35,-3.8717,9360156,82161143.4
2019-05-22,'000150,宜华健康,9.04,9.16,8.91,9.04,9.05,-0.01,-0.1105,9922291,89574999.25
2019-05-21,'000150,宜华健康,9.05,9.22,9.01,9.13,9.2,-0.15,-1.6304,11980024,108981862.26
2019-05-20,'000150,宜华健康,9.2,9.22,8.55,8.65,8.66,0.54,6.2356,17755309,158583584.67
2019-05-17,'000150,宜华健康,8.66,9.58,8.6,9.58,9.55,-0.89,-9.3194,18083620,163980419.18
2019-05-16,'000150,宜华健康,9.55,9.6,9.42,9.48,9.51,0.04,0.4206,8879000,84506883.97
2019-05-15,'000150,宜华健康,9.51,9.57,9.42,9.55,9.5,0.01,0.1053,9565826,90956922.97
2019-05-14,'000150,宜华健康,9.5,9.73,9.2,9.3,9.48,0.02,0.211,14411247,137108957.84
2019-05-13,'000150,宜华健康,9.48,9.62,9.41,9.58,9.68,-0.2,-2.0661,9839482,93829143.54
2019-05-10,'000150,宜华健康,9.68,9.72,9.01,9.5,9.42,0.26,2.7601,15422403,147025419.08
2019-05-09,'000150,宜华健康,9.42,9.61,9.4,9.54,9.6,-0.18,-1.875,10509573,99757094.28
2019-05-08,'000150,宜华健康,9.6,9.77,9.35,9.37,9.68,-0.08,-0.8264,15820628,151786844.37
2019-05-07,'000150,宜华健康,9.68,10.08,9.3,10.0,10.0,-0.32,-3.2,17931714,174864804.1
2019-05-06,'000150,宜华健康,10.0,10.7,9.8,10.7,10.89,-0.89,-8.1726,19598801,196922058.67
2019-04-30,'000150,宜华健康,10.89,10.99,10.61,10.78,10.81,0.08,0.7401,7690695,83606456.87
2019-04-29,'000150,宜华健康,10.81,11.69,10.73,11.61,11.64,-0.83,-7.1306,14446019,160651085.94
2019-04-26,'000150,宜华健康,11.64,11.76,11.52,11.76,11.62,0.02,0.1721,9412480,109581643.2
2019-04-25,'000150,宜华健康,11.62,12.18,11.62,12.18,12.21,-0.59,-4.8321,14175384,168702995.8
2019-04-24,'000150,宜华健康,12.21,12.22,11.84,11.97,11.94,0.27,2.2613,11201448,134603844.24
2019-04-23,'000150,宜华健康,11.94,12.29,11.84,12.27,12.26,-0.32,-2.6101,15392183,184750401.4
2019-04-22,'000150,宜华健康,12.26,12.68,12.21,12.55,12.7,-0.44,-3.4646,18117580,225380188.19
2019-04-19,'000150,宜华健康,12.7,12.79,12.51,12.6,12.68,0.02,0.1577,12435543,157454544.82
2019-04-18,'000150,宜华健康,12.68,12.95,12.53,12.88,13.14,-0.46,-3.5008,25322483,322499926.91
2019-04-17,'000150,宜华健康,13.14,14.08,13.09,13.57,13.25,-0.11,-0.8302,53704964,724858690.83
