日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000151,中成股份,12.1,12.16,11.95,11.99,11.8,0.3,2.5424,5474783,65958422.77
2019-06-28,'000151,中成股份,11.8,11.98,11.63,11.98,11.98,-0.18,-1.5025,3846090,45324155.31
2019-06-27,'000151,中成股份,11.98,12.03,11.87,11.99,11.92,0.06,0.5034,3184695,38144740.63
2019-06-26,'000151,中成股份,11.92,11.99,11.83,11.95,11.97,-0.05,-0.4177,2019100,24057783.0
2019-06-25,'000151,中成股份,11.97,12.06,11.77,12.01,12.14,-0.17,-1.4003,4197034,49935050.62
2019-06-24,'000151,中成股份,12.14,12.15,11.93,12.12,12.12,0.02,0.165,5488354,66173062.15
2019-06-21,'000151,中成股份,12.12,12.25,11.99,12.05,11.97,0.15,1.2531,6291583,76148063.32
2019-06-20,'000151,中成股份,11.97,12.03,11.7,11.75,11.75,0.22,1.8723,4263808,50704132.37
2019-06-19,'000151,中成股份,11.95,12.15,11.9,12.14,11.76,0.19,1.6156,3322619,39863183.72
2019-06-18,'000151,中成股份,11.76,11.91,11.63,11.71,11.72,0.04,0.3413,1671076,19697486.4
2019-06-17,'000151,中成股份,11.72,11.77,11.59,11.69,11.58,0.14,1.209,1838760,21502769.2
2019-06-14,'000151,中成股份,11.58,12.08,11.56,11.93,11.97,-0.39,-3.2581,3235451,38179678.07
2019-06-13,'000151,中成股份,11.97,12.04,11.86,12.0,12.04,-0.07,-0.5814,3095124,36978160.52
2019-06-12,'000151,中成股份,12.04,12.15,11.82,11.96,11.95,0.09,0.7531,5750044,68971213.01
2019-06-11,'000151,中成股份,11.95,11.95,11.57,11.65,11.55,0.4,3.4632,4320030,51059279.33
2019-06-10,'000151,中成股份,11.55,11.68,11.3,11.45,11.35,0.2,1.7621,2530358,29048115.84
2019-06-06,'000151,中成股份,11.35,11.72,11.24,11.62,11.62,-0.27,-2.3236,3118583,35710714.16
2019-06-05,'000151,中成股份,11.62,11.89,11.57,11.65,11.5,0.12,1.0435,3272036,38256985.72
2019-06-04,'000151,中成股份,11.5,11.89,11.36,11.89,11.77,-0.27,-2.294,3457726,40124238.14
2019-06-03,'000151,中成股份,11.77,12.21,11.75,12.1,12.1,-0.33,-2.7273,4346661,51793743.78
2019-05-31,'000151,中成股份,12.1,12.59,12.06,12.57,12.05,0.05,0.4149,5253373,64315328.78
2019-05-30,'000151,中成股份,12.05,12.14,11.8,11.96,12.05,0.0,0.0,5441500,65025144.11
2019-05-29,'000151,中成股份,12.05,12.2,11.98,11.98,12.06,-0.01,-0.0829,4124446,49871947.55
2019-05-28,'000151,中成股份,12.06,12.78,11.95,12.25,12.25,-0.19,-1.551,6893875,85014894.95
2019-05-27,'000151,中成股份,12.25,12.25,11.8,11.95,11.74,0.51,4.3441,6526228,78766984.6
2019-05-24,'000151,中成股份,11.74,11.99,11.7,11.88,11.79,-0.05,-0.4241,3251024,38425432.8
2019-05-23,'000151,中成股份,11.79,12.09,11.61,11.9,11.96,-0.17,-1.4214,5844452,69282532.68
2019-05-22,'000151,中成股份,11.96,12.37,11.8,11.91,11.91,0.05,0.4198,6445000,77330348.36
2019-05-21,'000151,中成股份,11.91,11.98,11.6,11.62,11.64,0.27,2.3196,4643164,54983139.92
2019-05-20,'000151,中成股份,11.64,11.92,11.39,11.92,11.79,-0.15,-1.2723,4277558,49577554.07
2019-05-17,'000151,中成股份,11.79,12.44,11.71,12.28,12.36,-0.57,-4.6117,6069034,73217397.66
2019-05-16,'000151,中成股份,12.36,12.46,12.29,12.45,12.44,-0.08,-0.6431,3974535,49162664.06
2019-05-15,'000151,中成股份,12.44,12.48,12.16,12.3,12.2,0.24,1.9672,6357469,78376925.37
2019-05-14,'000151,中成股份,12.2,12.35,12.06,12.07,12.38,-0.18,-1.454,5223287,63725954.37
2019-05-13,'000151,中成股份,12.38,12.85,11.79,11.83,11.94,0.44,3.6851,9765915,120131268.82
2019-05-10,'000151,中成股份,11.94,11.95,11.44,11.72,11.55,0.39,3.3766,6662650,78530420.02
