日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000153,丰原药业,6.39,6.45,6.33,6.35,6.25,0.14,2.24,2954636,18897423.74
2019-06-28,'000153,丰原药业,6.25,6.49,6.22,6.49,6.44,-0.19,-2.9503,2746702,17333363.46
2019-06-27,'000153,丰原药业,6.44,6.44,6.32,6.36,6.34,0.1,1.5773,3373405,21566071.94
2019-06-26,'000153,丰原药业,6.34,6.4,6.3,6.37,6.34,0.0,0.0,1827000,11588415.0
2019-06-25,'000153,丰原药业,6.34,6.38,6.2,6.38,6.38,-0.04,-0.627,2509936,15773885.5
2019-06-24,'000153,丰原药业,6.38,6.42,6.32,6.38,6.38,0.0,0.0,2392913,15212227.76
2019-06-21,'000153,丰原药业,6.38,6.43,6.25,6.25,6.27,0.11,1.7544,2998710,19090305.6
2019-06-20,'000153,丰原药业,6.27,6.31,6.14,6.18,6.19,0.08,1.2924,2761600,17198062.0
2019-06-19,'000153,丰原药业,6.19,6.21,6.13,6.15,6.08,0.11,1.8092,2530239,15634910.02
2019-06-18,'000153,丰原药业,6.08,6.15,6.05,6.13,6.15,-0.07,-1.1382,1743300,10633631.0
2019-06-17,'000153,丰原药业,6.15,6.18,6.03,6.06,6.02,0.13,2.1595,1849401,11342897.58
2019-06-14,'000153,丰原药业,6.02,6.16,6.02,6.1,6.11,-0.09,-1.473,1656883,10107348.11
2019-06-13,'000153,丰原药业,6.11,6.14,6.0,6.12,6.12,-0.01,-0.1634,2070068,12591064.92
2019-06-12,'000153,丰原药业,6.12,6.19,6.12,6.17,6.18,-0.06,-0.9709,1639192,10088259.04
2019-06-11,'000153,丰原药业,6.18,6.18,5.95,5.96,5.95,0.23,3.8655,1858855,11307956.26
2019-06-10,'000153,丰原药业,5.95,6.0,5.9,5.92,5.91,0.04,0.6768,1241879,7383183.26
2019-06-06,'000153,丰原药业,5.91,6.19,5.9,6.19,6.03,-0.12,-1.99,1671316,10035613.32
2019-06-05,'000153,丰原药业,6.03,6.09,6.02,6.04,6.0,0.03,0.5,1598801,9681966.04
2019-06-04,'000153,丰原药业,6.0,6.2,5.96,6.2,6.16,-0.16,-2.5974,2257670,13682190.01
2019-06-03,'000153,丰原药业,6.16,6.33,6.14,6.28,6.3,-0.14,-2.2222,2638536,16404138.8
2019-05-31,'000153,丰原药业,6.3,6.37,6.23,6.3,6.34,-0.04,-0.6309,1724024,10877302.92
2019-05-30,'000153,丰原药业,6.34,6.43,6.24,6.43,6.42,-0.08,-1.2461,1667600,10535875.0
2019-05-29,'000153,丰原药业,6.42,6.45,6.34,6.4,6.4,0.02,0.3125,1812672,11607448.3
2019-05-28,'000153,丰原药业,6.4,6.44,6.34,6.35,6.35,0.05,0.7874,2338327,14958972.96
2019-05-27,'000153,丰原药业,6.35,6.37,6.18,6.21,6.22,0.13,2.09,1816619,11406673.86
2019-05-24,'000153,丰原药业,6.22,6.28,6.18,6.23,6.22,0.0,0.0,1765754,10987148.17
2019-05-23,'000153,丰原药业,6.22,6.41,6.19,6.35,6.36,-0.14,-2.2013,1988913,12515634.38
2019-05-22,'000153,丰原药业,6.36,6.52,6.33,6.43,6.45,-0.09,-1.3953,1979391,12684389.16
2019-05-21,'000153,丰原药业,6.45,6.49,6.29,6.31,6.35,0.1,1.5748,2187461,14065286.99
2019-05-20,'000153,丰原药业,6.35,6.4,6.15,6.35,6.31,0.04,0.6339,2668956,16732775.74
2019-05-17,'000153,丰原药业,6.31,6.63,6.28,6.63,6.6,-0.29,-4.3939,2968837,19153089.38
2019-05-16,'000153,丰原药业,6.6,6.65,6.52,6.53,6.56,0.04,0.6098,2367838,15585819.38
2019-05-15,'000153,丰原药业,6.56,6.58,6.45,6.45,6.42,0.14,2.1807,2139600,13943068.0
2019-05-14,'000153,丰原药业,6.42,6.53,6.4,6.46,6.5,-0.08,-1.2308,2287101,14788973.44
2019-05-13,'000153,丰原药业,6.5,6.61,6.45,6.48,6.57,-0.07,-1.0654,3112039,20306519.81
2019-05-10,'000153,丰原药业,6.57,6.6,6.25,6.25,6.23,0.34,5.4575,5118919,33115341.99
2019-05-09,'000153,丰原药业,6.23,6.32,6.2,6.3,6.31,-0.08,-1.2678,2370946,14833735.56
2019-05-08,'000153,丰原药业,6.31,6.42,6.15,6.15,6.3,0.01,0.1587,2643010,16702028.68
2019-05-07,'000153,丰原药业,6.3,6.34,6.15,6.15,6.15,0.15,2.439,3387302,21161517.34
2019-05-06,'000153,丰原药业,6.15,6.42,6.0,6.38,6.48,-0.33,-5.0926,5349463,33278537.42
