日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000155,川能动力,4.33,4.35,4.29,4.31,4.25,0.08,1.8824,9120020,39379676.1
2019-06-28,'000155,川能动力,4.25,4.3,4.18,4.3,4.28,-0.03,-0.7009,8921290,37711942.39
2019-06-27,'000155,川能动力,4.28,4.36,4.25,4.27,4.27,0.01,0.2342,6766900,29136213.0
2019-06-26,'000155,川能动力,4.27,4.35,4.25,4.29,4.31,-0.04,-0.9281,6447300,27732199.01
2019-06-25,'000155,川能动力,4.31,4.39,4.29,4.36,4.35,-0.04,-0.9195,8049300,34831411.0
2019-06-24,'000155,川能动力,4.35,4.46,4.31,4.46,4.44,-0.09,-2.027,9813771,42828646.01
2019-06-21,'000155,川能动力,4.44,4.46,4.36,4.38,4.36,0.08,1.8349,13577635,59863994.7
2019-06-20,'000155,川能动力,4.36,4.45,4.3,4.36,4.41,-0.05,-1.1338,14829425,64789252.08
2019-06-19,'000155,川能动力,4.41,4.52,4.33,4.46,4.41,0.0,0.0,22176116,97402452.28
2019-06-18,'000155,川能动力,4.41,4.62,4.16,4.2,4.2,0.21,5.0,27115211,120176173.29
2019-06-17,'000155,川能动力,4.2,4.31,4.16,4.24,4.22,-0.02,-0.4739,8015400,33870793.0
2019-06-14,'000155,川能动力,4.22,4.46,4.2,4.42,4.41,-0.19,-4.3084,10755920,46069404.8
2019-06-13,'000155,川能动力,4.41,4.47,4.35,4.42,4.42,-0.01,-0.2262,7729298,34063871.61
2019-06-12,'000155,川能动力,4.42,4.52,4.37,4.49,4.48,-0.06,-1.3393,7804101,34679617.49
2019-06-11,'000155,川能动力,4.48,4.52,4.32,4.34,4.31,0.17,3.9443,9361139,41594256.8
2019-06-10,'000155,川能动力,4.31,4.38,4.19,4.22,4.19,0.12,2.864,8867012,38199158.35
2019-06-06,'000155,川能动力,4.19,4.37,4.19,4.33,4.33,-0.14,-3.2333,5999770,25741320.65
2019-06-05,'000155,川能动力,4.33,4.39,4.27,4.36,4.31,0.02,0.464,6058819,26277791.07
2019-06-04,'000155,川能动力,4.31,4.42,4.25,4.4,4.36,-0.05,-1.1468,8051524,34899833.48
2019-06-03,'000155,川能动力,4.36,4.54,4.34,4.54,4.48,-0.12,-2.6786,10272024,45390688.04
2019-05-31,'000155,川能动力,4.48,4.67,4.47,4.56,4.65,-0.17,-3.6559,13984500,63885642.0
2019-05-30,'000155,川能动力,4.65,4.74,4.38,4.49,4.46,0.19,4.2601,17637251,79827922.51
2019-05-29,'000155,川能动力,4.46,4.54,4.28,4.28,4.33,0.13,3.0023,11179801,49530431.96
2019-05-28,'000155,川能动力,4.33,4.42,4.22,4.26,4.25,0.08,1.8824,13194925,57395001.5
2019-05-27,'000155,川能动力,4.25,4.26,4.14,4.2,4.16,0.09,2.1635,8426335,35428214.3
2019-05-24,'000155,川能动力,4.16,4.24,4.12,4.18,4.16,0.0,0.0,7996000,33308645.0
2019-05-23,'000155,川能动力,4.16,4.28,4.05,4.1,4.13,0.03,0.7264,11606200,48702009.01
2019-05-22,'000155,川能动力,4.13,4.24,4.08,4.21,4.22,-0.09,-2.1327,6571108,27271652.8
2019-05-21,'000155,川能动力,4.22,4.27,4.11,4.15,4.1,0.12,2.9268,8657501,36409803.2
2019-05-20,'000155,川能动力,4.1,4.19,4.06,4.18,4.15,-0.05,-1.2048,8016323,33083808.29
2019-05-17,'000155,川能动力,4.15,4.5,4.08,4.44,4.49,-0.34,-7.5724,17205238,73948372.48
2019-05-16,'000155,川能动力,4.49,4.55,4.38,4.43,4.43,0.06,1.3544,10279638,45929784.82
2019-05-15,'000155,川能动力,4.43,4.47,4.33,4.37,4.32,0.11,2.5463,10491540,46228220.86
2019-05-14,'000155,川能动力,4.32,4.42,4.31,4.35,4.37,-0.05,-1.1442,8132000,35461254.0
2019-05-13,'000155,川能动力,4.37,4.41,4.33,4.33,4.4,-0.03,-0.6818,8009210,34998557.59
2019-05-10,'000155,川能动力,4.4,4.44,4.18,4.35,4.29,0.11,2.5641,10891309,47466365.4
2019-05-09,'000155,川能动力,4.29,4.39,4.27,4.34,4.35,-0.06,-1.3793,8234300,35517548.0
2019-05-08,'000155,川能动力,4.35,4.46,4.25,4.37,4.42,-0.07,-1.5837,11768800,51432286.0
2019-05-07,'000155,川能动力,4.42,4.49,4.22,4.33,4.29,0.13,3.0303,20230520,88174274.72
2019-05-06,'000155,川能动力,4.29,4.65,4.29,4.65,4.77,-0.48,-10.0629,18390600,81982966.66
2019-04-30,'000155,川能动力,4.77,4.89,4.73,4.76,4.72,0.05,1.0593,9528020,45746043.2
2019-04-29,'000155,川能动力,4.72,4.86,4.66,4.84,4.81,-0.09,-1.8711,14026256,66889694.26
2019-04-26,'000155,川能动力,4.81,4.9,4.71,4.82,4.82,-0.01,-0.2075,13419260,64352878.06
2019-04-25,'000155,川能动力,4.82,5.07,4.82,5.04,5.05,-0.23,-4.5545,22466299,110685232.92
