日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000156,华数传媒,11.21,11.26,11.08,11.19,11.01,0.2,1.8165,10340294,115538685.55
2019-06-28,'000156,华数传媒,11.01,11.19,10.99,11.08,11.11,-0.1,-0.9001,5327804,58934878.98
2019-06-27,'000156,华数传媒,11.11,11.38,11.0,11.24,11.24,-0.13,-1.1566,9421611,105143706.12
2019-06-26,'000156,华数传媒,11.24,11.4,11.14,11.16,11.2,0.04,0.3571,5690678,64190953.65
2019-06-25,'000156,华数传媒,11.2,11.36,11.1,11.23,11.22,-0.02,-0.1783,7063037,79231248.7
2019-06-24,'000156,华数传媒,11.22,11.32,11.01,11.16,11.22,0.0,0.0,7070347,79119999.53
2019-06-21,'000156,华数传媒,11.22,11.35,10.93,11.0,10.88,0.34,3.125,9891347,110633724.54
2019-06-20,'000156,华数传媒,10.88,10.97,10.6,10.7,10.65,0.23,2.1596,7953841,86281810.97
2019-06-19,'000156,华数传媒,10.65,10.88,10.63,10.8,10.58,0.07,0.6616,6399455,68963471.61
2019-06-18,'000156,华数传媒,10.58,10.8,10.5,10.55,10.65,-0.07,-0.6573,4518000,48031987.77
2019-06-17,'000156,华数传媒,10.65,10.75,10.46,10.53,10.53,0.12,1.1396,6598018,70044857.31
2019-06-14,'000156,华数传媒,10.53,11.09,10.46,11.08,11.1,-0.57,-5.1351,9881331,106248424.12
2019-06-13,'000156,华数传媒,11.1,11.17,10.93,11.0,11.08,0.02,0.1805,5877160,64987596.94
2019-06-12,'000156,华数传媒,11.08,11.38,11.05,11.15,11.23,-0.15,-1.3357,5885663,65815203.86
2019-06-11,'000156,华数传媒,11.23,11.3,10.6,11.03,10.96,0.27,2.4635,8377599,92241186.22
2019-06-10,'000156,华数传媒,10.96,11.22,10.93,11.07,11.08,-0.12,-1.083,5544410,61453197.96
2019-06-06,'000156,华数传媒,11.08,11.47,10.96,11.32,11.32,-0.24,-2.1201,8214188,92076003.89
2019-06-05,'000156,华数传媒,11.32,11.54,11.07,11.22,11.08,0.24,2.1661,8537480,96702642.74
2019-06-04,'000156,华数传媒,11.08,11.43,11.03,11.39,11.26,-0.18,-1.5986,6919038,77788904.82
2019-06-03,'000156,华数传媒,11.26,11.75,10.88,11.73,11.8,-0.54,-4.5763,16667435,188670845.01
2019-05-31,'000156,华数传媒,11.8,12.0,11.65,11.85,11.81,-0.01,-0.0847,12564776,148795791.92
2019-05-30,'000156,华数传媒,11.81,11.82,11.49,11.66,11.66,0.15,1.2864,8373417,97658417.18
2019-05-29,'000156,华数传媒,11.66,11.85,11.54,11.6,11.71,-0.05,-0.427,8113508,94784105.94
2019-05-28,'000156,华数传媒,11.71,11.94,11.36,11.46,11.33,0.38,3.3539,12582283,147825286.89
2019-05-27,'000156,华数传媒,11.33,11.4,11.07,11.23,11.06,0.27,2.4412,4567541,51525172.49
2019-05-24,'000156,华数传媒,11.06,11.44,11.05,11.25,11.24,-0.18,-1.6014,4686114,52631186.68
2019-05-23,'000156,华数传媒,11.24,11.75,11.04,11.65,11.84,-0.6,-5.0676,8428351,95897194.93
2019-05-22,'000156,华数传媒,11.84,11.99,11.42,11.42,11.42,0.42,3.6778,11229363,131804827.62
2019-05-21,'000156,华数传媒,11.42,11.76,11.38,11.56,11.53,-0.11,-0.954,7755747,89567595.64
2019-05-20,'000156,华数传媒,11.53,11.62,11.0,11.28,11.19,0.34,3.0384,8316941,94578834.92
2019-05-17,'000156,华数传媒,11.19,11.82,11.19,11.7,11.71,-0.52,-4.4406,8450910,96855655.63
2019-05-16,'000156,华数传媒,11.71,11.79,11.61,11.65,11.69,0.02,0.1711,5738713,67049962.04
2019-05-15,'000156,华数传媒,11.69,11.86,11.41,11.58,11.47,0.22,1.918,9797216,114437451.13
2019-05-14,'000156,华数传媒,11.47,12.08,11.14,11.14,11.37,0.1,0.8795,13033266,151427155.24
2019-05-13,'000156,华数传媒,11.37,11.38,10.94,11.09,11.16,0.21,1.8817,8396625,93685967.54
2019-05-10,'000156,华数传媒,11.16,11.2,10.56,10.86,10.76,0.4,3.7175,8201566,89833588.84
2019-05-09,'000156,华数传媒,10.76,10.88,10.51,10.76,10.65,0.11,1.0329,6958357,74912871.16
2019-05-08,'000156,华数传媒,10.65,10.91,10.4,10.43,10.66,-0.01,-0.0938,7089663,75995788.86
2019-05-07,'000156,华数传媒,10.66,10.78,10.31,10.6,10.5,0.16,1.5238,7998704,85105558.81
2019-05-06,'000156,华数传媒,10.5,11.28,10.24,11.19,11.37,-0.87,-7.6517,14026333,151692082.03
2019-04-30,'000156,华数传媒,11.37,11.5,11.0,11.0,10.92,0.45,4.1209,8400214,95393017.78
