日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000157,中联重科,5.82,6.1,5.75,6.07,6.01,-0.19,-3.1614,154592582,905734211.31
2019-06-28,'000157,中联重科,6.01,6.33,6.0,6.07,6.07,-0.06,-0.9885,77901770,479443332.31
2019-06-27,'000157,中联重科,6.07,6.07,5.99,5.99,5.99,0.08,1.3356,51396606,310663952.56
2019-06-26,'000157,中联重科,5.99,6.02,5.91,5.94,5.98,0.01,0.1672,47445488,283676656.65
2019-06-25,'000157,中联重科,5.98,5.99,5.87,5.97,5.96,0.02,0.3356,55472026,329448726.27
2019-06-24,'000157,中联重科,5.96,5.98,5.87,5.95,5.94,0.02,0.3367,52262067,310108893.01
2019-06-21,'000157,中联重科,5.94,5.96,5.86,5.9,5.89,0.05,0.8489,60789781,359051275.12
2019-06-20,'000157,中联重科,5.89,5.94,5.7,5.7,5.74,0.15,2.6132,68787819,402286577.61
2019-06-19,'000157,中联重科,5.74,5.83,5.72,5.76,5.69,0.05,0.8787,54056135,311364064.9
2019-06-18,'000157,中联重科,5.69,5.72,5.6,5.65,5.65,0.04,0.708,50851525,288667132.17
2019-06-17,'000157,中联重科,5.65,5.69,5.54,5.58,5.55,0.1,1.8018,54651538,308496096.76
2019-06-14,'000157,中联重科,5.55,5.68,5.53,5.64,5.63,-0.08,-1.421,60670441,339764284.3
2019-06-13,'000157,中联重科,5.63,5.66,5.41,5.43,5.45,0.18,3.3028,82442534,458547345.18
2019-06-12,'000157,中联重科,5.45,5.5,5.43,5.44,5.44,0.01,0.1838,50836365,277729460.08
2019-06-11,'000157,中联重科,5.44,5.47,5.24,5.24,5.23,0.21,4.0153,76120560,411529329.89
2019-06-10,'000157,中联重科,5.23,5.27,5.21,5.23,5.22,0.01,0.1916,37847142,198298647.34
2019-06-06,'000157,中联重科,5.22,5.32,5.19,5.31,5.28,-0.06,-1.1364,44856349,236087018.72
2019-06-05,'000157,中联重科,5.28,5.36,5.28,5.31,5.28,0.0,0.0,41686125,222052304.07
2019-06-04,'000157,中联重科,5.28,5.32,5.22,5.25,5.3,-0.02,-0.3774,44680429,235843338.98
2019-06-03,'000157,中联重科,5.3,5.41,5.24,5.38,5.37,-0.07,-1.3035,47025754,250110861.2
2019-05-31,'000157,中联重科,5.37,5.39,5.24,5.25,5.27,0.1,1.8975,61369223,328052851.04
2019-05-30,'000157,中联重科,5.27,5.32,5.21,5.25,5.27,0.0,0.0,41553225,218503067.18
2019-05-29,'000157,中联重科,5.27,5.34,5.26,5.3,5.35,-0.08,-1.4953,44478893,235695966.97
2019-05-28,'000157,中联重科,5.35,5.43,5.26,5.38,5.39,-0.04,-0.7421,80870745,432327701.64
2019-05-27,'000157,中联重科,5.39,5.47,5.26,5.36,5.34,0.05,0.9363,84621987,454152874.59
2019-05-24,'000157,中联重科,5.34,5.35,5.18,5.18,5.16,0.18,3.4884,88800078,470054685.3
2019-05-23,'000157,中联重科,5.16,5.26,5.14,5.2,5.23,-0.07,-1.3384,61251980,318737275.0
2019-05-22,'000157,中联重科,5.23,5.26,5.19,5.19,5.18,0.05,0.9653,50242166,262331129.69
2019-05-21,'000157,中联重科,5.18,5.27,5.09,5.09,5.11,0.07,1.3699,68445248,356685932.78
2019-05-20,'000157,中联重科,5.11,5.18,5.07,5.15,5.12,-0.01,-0.1953,65100385,333583808.86
2019-05-17,'000157,中联重科,5.12,5.34,5.12,5.31,5.31,-0.19,-3.5782,90263832,470193007.82
2019-05-16,'000157,中联重科,5.31,5.34,5.11,5.15,5.12,0.19,3.7109,93124195,488880270.15
2019-05-15,'000157,中联重科,5.12,5.16,5.07,5.1,5.06,0.06,1.1858,70257153,358640242.7
2019-05-14,'000157,中联重科,5.06,5.14,4.94,4.99,4.76,0.3,6.3025,115634534,583704064.97
2019-05-13,'000157,中联重科,4.76,4.78,4.69,4.7,4.77,-0.01,-0.2096,35040787,165986427.95
2019-05-10,'000157,中联重科,4.77,4.78,4.55,4.65,4.6,0.17,3.6957,50929871,239448596.29
2019-05-09,'000157,中联重科,4.6,4.72,4.6,4.7,4.73,-0.13,-2.7484,37187336,172618321.35
2019-05-08,'000157,中联重科,4.73,4.81,4.66,4.7,4.8,-0.07,-1.4583,50730947,240721614.66
2019-05-07,'000157,中联重科,4.8,4.84,4.7,4.7,4.69,0.11,2.3454,78858873,376910850.7
2019-05-06,'000157,中联重科,4.69,4.88,4.58,4.8,4.95,-0.26,-5.2525,73077332,345747815.67
2019-04-30,'000157,中联重科,4.95,5.01,4.91,4.96,4.94,0.01,0.2024,44077738,218906528.94
