日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000158,常山北明,5.69,5.78,5.53,5.58,5.42,0.27,4.9815,11616843,65663332.66
2019-06-28,'000158,常山北明,5.42,5.61,5.39,5.59,5.61,-0.19,-3.3868,7202177,39265893.76
2019-06-27,'000158,常山北明,5.61,5.68,5.56,5.61,5.58,0.03,0.5376,4709330,26502641.0
2019-06-26,'000158,常山北明,5.58,5.65,5.56,5.59,5.64,-0.06,-1.0638,4940890,27707169.4
2019-06-25,'000158,常山北明,5.64,5.71,5.56,5.71,5.71,-0.07,-1.2259,6439550,36223960.1
2019-06-24,'000158,常山北明,5.71,5.81,5.69,5.78,5.75,-0.04,-0.6957,5238036,29999841.34
2019-06-21,'000158,常山北明,5.75,5.78,5.64,5.64,5.61,0.14,2.4955,9182550,52608316.9
2019-06-20,'000158,常山北明,5.61,5.64,5.47,5.49,5.51,0.1,1.8149,9214841,51336841.11
2019-06-19,'000158,常山北明,5.51,5.58,5.49,5.53,5.39,0.12,2.2263,8729677,48361644.04
2019-06-18,'000158,常山北明,5.39,5.52,5.35,5.48,5.48,-0.09,-1.6423,5958940,32300089.8
2019-06-17,'000158,常山北明,5.48,5.54,5.32,5.36,5.38,0.1,1.8587,7223488,39430459.95
2019-06-14,'000158,常山北明,5.38,5.55,5.35,5.49,5.48,-0.1,-1.8248,7591549,41578449.94
2019-06-13,'000158,常山北明,5.48,5.5,5.38,5.44,5.44,0.04,0.7353,6213020,33874973.4
2019-06-12,'000158,常山北明,5.44,5.54,5.42,5.5,5.5,-0.06,-1.0909,6308180,34524457.4
2019-06-11,'000158,常山北明,5.5,5.52,5.28,5.35,5.32,0.18,3.3835,8733235,47498820.79
2019-06-10,'000158,常山北明,5.32,5.4,5.25,5.33,5.31,0.01,0.1883,6064670,32324956.24
2019-06-06,'000158,常山北明,5.31,5.45,5.26,5.45,5.4,-0.09,-1.6667,6359923,33982486.5
2019-06-05,'000158,常山北明,5.4,5.5,5.34,5.41,5.33,0.07,1.3133,7996507,43400940.26
2019-06-04,'000158,常山北明,5.33,5.61,5.3,5.58,5.58,-0.25,-4.4803,10928092,59226480.2
2019-06-03,'000158,常山北明,5.58,5.75,5.55,5.7,5.69,-0.11,-1.9332,7312521,41201988.6
