日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000159,国际实业,8.02,8.02,7.7,7.8,7.58,0.44,5.8047,33202103,261890470.91
2019-06-28,'000159,国际实业,7.58,7.9,7.5,7.88,7.86,-0.28,-3.5623,24504566,186963850.15
2019-06-27,'000159,国际实业,7.86,7.96,7.83,7.93,7.87,-0.01,-0.1271,20106840,158462023.88
2019-06-26,'000159,国际实业,7.87,8.1,7.83,7.99,7.98,-0.11,-1.3784,19687594,156447111.42
2019-06-25,'000159,国际实业,7.98,8.24,7.8,8.15,8.11,-0.13,-1.603,28163272,224890625.44
2019-06-24,'000159,国际实业,8.11,8.31,8.02,8.26,8.19,-0.08,-0.9768,31595645,257804964.18
2019-06-21,'000159,国际实业,8.19,8.33,8.1,8.33,8.18,0.01,0.1222,45893287,377521137.96
2019-06-20,'000159,国际实业,8.18,8.23,7.85,7.96,7.91,0.27,3.4134,47154693,380699008.76
2019-06-19,'000159,国际实业,7.91,8.18,7.74,7.85,7.6,0.31,4.0789,46498400,369783533.06
2019-06-18,'000159,国际实业,7.6,7.92,7.52,7.77,7.81,-0.21,-2.6889,29006454,221469737.23
2019-06-17,'000159,国际实业,7.81,8.15,7.7,7.8,7.81,0.0,0.0,23975426,189761497.79
2019-06-14,'000159,国际实业,7.81,8.22,7.78,8.18,8.28,-0.47,-5.6763,39473064,315962074.51
2019-06-13,'000159,国际实业,8.28,8.36,7.85,7.95,7.98,0.3,3.7594,59988898,491208789.12
2019-06-12,'000159,国际实业,7.98,8.1,7.86,8.01,8.11,-0.13,-1.603,38947244,310669727.14
2019-06-11,'000159,国际实业,8.11,8.25,7.64,7.64,7.67,0.44,5.7366,49286504,392413975.88
2019-06-10,'000159,国际实业,7.67,7.85,7.41,7.67,7.54,0.13,1.7241,32922107,251579795.68
2019-06-06,'000159,国际实业,7.54,7.96,7.47,7.62,7.74,-0.2,-2.584,28345666,217700509.9
2019-06-05,'000159,国际实业,7.74,8.15,7.55,8.03,8.01,-0.27,-3.3708,36001132,283008499.98
2019-06-04,'000159,国际实业,8.01,8.15,7.69,7.69,7.98,0.03,0.3759,36383543,288759124.3
2019-06-03,'000159,国际实业,7.98,8.83,7.97,8.81,8.85,-0.87,-9.8305,55181656,453485919.54
2019-05-31,'000159,国际实业,8.85,9.16,8.84,9.12,9.12,-0.27,-2.9605,36701358,330162914.77
2019-05-30,'000159,国际实业,9.12,9.23,8.91,9.05,9.08,0.04,0.4405,41329471,376033478.13
2019-05-29,'000159,国际实业,9.08,9.38,9.01,9.1,9.23,-0.15,-1.6251,41996376,384731634.54
2019-05-28,'000159,国际实业,9.23,9.5,9.16,9.32,9.19,0.04,0.4353,56462972,526544536.66
2019-05-27,'000159,国际实业,9.19,9.53,8.6,8.98,8.92,0.27,3.0269,49429678,449383436.08
2019-05-24,'000159,国际实业,8.92,9.16,8.71,8.79,9.01,-0.09,-0.9989,32255811,287762820.86
2019-05-23,'000159,国际实业,9.01,9.42,8.9,9.06,9.1,-0.09,-0.989,43561630,398796626.64
2019-05-22,'000159,国际实业,9.1,9.36,8.82,9.23,9.19,-0.09,-0.9793,40241923,365914298.38
2019-05-21,'000159,国际实业,9.19,9.36,8.86,8.95,8.88,0.31,3.491,39971373,365953772.12
2019-05-20,'000159,国际实业,8.88,9.35,8.43,9.14,9.25,-0.37,-4.0,43703630,387626444.48
2019-05-17,'000159,国际实业,9.25,10.16,9.2,10.01,10.2,-0.95,-9.3137,64595431,623345671.08
2019-05-16,'000159,国际实业,10.2,10.64,9.91,10.06,10.28,-0.08,-0.7782,78884303,807945889.18
2019-05-15,'000159,国际实业,10.28,10.56,9.65,9.79,9.68,0.6,6.1983,90430147,915678625.49
2019-05-14,'000159,国际实业,9.68,9.8,9.25,9.3,9.56,0.12,1.2552,58504920,560203792.69
2019-05-13,'000159,国际实业,9.56,9.95,9.3,9.5,9.76,-0.2,-2.0492,60465853,580267575.79
2019-05-10,'000159,国际实业,9.76,9.99,8.81,9.38,9.2,0.56,6.087,82029827,778156866.67
2019-05-09,'000159,国际实业,9.2,9.55,9.02,9.05,9.18,0.02,0.2179,45612407,424237141.79
2019-05-08,'000159,国际实业,9.18,9.69,8.85,9.0,9.45,-0.27,-2.8571,61924436,574335527.81
2019-05-07,'000159,国际实业,9.45,9.48,8.63,8.92,9.07,0.38,4.1896,72819614,660978953.71
2019-05-06,'000159,国际实业,9.07,9.74,9.07,9.71,10.08,-1.01,-10.0198,39626339,367553190.12
2019-04-30,'000159,国际实业,10.08,10.57,9.6,10.21,10.21,-0.13,-1.2733,66917397,678926767.46
2019-04-29,'000159,国际实业,10.21,10.98,9.9,10.83,10.98,-0.77,-7.0128,66681645,694986554.21
2019-04-26,'000159,国际实业,10.98,11.35,10.39,10.55,10.81,0.17,1.5726,73417056,807537164.55
2019-04-25,'000159,国际实业,10.81,12.21,10.8,12.0,12.0,-1.19,-9.9167,109309903,1247327166.17
2019-04-24,'000159,国际实业,12.0,12.62,11.85,12.49,13.05,-1.05,-8.046,109181272,1328158445.6
2019-04-23,'000159,国际实业,13.05,15.22,13.05,15.01,14.5,-1.45,-10.0,146901666,2028061616.88
2019-04-22,'000159,国际实业,14.5,15.17,14.0,14.33,13.79,0.71,5.1487,163876551,2433232165.81
2019-04-19,'000159,国际实业,13.79,13.79,12.45,12.6,12.54,1.25,9.9681,152381825,2037666464.14
2019-04-18,'000159,国际实业,12.54,12.54,11.06,11.3,11.4,1.14,10.0,145452650,1770494980.17
2019-04-17,'000159,国际实业,11.4,11.68,10.71,10.95,11.03,0.37,3.3545,93811481,1052733993.52
2019-04-16,'000159,国际实业,11.03,11.07,10.36,10.55,11.37,-0.34,-2.9903,92614277,989087997.56
2019-04-15,'000159,国际实业,11.37,11.94,10.94,11.13,11.29,0.08,0.7086,81666748,935730660.03
2019-04-12,'000159,国际实业,11.29,12.35,11.29,12.16,12.54,-1.25,-9.9681,109100780,1275826571.36
2019-04-11,'000159,国际实业,12.54,12.9,11.36,11.69,11.9,0.64,5.3782,147327083,1789950985.81
2019-04-10,'000159,国际实业,11.9,14.07,11.61,13.68,12.79,-0.89,-6.9586,162939404,2104968902.47
2019-04-09,'000159,国际实业,12.79,12.79,12.12,12.2,11.63,1.16,9.9742,53625039,669509703.88
2019-04-08,'000159,国际实业,11.63,11.63,10.11,10.55,10.57,1.06,10.0284,123159525,1365472697.97
2019-04-04,'000159,国际实业,10.57,10.88,9.97,9.97,11.06,-0.49,-4.4304,110225569,1144360396.11
2019-04-03,'000159,国际实业,11.06,11.49,10.64,11.0,11.39,-0.33,-2.8973,125418530,1387683485.21
2019-04-02,'000159,国际实业,11.39,11.39,10.1,10.25,10.35,1.04,10.0483,155461498,1713534760.17
2019-04-01,'000159,国际实业,10.35,10.79,9.86,9.86,10.06,0.29,2.8827,107078543,1109994469.64
2019-03-29,'000159,国际实业,10.06,10.85,9.85,9.85,10.88,-0.82,-7.5368,126824042,1290454994.95
2019-03-28,'000159,国际实业,10.88,12.6,10.8,12.0,11.61,-0.73,-6.2877,184226465,2168648838.92
2019-03-27,'000159,国际实业,11.61,11.61,9.6,9.81,10.55,1.06,10.0474,148595748,1569288602.03
2019-03-26,'000159,国际实业,10.55,11.0,9.52,9.65,10.58,-0.03,-0.2836,167184895,1654466968.16
2019-03-25,'000159,国际实业,10.58,11.72,10.58,11.29,10.65,-0.07,-0.6573,182286923,2055197837.98
2019-03-22,'000159,国际实业,10.65,10.65,10.44,10.64,9.68,0.97,10.0207,98224533,1045544740.74
2019-03-21,'000159,国际实业,9.68,9.68,9.68,9.68,8.8,0.88,10.0,4587836,44410252.48
2019-03-20,'000159,国际实业,8.8,8.8,8.5,8.8,8.0,0.8,10.0,39919518,350245909.0
2019-03-19,'000159,国际实业,8.0,8.0,7.61,7.68,7.27,0.73,10.0413,32003948,251551968.99
2019-03-18,'000159,国际实业,7.27,7.27,6.32,6.61,6.61,0.66,9.9849,115886871,810954462.16
2019-03-15,'000159,国际实业,6.61,6.61,6.38,6.61,6.01,0.6,9.9834,25465097,167939805.17
2019-03-14,'000159,国际实业,6.01,6.01,5.52,5.56,5.46,0.55,10.0733,21664525,127234464.81
2019-03-13,'000159,国际实业,5.46,5.78,5.2,5.29,5.3,0.16,3.0189,32678391,179895656.08
2019-03-12,'000159,国际实业,5.3,5.44,5.19,5.3,5.28,0.02,0.3788,19875681,105892028.89
2019-03-11,'000159,国际实业,5.28,5.3,5.04,5.07,5.11,0.17,3.3268,15948738,82754494.18
2019-03-08,'000159,国际实业,5.11,5.39,5.0,5.2,5.41,-0.3,-5.5453,24321910,125801472.04
2019-03-07,'000159,国际实业,5.41,5.6,5.11,5.16,5.13,0.28,5.4581,30205744,161465588.28
2019-03-06,'000159,国际实业,5.13,5.19,4.94,5.05,5.03,0.1,1.9881,18349589,92836786.88
2019-03-05,'000159,国际实业,5.03,5.06,4.89,4.91,5.0,0.03,0.6,18412479,91563602.82
2019-03-04,'000159,国际实业,5.0,5.27,4.76,4.78,4.79,0.21,4.3841,29018393,144816460.5
2019-03-01,'000159,国际实业,4.79,4.83,4.73,4.82,4.81,-0.02,-0.4158,10183144,48553770.47
2019-02-28,'000159,国际实业,4.81,4.89,4.75,4.89,4.88,-0.07,-1.4344,12485561,60135503.48
2019-02-27,'000159,国际实业,4.88,5.09,4.68,4.7,4.74,0.14,2.9536,20233312,97963344.49
2019-02-26,'000159,国际实业,4.74,4.89,4.67,4.76,4.79,-0.05,-1.0438,19928509,95287306.99
2019-02-25,'000159,国际实业,4.79,4.79,4.6,4.7,4.58,0.21,4.5852,16514944,77621683.02
2019-02-22,'000159,国际实业,4.58,4.58,4.41,4.46,4.48,0.1,2.2321,9129814,41092236.27
2019-02-21,'000159,国际实业,4.48,4.57,4.43,4.5,4.48,0.0,0.0,8772336,39550843.26
2019-02-20,'000159,国际实业,4.48,4.52,4.42,4.48,4.49,-0.01,-0.2227,5260221,23525183.84
2019-02-19,'000159,国际实业,4.49,4.56,4.42,4.54,4.54,-0.05,-1.1013,9390305,42148359.48
2019-02-18,'000159,国际实业,4.54,4.63,4.35,4.37,4.35,0.19,4.3678,11821067,53199769.39
2019-02-15,'000159,国际实业,4.35,4.37,4.31,4.33,4.34,0.01,0.2304,4628737,20113301.3
2019-02-14,'000159,国际实业,4.34,4.36,4.29,4.35,4.34,0.0,0.0,4562700,19748339.0
2019-02-13,'000159,国际实业,4.34,4.38,4.28,4.29,4.29,0.05,1.1655,7038675,30466019.47
2019-02-12,'000159,国际实业,4.29,4.32,4.23,4.26,4.23,0.06,1.4184,5145430,22034397.15
2019-02-11,'000159,国际实业,4.23,4.24,4.09,4.13,4.09,0.14,3.423,5063656,21208505.18
2019-02-01,'000159,国际实业,4.09,4.13,3.98,3.98,3.97,0.12,3.0227,3209492,13064402.76
2019-01-31,'000159,国际实业,3.97,4.09,3.93,4.01,4.04,-0.07,-1.7327,4591305,18425133.52
2019-01-30,'000159,国际实业,4.04,4.15,4.03,4.06,4.06,-0.02,-0.4926,3405900,13921592.0
2019-01-29,'000159,国际实业,4.06,4.19,3.88,4.15,4.18,-0.12,-2.8708,5295700,21450990.24
2019-01-28,'000159,国际实业,4.18,4.29,4.17,4.22,4.21,-0.03,-0.7126,4621100,19617771.0
2019-01-25,'000159,国际实业,4.21,4.38,4.21,4.36,4.25,-0.04,-0.9412,6660600,28574548.0
2019-01-24,'000159,国际实业,4.25,4.27,4.21,4.21,4.25,0.0,0.0,4516201,19137302.22
2019-01-23,'000159,国际实业,4.25,4.26,4.11,4.12,4.11,0.14,3.4063,6604365,27734858.9
2019-01-22,'000159,国际实业,4.11,4.26,4.1,4.26,4.26,-0.15,-3.5211,6561600,27356723.0
2019-01-21,'000159,国际实业,4.26,4.33,4.21,4.25,4.27,-0.01,-0.2342,6124309,26127820.66
2019-01-18,'000159,国际实业,4.27,4.29,4.21,4.25,4.3,-0.03,-0.6977,6283289,26747685.8
2019-01-17,'000159,国际实业,4.3,4.37,4.26,4.31,4.26,0.04,0.939,8736803,37772770.98
2019-01-16,'000159,国际实业,4.26,4.3,4.25,4.29,4.29,-0.03,-0.6993,3442600,14690670.0
2019-01-15,'000159,国际实业,4.29,4.3,4.22,4.22,4.25,0.04,0.9412,4115820,17569206.83
2019-01-14,'000159,国际实业,4.25,4.31,4.21,4.27,4.29,-0.04,-0.9324,5152800,21947129.98
2019-01-11,'000159,国际实业,4.29,4.33,4.22,4.33,4.28,0.01,0.2336,5694321,24291953.22
2019-01-10,'000159,国际实业,4.28,4.38,4.25,4.28,4.23,0.05,1.182,7495901,32283392.24
2019-01-09,'000159,国际实业,4.23,4.32,4.19,4.19,4.22,0.01,0.237,7982701,34096205.25
2019-01-08,'000159,国际实业,4.22,4.25,4.16,4.23,4.2,0.02,0.4762,6135409,25877489.54
2019-01-07,'000159,国际实业,4.2,4.22,4.12,4.15,4.12,0.08,1.9417,7398311,30926482.02
2019-01-04,'000159,国际实业,4.12,4.14,3.96,4.03,4.03,0.09,2.2333,7760124,31642832.14
2019-01-03,'000159,国际实业,4.03,4.12,4.02,4.05,4.12,-0.09,-2.1845,5637759,22924789.5
2019-01-02,'000159,国际实业,4.12,4.21,4.07,4.21,4.22,-0.1,-2.3697,6598869,27113961.41
2018-12-28,'000159,国际实业,4.22,4.22,4.01,4.16,4.22,0.0,0.0,12233695,49954567.94
2018-12-27,'000159,国际实业,4.22,4.39,4.19,4.21,4.09,0.13,3.1785,15558141,66936924.25
2018-12-26,'000159,国际实业,4.09,4.16,4.08,4.1,4.05,0.04,0.9877,5379100,22136103.0
2018-12-25,'000159,国际实业,4.05,4.17,3.94,4.17,4.23,-0.18,-4.2553,7121101,28841439.0
2018-12-24,'000159,国际实业,4.23,4.28,4.18,4.24,4.27,-0.04,-0.9368,4366500,18451698.0
2018-12-21,'000159,国际实业,4.27,4.33,4.25,4.28,4.29,-0.02,-0.4662,3219768,13790243.0
2018-12-20,'000159,国际实业,4.29,4.33,4.24,4.25,4.29,0.0,0.0,3615161,15502241.23
2018-12-19,'000159,国际实业,4.29,4.35,4.24,4.3,4.35,-0.06,-1.3793,4256300,18257517.0
2018-12-18,'000159,国际实业,4.35,4.39,4.26,4.29,4.34,0.01,0.2304,4397900,19079868.0
2018-12-17,'000159,国际实业,4.34,4.35,4.24,4.32,4.28,0.06,1.4019,4650101,20017332.32
2018-12-14,'000159,国际实业,4.28,4.44,4.26,4.41,4.46,-0.18,-4.0359,6728600,29277768.36
