日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-07-01,'000166,申万宏源,5.11,5.17,5.07,5.14,5.01,0.1,1.996,75297714,384558235.34
2019-06-28,'000166,申万宏源,5.01,5.07,4.98,5.05,5.06,-0.05,-0.9881,37707876,189129984.5
2019-06-27,'000166,申万宏源,5.06,5.15,5.03,5.03,5.01,0.05,0.998,60267759,306216471.75
2019-06-26,'000166,申万宏源,5.01,5.05,4.98,5.01,5.08,-0.07,-1.378,37704311,189239787.62
2019-06-25,'000166,申万宏源,5.08,5.13,4.98,5.12,5.12,-0.04,-0.7813,79492038,402032260.76
2019-06-24,'000166,申万宏源,5.12,5.23,5.07,5.2,5.14,-0.02,-0.3891,76782420,394950521.11
2019-06-21,'000166,申万宏源,5.14,5.19,5.09,5.11,5.12,0.02,0.3906,105020773,539699008.75
2019-06-20,'000166,申万宏源,5.12,5.24,4.87,4.87,4.9,0.22,4.4898,154866547,784837594.27
2019-06-19,'000166,申万宏源,4.9,5.14,4.87,5.08,4.86,0.04,0.823,107905593,537896329.41
2019-06-18,'000166,申万宏源,4.86,4.87,4.8,4.84,4.85,0.01,0.2062,42391300,205362299.76
2019-06-17,'000166,申万宏源,4.85,4.86,4.79,4.8,4.79,0.06,1.2526,44010644,212966378.2
2019-06-14,'000166,申万宏源,4.79,4.87,4.78,4.84,4.83,-0.04,-0.8282,76861311,371610938.59
2019-06-13,'000166,申万宏源,4.83,4.87,4.8,4.81,4.81,0.02,0.4158,42517697,205591833.28
2019-06-12,'000166,申万宏源,4.81,4.89,4.79,4.84,4.87,-0.06,-1.232,52471030,253599191.89
2019-06-11,'000166,申万宏源,4.87,4.88,4.64,4.66,4.66,0.21,4.5064,86677567,415877084.27
2019-06-10,'000166,申万宏源,4.66,4.69,4.53,4.65,4.65,0.01,0.2151,48887404,226298034.1
2019-06-06,'000166,申万宏源,4.65,4.75,4.63,4.72,4.72,-0.07,-1.4831,36049502,169265144.03
2019-06-05,'000166,申万宏源,4.72,4.77,4.71,4.74,4.69,0.03,0.6397,37833275,179238018.57
